kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,bIUefSuUCzNSIoIC-knzrJQIGtM,UgxLHZGMRvU9SP1KcTB4AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'EPAMLX2JkSmjaseZw81LGVhqB68', 'id': 'UgxLHZGMRvU9SP1KcTB4AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'Foi esse aí que deu aula pro Naldo ?', 'textOriginal': 'Foi esse aí que deu aula pro Naldo ?', 'authorDisplayName': 'Alex Barbosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/3SKLI9eiUrRicXsmeZiw7xv07zIix8O6Wu_kV8bav--e5EK43wyeqcC3bzEG0gxwpcLBVyLsyQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4Lg_m-4GQCM0aknB_Hotrg', 'authorChannelId': {'value': 'UC4Lg_m-4GQCM0aknB_Hotrg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-26T03:20:24Z', 'updatedAt': '2023-03-26T03:20:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4Lg_m-4GQCM0aknB_Hotrg,2023-03-26T03:20:24Z,Foi esse aí que deu aula pro Naldo ?,QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,Jb2YtRZpkJfODHq6pHP4FqqhNlQ,UgwksLURn8pxTap9JH94AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sUhfD-eDlfyYKbSJ8L14KqHr0ag', 'id': 'UgwksLURn8pxTap9JH94AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'O pai da mentira, querendo Ibope kkkkkk 🤡🤡🤡', 'textOriginal': 'O pai da mentira, querendo Ibope kkkkkk 🤡🤡🤡', 'authorDisplayName': 'elza barbosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM0ba32-ILhfeZ4FmFh8AHz0BOP75irSeSy8Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC88zHzdBVKJan6CQ0fvNaUg', 'authorChannelId': {'value': 'UC88zHzdBVKJan6CQ0fvNaUg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-24T10:03:48Z', 'updatedAt': '2023-03-24T10:03:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC88zHzdBVKJan6CQ0fvNaUg,2023-03-24T10:03:48Z,"O pai da mentira, querendo Ibope kkkkkk 🤡🤡🤡",QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,EhHvo8vIwzOZKx1IhR6qrtdqaVc,UgxdXQBPKWK1AaTuchd4AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GYRiwhUewGKxOsutkVJ7xHjN_KY', 'id': 'UgxdXQBPKWK1AaTuchd4AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'O Lula é dono da mentira, ele tem cara de mentiroso.', 'textOriginal': 'O Lula é dono da mentira, ele tem cara de mentiroso.', 'authorDisplayName': 'Alexandre Vieira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOcadU2pOfGTHVNvjsODw55BwdJAajLB0dV_w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_mnaeV9Vm7qS5FF3OYqT9A', 'authorChannelId': {'value': 'UC_mnaeV9Vm7qS5FF3OYqT9A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-24T00:51:09Z', 'updatedAt': '2023-03-24T00:51:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_mnaeV9Vm7qS5FF3OYqT9A,2023-03-24T00:51:09Z,"O Lula é dono da mentira, ele tem cara de mentiroso.",QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,byUNJYphvXWi94VExkLk0UzX6Q8,UgyoXW3qmpokFC5OJgF4AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YGqwvxFYM86Rbc6ElQiPKYeE66g', 'id': 'UgyoXW3qmpokFC5OJgF4AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'Tadinho  do lula tão inocente, ele até  devolveu  o dinheiro  kkkkkk', 'textOriginal': 'Tadinho  do lula tão inocente, ele até  devolveu  o dinheiro  kkkkkk', 'authorDisplayName': 'fá da luz', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNJOxNM2-nE5fCf59Xfd79k7ssRuVH5HpPWYazYGA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCx7quLpOEVfOpWW47ef5W9w', 'authorChannelId': {'value': 'UCx7quLpOEVfOpWW47ef5W9w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-23T20:08:33Z', 'updatedAt': '2023-03-23T20:08:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCx7quLpOEVfOpWW47ef5W9w,2023-03-23T20:08:33Z,"Tadinho  do lula tão inocente, ele até  devolveu  o dinheiro  kkkkkk",QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,QQ-PmmV0IC2Zm9WGeUcFs7LKnEo,Ugw-epLl2gY54UWFCRR4AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iNWOQsbvchwcvUqxmUyQm7Uyapk', 'id': 'Ugw-epLl2gY54UWFCRR4AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'Mentira mentira', 'textOriginal': 'Mentira mentira', 'authorDisplayName': 'Francisca ana Ana', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPZVsYQP2Hq6lmPZqKTQplXf1vhaaGGRLTtCBMP1w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCttn3KmZ53T-2bjcoWzbKnw', 'authorChannelId': {'value': 'UCttn3KmZ53T-2bjcoWzbKnw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-10T18:04:41Z', 'updatedAt': '2023-03-10T18:04:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCttn3KmZ53T-2bjcoWzbKnw,2023-03-10T18:04:41Z,Mentira mentira,QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,JhBNK895PcAfk6vgmXTUCYpcYrs,UgwO6jRSe_R2QA_ZPJ54AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'q2CeokvDQt4uBBSTNhAXr6qVLGM', 'id': 'UgwO6jRSe_R2QA_ZPJ54AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'Mentiroso é ele tudo q ele fala e mentira!', 'textOriginal': 'Mentiroso é ele tudo q ele fala e mentira!', 'authorDisplayName': 'Giselle Costa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN8U2QsN6uqwUxKSAi57eogaLKaQn0B-3pV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE8yExnmx71DuK17lPfROWw', 'authorChannelId': {'value': 'UCE8yExnmx71DuK17lPfROWw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-08T18:10:27Z', 'updatedAt': '2023-03-08T18:10:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCE8yExnmx71DuK17lPfROWw,2023-03-08T18:10:27Z,Mentiroso é ele tudo q ele fala e mentira!,QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,tqgYG32UwCAPZ3yN3khyVSLHSE4,UgzBOAatjp-J0RbIoHN4AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0LUQ_wo6vsBPHjSDkV4Bv8YY5Kg', 'id': 'UgzBOAatjp-J0RbIoHN4AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'Faltou reclamar para os desembargadores do TRF4, que aumentaram a pena.', 'textOriginal': 'Faltou reclamar para os desembargadores do TRF4, que aumentaram a pena.', 'authorDisplayName': 'Carlos Pinto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM6nYEi28Qvjv6xr0y8JEp0RgmGlkRl4t0G_A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXLGrghoKnoVlCAtxfGmkww', 'authorChannelId': {'value': 'UCXLGrghoKnoVlCAtxfGmkww'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-25T21:11:10Z', 'updatedAt': '2023-02-25T21:11:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXLGrghoKnoVlCAtxfGmkww,2023-02-25T21:11:10Z,"Faltou reclamar para os desembargadores do TRF4, que aumentaram a pena.",QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,NM-2jmimVMwlJs4G6RgiMmXdbTw,UgyEIc9BkRrzOw7_XNd4AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'TmT_nheSOeYFPrkiXBeGaYkev1Y', 'id': 'UgyEIc9BkRrzOw7_XNd4AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'Ele mostrou, lavagem, corrupção, tem que pergunta o que você não aproveitou para roubar.', 'textOriginal': 'Ele mostrou, lavagem, corrupção, tem que pergunta o que você não aproveitou para roubar.', 'authorDisplayName': 'julia Baptista', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMn6YQoqR0Sz8ySTLzsbC-6X23M4XYnO4MpIE5Usw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkWedbpubqQHU_1idqFtFVw', 'authorChannelId': {'value': 'UCkWedbpubqQHU_1idqFtFVw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-20T18:24:57Z', 'updatedAt': '2023-02-20T18:24:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkWedbpubqQHU_1idqFtFVw,2023-02-20T18:24:57Z,"Ele mostrou, lavagem, corrupção, tem que pergunta o que você não aproveitou para roubar.",QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,-X4gH8ZYHQMCS78zMTSKbk7vVYA,Ugzih-RHeWb2Z1gnDD54AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ujI2wK6Uq7v6y-UrahiPkoMOXAI', 'id': 'Ugzih-RHeWb2Z1gnDD54AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'O que derrubou ele foi colocar preto pobre nas universidades, foi alimentar pobres seja branco ou preto n me refiro a cor nunca ! Samos irmãos e tbm samos enganados uma prova e que todo mundo e preso ao político na partidária mas todo mundo estar na poli vei. Que porra de ato indeterminado kkkkk a nomeclatura já estar dando a resposta.', 'textOriginal': 'O que derrubou ele foi colocar preto pobre nas universidades, foi alimentar pobres seja branco ou preto n me refiro a cor nunca ! Samos irmãos e tbm samos enganados uma prova e que todo mundo e preso ao político na partidária mas todo mundo estar na poli vei. Que porra de ato indeterminado kkkkk a nomeclatura já estar dando a resposta.', 'authorDisplayName': 'Ganja Fire', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM7sRR9QjesPcrcZ5_QEb9UTQQEQxCFTorOR_Ya=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1gd_A-Bq5M9mpXTzKaCrMA', 'authorChannelId': {'value': 'UC1gd_A-Bq5M9mpXTzKaCrMA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-06T04:43:31Z', 'updatedAt': '2023-01-06T04:43:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1gd_A-Bq5M9mpXTzKaCrMA,2023-01-06T04:43:31Z,"O que derrubou ele foi colocar preto pobre nas universidades, foi alimentar pobres seja branco ou preto n me refiro a cor nunca ! Samos irmãos e tbm samos enganados uma prova e que todo mundo e preso ao político na partidária mas todo mundo estar na poli vei. Que porra de ato indeterminado kkkkk a nomeclatura já estar dando a resposta.",QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
youtube#commentThread,7qx2mdplZM2S8IvUf1cWaXeBogg,Ugy83dpj0enAcV3rTQB4AaABAg,"{'videoId': 'UBCfdGkDIQE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2u0UKKy6f2czGGXxnIyr6CgT1b8', 'id': 'Ugy83dpj0enAcV3rTQB4AaABAg', 'snippet': {'videoId': 'UBCfdGkDIQE', 'textDisplay': 'Crimes.<br>Desvio de verbas de todas as estatais..<br>Formação de quadrilha.<br>Sítio Atibaia.<br>Não dá para listar aqui seus crimes Sr Lula', 'textOriginal': 'Crimes.\\nDesvio de verbas de todas as estatais..\\nFormação de quadrilha.\\nSítio Atibaia.\\nNão dá para listar aqui seus crimes Sr Lula', 'authorDisplayName': 'Ricardo Anjos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMEhbhPinaN7Y_Kz0YDMjqUBlMjF7G0KZAFQEl_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2x0c2aOzkWZrjnkM4GpCKA', 'authorChannelId': {'value': 'UC2x0c2aOzkWZrjnkM4GpCKA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-04T15:29:15Z', 'updatedAt': '2023-01-04T15:29:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2x0c2aOzkWZrjnkM4GpCKA,2023-01-04T15:29:15Z,"Crimes.
Desvio de verbas de todas as estatais..
Formação de quadrilha.
Sítio Atibaia.
Não dá para listar aqui seus crimes Sr Lula",QURTSl9pM0xFemV5Z2laUndpTm5CalJkM2s2Y0tPWFBtOUM5RFpZbzRiY3dpZndmRDRZZkNIVXlWdVJ6LWZCeFRJckVMTUFiMkh6djJ0bw==,2023-06-09 04:49:54.473220
