kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,_6sgffgd1nZtykYOmiISYLUfR_I,UgyrU3710azk6OeyiiB4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kxEfAvZ9_duDpBAGiP5-qLEjNfs', 'id': 'UgyrU3710azk6OeyiiB4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Campanha que permitiu o Normose fazer tudo: <a href=""http://catarse.me/normose"">catarse.me/normose</a> ♥\\r<br>PIX  - Mas se não puder assinar, que tal um pix? normosepix@<a href=""http://gmail.com/"">gmail.com</a><br><br>Tá cansado? Me conta como tá seendo seus últimos dias? Bora conversar!', 'textOriginal': 'Campanha que permitiu o Normose fazer tudo: catarse.me/normose ♥\\r\\nPIX  - Mas se não puder assinar, que tal um pix? normosepix@gmail.com\\n\\nTá cansado? Me conta como tá seendo seus últimos dias? Bora conversar!', 'authorDisplayName': 'NORMOSE', 'authorProfileImageUrl': 'https://yt3.ggpht.com/IYhw8vOo4wlYg8_SGSnz4nbFXUnUrnig1xziAIYPuriIOKsmZgCgLnoQrjwVeb_0qjTubsyz=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCqBY-VQ2BxHOWnVpuC7swrw', 'authorChannelId': {'value': 'UCqBY-VQ2BxHOWnVpuC7swrw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 45, 'publishedAt': '2022-10-26T21:14:03Z', 'updatedAt': '2022-10-26T21:14:03Z'}}, 'canReply': True, 'totalReplyCount': 4, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': '6it8M5Y_E54Ly_o6adlIQuZaTQk', 'id': 'UgyrU3710azk6OeyiiB4AaABAg.9helkOxjauH9hhPNA3gkLS', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'vdd Normose o lula é a solução para nossos problemas. O velho senhor bondoso que pensa na minoria e pretende acabar com a censura, para que possamos ser livres.', 'textOriginal': 'vdd Normose o lula é a solução para nossos problemas. O velho senhor bondoso que pensa na minoria e pretende acabar com a censura, para que possamos ser livres.', 'parentId': 'UgyrU3710azk6OeyiiB4AaABAg', 'authorDisplayName': 'Vitor Alencar', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOW7TuOHdkCT7zs_Ybrx6-lTnpdoKDBWjCl5w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9fYJ3bA15bA2-C8-NVlkMg', 'authorChannelId': {'value': 'UC9fYJ3bA15bA2-C8-NVlkMg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T21:47:29Z', 'updatedAt': '2022-10-27T21:47:29Z'}}, {'kind': 'youtube#comment', 'etag': 'aZc59DZt-xS7k7nAyRn5_TOK87s', 'id': 'UgyrU3710azk6OeyiiB4AaABAg.9helkOxjauH9hf8bmBtfD0', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Ok, mas é importante chamar a atenção pro seguinte fato: muitas pessoas estão em contato com o que você chama de &quot;dois Bolsonaros&quot; ao mesmo tempo, e mesmo sendo antagônicos, os concilia. Graças ao pensamento heurístico. Não são dois Bolsonaros separados, é uma capacidade de criar referências assim pelas mesmas pessoas. Trazer os diferentes Bolsonaros às bolhas não resolve. Na Era da Internet todos têm contato com tudo, e o Bolsonaro ainda assim cresce. Não é devido a segmentação. É devido à irracionalidade que é extremamente manipulável. Não é uma crítica, mas eu preciso levar essa noção adiante. Precisamos acertar o remédio para esse problema.', 'textOriginal': 'Ok, mas é importante chamar a atenção pro seguinte fato: muitas pessoas estão em contato com o que você chama de ""dois Bolsonaros"" ao mesmo tempo, e mesmo sendo antagônicos, os concilia. Graças ao pensamento heurístico. Não são dois Bolsonaros separados, é uma capacidade de criar referências assim pelas mesmas pessoas. Trazer os diferentes Bolsonaros às bolhas não resolve. Na Era da Internet todos têm contato com tudo, e o Bolsonaro ainda assim cresce. Não é devido a segmentação. É devido à irracionalidade que é extremamente manipulável. Não é uma crítica, mas eu preciso levar essa noção adiante. Precisamos acertar o remédio para esse problema.', 'parentId': 'UgyrU3710azk6OeyiiB4AaABAg', 'authorDisplayName': 'Leonardo Domingues', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMXjDZjEbp4vC7wHgALMdR5qTuJjCDf6M_-aA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSvuikRtbEv84T-Rw9VMpLg', 'authorChannelId': {'value': 'UCSvuikRtbEv84T-Rw9VMpLg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T00:42:36Z', 'updatedAt': '2022-10-27T00:42:36Z'}}, {'kind': 'youtube#comment', 'etag': '8oj_m3miqWXFkLoCIT0iHmOjl8E', 'id': 'UgyrU3710azk6OeyiiB4AaABAg.9helkOxjauH9hf7E9aGqn5', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': '@Leonardo Domingues as duas coisas não se anulam. se complementam, companheiro. <br><br>é o uso emocional do nosso tipo de pensar que é transformado em ferramenta de discurso dentro das redes sociais.', 'textOriginal': '@Leonardo Domingues as duas coisas não se anulam. se complementam, companheiro. \\n\\né o uso emocional do nosso tipo de pensar que é transformado em ferramenta de discurso dentro das redes sociais.', 'parentId': 'UgyrU3710azk6OeyiiB4AaABAg', 'authorDisplayName': 'NORMOSE', 'authorProfileImageUrl': 'https://yt3.ggpht.com/IYhw8vOo4wlYg8_SGSnz4nbFXUnUrnig1xziAIYPuriIOKsmZgCgLnoQrjwVeb_0qjTubsyz=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCqBY-VQ2BxHOWnVpuC7swrw', 'authorChannelId': {'value': 'UCqBY-VQ2BxHOWnVpuC7swrw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T00:30:30Z', 'updatedAt': '2022-10-27T00:30:30Z'}}, {'kind': 'youtube#comment', 'etag': 'ywaPk0aQrhHd5NkMKa5X5IzwfkU', 'id': 'UgyrU3710azk6OeyiiB4AaABAg.9helkOxjauH9hexZ_jHjw1', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Normose, não é um Bolsonaro duplo. É uma incoerência fruto do raciocínio heurístico. Um economista chamado Kahneman (junto com uma serie de pesquisas das neurociências) ganhou o Nobel de economia demonstrando que as escolhas e a economia fluem de forma irracional. Isso pq a mente tem 2 tipos de modelos de raciocínio: o lento e o rapido. O rápido não faz juízo profundo nem reflexão, e inclusive é incoerente, mas é o prioritário em situações de forte emoção. E é essa a estratégia, não o lance de bolhas.', 'textOriginal': 'Normose, não é um Bolsonaro duplo. É uma incoerência fruto do raciocínio heurístico. Um economista chamado Kahneman (junto com uma serie de pesquisas das neurociências) ganhou o Nobel de economia demonstrando que as escolhas e a economia fluem de forma irracional. Isso pq a mente tem 2 tipos de modelos de raciocínio: o lento e o rapido. O rápido não faz juízo profundo nem reflexão, e inclusive é incoerente, mas é o prioritário em situações de forte emoção. E é essa a estratégia, não o lance de bolhas.', 'parentId': 'UgyrU3710azk6OeyiiB4AaABAg', 'authorDisplayName': 'Leonardo Domingues', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMXjDZjEbp4vC7wHgALMdR5qTuJjCDf6M_-aA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSvuikRtbEv84T-Rw9VMpLg', 'authorChannelId': {'value': 'UCSvuikRtbEv84T-Rw9VMpLg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T22:57:18Z', 'updatedAt': '2022-10-26T22:57:18Z'}}]}",UCqBY-VQ2BxHOWnVpuC7swrw,2022-10-26T21:14:03Z,"Campanha que permitiu o Normose fazer tudo: catarse.me/normose ♥
PIX  - Mas se não puder assinar, que tal um pix? normosepix@gmail.com

Tá cansado? Me conta como tá seendo seus últimos dias? Bora conversar!",QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,Om6OaMOn0pnvJ5u3fKjAwRVKhAI,UgyE2dbqVEva1WpDqvJ4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'vBV9WKUX6-MDvXDD_yhkinVm23s', 'id': 'UgyE2dbqVEva1WpDqvJ4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Muito bem! Verdades ditas! Sim, já. Fiquei calada, pois não valia a pena. Mas, às vezes  falava e sempre dava discussão,  pois a maioria de onde eu moro são bolsolatras. Novamente, ficava muda e era como se eu fosse a única: petista, lulista, esquerdista, humanista e consciente.<br>Mas, nunca me senti derrotada. Sim, eu tinha receio da praga do COISO MINTO GENOCIDA.', 'textOriginal': 'Muito bem! Verdades ditas! Sim, já. Fiquei calada, pois não valia a pena. Mas, às vezes  falava e sempre dava discussão,  pois a maioria de onde eu moro são bolsolatras. Novamente, ficava muda e era como se eu fosse a única: petista, lulista, esquerdista, humanista e consciente.\\nMas, nunca me senti derrotada. Sim, eu tinha receio da praga do COISO MINTO GENOCIDA.', 'authorDisplayName': 'Leda Aparecida Ferreira de Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMP9ljXEsgq7ddN4ShlTAi5tQe1x0bReHDWV6S3ZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6CBXM6qfCUVVOljlrpMt2g', 'authorChannelId': {'value': 'UC6CBXM6qfCUVVOljlrpMt2g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-11T13:54:13Z', 'updatedAt': '2023-01-11T14:00:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6CBXM6qfCUVVOljlrpMt2g,2023-01-11T13:54:13Z,"Muito bem! Verdades ditas! Sim, já. Fiquei calada, pois não valia a pena. Mas, às vezes  falava e sempre dava discussão,  pois a maioria de onde eu moro são bolsolatras. Novamente, ficava muda e era como se eu fosse a única: petista, lulista, esquerdista, humanista e consciente.
Mas, nunca me senti derrotada. Sim, eu tinha receio da praga do COISO MINTO GENOCIDA.",QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,yEyz8cv9rbjJIEgfSqJ_sqRWIZU,Ugz5mG6ME6yAg01X9Qt4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1hiZMrzBXCEBZ0523NBLFOpdCWI', 'id': 'Ugz5mG6ME6yAg01X9Qt4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Concordo com o vídeo.  Também fiquei doente e também perdi pessoas amigas e familiares com a pandemia. Agora ainda tenho esperança de um Brasil melhor e mais humano.', 'textOriginal': 'Concordo com o vídeo.  Também fiquei doente e também perdi pessoas amigas e familiares com a pandemia. Agora ainda tenho esperança de um Brasil melhor e mais humano.', 'authorDisplayName': 'Educação, Cultura e Espiritualidade', 'authorProfileImageUrl': 'https://yt3.ggpht.com/NWC0WL6MggmRx43NId3EfX6Dx3nVh5aWxdS1WOnI6L_X0jJ43eNOzH03Ko8x_P-DBZwZfy0X=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCmR3Yh_YnTMySl-PG0jHSrg', 'authorChannelId': {'value': 'UCmR3Yh_YnTMySl-PG0jHSrg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-22T10:02:02Z', 'updatedAt': '2022-12-22T10:02:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCmR3Yh_YnTMySl-PG0jHSrg,2022-12-22T10:02:02Z,Concordo com o vídeo.  Também fiquei doente e também perdi pessoas amigas e familiares com a pandemia. Agora ainda tenho esperança de um Brasil melhor e mais humano.,QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,tL8Qdrep5vcHitIOOWmz7aFUe3o,UgyzIR4mY3prYvO43Cx4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'XFCoSmcfc2SOO_fertM0m_hkLlU', 'id': 'UgyzIR4mY3prYvO43Cx4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Tenho 65 anos e estou emocionado ao ver que a auto estima está saindo de um período de letargia. Este vídeo é um bálsamo. Que todas/os mantenham a firmeza de reconquistar a serenidade, a racionalidade e a sabedoria. Temos um país para reconstruir. Força pessoal. Gratidão Normose pelo belíssimo trabalho.', 'textOriginal': 'Tenho 65 anos e estou emocionado ao ver que a auto estima está saindo de um período de letargia. Este vídeo é um bálsamo. Que todas/os mantenham a firmeza de reconquistar a serenidade, a racionalidade e a sabedoria. Temos um país para reconstruir. Força pessoal. Gratidão Normose pelo belíssimo trabalho.', 'authorDisplayName': 'Gilson Garcia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO9PGuX2IveYmhX7ME-Ec_K6gEVBgPnbt6DOw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwg17PjfwJnxRW-BAg3sDrQ', 'authorChannelId': {'value': 'UCwg17PjfwJnxRW-BAg3sDrQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-30T01:37:06Z', 'updatedAt': '2022-11-30T01:37:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwg17PjfwJnxRW-BAg3sDrQ,2022-11-30T01:37:06Z,"Tenho 65 anos e estou emocionado ao ver que a auto estima está saindo de um período de letargia. Este vídeo é um bálsamo. Que todas/os mantenham a firmeza de reconquistar a serenidade, a racionalidade e a sabedoria. Temos um país para reconstruir. Força pessoal. Gratidão Normose pelo belíssimo trabalho.",QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,UZKSXQfFu62XanIBoXFOM6CQrwM,UgzHz9VSv3_z92MWKz14AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9zirBNtcR2SjhI3N77u5tcIj9Bg', 'id': 'UgzHz9VSv3_z92MWKz14AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'E o pesadelo continua!', 'textOriginal': 'E o pesadelo continua!', 'authorDisplayName': 'Pablito Racer', 'authorProfileImageUrl': 'https://yt3.ggpht.com/2b0cRX-jc4KfQI8Eqfb9c9Zm6h-LIBDR4xQwu6nELcnW1MhvW6ZUT3QHQ5RF1_i1vWgQAA9kAQQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCsUGq_De1cxxofprjAu0gSg', 'authorChannelId': {'value': 'UCsUGq_De1cxxofprjAu0gSg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-25T09:22:57Z', 'updatedAt': '2022-11-25T09:22:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCsUGq_De1cxxofprjAu0gSg,2022-11-25T09:22:57Z,E o pesadelo continua!,QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,NnvnqXzHM-ZX2m0LEj437_7UZ7M,UgycrGSPpTuQViu-drt4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'aBblC-rZVhfRlOM-fCd5pSiAxl0', 'id': 'UgycrGSPpTuQViu-drt4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'PARABÉNS PELO TRABALHO !!!!!', 'textOriginal': 'PARABÉNS PELO TRABALHO !!!!!', 'authorDisplayName': 'Lucas Oliveira Da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/dWIhHPmkcaZHu6XWIEaNYiIwPJ0Dzsa_dNHWnngG1Q2b76VFzrpCgtlnq3rFDgDrEsR4e2MQ0w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCto3IMKBzvOrWjP_2t1iUmg', 'authorChannelId': {'value': 'UCto3IMKBzvOrWjP_2t1iUmg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-22T19:31:55Z', 'updatedAt': '2022-11-22T19:31:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCto3IMKBzvOrWjP_2t1iUmg,2022-11-22T19:31:55Z,PARABÉNS PELO TRABALHO !!!!!,QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,f5ZSQGUJigSlnMBTQQyDU2e3ejs,Ugxq0dQCU9GK177DfgB4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-cwgmXp0cZfBZ-wtjSmzqLYw-k0', 'id': 'Ugxq0dQCU9GK177DfgB4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Nossa... precisava desse vídeo antes...Eu literalmente sofri Burnout...', 'textOriginal': 'Nossa... precisava desse vídeo antes...Eu literalmente sofri Burnout...', 'authorDisplayName': 'Marcelo Baccan 🤘', 'authorProfileImageUrl': 'https://yt3.ggpht.com/_hUsDqqLZ3TteHM7i2rd6bUH5-STARMY4nLkNpbkFUC1QFiAqrCI6tf0WceHePMSWLJR1VYZ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1E_dSnu1tF061eWiIhwmsw', 'authorChannelId': {'value': 'UC1E_dSnu1tF061eWiIhwmsw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-17T19:23:13Z', 'updatedAt': '2022-11-17T19:23:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1E_dSnu1tF061eWiIhwmsw,2022-11-17T19:23:13Z,Nossa... precisava desse vídeo antes...Eu literalmente sofri Burnout...,QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,UHFJm2I_i2qGKCQWIov42sBBqoQ,UgxBVUZ491J7GZnJGj94AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'U7KoyCKYdDCKsvib5xHtRmP3l8I', 'id': 'UgxBVUZ491J7GZnJGj94AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Paprika, Serial experiments, perfect blue e Evangelion... Normose pare imediatamente de agradar seu público que não vê a luz do sol a anos', 'textOriginal': 'Paprika, Serial experiments, perfect blue e Evangelion... Normose pare imediatamente de agradar seu público que não vê a luz do sol a anos', 'authorDisplayName': 'Gabriel Gomes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/yYiPWcJtm9p-NUcJPpHX-7JlTk-G96ZwPbDSQJph1L5s1UY6yWidcEszWp8vcmcaZck6aCdl=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZBQ5Eq5Tnq79x_KMNnpUKA', 'authorChannelId': {'value': 'UCZBQ5Eq5Tnq79x_KMNnpUKA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-15T21:53:01Z', 'updatedAt': '2022-11-15T21:53:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZBQ5Eq5Tnq79x_KMNnpUKA,2022-11-15T21:53:01Z,"Paprika, Serial experiments, perfect blue e Evangelion... Normose pare imediatamente de agradar seu público que não vê a luz do sol a anos",QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,cnpd8cFPxLD9Vji62Ttc1vYu9aM,UgxNidUUhhzs97osJlF4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jJQliwqkSlDRccxQLVoHqCubrBc', 'id': 'UgxNidUUhhzs97osJlF4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Caramba, vc tem um advinhômetro?', 'textOriginal': 'Caramba, vc tem um advinhômetro?', 'authorDisplayName': 'Dani Hella', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM-AmeY2CpRJPVMRM0ZztZ6_iFzL71lyJrTLZ_M8w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCDOhvLuPYOjxEckx165Gs2w', 'authorChannelId': {'value': 'UCDOhvLuPYOjxEckx165Gs2w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-14T23:48:32Z', 'updatedAt': '2022-11-14T23:48:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCDOhvLuPYOjxEckx165Gs2w,2022-11-14T23:48:32Z,"Caramba, vc tem um advinhômetro?",QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
youtube#commentThread,MGeMBRKFsBYkSCHUWom6bhDe6SA,UgxEC578E5OB7cG9x9N4AaABAg,"{'videoId': 'xTJf5DeWiQg', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zY_3Mv1VXiukjkPv85GT3_A3wDc', 'id': 'UgxEC578E5OB7cG9x9N4AaABAg', 'snippet': {'videoId': 'xTJf5DeWiQg', 'textDisplay': 'Ainda me sinto exausto, desanimado e desmotivado, mesmo com a vitória do Lula. Meus pais bolsonaristas em casa, estão cheios de medo do comunismo chegar ao Brasil no ano que vem. Eles acham que as lojas vão fechar, os bancos vão tomar o dinheiro das pessoas, empresas vão sair do país, que vai ter censura e autoritarismo. O bolsonarismo afasta e separa as famílias. Passei a falar pouco com meus pais e a passar menos tempo perto deles. Só vou voltar a ser feliz quando essa praga for exterminada do país.', 'textOriginal': 'Ainda me sinto exausto, desanimado e desmotivado, mesmo com a vitória do Lula. Meus pais bolsonaristas em casa, estão cheios de medo do comunismo chegar ao Brasil no ano que vem. Eles acham que as lojas vão fechar, os bancos vão tomar o dinheiro das pessoas, empresas vão sair do país, que vai ter censura e autoritarismo. O bolsonarismo afasta e separa as famílias. Passei a falar pouco com meus pais e a passar menos tempo perto deles. Só vou voltar a ser feliz quando essa praga for exterminada do país.', 'authorDisplayName': 'Vinicius', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM0dgUZJbTSDc-QTzU4iGc-OjAppzhWX1WXGbzkMQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCMPPu3gQ8qxxF52IP9G9rqw', 'authorChannelId': {'value': 'UCMPPu3gQ8qxxF52IP9G9rqw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-09T02:53:10Z', 'updatedAt': '2022-11-09T02:53:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCMPPu3gQ8qxxF52IP9G9rqw,2022-11-09T02:53:10Z,"Ainda me sinto exausto, desanimado e desmotivado, mesmo com a vitória do Lula. Meus pais bolsonaristas em casa, estão cheios de medo do comunismo chegar ao Brasil no ano que vem. Eles acham que as lojas vão fechar, os bancos vão tomar o dinheiro das pessoas, empresas vão sair do país, que vai ter censura e autoritarismo. O bolsonarismo afasta e separa as famílias. Passei a falar pouco com meus pais e a passar menos tempo perto deles. Só vou voltar a ser feliz quando essa praga for exterminada do país.",QURTSl9pMDYwbUNnakNCc1JSeG9tZ0Q5UUhaRzg1RHV6b2ViWXhUbnR3OWRHNmg3SHpTRnlCVTNiN1pkckFSUnlPeENBUl9sQ0Vnb3o0NTVoN1ByczhhcUNxZ0h1UlFz,2023-06-09 05:08:50.130745
