kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,ydm0GezVv_pNPkcmWW19pqMrKso,UgySIcTLfP4BW2zS9CF4AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'WVJPPG4KVzdRT7jf7_RwQrr9zNU', 'id': 'UgySIcTLfP4BW2zS9CF4AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Brasil não vai virar comunista? Veremos!', 'textOriginal': 'Brasil não vai virar comunista? Veremos!', 'authorDisplayName': 'Adonias Fernandes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN_lqM1s2vospvu101mGKyYmDHhd-9IsxMTByyaRbk=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUejyqWQyCTAXcVBwVGleDw', 'authorChannelId': {'value': 'UCUejyqWQyCTAXcVBwVGleDw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-20T19:08:35Z', 'updatedAt': '2022-11-20T19:08:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCUejyqWQyCTAXcVBwVGleDw,2022-11-20T19:08:35Z,Brasil não vai virar comunista? Veremos!,,2023-06-09 04:53:27.559862
youtube#commentThread,MyWdZ_WYir9WL4fFs1ozdx60WrA,UgyhryTw6cu9944IWG94AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6S21ScN-694uVXSTRe5WGrYvCvg', 'id': 'UgyhryTw6cu9944IWG94AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Canal ridículo e parcial.<br>Puxa saco de ladrão corrupto!', 'textOriginal': 'Canal ridículo e parcial.\\nPuxa saco de ladrão corrupto!', 'authorDisplayName': 'Seu Vagem Twitch', 'authorProfileImageUrl': 'https://yt3.ggpht.com/_38Hu6vW4L0kvfRuN7r1FfF2M_VtFvTEeRvDeFbmukJHLGQF3ubJgG9XMMq_o5mz_a88K-FwZA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTERG6vWXEb1tXXHUbe0aQQ', 'authorChannelId': {'value': 'UCTERG6vWXEb1tXXHUbe0aQQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-15T07:37:25Z', 'updatedAt': '2022-11-15T07:37:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTERG6vWXEb1tXXHUbe0aQQ,2022-11-15T07:37:25Z,"Canal ridículo e parcial.
Puxa saco de ladrão corrupto!",,2023-06-09 04:53:27.559862
youtube#commentThread,ZCA3FhD2g8x_ni0VnzACYzv_wdE,UgxnOGWlonh-HJt93Z54AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'laJijGF7dqG2TZbKgsOrqSQBAAo', 'id': 'UgxnOGWlonh-HJt93Z54AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Dessa vez eu sinto muito nas ele não venceu nas urnas não ele só se elegeu porque o Alexandre de Moraes ajudou pq aí tem coisa errada tá na cara que dessa  vez não houve democracia  se parar para olhar o povo que está nas ruas é muito mais do que os que votaram nele 🤷\\u200d♀️🤷\\u200d♀️  injustiça Deus vai fazer justiça 🙏🏼', 'textOriginal': 'Dessa vez eu sinto muito nas ele não venceu nas urnas não ele só se elegeu porque o Alexandre de Moraes ajudou pq aí tem coisa errada tá na cara que dessa  vez não houve democracia  se parar para olhar o povo que está nas ruas é muito mais do que os que votaram nele 🤷\\u200d♀️🤷\\u200d♀️  injustiça Deus vai fazer justiça 🙏🏼', 'authorDisplayName': 'Vera Araujo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/IRus590BPbUdRRL0rwFiy4QEfVM2EDUcyWhof_pyqmfYV4fnKtVuLi0ge9-IE2Mh8x3hMENLGA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfxfJ-lPlT8jS5-IRMZcJww', 'authorChannelId': {'value': 'UCfxfJ-lPlT8jS5-IRMZcJww'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-11T09:16:48Z', 'updatedAt': '2022-11-11T09:16:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfxfJ-lPlT8jS5-IRMZcJww,2022-11-11T09:16:48Z,Dessa vez eu sinto muito nas ele não venceu nas urnas não ele só se elegeu porque o Alexandre de Moraes ajudou pq aí tem coisa errada tá na cara que dessa  vez não houve democracia  se parar para olhar o povo que está nas ruas é muito mais do que os que votaram nele 🤷‍♀️🤷‍♀️  injustiça Deus vai fazer justiça 🙏🏼,,2023-06-09 04:53:27.559862
youtube#commentThread,6mdBLoq94XFBFyDinQd2irVN29Y,UgynnZ9gmShNaIaMF3d4AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ip3zDmksH3wRul8A6iukje2l0CE', 'id': 'UgynnZ9gmShNaIaMF3d4AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'EU JA VI NA HISTÓRIA DA POLÍTICA FAZER PROTESTO PARA TIRAR PRESIDENTE MAS PARA FICAR E A PRIMEIRA VEZ 🤷\\u200d♀️', 'textOriginal': 'EU JA VI NA HISTÓRIA DA POLÍTICA FAZER PROTESTO PARA TIRAR PRESIDENTE MAS PARA FICAR E A PRIMEIRA VEZ 🤷\\u200d♀️', 'authorDisplayName': 'Vera Araujo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/IRus590BPbUdRRL0rwFiy4QEfVM2EDUcyWhof_pyqmfYV4fnKtVuLi0ge9-IE2Mh8x3hMENLGA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfxfJ-lPlT8jS5-IRMZcJww', 'authorChannelId': {'value': 'UCfxfJ-lPlT8jS5-IRMZcJww'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-11T09:13:32Z', 'updatedAt': '2022-11-11T09:13:32Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfxfJ-lPlT8jS5-IRMZcJww,2022-11-11T09:13:32Z,EU JA VI NA HISTÓRIA DA POLÍTICA FAZER PROTESTO PARA TIRAR PRESIDENTE MAS PARA FICAR E A PRIMEIRA VEZ 🤷‍♀️,,2023-06-09 04:53:27.559862
youtube#commentThread,ge2s_tnQRku9mxTPn8o40FgQm7A,UgxRcfAtqL0p0bXzJu14AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BmdXI89zuG_mzM-swyldLeq3BoY', 'id': 'UgxRcfAtqL0p0bXzJu14AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Nunca houve  nunca haverá  outro  á sentar na mesma cadeira  cadeira  três veses  desbancando  um tal dê  mito e se desejar desbanca quantas  veses ô mito desejar sentar', 'textOriginal': 'Nunca houve  nunca haverá  outro  á sentar na mesma cadeira  cadeira  três veses  desbancando  um tal dê  mito e se desejar desbanca quantas  veses ô mito desejar sentar', 'authorDisplayName': 'Nilton Santana', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM3z_KusiH3nDOXvEohNAQeAyMU7gGbtR4sig=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwIbzhjCuOTAEZ_z_VR4XaA', 'authorChannelId': {'value': 'UCwIbzhjCuOTAEZ_z_VR4XaA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T15:52:49Z', 'updatedAt': '2022-11-04T15:52:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwIbzhjCuOTAEZ_z_VR4XaA,2022-11-04T15:52:49Z,Nunca houve  nunca haverá  outro  á sentar na mesma cadeira  cadeira  três veses  desbancando  um tal dê  mito e se desejar desbanca quantas  veses ô mito desejar sentar,,2023-06-09 04:53:27.559862
youtube#commentThread,lwgfj5VaeRvwFyRvFcdRsFkWkA8,UgysHHRxJwYSEITYoMF4AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'BbvQqeCIAJIdvIPpH6v76KFjbZM', 'id': 'UgysHHRxJwYSEITYoMF4AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Serão petistas como  ,tv cultura  globais, se for estou fora....', 'textOriginal': 'Serão petistas como  ,tv cultura  globais, se for estou fora....', 'authorDisplayName': 'Maria das Graças Amaral Costa Amaral', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOXu842A5QxYuY1K_SGnX406OupoLEWsSwOmw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbOiEEZyVo7XT91monW1qaQ', 'authorChannelId': {'value': 'UCbOiEEZyVo7XT91monW1qaQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T02:37:09Z', 'updatedAt': '2022-11-04T02:37:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbOiEEZyVo7XT91monW1qaQ,2022-11-04T02:37:09Z,"Serão petistas como  ,tv cultura  globais, se for estou fora....",,2023-06-09 04:53:27.559862
youtube#commentThread,nseG_aE1krhvnSgDBUNpAIW-2vs,UgzN9ZfXMg2-umwtFxt4AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '63S5gNDMAkc5NoQ7U5W2138jyE4', 'id': 'UgzN9ZfXMg2-umwtFxt4AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': '투표 한번 잘 못하면은 나라 망가진 나라 됩니다? 투표 하실때 신중히 한번더 잘 생각 하시고 선택하시길 바랍니다?🙏🙏🙏🇰🇷🇰🇷', 'textOriginal': '투표 한번 잘 못하면은 나라 망가진 나라 됩니다? 투표 하실때 신중히 한번더 잘 생각 하시고 선택하시길 바랍니다?🙏🙏🙏🇰🇷🇰🇷', 'authorDisplayName': '김복현', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO1xwsegrzn2YtKF5TzSQ5pqe-Z-T4pg7o4Bm8Eg4s=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClnQ-AFSfi-136Wj7Vmu5Rg', 'authorChannelId': {'value': 'UClnQ-AFSfi-136Wj7Vmu5Rg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-11-03T23:47:58Z', 'updatedAt': '2022-11-03T23:47:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClnQ-AFSfi-136Wj7Vmu5Rg,2022-11-03T23:47:58Z,투표 한번 잘 못하면은 나라 망가진 나라 됩니다? 투표 하실때 신중히 한번더 잘 생각 하시고 선택하시길 바랍니다?🙏🙏🙏🇰🇷🇰🇷,,2023-06-09 04:53:27.559862
youtube#commentThread,URe7Mp4zOm6ZwDx6-jEOkOYcwuo,Ugzt7jdDIvj_lK1PtY94AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3wyUVRRE_MVvnOIfV0IuXEhCwbQ', 'id': 'Ugzt7jdDIvj_lK1PtY94AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Olha desde que vejo política e todas as vezes que PT esteve no poder só via o mais velhos falando olha que escândalo e roubo .<br>Agora eu que vejo isso lamentável fazer oque neh', 'textOriginal': 'Olha desde que vejo política e todas as vezes que PT esteve no poder só via o mais velhos falando olha que escândalo e roubo .\\nAgora eu que vejo isso lamentável fazer oque neh', 'authorDisplayName': 'Leonardo Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP86Oaosh4cY2jL6_95ktzR6NevvoxHwp16kq_9DQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCp6dR2uRuFC7IbNgHkxde4A', 'authorChannelId': {'value': 'UCp6dR2uRuFC7IbNgHkxde4A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T02:45:26Z', 'updatedAt': '2022-11-03T02:45:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCp6dR2uRuFC7IbNgHkxde4A,2022-11-03T02:45:26Z,"Olha desde que vejo política e todas as vezes que PT esteve no poder só via o mais velhos falando olha que escândalo e roubo .
Agora eu que vejo isso lamentável fazer oque neh",,2023-06-09 04:53:27.559862
youtube#commentThread,mVLygfSdjbNUlDsrBSASkfM48vw,Ugxe2_K1aq7d03tiRWl4AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NwJ9_EDq95JKnshLmU1mSeqRn3s', 'id': 'Ugxe2_K1aq7d03tiRWl4AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Mais do mesmo! Nada de novo. Só um sujeito que está na política desde a constituinte.', 'textOriginal': 'Mais do mesmo! Nada de novo. Só um sujeito que está na política desde a constituinte.', 'authorDisplayName': 'Seraffim', 'authorProfileImageUrl': 'https://yt3.ggpht.com/r1i6i3rDObl29UMKjPlt5guNdAOysY_Z7gkLozAIsCuRI9bJEMarXhTg3QrJn1kjR8Bkyqv776s=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2MJsbvqQIZSWZ7qXyyz1EA', 'authorChannelId': {'value': 'UC2MJsbvqQIZSWZ7qXyyz1EA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T13:57:55Z', 'updatedAt': '2022-11-02T13:57:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2MJsbvqQIZSWZ7qXyyz1EA,2022-11-02T13:57:55Z,Mais do mesmo! Nada de novo. Só um sujeito que está na política desde a constituinte.,,2023-06-09 04:53:27.559862
youtube#commentThread,Otc4mz8GTWBuDd_-4x2CAQlE6nI,UgzwywwF4JQIXyHXHI54AaABAg,"{'videoId': 'WeKux29p_c8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iPCZXb9CrMAIxi33Vk7nhluD4tk', 'id': 'UgzwywwF4JQIXyHXHI54AaABAg', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': '&quot;Eu não concordo que um jovem (bandido) seja preso só porque, roubou um celular para tomar um cervejinha&quot;. LULA<br><br>&quot;Eu vou regular a imprensa&quot; LULA', 'textOriginal': '""Eu não concordo que um jovem (bandido) seja preso só porque, roubou um celular para tomar um cervejinha"". LULA\\n\\n""Eu vou regular a imprensa"" LULA', 'authorDisplayName': 'Júnior Siqueira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN5XdZVZDQZxfxwQx56DUSR-T1KeSnpPskfKw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2ihdf2_8f8yThwMYDSvjBg', 'authorChannelId': {'value': 'UC2ihdf2_8f8yThwMYDSvjBg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 9, 'publishedAt': '2022-11-02T11:28:52Z', 'updatedAt': '2022-11-02T11:28:52Z'}}, 'canReply': True, 'totalReplyCount': 2, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': '5y8pe5dO_QkQ78KfrYQkk4fQyjQ', 'id': 'UgzwywwF4JQIXyHXHI54AaABAg.9hvkLTYmKYS9iledfpk98B', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': 'Lula vai regula o seu Koo Ontario', 'textOriginal': 'Lula vai regula o seu Koo Ontario', 'parentId': 'UgzwywwF4JQIXyHXHI54AaABAg', 'authorDisplayName': 'Edson Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/QjkxrrDgMUKwFky_hEkpwvtbAboehxmjTHxzZ5aD1il_xYvkwGRtJSTeQmIhngOQDRC9KM-79Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9R0yYe0hg6GXjaFPzLGE4A', 'authorChannelId': {'value': 'UC9R0yYe0hg6GXjaFPzLGE4A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-23T09:58:03Z', 'updatedAt': '2022-11-23T09:58:03Z'}}, {'kind': 'youtube#comment', 'etag': 'rF_E_UELV6NFJjSG7UvFp95i5x4', 'id': 'UgzwywwF4JQIXyHXHI54AaABAg.9hvkLTYmKYS9iHsApGPrQ_', 'snippet': {'videoId': 'WeKux29p_c8', 'textDisplay': '＼\\u2060(\\u2060°\\u2060o\\u2060°\\u2060)\\u2060／', 'textOriginal': '＼\\u2060(\\u2060°\\u2060o\\u2060°\\u2060)\\u2060／', 'parentId': 'UgzwywwF4JQIXyHXHI54AaABAg', 'authorDisplayName': 'CoD', 'authorProfileImageUrl': 'https://yt3.ggpht.com/5ZIhK78Ba83MseMaSg7QOc1C2HeS2GfAcuzruSuin6Gr1FjgbTcudYj77IVx1K4ynknU5h1Ta38=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJBKXHOdfbuVMy9B6WNByig', 'authorChannelId': {'value': 'UCJBKXHOdfbuVMy9B6WNByig'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-11T10:59:51Z', 'updatedAt': '2022-11-11T10:59:51Z'}}]}",UC2ihdf2_8f8yThwMYDSvjBg,2022-11-02T11:28:52Z,"""Eu não concordo que um jovem (bandido) seja preso só porque, roubou um celular para tomar um cervejinha"". LULA

""Eu vou regular a imprensa"" LULA",,2023-06-09 04:53:27.559862
