kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,-wiSEoVl0SZgniDEGl0LiGIEKP4,UgxpQLGwMZiRvq4I4Yx4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OiVujZkRPNlAclfrhP4p46eroAg', 'id': 'UgxpQLGwMZiRvq4I4Yx4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'Que tristeza vê o PT voltar ao poder, depois de tantos escândalos de corrupção! De tanto desmando e retrocesso! Mas, levantemos a nossa cabeça e vamos continuar acreditando! Não desistiremos do Brasil!', 'textOriginal': 'Que tristeza vê o PT voltar ao poder, depois de tantos escândalos de corrupção! De tanto desmando e retrocesso! Mas, levantemos a nossa cabeça e vamos continuar acreditando! Não desistiremos do Brasil!', 'authorDisplayName': 'Antonia Valda', 'authorProfileImageUrl': 'https://yt3.ggpht.com/TnR4lK5eVyJHLVTSJdZ7__g-vyuiSCCuFXYTAdiH0BO6uw8ppfDTnxKWdFuq9vmXVf4hadACqCA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCer0a7_rosewi8yswp3UDGA', 'authorChannelId': {'value': 'UCer0a7_rosewi8yswp3UDGA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-09T18:30:50Z', 'updatedAt': '2023-04-09T18:30:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCer0a7_rosewi8yswp3UDGA,2023-04-09T18:30:50Z,"Que tristeza vê o PT voltar ao poder, depois de tantos escândalos de corrupção! De tanto desmando e retrocesso! Mas, levantemos a nossa cabeça e vamos continuar acreditando! Não desistiremos do Brasil!",QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,yRMjfJtFNfw7o2KbWPFHVA7-ij0,UgzQ0c5XjW9lzyxsQ9h4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ks1wV5BnaX9ZVeNHQre_l-9tuNU', 'id': 'UgzQ0c5XjW9lzyxsQ9h4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'Oi  BELOVED  Oliveira K . TRAGO AO UNIVERSO UM NOVO  UNIVERSO PORQUE TRAGO AO UNIVERSO ELE PRÓPRIO. .I.S. (IMPULSE OF SYNCHRONYSM )YSHO SHALMAM, YELLOW MUSK,MICHELLE,ROBERT DI.', 'textOriginal': 'Oi  BELOVED  Oliveira K . TRAGO AO UNIVERSO UM NOVO  UNIVERSO PORQUE TRAGO AO UNIVERSO ELE PRÓPRIO. .I.S. (IMPULSE OF SYNCHRONYSM )YSHO SHALMAM, YELLOW MUSK,MICHELLE,ROBERT DI.', 'authorDisplayName': 'Gilberto Moura', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOBkIYVK0klLPoFtJy-TEx-yAcDsSwiL2HS_8-6efCjqsX6TP93Wc-8cVeUYa-X=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYLcW6fbAQom-unqD7FW4Eg', 'authorChannelId': {'value': 'UCYLcW6fbAQom-unqD7FW4Eg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-16T08:33:53Z', 'updatedAt': '2023-01-16T08:33:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYLcW6fbAQom-unqD7FW4Eg,2023-01-16T08:33:53Z,"Oi  BELOVED  Oliveira K . TRAGO AO UNIVERSO UM NOVO  UNIVERSO PORQUE TRAGO AO UNIVERSO ELE PRÓPRIO. .I.S. (IMPULSE OF SYNCHRONYSM )YSHO SHALMAM, YELLOW MUSK,MICHELLE,ROBERT DI.",QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,6GfjN8hhaI-UvCBY9MJQY2eUP-g,Ugy5bh7pBKMnxnwFI2R4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QZQN-QNIyS1yodaiZO37wizz-1M', 'id': 'Ugy5bh7pBKMnxnwFI2R4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'Nicolas acredita que já fui zoado pelo livro? Abraço.', 'textOriginal': 'Nicolas acredita que já fui zoado pelo livro? Abraço.', 'authorDisplayName': 'Fernando Silveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOZRkeK1j9GeTRzmG3BiWuuGhimsSsUxW6wm2hR=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4GTvZhSV6M4LBrkNjPKjEA', 'authorChannelId': {'value': 'UC4GTvZhSV6M4LBrkNjPKjEA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-07T15:58:13Z', 'updatedAt': '2023-01-07T15:58:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4GTvZhSV6M4LBrkNjPKjEA,2023-01-07T15:58:13Z,Nicolas acredita que já fui zoado pelo livro? Abraço.,QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,X9I77VsuNU2PVORMQE-nfp6OYdc,UgwVehTGdObUgUpNQnB4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 't7xiJuoDEqpV6oIfqLDCSx9I7es', 'id': 'UgwVehTGdObUgUpNQnB4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'Você é um conjunto de números e informações de dados que esperam  ser reunidos para emitir somente uma informação?', 'textOriginal': 'Você é um conjunto de números e informações de dados que esperam  ser reunidos para emitir somente uma informação?', 'authorDisplayName': 'Naiara Santana', 'authorProfileImageUrl': 'https://yt3.ggpht.com/a7hRyPgMvW9jhvvm30SCjqx2AeQhb5AAxqQQZ6s071y2QkqmRJbx6lvC0FgMrZ0QN56mkjas=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcA_Wox1ttPZa1T3y3YEgBw', 'authorChannelId': {'value': 'UCcA_Wox1ttPZa1T3y3YEgBw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-17T04:37:25Z', 'updatedAt': '2022-12-17T04:37:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcA_Wox1ttPZa1T3y3YEgBw,2022-12-17T04:37:25Z,Você é um conjunto de números e informações de dados que esperam  ser reunidos para emitir somente uma informação?,QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,vc3s7gmhp8lXA0G8UmYe4-wCcJw,Ugy70q9d36sbeutUUdZ4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Y05WDdQAZlt6xd9TymppK76qIfg', 'id': 'Ugy70q9d36sbeutUUdZ4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'Moro no Paraguai mas estou torcendo por vc. Que Deus te abencoe e tenhas muito exito no teu trabalho por um Brasil melhor', 'textOriginal': 'Moro no Paraguai mas estou torcendo por vc. Que Deus te abencoe e tenhas muito exito no teu trabalho por um Brasil melhor', 'authorDisplayName': 'PRO Israel Merida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO8HuerxDS3m-zapFWVVnuBIls_Sm5afWLBq7iyLw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCa2R9gTkkABnvsm1o70-w2w', 'authorChannelId': {'value': 'UCa2R9gTkkABnvsm1o70-w2w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-29T07:23:23Z', 'updatedAt': '2022-11-29T07:23:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCa2R9gTkkABnvsm1o70-w2w,2022-11-29T07:23:23Z,Moro no Paraguai mas estou torcendo por vc. Que Deus te abencoe e tenhas muito exito no teu trabalho por um Brasil melhor,QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,BmlG7QIL0kp67cfPRiUqTAJ5IBY,UgyUjNyewmAg-yzKk3p4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tpIJPnwTs5nZSy8Nc3r8Ksqqq2o', 'id': 'UgyUjNyewmAg-yzKk3p4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'NIKOLAS  VC SIMM...FUTURO  PRESIDENTE', 'textOriginal': 'NIKOLAS  VC SIMM...FUTURO  PRESIDENTE', 'authorDisplayName': 'Angela Maia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOctO8wdhqlyc4_BDwgbw7k45cH6FraSsX5_4k8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCmrxJkJWtM4KaXufPl6iPpA', 'authorChannelId': {'value': 'UCmrxJkJWtM4KaXufPl6iPpA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T00:19:30Z', 'updatedAt': '2022-10-30T00:19:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCmrxJkJWtM4KaXufPl6iPpA,2022-10-30T00:19:30Z,NIKOLAS  VC SIMM...FUTURO  PRESIDENTE,QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,IHVZfc5YURnYApURodco00kN4gc,UgwXPHTuP5V0rt0USjp4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9zo93PyBB3vj-nPDicA7UlO0_LQ', 'id': 'UgwXPHTuP5V0rt0USjp4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'Valeu meu garoto Deus te abençoe sempre 🙏', 'textOriginal': 'Valeu meu garoto Deus te abençoe sempre 🙏', 'authorDisplayName': 'Armando Fernandes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM7mQaTMkHyqrvR5uMtN0DLvxAG3Y6Wmd7TRA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCunweJxEf6ke1ZG8zRV3WFw', 'authorChannelId': {'value': 'UCunweJxEf6ke1ZG8zRV3WFw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T19:19:59Z', 'updatedAt': '2022-10-26T19:19:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCunweJxEf6ke1ZG8zRV3WFw,2022-10-26T19:19:59Z,Valeu meu garoto Deus te abençoe sempre 🙏,QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,VKpY2j73LT4pPCtQCxvz0HBvo_g,UgxeZ7NVG4Wnl27wH314AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'snVf_TxIlqEliJsmlaF3agT7wyQ', 'id': 'UgxeZ7NVG4Wnl27wH314AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'E eu achando que os moleques do MBL eram a maior vergonha desse país!!<br>PARABÉNS MANO!! AGORA É VOCÊ....', 'textOriginal': 'E eu achando que os moleques do MBL eram a maior vergonha desse país!!\\nPARABÉNS MANO!! AGORA É VOCÊ....', 'authorDisplayName': 'Márcio Teófilo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMjD2YJvgDvyDH8GW325ryZO4jyRIOhM0NkSyMr6w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC23jxlVzneshDbJEnAZuqyw', 'authorChannelId': {'value': 'UC23jxlVzneshDbJEnAZuqyw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T13:24:58Z', 'updatedAt': '2022-10-26T13:24:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC23jxlVzneshDbJEnAZuqyw,2022-10-26T13:24:58Z,"E eu achando que os moleques do MBL eram a maior vergonha desse país!!
PARABÉNS MANO!! AGORA É VOCÊ....",QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,7blzGrSZnmRHXYr5nR-5p4jximE,Ugz_YC92ps-RYFCqSFt4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'EGqCtDr8wApGgSIk531bc0402vI', 'id': 'Ugz_YC92ps-RYFCqSFt4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'Nikolas vc é Genial 👏👏👏👏👏🇧🇷', 'textOriginal': 'Nikolas vc é Genial 👏👏👏👏👏🇧🇷', 'authorDisplayName': 'Leticia Guedes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/wW4h4zER8ns4XXxaYHwqoHYdJLa_LVu5G1kT34LkRTrHQT5np1kCYc_HSqGpAw5zFxFDoF7epDs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2hyENBskg_0D8vAYT8hdfQ', 'authorChannelId': {'value': 'UC2hyENBskg_0D8vAYT8hdfQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T15:55:11Z', 'updatedAt': '2022-10-23T15:55:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2hyENBskg_0D8vAYT8hdfQ,2022-10-23T15:55:11Z,Nikolas vc é Genial 👏👏👏👏👏🇧🇷,QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
youtube#commentThread,Cfrd57uLFruRHM9USlDqnwIgdMc,UgxTicyr_BbpPs18EpR4AaABAg,"{'videoId': '6yhLKJzogrA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5wNpOcO4ii_fzGfPDc8bJ7tQJoQ', 'id': 'UgxTicyr_BbpPs18EpR4AaABAg', 'snippet': {'videoId': '6yhLKJzogrA', 'textDisplay': 'lindinho!!; Jesus te abençoe sempre ❤️ 22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': 'lindinho!!; Jesus te abençoe sempre ❤️ 22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Claudia Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPlyJOX5-x80jYzA0Tc0EGIoKKNZUamaZATYPhW5w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2ECsrjFShgGda_p1uWvrwQ', 'authorChannelId': {'value': 'UC2ECsrjFShgGda_p1uWvrwQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T19:22:02Z', 'updatedAt': '2022-10-22T19:22:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2ECsrjFShgGda_p1uWvrwQ,2022-10-22T19:22:02Z,lindinho!!; Jesus te abençoe sempre ❤️ 22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,QURTSl9pM05iM19HYlRrbnB5VE9aWWdXbDlwM3RWZ2ExVEhtczNGN1kweVJiWFg5Vl9WSnlMMGJHcXp5cWNwOHVENmthbzBXNXpRb2haRQ==,2023-06-09 05:05:27.962521
