kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,_Mtn77DayF04K7iMRWIKiqcxquY,Ugx9QvgT_2hwnDe00EZ4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HQEWJWqofG_HG7QLHU9gHsYTYLA', 'id': 'Ugx9QvgT_2hwnDe00EZ4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'Filho, eu vivo fazendo perguntas ao meu Criador, o Senhor dos Exércitos de Anjos e ele me tem guiado as respostas que eu preciso ouvir,  não as que eu quero ouvir. Então, Deus me trouxe até você e eu Dou Glórias á Deus por essa Bênção de ouvir as respostas as perguntas que faço á Ele em segredo 🙇🙇🙇', 'textOriginal': 'Filho, eu vivo fazendo perguntas ao meu Criador, o Senhor dos Exércitos de Anjos e ele me tem guiado as respostas que eu preciso ouvir,  não as que eu quero ouvir. Então, Deus me trouxe até você e eu Dou Glórias á Deus por essa Bênção de ouvir as respostas as perguntas que faço á Ele em segredo 🙇🙇🙇', 'authorDisplayName': 'Rosana Célia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/hftaj5EVDiEe3nAsCioxWocztMeQsVENxW6tn4bp0m99Y_ZT4OWoEHySZFXZKPrqSXvwPK_u=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-RS6CwJ878jTlfPH_zThzQ', 'authorChannelId': {'value': 'UC-RS6CwJ878jTlfPH_zThzQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T14:56:26Z', 'updatedAt': '2022-10-24T14:56:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-RS6CwJ878jTlfPH_zThzQ,2022-10-24T14:56:26Z,"Filho, eu vivo fazendo perguntas ao meu Criador, o Senhor dos Exércitos de Anjos e ele me tem guiado as respostas que eu preciso ouvir,  não as que eu quero ouvir. Então, Deus me trouxe até você e eu Dou Glórias á Deus por essa Bênção de ouvir as respostas as perguntas que faço á Ele em segredo 🙇🙇🙇",,2023-06-09 05:06:54.087154
youtube#commentThread,IUh1Uz-SOecl-RnTCnfMfsKQxWo,UgyfekVdE34OuWWSIL14AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fJdU36q8G0qFNfJMZFrIzlqtrjA', 'id': 'UgyfekVdE34OuWWSIL14AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': '💖💖💖', 'textOriginal': '💖💖💖', 'authorDisplayName': 'Rosana Célia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/hftaj5EVDiEe3nAsCioxWocztMeQsVENxW6tn4bp0m99Y_ZT4OWoEHySZFXZKPrqSXvwPK_u=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-RS6CwJ878jTlfPH_zThzQ', 'authorChannelId': {'value': 'UC-RS6CwJ878jTlfPH_zThzQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T14:33:10Z', 'updatedAt': '2022-10-24T14:33:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-RS6CwJ878jTlfPH_zThzQ,2022-10-24T14:33:10Z,💖💖💖,,2023-06-09 05:06:54.087154
youtube#commentThread,zNAN2C0FlQkmraM9xfmRcMaA58A,UgxeMca-FhN-EyblNep4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'j1hDamlQAnOJ5IpELQB-Wn1SzlM', 'id': 'UgxeMca-FhN-EyblNep4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'Boa noite sou Elizabeth  moro em Caracaraí  RR', 'textOriginal': 'Boa noite sou Elizabeth  moro em Caracaraí  RR', 'authorDisplayName': 'Elizabeth Alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNXwX698dSFvsXx7oZwPBZIJ4o82FeBEmKRSBxB3g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCce4zD4Xhlgy7vQ41nl6MIA', 'authorChannelId': {'value': 'UCce4zD4Xhlgy7vQ41nl6MIA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T01:05:30Z', 'updatedAt': '2022-10-20T01:05:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCce4zD4Xhlgy7vQ41nl6MIA,2022-10-20T01:05:30Z,Boa noite sou Elizabeth  moro em Caracaraí  RR,,2023-06-09 05:06:54.087154
youtube#commentThread,HkMImu-1-A_xpyNlva4KDZbaPa0,UgyX0mta9fqdoIcxmrR4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'X358a8ltJIZftBGbfhjGJ03QkCk', 'id': 'UgyX0mta9fqdoIcxmrR4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'que Deus tenha misericórdia de nós.', 'textOriginal': 'que Deus tenha misericórdia de nós.', 'authorDisplayName': 'Elizabeth Rojek', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMn-p58Rhl1SdgimMDfBHJrE9vIAWz0FN1qCQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClk7qHAnuPxapsBenPE7TGQ', 'authorChannelId': {'value': 'UClk7qHAnuPxapsBenPE7TGQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T00:51:41Z', 'updatedAt': '2022-10-20T00:51:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClk7qHAnuPxapsBenPE7TGQ,2022-10-20T00:51:41Z,que Deus tenha misericórdia de nós.,,2023-06-09 05:06:54.087154
youtube#commentThread,zT5IUAH-veyN-7NKyWE9Yj2Qb7s,UgzrS9jHYkKgrHEkRPl4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3Nvp7bx-uxpMS7XNs0-Gh4b5f30', 'id': 'UgzrS9jHYkKgrHEkRPl4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'eu shirley falando de Curitiba Pr', 'textOriginal': 'eu shirley falando de Curitiba Pr', 'authorDisplayName': 'Shirley Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNZRZzDKtj5y2Q5THi4eyEcNMicZa3rBwJg4fYu=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9TbaXes_F6vxcumB4QshSQ', 'authorChannelId': {'value': 'UC9TbaXes_F6vxcumB4QshSQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T16:09:33Z', 'updatedAt': '2022-10-19T16:09:33Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'rSuSgLuSWcR4u2IVEkjxkJGow5Y', 'id': 'UgzrS9jHYkKgrHEkRPl4AaABAg.9hNCL37Gpv99hNCTlEmuVe', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'eu peço oração pela libertação do vício da bebida do meu esposo ADELAR de Matos', 'textOriginal': 'eu peço oração pela libertação do vício da bebida do meu esposo ADELAR de Matos', 'parentId': 'UgzrS9jHYkKgrHEkRPl4AaABAg', 'authorDisplayName': 'Shirley Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNZRZzDKtj5y2Q5THi4eyEcNMicZa3rBwJg4fYu=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9TbaXes_F6vxcumB4QshSQ', 'authorChannelId': {'value': 'UC9TbaXes_F6vxcumB4QshSQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T16:10:45Z', 'updatedAt': '2022-10-19T16:10:45Z'}}]}",UC9TbaXes_F6vxcumB4QshSQ,2022-10-19T16:09:33Z,eu shirley falando de Curitiba Pr,,2023-06-09 05:06:54.087154
youtube#commentThread,x9TTurY5_B9-GezgmoPPrm7FReo,Ugw1w8doGHYeen9pMYV4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'cN3XANNYf2ExY8UGCd3bkmqO-YU', 'id': 'Ugw1w8doGHYeen9pMYV4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'Glória a Deus pela cura da Amanda🙏🙏💞', 'textOriginal': 'Glória a Deus pela cura da Amanda🙏🙏💞', 'authorDisplayName': 'Aparecida Goncalves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOu0AaN27K8z9q-7H1uh-xyUETfHEiaVwoKLA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCut70AEMPmD8X_SxDzY8_MQ', 'authorChannelId': {'value': 'UCut70AEMPmD8X_SxDzY8_MQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T14:13:38Z', 'updatedAt': '2022-10-19T14:13:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCut70AEMPmD8X_SxDzY8_MQ,2022-10-19T14:13:38Z,Glória a Deus pela cura da Amanda🙏🙏💞,,2023-06-09 05:06:54.087154
youtube#commentThread,hOeKCnInlKseiptJFcpNHUBmzAI,UgwA9Xalt0dOKNJdshd4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '9_IW2C2R686c-QFsvCRDw6XOnDY', 'id': 'UgwA9Xalt0dOKNJdshd4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'Senhor Deus cura a nossa terra Senhor. <br>Que sua justiça aconteça em nossa nação Brasileira 🙏🇧🇷🇧🇷🙏', 'textOriginal': 'Senhor Deus cura a nossa terra Senhor. \\nQue sua justiça aconteça em nossa nação Brasileira 🙏🇧🇷🇧🇷🙏', 'authorDisplayName': 'Aparecida Goncalves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOu0AaN27K8z9q-7H1uh-xyUETfHEiaVwoKLA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCut70AEMPmD8X_SxDzY8_MQ', 'authorChannelId': {'value': 'UCut70AEMPmD8X_SxDzY8_MQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-19T14:07:07Z', 'updatedAt': '2022-10-19T14:07:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCut70AEMPmD8X_SxDzY8_MQ,2022-10-19T14:07:07Z,"Senhor Deus cura a nossa terra Senhor. 
Que sua justiça aconteça em nossa nação Brasileira 🙏🇧🇷🇧🇷🙏",,2023-06-09 05:06:54.087154
youtube#commentThread,_Iw_eDiWbfCiUirLDNfv6XcEjVE,UgwJQw77JC0sEe8k1ZJ4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '81xT13CGen_QvUni-HLy2Q8jp38', 'id': 'UgwJQw77JC0sEe8k1ZJ4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'Deus Pai todo poderoso. Te peço pela cura da minha sobrinha Natali,  restaura senhor a saúde dela, cura Senhor o sangue dela q tá doente,  ela tem anemia  plasmática.<br>O Senhor pode fazer o sangue dela novo!<br>Em nome de Jesus te peço por ela 🙏🙏', 'textOriginal': 'Deus Pai todo poderoso. Te peço pela cura da minha sobrinha Natali,  restaura senhor a saúde dela, cura Senhor o sangue dela q tá doente,  ela tem anemia  plasmática.\\nO Senhor pode fazer o sangue dela novo!\\nEm nome de Jesus te peço por ela 🙏🙏', 'authorDisplayName': 'Aparecida Goncalves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOu0AaN27K8z9q-7H1uh-xyUETfHEiaVwoKLA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCut70AEMPmD8X_SxDzY8_MQ', 'authorChannelId': {'value': 'UCut70AEMPmD8X_SxDzY8_MQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T14:06:08Z', 'updatedAt': '2022-10-19T14:06:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCut70AEMPmD8X_SxDzY8_MQ,2022-10-19T14:06:08Z,"Deus Pai todo poderoso. Te peço pela cura da minha sobrinha Natali,  restaura senhor a saúde dela, cura Senhor o sangue dela q tá doente,  ela tem anemia  plasmática.
O Senhor pode fazer o sangue dela novo!
Em nome de Jesus te peço por ela 🙏🙏",,2023-06-09 05:06:54.087154
youtube#commentThread,l24slToGLtDD0UnDnMUC6Q-KBZI,Ugz-43Mbn-hH2ptsSsd4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3Gfx7nSpQ4wWDhfdVWw4MCHMcCA', 'id': 'Ugz-43Mbn-hH2ptsSsd4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'DEUS AMADO SEI QUE DEVEMOS CONFIAR SOMENTE EM TE, MAS POR FAVOR EM NOME DE JESUS NÃO DEIXE QUE O HOMEM ERRADO SEJA COLOCADO NO GOVERNO SENHOR O OBRIGADA DEUS 🙏🙏🙏🙏🙏🙏', 'textOriginal': 'DEUS AMADO SEI QUE DEVEMOS CONFIAR SOMENTE EM TE, MAS POR FAVOR EM NOME DE JESUS NÃO DEIXE QUE O HOMEM ERRADO SEJA COLOCADO NO GOVERNO SENHOR O OBRIGADA DEUS 🙏🙏🙏🙏🙏🙏', 'authorDisplayName': '🌹 CLÁUDIA VALERIA 🌹', 'authorProfileImageUrl': 'https://yt3.ggpht.com/HhSt5asJDN7-YxYpff2XW4I3pTkFvTp_ZkN4LzFblKqc5k8t3K0LAccBB0PnPhaZm9-Y9Hi3=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCtRm-s__QjvvpImLCBX5vQ', 'authorChannelId': {'value': 'UCCtRm-s__QjvvpImLCBX5vQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T12:53:34Z', 'updatedAt': '2022-10-19T12:53:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCCtRm-s__QjvvpImLCBX5vQ,2022-10-19T12:53:34Z,"DEUS AMADO SEI QUE DEVEMOS CONFIAR SOMENTE EM TE, MAS POR FAVOR EM NOME DE JESUS NÃO DEIXE QUE O HOMEM ERRADO SEJA COLOCADO NO GOVERNO SENHOR O OBRIGADA DEUS 🙏🙏🙏🙏🙏🙏",,2023-06-09 05:06:54.087154
youtube#commentThread,KuhsaNV3M4q9ODffGiQoyvVx9pI,UgyFzBfhl9tpKmq7ZWd4AaABAg,"{'videoId': 'glkQDz33xEk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kinJ01RTpgLB959XUlSjapnC_60', 'id': 'UgyFzBfhl9tpKmq7ZWd4AaABAg', 'snippet': {'videoId': 'glkQDz33xEk', 'textDisplay': 'Amémmm Jesus que a sua vontade venha prevalecer no nosso Brasil sempre em nome de Jesus', 'textOriginal': 'Amémmm Jesus que a sua vontade venha prevalecer no nosso Brasil sempre em nome de Jesus', 'authorDisplayName': 'Marli Nascimento', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNu6gfYLcZkGLkI-BRTgpy6TCKJ3-hC4PnsQZbVDww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1bE3lYafmArGeu2k80cRFw', 'authorChannelId': {'value': 'UC1bE3lYafmArGeu2k80cRFw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-19T11:43:40Z', 'updatedAt': '2022-10-19T11:43:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1bE3lYafmArGeu2k80cRFw,2022-10-19T11:43:40Z,Amémmm Jesus que a sua vontade venha prevalecer no nosso Brasil sempre em nome de Jesus,,2023-06-09 05:06:54.087154
