kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,BXLilkXF_UmgIlFcdxsj3jX_GWQ,UgyXDGzVaJRUnowXdN94AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LIR9CkZq8nxk2flU0YNWAAWa9sU', 'id': 'UgyXDGzVaJRUnowXdN94AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'É hora dos puxa sacos se pronunciarem. <br>Reeleger este incompetente.<br>Está na hora de Jair pra casa.', 'textOriginal': 'É hora dos puxa sacos se pronunciarem. \\nReeleger este incompetente.\\nEstá na hora de Jair pra casa.', 'authorDisplayName': 'Genival Bettim', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMaRM7RGDaHp71qqBHXUvmda33yBRyn8gbkIw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbJdSu7khKxUAlRgyVYCx6Q', 'authorChannelId': {'value': 'UCbJdSu7khKxUAlRgyVYCx6Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T00:30:20Z', 'updatedAt': '2022-10-06T00:30:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbJdSu7khKxUAlRgyVYCx6Q,2022-10-06T00:30:20Z,"É hora dos puxa sacos se pronunciarem. 
Reeleger este incompetente.
Está na hora de Jair pra casa.",,2023-06-09 05:18:20.661776
youtube#commentThread,8z35qem733u5JY8kXyOXeWzPE6M,Ugxg3XljVykmKUx9VnF4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Cp9okd297Ib3RXNeXVRfZKS2ZR4', 'id': 'Ugxg3XljVykmKUx9VnF4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'O Bolsonaro não mandou bem, mas apoiar o Lula? O PT tava construindo uma ditadura no Brasil. O que foi o mensalão? O PT nada tem de democrático. Apoiar o Lula é tiro no pé. A Simone tinha futuro, poderia manter a neutralidade, se apressou e vai ter um desgaste no capital político alto.', 'textOriginal': 'O Bolsonaro não mandou bem, mas apoiar o Lula? O PT tava construindo uma ditadura no Brasil. O que foi o mensalão? O PT nada tem de democrático. Apoiar o Lula é tiro no pé. A Simone tinha futuro, poderia manter a neutralidade, se apressou e vai ter um desgaste no capital político alto.', 'authorDisplayName': 'Manoel Assis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMJiZkz3zPd2Bpe6vgELdJaKVIiBQSvNPY_mA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCndPqk7325FalawN8SUeqiQ', 'authorChannelId': {'value': 'UCndPqk7325FalawN8SUeqiQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T20:59:44Z', 'updatedAt': '2022-10-05T20:59:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCndPqk7325FalawN8SUeqiQ,2022-10-05T20:59:44Z,"O Bolsonaro não mandou bem, mas apoiar o Lula? O PT tava construindo uma ditadura no Brasil. O que foi o mensalão? O PT nada tem de democrático. Apoiar o Lula é tiro no pé. A Simone tinha futuro, poderia manter a neutralidade, se apressou e vai ter um desgaste no capital político alto.",,2023-06-09 05:18:20.661776
youtube#commentThread,hB3yJO7xL-rYLxMnOhRmdtWCMp8,UgyByjQODhudo6AxX9p4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'T2Un9fyZ3lo7XxIqxwWsukZL2Nc', 'id': 'UgyByjQODhudo6AxX9p4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'O povo vota em quem quiser. Eu votei no Ibaneis e no Lula. Ibaneis já venceu. Agora só falta o Lula/Alckmin 13 vencer novamente no segundo turno.', 'textOriginal': 'O povo vota em quem quiser. Eu votei no Ibaneis e no Lula. Ibaneis já venceu. Agora só falta o Lula/Alckmin 13 vencer novamente no segundo turno.', 'authorDisplayName': 'Joyce de Mello Meirelles', 'authorProfileImageUrl': 'https://yt3.ggpht.com/77sqm8A5MJLiLUnuvUQiVoDFQ6lLJo04H5GUE2E7o5mB63DXMvbridljnprD4cKxRg6TE4sY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCC4MBBayn01-HLlvYXT7IKQ', 'authorChannelId': {'value': 'UCC4MBBayn01-HLlvYXT7IKQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T18:21:35Z', 'updatedAt': '2022-10-05T18:21:35Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'PGSFxBoSGN3hQDSqZTc-RmAxGbs', 'id': 'UgyByjQODhudo6AxX9p4AaABAg.9goOJosQnU59gqhgAbA9UU', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'Seria melhor se vc tivesse votado no Grass e no Bolsonaro kkk', 'textOriginal': 'Seria melhor se vc tivesse votado no Grass e no Bolsonaro kkk', 'parentId': 'UgyByjQODhudo6AxX9p4AaABAg', 'authorDisplayName': 'Diego Trajano', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqORq3RyTiibZFi_xaM3ix0rk9KURSCuGD6oTw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCmJ370Axdsc-qp2vYRMqUeQ', 'authorChannelId': {'value': 'UCmJ370Axdsc-qp2vYRMqUeQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T15:58:01Z', 'updatedAt': '2022-10-06T15:58:01Z'}}]}",UCC4MBBayn01-HLlvYXT7IKQ,2022-10-05T18:21:35Z,O povo vota em quem quiser. Eu votei no Ibaneis e no Lula. Ibaneis já venceu. Agora só falta o Lula/Alckmin 13 vencer novamente no segundo turno.,,2023-06-09 05:18:20.661776
youtube#commentThread,NB_ghRSfT4hdAkkuLD-zzR6yHEw,Ugxmsp91SssuWnp5lS14AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pEsmiPj7DfGO4835vE5327fgVUE', 'id': 'Ugxmsp91SssuWnp5lS14AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'É um coração que não é de papel, é de papel-moeda. kkkk', 'textOriginal': 'É um coração que não é de papel, é de papel-moeda. kkkk', 'authorDisplayName': 'King of Bollywood', 'authorProfileImageUrl': 'https://yt3.ggpht.com/G0NYo2WnGWaQTjExuBv0DXtGp-FO2BLc6hWJbSzftxnulc51RK-GLae90hPqOa5ndhZMmW_AhA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE0SQHmmlxHfXs8kgvfcw9A', 'authorChannelId': {'value': 'UCE0SQHmmlxHfXs8kgvfcw9A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-05T16:41:03Z', 'updatedAt': '2022-10-05T16:41:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCE0SQHmmlxHfXs8kgvfcw9A,2022-10-05T16:41:03Z,"É um coração que não é de papel, é de papel-moeda. kkkk",,2023-06-09 05:18:20.661776
youtube#commentThread,4tNhoQ6GupeazlPaajaw3G37Qok,UgzdFhu758VCqXJpxMJ4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MKu8j23Vlr_9RjRLY0cCrY_vLY0', 'id': 'UgzdFhu758VCqXJpxMJ4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'Luladrao ganha nem pra síndico 😂😂<br>Omundo está com o mito 😎✌️', 'textOriginal': 'Luladrao ganha nem pra síndico 😂😂\\nOmundo está com o mito 😎✌️', 'authorDisplayName': 'LuAvaplay', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNVJs00j0xlGWtEjkQVyJDswEBgZXMzdh-AIUm3=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6a4GrYZhwgpoAVysNYS_5w', 'authorChannelId': {'value': 'UC6a4GrYZhwgpoAVysNYS_5w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T16:38:24Z', 'updatedAt': '2022-10-05T16:38:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6a4GrYZhwgpoAVysNYS_5w,2022-10-05T16:38:24Z,"Luladrao ganha nem pra síndico 😂😂
Omundo está com o mito 😎✌️",,2023-06-09 05:18:20.661776
youtube#commentThread,tw9WoVzNMzW-qwuxhzm9N-wPloo,UgwYXXmTm1zoQS-wumB4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GwpDcoTqpxUVNDX4RaMRL9Xixsg', 'id': 'UgwYXXmTm1zoQS-wumB4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'Kkk cara estranha deste homem', 'textOriginal': 'Kkk cara estranha deste homem', 'authorDisplayName': 'Antônio m t pires Pires', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPw6iYHo_3Y34wbuv94MZjPG8YefnU7rROx9ZLFEkWTYLblLmMRvx25s4jWXcbq=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgeCQzLQKLWZ1vp7Mak5MAA', 'authorChannelId': {'value': 'UCgeCQzLQKLWZ1vp7Mak5MAA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T16:36:54Z', 'updatedAt': '2022-10-05T16:36:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgeCQzLQKLWZ1vp7Mak5MAA,2022-10-05T16:36:54Z,Kkk cara estranha deste homem,,2023-06-09 05:18:20.661776
youtube#commentThread,zA9oM841GRxKRyanJeH17DjUW9M,UgzEIEohyHQC7wXosft4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-owviGVpbwZe1UODJbnET7tjIUo', 'id': 'UgzEIEohyHQC7wXosft4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'Pessoa de caráter, não se une a corrupto! Como Bolsonaro,  quadrilheiros, nem Lula, vagabundo ladrão, tinham que ficar neutro. 😡👎', 'textOriginal': 'Pessoa de caráter, não se une a corrupto! Como Bolsonaro,  quadrilheiros, nem Lula, vagabundo ladrão, tinham que ficar neutro. 😡👎', 'authorDisplayName': 'franciele novaes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMxkGYgChW6eNUfgZABJ4NBMZa30-KwYf_LdGhSpA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC15sc6pQ41f0dORFcBPnglg', 'authorChannelId': {'value': 'UC15sc6pQ41f0dORFcBPnglg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T16:33:12Z', 'updatedAt': '2022-10-05T16:33:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC15sc6pQ41f0dORFcBPnglg,2022-10-05T16:33:12Z,"Pessoa de caráter, não se une a corrupto! Como Bolsonaro,  quadrilheiros, nem Lula, vagabundo ladrão, tinham que ficar neutro. 😡👎",,2023-06-09 05:18:20.661776
youtube#commentThread,0n6TYdksfowBH-E1u7_sQThEcaM,UgzJfOskj-Vuw57aflt4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'nj6jx7xSl2Cr7DM5l5G0I7uKpzA', 'id': 'UgzJfOskj-Vuw57aflt4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'Quero mais que se explodam!!! Vergonha!!', 'textOriginal': 'Quero mais que se explodam!!! Vergonha!!', 'authorDisplayName': 'nidia vianna', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNAPG91jYqP01JRMsNHIAPqc-JWiVqrd71inh70JA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPSJ3JW0xsTQVKHXHzSBYBQ', 'authorChannelId': {'value': 'UCPSJ3JW0xsTQVKHXHzSBYBQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T16:24:31Z', 'updatedAt': '2022-10-05T16:24:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPSJ3JW0xsTQVKHXHzSBYBQ,2022-10-05T16:24:31Z,Quero mais que se explodam!!! Vergonha!!,,2023-06-09 05:18:20.661776
youtube#commentThread,VttvM0kY0S6Aw8lwMV_2P6ix410,UgxDHBv-RK6v3t_IxPd4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'qLG664zOOQJYrQmuv66JJ_x517E', 'id': 'UgxDHBv-RK6v3t_IxPd4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'O Brasil precisa de uniao para salvar SP e a Presidência do PT, senão vamos passar dificuldades  como os vizinhos da Argentina e da Venezuela.', 'textOriginal': 'O Brasil precisa de uniao para salvar SP e a Presidência do PT, senão vamos passar dificuldades  como os vizinhos da Argentina e da Venezuela.', 'authorDisplayName': 'Maria', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMSap2sMRZDaa6KG4z80mM_dU5YSSf9UQgiWFC8WQI2N0__S7erhuq77OLUVUwR=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOMKwZJ_25SCCKjGBOSa1Vw', 'authorChannelId': {'value': 'UCOMKwZJ_25SCCKjGBOSa1Vw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T16:17:07Z', 'updatedAt': '2022-10-05T16:17:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOMKwZJ_25SCCKjGBOSa1Vw,2022-10-05T16:17:07Z,"O Brasil precisa de uniao para salvar SP e a Presidência do PT, senão vamos passar dificuldades  como os vizinhos da Argentina e da Venezuela.",,2023-06-09 05:18:20.661776
youtube#commentThread,bcF8Sas3-0esJzUnIH2U86OlJ6E,UgxN2SY5YRL2bK8dS3x4AaABAg,"{'videoId': '5Fz4qQauquc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'G4urteHhdR8Xm9mGR1sTU5xONNw', 'id': 'UgxN2SY5YRL2bK8dS3x4AaABAg', 'snippet': {'videoId': '5Fz4qQauquc', 'textDisplay': 'Parabéns pelo apoio governo', 'textOriginal': 'Parabéns pelo apoio governo', 'authorDisplayName': 'Valdir Cosmo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPPoXB-0ZzL5ZAhrw_GnQBUIvCwuVuQ6mOEfzksLJq80yMundzmuWVkuAeRpSlz=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCu_AMMs4VHhk4YL4cjQRvpA', 'authorChannelId': {'value': 'UCu_AMMs4VHhk4YL4cjQRvpA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-05T16:14:02Z', 'updatedAt': '2022-10-05T16:14:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCu_AMMs4VHhk4YL4cjQRvpA,2022-10-05T16:14:02Z,Parabéns pelo apoio governo,,2023-06-09 05:18:20.661776
