kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,u-n6ty7UUGZC3LYf5bOaw7Nf38Y,UgzexLnxMa6Oj41ht9J4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'y6NaAml6yCNu0SjKDeiLaf3FNQw', 'id': 'UgzexLnxMa6Oj41ht9J4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'LINK DO CANAL DE ANA PAULA: <a href=""https://www.youtube.com/watch?v=BVkRzRCYhJk&amp;t=33s"">https://www.youtube.com/watch?v=BVkRzRCYhJk&amp;t=33s\\r</a><br>\\r<br>LINK DA COMPRA DO MEU LIVRO NOVO: <a href=""https://kotter.com.br/loja/mito-a-cronologia-do-caos-carlito-neto/"">https://kotter.com.br/loja/mito-a-cronologia-do-caos-carlito-neto/\\r</a><br>\\r<br>Link do Livro COMO AS DEMOCRACIAS MORREM: <a href=""https://amzn.to/39XcsvA"">https://amzn.to/39XcsvA\\r</a><br>\\r<br>Link do livro COMO FUNCIONA O FASCISMO: <a href=""https://amzn.to/364cgsi"">https://amzn.to/364cgsi\\r</a><br>\\r<br>Link do meu livro FALANDO DE POLITICA SEM POLITIQUÊS: <a href=""https://amzn.to/3bCSTtG"">https://amzn.to/3bCSTtG\\r</a><br>\\r<br>Link do meu livro <a href=""http://www.youtube.com/results?search_query=%23boravotar"">#BORAVOTAR</a>: <a href=""https://amzn.to/3qjgMLe"">https://amzn.to/3qjgMLe\\r</a><br>\\r<br>Link da versão digital do meu livro <a href=""http://www.youtube.com/results?search_query=%23boravotar"">#BORAVOTAR</a>: <a href=""https://amzn.to/3iaibkg"">https://amzn.to/3iaibkg\\r</a><br>\\r<br>LINK DO CURSO BÁSICO DE CIÊNCIA POLÍTICA: <a href=""https://go.hotmart.com/N35358306N?dp=1"">https://go.hotmart.com/N35358306N?dp=1\\r</a><br>\\r<br>CANAL CARLITO NETO (CANAL 02): <a href=""https://www.youtube.com/channel/UClJuNynkGxFeg4JSRr9SCGQ"">https://www.youtube.com/channel/UClJuNynkGxFeg4JSRr9SCGQ\\r</a><br>\\r<br>INFORMAÇÕES CITADAS NO VIDEO:\\r<br>\\r<br>\\r<br>LINK 01: <a href=""https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/07/prefeito-de-maceio-jch-troca-de-partido-para-apoiar-bolsonaro-no-2o-turno-das-eleicoes.ghtml"">https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/07/prefeito-de-maceio-jch-troca-de-partido-para-apoiar-bolsonaro-no-2o-turno-das-eleicoes.ghtml\\r</a><br>LINK 02: <a href=""https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/03/maceio-e-a-unica-capital-do-nordeste-com-maioria-dos-votos-em-bolsonaro-no-1o-turno.ghtml"">https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/03/maceio-e-a-unica-capital-do-nordeste-com-maioria-dos-votos-em-bolsonaro-no-1o-turno.ghtml\\r</a><br>LINK 03: <a href=""https://www.cadaminuto.com.br/noticia/2020/11/29/ao-lado-de-jhc-carlinhos-maia-pede-que-prefeito-eleito-olhe-por-bairros-carentes"">https://www.cadaminuto.com.br/noticia/2020/11/29/ao-lado-de-jhc-carlinhos-maia-pede-que-prefeito-eleito-olhe-por-bairros-carentes\\r</a><br>LINK 04: <a href=""https://extra.globo.com/noticias/brasil/eleicoes-2022/carlinhos-maia-declara-voto-em-lula-pede-nao-nos-decepcione-rv1-1-25581181.html"">https://extra.globo.com/noticias/brasil/eleicoes-2022/carlinhos-maia-declara-voto-em-lula-pede-nao-nos-decepcione-rv1-1-25581181.html</a>', 'textOriginal': 'LINK DO CANAL DE ANA PAULA: https://www.youtube.com/watch?v=BVkRzRCYhJk&t=33s\\r\\n\\r\\nLINK DA COMPRA DO MEU LIVRO NOVO: https://kotter.com.br/loja/mito-a-cronologia-do-caos-carlito-neto/\\r\\n\\r\\nLink do Livro COMO AS DEMOCRACIAS MORREM: https://amzn.to/39XcsvA\\r\\n\\r\\nLink do livro COMO FUNCIONA O FASCISMO: https://amzn.to/364cgsi\\r\\n\\r\\nLink do meu livro FALANDO DE POLITICA SEM POLITIQUÊS: https://amzn.to/3bCSTtG\\r\\n\\r\\nLink do meu livro #BORAVOTAR: https://amzn.to/3qjgMLe\\r\\n\\r\\nLink da versão digital do meu livro #BORAVOTAR: https://amzn.to/3iaibkg\\r\\n\\r\\nLINK DO CURSO BÁSICO DE CIÊNCIA POLÍTICA: https://go.hotmart.com/N35358306N?dp=1\\r\\n\\r\\nCANAL CARLITO NETO (CANAL 02): https://www.youtube.com/channel/UClJuNynkGxFeg4JSRr9SCGQ\\r\\n\\r\\nINFORMAÇÕES CITADAS NO VIDEO:\\r\\n\\r\\n\\r\\nLINK 01: https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/07/prefeito-de-maceio-jch-troca-de-partido-para-apoiar-bolsonaro-no-2o-turno-das-eleicoes.ghtml\\r\\nLINK 02: https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/03/maceio-e-a-unica-capital-do-nordeste-com-maioria-dos-votos-em-bolsonaro-no-1o-turno.ghtml\\r\\nLINK 03: https://www.cadaminuto.com.br/noticia/2020/11/29/ao-lado-de-jhc-carlinhos-maia-pede-que-prefeito-eleito-olhe-por-bairros-carentes\\r\\nLINK 04: https://extra.globo.com/noticias/brasil/eleicoes-2022/carlinhos-maia-declara-voto-em-lula-pede-nao-nos-decepcione-rv1-1-25581181.html', 'authorDisplayName': 'O Historiador', 'authorProfileImageUrl': 'https://yt3.ggpht.com/2_bb3nEThJYO_h60sTfLYZHR3_f6v_blGtiEro_68TFuoqhT_dMn_bwh3bbSMdtoTNDtzJir2FQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC5ZXYxeWlROKbL7JziJ0bIQ', 'authorChannelId': {'value': 'UC5ZXYxeWlROKbL7JziJ0bIQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 8, 'publishedAt': '2022-10-10T21:14:39Z', 'updatedAt': '2022-10-10T21:14:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC5ZXYxeWlROKbL7JziJ0bIQ,2022-10-10T21:14:39Z,"LINK DO CANAL DE ANA PAULA: https://www.youtube.com/watch?v=BVkRzRCYhJk&t=33s

LINK DA COMPRA DO MEU LIVRO NOVO: https://kotter.com.br/loja/mito-a-cronologia-do-caos-carlito-neto/

Link do Livro COMO AS DEMOCRACIAS MORREM: https://amzn.to/39XcsvA

Link do livro COMO FUNCIONA O FASCISMO: https://amzn.to/364cgsi

Link do meu livro FALANDO DE POLITICA SEM POLITIQUÊS: https://amzn.to/3bCSTtG

Link do meu livro #BORAVOTAR: https://amzn.to/3qjgMLe

Link da versão digital do meu livro #BORAVOTAR: https://amzn.to/3iaibkg

LINK DO CURSO BÁSICO DE CIÊNCIA POLÍTICA: https://go.hotmart.com/N35358306N?dp=1

CANAL CARLITO NETO (CANAL 02): https://www.youtube.com/channel/UClJuNynkGxFeg4JSRr9SCGQ

INFORMAÇÕES CITADAS NO VIDEO:


LINK 01: https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/07/prefeito-de-maceio-jch-troca-de-partido-para-apoiar-bolsonaro-no-2o-turno-das-eleicoes.ghtml
LINK 02: https://g1.globo.com/al/alagoas/eleicoes/2022/noticia/2022/10/03/maceio-e-a-unica-capital-do-nordeste-com-maioria-dos-votos-em-bolsonaro-no-1o-turno.ghtml
LINK 03: https://www.cadaminuto.com.br/noticia/2020/11/29/ao-lado-de-jhc-carlinhos-maia-pede-que-prefeito-eleito-olhe-por-bairros-carentes
LINK 04: https://extra.globo.com/noticias/brasil/eleicoes-2022/carlinhos-maia-declara-voto-em-lula-pede-nao-nos-decepcione-rv1-1-25581181.html",QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,XCsbSx1kEEjAV4cWqoPbLbk8D_0,UgyC88VooF3a1IdjumZ4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Q5G_KQKgbSS4jmA40UzIENaD05E', 'id': 'UgyC88VooF3a1IdjumZ4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'Kkkk kkkk', 'textOriginal': 'Kkkk kkkk', 'authorDisplayName': 'Lucas Menezes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOwQ-dgRsJYRyzm5SwmfzOMlpQcmwsYH7GrMw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2t4Dn6U6_rWRLane3FbmeQ', 'authorChannelId': {'value': 'UC2t4Dn6U6_rWRLane3FbmeQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-01-19T12:38:22Z', 'updatedAt': '2023-01-19T12:38:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2t4Dn6U6_rWRLane3FbmeQ,2023-01-19T12:38:22Z,Kkkk kkkk,QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,3ywPwsf7CiBliXGjthE3IOwxX7s,UgzbrNliN4aZJziQ1954AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'DLLdgphdegdffsJBsQKChAjb708', 'id': 'UgzbrNliN4aZJziQ1954AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'Maceió sempre foi o única cidade do nordeste menos petista não e a primeira vez que isso acontece..', 'textOriginal': 'Maceió sempre foi o única cidade do nordeste menos petista não e a primeira vez que isso acontece..', 'authorDisplayName': 'Daniele Rodrigues Rodrigues', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOe6Ve1bWR-IyEm6kaP4RIHPmyMjc3j8CSO-N2vG-w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCk_qmV4AOP2nSpnVpucAwow', 'authorChannelId': {'value': 'UCk_qmV4AOP2nSpnVpucAwow'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-25T02:50:57Z', 'updatedAt': '2022-10-25T02:50:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCk_qmV4AOP2nSpnVpucAwow,2022-10-25T02:50:57Z,Maceió sempre foi o única cidade do nordeste menos petista não e a primeira vez que isso acontece..,QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,q2wtH05OLlMNgfqCSPG6K-lEvCQ,UgxjgGWBF3OPkCE-YLh4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ShI7sbLQPhRN7JX_hhSjx8yKkwg', 'id': 'UgxjgGWBF3OPkCE-YLh4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'O dinheiro do orçamento  secreto dando os seus frutos', 'textOriginal': 'O dinheiro do orçamento  secreto dando os seus frutos', 'authorDisplayName': 'Any', 'authorProfileImageUrl': 'https://yt3.ggpht.com/u2QGxzmFI8BfyM1nPP3O7mVOM3pPA-uzJwAcQpK7DWLU7t0jxvtjs_zNd3X2XnSByY1ZJrx4tA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNeHOmsVNE0zglOD_D3jcDA', 'authorChannelId': {'value': 'UCNeHOmsVNE0zglOD_D3jcDA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T03:44:14Z', 'updatedAt': '2022-10-23T03:44:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNeHOmsVNE0zglOD_D3jcDA,2022-10-23T03:44:14Z,O dinheiro do orçamento  secreto dando os seus frutos,QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,YAUBlHq82wYFkZwroSkk0XX-L3k,Ugwywzpxbk-W4GNOi0V4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YFLaSFwbvHu-3wTITmwXknZ_iA8', 'id': 'Ugwywzpxbk-W4GNOi0V4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'Bolsonaro é autoritário de centro. Parem com essa bobeira de extrema direita', 'textOriginal': 'Bolsonaro é autoritário de centro. Parem com essa bobeira de extrema direita', 'authorDisplayName': 'Igor Monteiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPPqsj-rCCJB5LCJdzajyOovVSS1GQXwull2ZcMlA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCP_ZgiD71_JryS9FXx-PLXg', 'authorChannelId': {'value': 'UCP_ZgiD71_JryS9FXx-PLXg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-19T13:37:08Z', 'updatedAt': '2022-10-19T13:37:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCP_ZgiD71_JryS9FXx-PLXg,2022-10-19T13:37:08Z,Bolsonaro é autoritário de centro. Parem com essa bobeira de extrema direita,QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,OxHaRH6w17uDXWiBKqbbMYRti9M,UgzacRwr1VZzLoVYXbZ4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zpx-578npe6R_2rIZocEcWaxhvc', 'id': 'UgzacRwr1VZzLoVYXbZ4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'Mais um canalha. Esse energúmeno do COISO MINTO GENOCIDA só têm pessoas vis ao seu lado.<br><br>LULA PRESIDENTE 2022!', 'textOriginal': 'Mais um canalha. Esse energúmeno do COISO MINTO GENOCIDA só têm pessoas vis ao seu lado.\\n\\nLULA PRESIDENTE 2022!', 'authorDisplayName': 'Leda Aparecida Ferreira de Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMP9ljXEsgq7ddN4ShlTAi5tQe1x0bReHDWV6S3ZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6CBXM6qfCUVVOljlrpMt2g', 'authorChannelId': {'value': 'UC6CBXM6qfCUVVOljlrpMt2g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T00:03:31Z', 'updatedAt': '2022-10-19T00:03:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6CBXM6qfCUVVOljlrpMt2g,2022-10-19T00:03:31Z,"Mais um canalha. Esse energúmeno do COISO MINTO GENOCIDA só têm pessoas vis ao seu lado.

LULA PRESIDENTE 2022!",QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,RmyCab_LxvqoHUc41z5SnlV2e7k,Ugx4R4fzxytiI6lyjUt4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'teBVzH12GOnGuO4rsHDjLjrmviQ', 'id': 'Ugx4R4fzxytiI6lyjUt4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'JHC, TEM PEDIGREE FISIOLOGISTA NA POLÍTICA! CONHEÇA O PAI DELE!', 'textOriginal': 'JHC, TEM PEDIGREE FISIOLOGISTA NA POLÍTICA! CONHEÇA O PAI DELE!', 'authorDisplayName': 'Roberto Carlos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOXBPXMA12-r431IteTyPDK3rZHyS5QCNF00A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2UOYoTrQlTmV5lnjXGohMw', 'authorChannelId': {'value': 'UC2UOYoTrQlTmV5lnjXGohMw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-13T13:00:21Z', 'updatedAt': '2022-10-13T13:00:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2UOYoTrQlTmV5lnjXGohMw,2022-10-13T13:00:21Z,"JHC, TEM PEDIGREE FISIOLOGISTA NA POLÍTICA! CONHEÇA O PAI DELE!",QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,4pM299-zM6ydtU4H9nxHI47P_Yo,Ugw9Pjqh_KlaFTrNPvV4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'bM1cWt5DEyq_35AHEftJQP8xlls', 'id': 'Ugw9Pjqh_KlaFTrNPvV4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'Esse vai se arrepender muito em apoiar o BolsoLixo !!!', 'textOriginal': 'Esse vai se arrepender muito em apoiar o BolsoLixo !!!', 'authorDisplayName': 'Carlos Cunha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN1yHs-BfKFu6cFp8cBytf0NTwBNzx01iEcjR18pMM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1HRyOX0u4_W6dUZIbyNtQw', 'authorChannelId': {'value': 'UC1HRyOX0u4_W6dUZIbyNtQw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-12T12:28:34Z', 'updatedAt': '2022-10-12T12:28:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1HRyOX0u4_W6dUZIbyNtQw,2022-10-12T12:28:34Z,Esse vai se arrepender muito em apoiar o BolsoLixo !!!,QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,j12Stwj0rq5iwXXidBPFF6NDRz0,UgzKG670qcZM8_6NcTV4AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UTNKKhwmAF4cZ7ycUClHTYl7eN0', 'id': 'UgzKG670qcZM8_6NcTV4AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'Lula', 'textOriginal': 'Lula', 'authorDisplayName': 'Maria Luiza Cavalcante de Medeiros', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNbv4IzIR5vop4DwE-hnLQJbDUK85gDbK5I4l7eI0RHLeqh6DdXku5wJJ4OSyaH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCMJqg0JkzWCwH1c0dAO1fKQ', 'authorChannelId': {'value': 'UCMJqg0JkzWCwH1c0dAO1fKQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T11:41:14Z', 'updatedAt': '2022-10-12T11:41:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCMJqg0JkzWCwH1c0dAO1fKQ,2022-10-12T11:41:14Z,Lula,QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
youtube#commentThread,ChV1hjnP2wtl0fhC_ziWeRyfUVM,UgyjmRetr9j_8vsfDj14AaABAg,"{'videoId': 'Sewl3Nw9l20', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'b4sKtsNmCoXq5ZvNtwlqwFikqiw', 'id': 'UgyjmRetr9j_8vsfDj14AaABAg', 'snippet': {'videoId': 'Sewl3Nw9l20', 'textDisplay': 'Lula', 'textOriginal': 'Lula', 'authorDisplayName': 'Maria Luiza Cavalcante de Medeiros', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNbv4IzIR5vop4DwE-hnLQJbDUK85gDbK5I4l7eI0RHLeqh6DdXku5wJJ4OSyaH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCMJqg0JkzWCwH1c0dAO1fKQ', 'authorChannelId': {'value': 'UCMJqg0JkzWCwH1c0dAO1fKQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T11:40:27Z', 'updatedAt': '2022-10-12T11:40:27Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCMJqg0JkzWCwH1c0dAO1fKQ,2022-10-12T11:40:27Z,Lula,QURTSl9pM3FhajBFcmFUUXF2U1YxY2pLcU5ucVdfMFhmZW13NDBVTkkyUmVnSEw1OXdxQU9UOWVpbXpPaDVEaVVidnlvVXAxbDRqbGVhajRyUnFhLUlGX0dUSmx6cVhxN2c=,2023-06-09 05:23:54.783348
