kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,XBfbpg9xycyDeOboDE9UKWr28ck,UgxD_bkSQ2LZXB1vQbt4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tvQiOaDrguBKWz7168K50qRKJVM', 'id': 'UgxD_bkSQ2LZXB1vQbt4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Santinhos', 'textOriginal': 'Santinhos', 'authorDisplayName': 'Ueliton Emir da silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNT42Jentr1JYHIiPlHAYb4UTIzRTdtNPT8YgkMZhUFhauN2tSn3MEnxCdI7wv9=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCS-9VdOtxefvzPLqLxqMOtg', 'authorChannelId': {'value': 'UCS-9VdOtxefvzPLqLxqMOtg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-17T20:41:52Z', 'updatedAt': '2022-10-17T20:41:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCS-9VdOtxefvzPLqLxqMOtg,2022-10-17T20:41:52Z,Santinhos,QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,3uZIidCFIRx5ILf0BqcxY2YI1Ks,Ugzo_hfWfmiocj3f7fB4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3m-CxAdeb0CQhJKvBesxe-O3voI', 'id': 'Ugzo_hfWfmiocj3f7fB4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Estou em oração.', 'textOriginal': 'Estou em oração.', 'authorDisplayName': 'Queu💗🌹', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Y1y7aeQJkaT2A7stlnG7bm9mIw4OVQ0T6wsUFttgnaTTZ87Z6PFUl08N9Dliwh9haWhVu9rQkMg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwGB3gJTplH_hSHgK77fJCg', 'authorChannelId': {'value': 'UCwGB3gJTplH_hSHgK77fJCg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-13T22:36:03Z', 'updatedAt': '2022-10-13T22:36:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwGB3gJTplH_hSHgK77fJCg,2022-10-13T22:36:03Z,Estou em oração.,QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,4TORcZqGytbw_F0TFrcTo4DZt5o,UgxeGh1X05IZMAVGd4x4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mlpZ-zDb0Lpcr8jBRUXTKajMYoY', 'id': 'UgxeGh1X05IZMAVGd4x4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': '22sim', 'textOriginal': '22sim', 'authorDisplayName': 'Joaquim Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO0tGcS2PIjgVdwhffC_HcXnmigV_Pty4lz8OEb04ycKs1wriWZc4GXwRt41kfm=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYYMeUvUWCaXX4OCs6bDufg', 'authorChannelId': {'value': 'UCYYMeUvUWCaXX4OCs6bDufg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-11T11:42:36Z', 'updatedAt': '2022-10-11T11:42:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYYMeUvUWCaXX4OCs6bDufg,2022-10-11T11:42:36Z,22sim,QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,4diZAKLQIZwoxn1GufOObmibrhY,UgwpCY2kUSDUdjU5mnR4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'eyhATWMGbLHJWq4jVSgqi1VSuI4', 'id': 'UgwpCY2kUSDUdjU5mnR4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Foi tudo Fraude, só não,  enxerga quem não quer. Fakim Alexandre de Moraes e barroso, o boca de veludo...', 'textOriginal': 'Foi tudo Fraude, só não,  enxerga quem não quer. Fakim Alexandre de Moraes e barroso, o boca de veludo...', 'authorDisplayName': 'Maria Gloria Comarela', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMVTFavmV2fTY5bNAR6SbEySW0coDhAaVo571Zdwpc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCBkX55vrh6SXzYl8CizEu_g', 'authorChannelId': {'value': 'UCBkX55vrh6SXzYl8CizEu_g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-11T07:17:20Z', 'updatedAt': '2022-10-11T07:17:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCBkX55vrh6SXzYl8CizEu_g,2022-10-11T07:17:20Z,"Foi tudo Fraude, só não,  enxerga quem não quer. Fakim Alexandre de Moraes e barroso, o boca de veludo...",QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,O7pnSkBc-jR0brsOR6xz12Gcn6g,UgwnxxgfS8veCFEh6mx4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'yoMv-duw3MjzuGL3_Nxt2mrUgVs', 'id': 'UgwnxxgfS8veCFEh6mx4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Tô com tanto ranço do lula,do Ciro e da tebet', 'textOriginal': 'Tô com tanto ranço do lula,do Ciro e da tebet', 'authorDisplayName': 'Erica Lopes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNdkGQa9bgbepJ3PDbg_J-UONEWUVrEof9ETbOZmqoLV45CyqPovdkum9R_dCeB=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuKJtXsSIKRV7-nW0eoCJUw', 'authorChannelId': {'value': 'UCuKJtXsSIKRV7-nW0eoCJUw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T22:44:37Z', 'updatedAt': '2022-10-10T22:44:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuKJtXsSIKRV7-nW0eoCJUw,2022-10-10T22:44:37Z,"Tô com tanto ranço do lula,do Ciro e da tebet",QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,tjhMa22RtgpdA8Ty1EAIraBZPZs,Ugy-2bfRfz1zNOUrr8F4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'z64yz5LuPZ3WYjtJXeJ-a0VeV3I', 'id': 'Ugy-2bfRfz1zNOUrr8F4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Bolsonario', 'textOriginal': 'Bolsonario', 'authorDisplayName': 'Rosalina Menezes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM1xd9MGjcfG-okFa4vkjIgY3eX9-NiCyJAMw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKi7lyFPszHBnNQPmXK_RoA', 'authorChannelId': {'value': 'UCKi7lyFPszHBnNQPmXK_RoA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T15:02:54Z', 'updatedAt': '2022-10-10T15:02:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKi7lyFPszHBnNQPmXK_RoA,2022-10-10T15:02:54Z,Bolsonario,QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,lxCKhE3qyc_QW1Ovs5rA-cplqhg,UgyT4PZvHk1jyb9ovod4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'u9pYLDu-J8xpKXnF4MLfQYJTZsc', 'id': 'UgyT4PZvHk1jyb9ovod4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Verdade.deus  e di abesoar', 'textOriginal': 'Verdade.deus  e di abesoar', 'authorDisplayName': 'Ana Ferreira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOB5yJC9U7_0VoWXOdAFRs1Sf03D4VdDExI4A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCdW1eYt6asBsae5n7fbRs3A', 'authorChannelId': {'value': 'UCdW1eYt6asBsae5n7fbRs3A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T22:20:05Z', 'updatedAt': '2022-10-09T22:20:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCdW1eYt6asBsae5n7fbRs3A,2022-10-09T22:20:05Z,Verdade.deus  e di abesoar,QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,B0Mj4pJbCT9WgDGEUKY0pD_PaJs,UgzafFluNRGHB93itdx4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'u5xZ6usR1fPklwfg1_bMBMO2QqA', 'id': 'UgzafFluNRGHB93itdx4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Sou.  Nodestina junto com. Bosonaro', 'textOriginal': 'Sou.  Nodestina junto com. Bosonaro', 'authorDisplayName': 'Ana Ferreira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOB5yJC9U7_0VoWXOdAFRs1Sf03D4VdDExI4A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCdW1eYt6asBsae5n7fbRs3A', 'authorChannelId': {'value': 'UCdW1eYt6asBsae5n7fbRs3A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T22:19:03Z', 'updatedAt': '2022-10-09T22:19:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCdW1eYt6asBsae5n7fbRs3A,2022-10-09T22:19:03Z,Sou.  Nodestina junto com. Bosonaro,QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,3BF2RRo1iKramUAqW1n_1SRW9wQ,UgwJWvj9Z8eDK9Ksrnd4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Z0VUYhnNypVq5D2JcCY3qqi3y4g', 'id': 'UgwJWvj9Z8eDK9Ksrnd4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Fiuza amei o que você  falou,eu também  tenho um pé  atrás  com essa gente,esse moro com vozinha fina me poupe,eu sou mais você  Fiuza,o outro está  com bondade no coração  acorda veinho.', 'textOriginal': 'Fiuza amei o que você  falou,eu também  tenho um pé  atrás  com essa gente,esse moro com vozinha fina me poupe,eu sou mais você  Fiuza,o outro está  com bondade no coração  acorda veinho.', 'authorDisplayName': 'sandy arts', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOpO9HWsXnbIeTre4ukX95_O5FcluX_7cN8fw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjIIQCKfypRTpr8H1-M-_SA', 'authorChannelId': {'value': 'UCjIIQCKfypRTpr8H1-M-_SA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T18:07:01Z', 'updatedAt': '2022-10-09T18:07:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCjIIQCKfypRTpr8H1-M-_SA,2022-10-09T18:07:01Z,"Fiuza amei o que você  falou,eu também  tenho um pé  atrás  com essa gente,esse moro com vozinha fina me poupe,eu sou mais você  Fiuza,o outro está  com bondade no coração  acorda veinho.",QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
youtube#commentThread,6L3FnNRm5Ww-12VtYftflq3kevQ,UgyNxCCFmKqzlxW94SR4AaABAg,"{'videoId': 'RZPOLDZ0Sl8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1hhg4ERUTIClvtrDT4fF0tJF3lM', 'id': 'UgyNxCCFmKqzlxW94SR4AaABAg', 'snippet': {'videoId': 'RZPOLDZ0Sl8', 'textDisplay': 'Garcia ganho meu respeito correu pelo certo nao como muitos hipócritas que senta a madeira e depois apoia o errado o ladrão', 'textOriginal': 'Garcia ganho meu respeito correu pelo certo nao como muitos hipócritas que senta a madeira e depois apoia o errado o ladrão', 'authorDisplayName': 'Clayton Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOCei13rJK547DvDxSlZ-a4ztFyqmj_9sZQeA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCY8N98MKDu_tOG6Of7_U5Cg', 'authorChannelId': {'value': 'UCY8N98MKDu_tOG6Of7_U5Cg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T17:23:31Z', 'updatedAt': '2022-10-09T17:23:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCY8N98MKDu_tOG6Of7_U5Cg,2022-10-09T17:23:31Z,Garcia ganho meu respeito correu pelo certo nao como muitos hipócritas que senta a madeira e depois apoia o errado o ladrão,QURTSl9pM3dNM3lXeG1XNHdOOFJyZzgxbmk2RjFBYmdJNnBvV09lUjBhczUxVnR0Vy1sZzV5eUxLcHZiRm54QVpiby0xMTFoOTFoUWwwWQ==,2023-06-09 06:09:38.281058
