kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,3c2LetOCWitwOqYXzJmRae5_o2w,Ugz1dZ4jjhPuld_YUrF4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'U00rrXPAktos_CkjWRXtoyUjFzM', 'id': 'Ugz1dZ4jjhPuld_YUrF4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': '🌟 As opções que temos para um Brasil próspero e feliz é Lula ou Lula 1️⃣3️⃣<br>🏘 🌳 🌴', 'textOriginal': '🌟 As opções que temos para um Brasil próspero e feliz é Lula ou Lula 1️⃣3️⃣\\n🏘 🌳 🌴', 'authorDisplayName': 'G S', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM_bbw3nimcgTlVQ__5to9NPkUoMIWSOjp3KDIca00=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCVFQn-hGzWc3EHGg3JWScw', 'authorChannelId': {'value': 'UCCVFQn-hGzWc3EHGg3JWScw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T09:29:43Z', 'updatedAt': '2022-10-05T09:29:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCCVFQn-hGzWc3EHGg3JWScw,2022-10-05T09:29:43Z,"🌟 As opções que temos para um Brasil próspero e feliz é Lula ou Lula 1️⃣3️⃣
🏘 🌳 🌴",QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,Cgy2MizY7pJYOKjfByGFLYzXgaM,UgwgeSCSWGS5Lq5mdyB4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'wGQ3P_FXJ-LtK86vI3CWZ_jxn1s', 'id': 'UgwgeSCSWGS5Lq5mdyB4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'Eu sou lula eu quero em nome do pai e do filho lulala amem', 'textOriginal': 'Eu sou lula eu quero em nome do pai e do filho lulala amem', 'authorDisplayName': 'Maria José do Nascimento', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPv-M6jCCiU20x-oKp-86GzIHaXtBKsN35zBQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2YnIRhDSero8r1egOKMEog', 'authorChannelId': {'value': 'UC2YnIRhDSero8r1egOKMEog'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T01:56:12Z', 'updatedAt': '2022-10-05T01:56:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2YnIRhDSero8r1egOKMEog,2022-10-05T01:56:12Z,Eu sou lula eu quero em nome do pai e do filho lulala amem,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,T4KqzBG5XSHy1BdxuhT3LrvJpYk,UgxZHWhScNFDayMdi1l4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'neITBRTeAfMyzIAAzBYo4fpRcrg', 'id': 'UgxZHWhScNFDayMdi1l4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'VAMOS PRA CIMA É LULA 13 ❤️ FORA GENOCIDA DA MAÇONARIA DEMONIACA.', 'textOriginal': 'VAMOS PRA CIMA É LULA 13 ❤️ FORA GENOCIDA DA MAÇONARIA DEMONIACA.', 'authorDisplayName': 'Peter  Jackson ', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMXTPIi9UEdRrm7MHYjKNjBXXe8OP4ya8vewi3ZSWJkO_glNEeq-PXFBZiVQlpe=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCn93C37bdtIrBXW6mEBN42Q', 'authorChannelId': {'value': 'UCn93C37bdtIrBXW6mEBN42Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-04T18:17:35Z', 'updatedAt': '2022-10-04T18:17:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCn93C37bdtIrBXW6mEBN42Q,2022-10-04T18:17:35Z,VAMOS PRA CIMA É LULA 13 ❤️ FORA GENOCIDA DA MAÇONARIA DEMONIACA.,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,EdskT_UJpGrber9VSdiHeNgZEF0,Ugx4sv4MfSk7DpcM2xt4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '41FjnSquXTZCHQch3FgtOtngLTE', 'id': 'Ugx4sv4MfSk7DpcM2xt4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'Eu também faço dia 27 de outubro e sou petista de ❤️', 'textOriginal': 'Eu também faço dia 27 de outubro e sou petista de ❤️', 'authorDisplayName': 'Regina Macedo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO-Qvw9N-7QzPZlFopzBjqekroH_aLyU7IshLn16jBurxoIx6zhjugsB4EvfNIZ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1O5gOq2S8W5xGZUJuq-dOg', 'authorChannelId': {'value': 'UC1O5gOq2S8W5xGZUJuq-dOg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T15:03:04Z', 'updatedAt': '2022-10-04T15:03:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1O5gOq2S8W5xGZUJuq-dOg,2022-10-04T15:03:04Z,Eu também faço dia 27 de outubro e sou petista de ❤️,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,BpbF1c1IBHZ1Vt-rd2kfuwROsf0,UgwYkxIEO06uhEER7CJ4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5TBC0YPqNx91Yyv7FXF9cJC3N8k', 'id': 'UgwYkxIEO06uhEER7CJ4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'Lula guerreiro..uma força sem igual', 'textOriginal': 'Lula guerreiro..uma força sem igual', 'authorDisplayName': 'Lúcia Mack', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOsuPQJHOKUyEjoxqi53sv8fEA4bhNcLFUi=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCBzADsJvGniU1-eL7VTBVxw', 'authorChannelId': {'value': 'UCBzADsJvGniU1-eL7VTBVxw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T14:33:51Z', 'updatedAt': '2022-10-04T14:33:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCBzADsJvGniU1-eL7VTBVxw,2022-10-04T14:33:51Z,Lula guerreiro..uma força sem igual,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,7ANCTAgCmga952Lw1Yq6Kxu-dcc,UgxTtyKCOEsyqyTwkGh4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sFxH9evq4ErCP-WVAH1r76jwJIk', 'id': 'UgxTtyKCOEsyqyTwkGh4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'Vamos ganhar !...Somos do bem e temos o ❤️ vermelho!', 'textOriginal': 'Vamos ganhar !...Somos do bem e temos o ❤️ vermelho!', 'authorDisplayName': 'Valeria Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO2ADJzi86OSim_eHzoVyNC4hBIWe2Jr5Bfw6lzkw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCw5ptN4F8U3MDKb15YRb0zw', 'authorChannelId': {'value': 'UCw5ptN4F8U3MDKb15YRb0zw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T13:37:16Z', 'updatedAt': '2022-10-04T13:37:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCw5ptN4F8U3MDKb15YRb0zw,2022-10-04T13:37:16Z,Vamos ganhar !...Somos do bem e temos o ❤️ vermelho!,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,e39xaA2gNx7Qj5ceAQ3P1DsuTwc,UgzQAHaHBvhInmBniRR4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'vxSqebcFG_Me48c7pD7kekHsbak', 'id': 'UgzQAHaHBvhInmBniRR4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'Parabéns presidente.conte com toda região nordeste. Pode contar que essa é sua.', 'textOriginal': 'Parabéns presidente.conte com toda região nordeste. Pode contar que essa é sua.', 'authorDisplayName': 'Nadir Araujo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMCWQy6MLUYjWMQUieTlYvneHKjsuqNJmcVM8vxNzKqwvmStzPd_OuQLJVbAMwo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTKzYMEF4GQErdkAs9VrfOg', 'authorChannelId': {'value': 'UCTKzYMEF4GQErdkAs9VrfOg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T12:34:53Z', 'updatedAt': '2022-10-04T12:34:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTKzYMEF4GQErdkAs9VrfOg,2022-10-04T12:34:53Z,Parabéns presidente.conte com toda região nordeste. Pode contar que essa é sua.,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,OX4crLl969xVzY7wB64wYQ28kzA,UgzBC-7zEUxRLlw8eIR4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'cp__m2NKaXBahyHU0TTCHb2-NGY', 'id': 'UgzBC-7zEUxRLlw8eIR4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'Meu presidente lula', 'textOriginal': 'Meu presidente lula', 'authorDisplayName': 'Lusivaldo Marques', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPKlW7UkEB8ORm20DxPbeJGWxKqrwjH2XUdMA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChENkLTzvV1VVCcZT85knsQ', 'authorChannelId': {'value': 'UChENkLTzvV1VVCcZT85knsQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T08:48:49Z', 'updatedAt': '2022-10-04T08:48:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChENkLTzvV1VVCcZT85knsQ,2022-10-04T08:48:49Z,Meu presidente lula,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,xewgjdB879bNnn7F72KQvJCdLuM,Ugx6rMi7YcTUTBSzoAF4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '8Vgk0gQcjSyvobITu0s9DcakHE8', 'id': 'Ugx6rMi7YcTUTBSzoAF4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': '😁🚩13🌟LULA LÁ ❗JUNTOS🤝🤝🤝 LEVANTAREMOS 💪💪💪A TAÇA  DA VITORIA.❤🇧🇷❤🌳🌴🤩🤩🤩🤩🤩🤩🤩🤩🇧🇷🚩', 'textOriginal': '😁🚩13🌟LULA LÁ ❗JUNTOS🤝🤝🤝 LEVANTAREMOS 💪💪💪A TAÇA  DA VITORIA.❤🇧🇷❤🌳🌴🤩🤩🤩🤩🤩🤩🤩🤩🇧🇷🚩', 'authorDisplayName': 'Vera Fernandes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNH_oyiKBKejDn4XwXnDNLUnppQBmO-008EoA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6rIkPG0GaAmqcT3Mx_HVgQ', 'authorChannelId': {'value': 'UC6rIkPG0GaAmqcT3Mx_HVgQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T06:06:19Z', 'updatedAt': '2022-10-04T06:06:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6rIkPG0GaAmqcT3Mx_HVgQ,2022-10-04T06:06:19Z,😁🚩13🌟LULA LÁ ❗JUNTOS🤝🤝🤝 LEVANTAREMOS 💪💪💪A TAÇA  DA VITORIA.❤🇧🇷❤🌳🌴🤩🤩🤩🤩🤩🤩🤩🤩🇧🇷🚩,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
youtube#commentThread,SgKsRo9ttUxhzgq4PZrnq3PghJU,UgyFSk2wYJYAt7wcxcF4AaABAg,"{'videoId': 'GM2q5xINVsE', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LJ2fF6hWwKNa7h9j45sZemb9y3o', 'id': 'UgyFSk2wYJYAt7wcxcF4AaABAg', 'snippet': {'videoId': 'GM2q5xINVsE', 'textDisplay': 'Para a felicidade do povo brasileiro você está disposto a fazer campanha', 'textOriginal': 'Para a felicidade do povo brasileiro você está disposto a fazer campanha', 'authorDisplayName': 'Fernanda da Costa Fernandes Mendes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMKc0y7zNRCsR4dNilG5mKUESg0RVMYlc-LCJrhkv4=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNW0zgVTfxSMWsgOq0stsdQ', 'authorChannelId': {'value': 'UCNW0zgVTfxSMWsgOq0stsdQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-04T04:51:00Z', 'updatedAt': '2022-10-04T04:51:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNW0zgVTfxSMWsgOq0stsdQ,2022-10-04T04:51:00Z,Para a felicidade do povo brasileiro você está disposto a fazer campanha,QURTSl9pMUZ4QXhaQkhiWDNDZTFKM1Y0YzQ4bEU3cE9MNmYwM3c4WVBtbkRWUlVuTG5oQlIxSURBZjJkcnBBQjNUNnNRdFFGNEFWN18yMA==,2023-06-09 11:11:55.483008
