kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,JvVU7RSzc4D5CmQ7NqZ1U5EkJpA,Ugx1Tzx1ZyWNNkuiu0p4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SANaOKQfr0BrLfU1TUPUJ6clP6E', 'id': 'Ugx1Tzx1ZyWNNkuiu0p4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'Oi, eu posso ter ido um pouco longe', 'textOriginal': 'Oi, eu posso ter ido um pouco longe', 'authorDisplayName': 'Aline Sanchez Ramirez Baruchi', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPRPwtGAGoirbz0ObEkSumVVl7Txy46kVn7Xl9WjsEl4GdK_dDLilb2jxcqS3vZ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZ2Eidp7sEp9Coqwo9WmO2A', 'authorChannelId': {'value': 'UCZ2Eidp7sEp9Coqwo9WmO2A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-01T19:02:39Z', 'updatedAt': '2022-11-01T19:02:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZ2Eidp7sEp9Coqwo9WmO2A,2022-11-01T19:02:39Z,"Oi, eu posso ter ido um pouco longe",,2023-06-09 11:23:11.067230
youtube#commentThread,cKLR5JR1T4V9lozNgD5ulCyorQU,UgwqY_uVux_UY-O72LJ4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FbrgBfJxru2_6QUeP8ei4rRpqow', 'id': 'UgwqY_uVux_UY-O72LJ4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'É 22', 'textOriginal': 'É 22', 'authorDisplayName': 'Ruthy Saraiva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOTTPvfdeR3S-SpdV_FA8vQyQ7LHh5RPq3kqswSZpo4qfuP2sCSuL4oPMxkZg0O=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCzQleAt5fFlOp34ti4QBeOQ', 'authorChannelId': {'value': 'UCzQleAt5fFlOp34ti4QBeOQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T22:08:33Z', 'updatedAt': '2022-10-27T22:08:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCzQleAt5fFlOp34ti4QBeOQ,2022-10-27T22:08:33Z,É 22,,2023-06-09 11:23:11.067230
youtube#commentThread,ustOz-kdlWqM-s7LYOe7GJFCcQ0,UgyiAhgDvh5abJRXPFZ4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pmuaw6oQAwY-3YclT4VaHiVIETA', 'id': 'UgyiAhgDvh5abJRXPFZ4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'Bolsonaro 22', 'textOriginal': 'Bolsonaro 22', 'authorDisplayName': 'Zuleide Soares', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMGxrV1b-PVFZC0igtIv4BXmPXNTMXCXJw4o-axIA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCt9EnQdh2L8IalNCWr9R4Hg', 'authorChannelId': {'value': 'UCt9EnQdh2L8IalNCWr9R4Hg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-27T00:57:06Z', 'updatedAt': '2022-10-27T00:57:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCt9EnQdh2L8IalNCWr9R4Hg,2022-10-27T00:57:06Z,Bolsonaro 22,,2023-06-09 11:23:11.067230
youtube#commentThread,JMniUU1HKOfOQf8wT3VP3aBj3a4,UgzjQoQSAZhVCgXGzjp4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'phoHIQKBiHweDmBvZnsuSXZKex8', 'id': 'UgzjQoQSAZhVCgXGzjp4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': '👍🇧🇷 <a href=""http://www.youtube.com/results?search_query=%23virabrasil"">#ViraBrasil</a>', 'textOriginal': '👍🇧🇷 #ViraBrasil', 'authorDisplayName': 'Valéria Menezes de Sousa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ksE65-ZUFXH_iAiaKCXlEqpkZkTMDRPngtoGlQ11cy84CieSQ1gQkC8HBj8IN3Sjo3x6Dtf-Svk=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCMAhQ2sI7HGF2sPhuplgziQ', 'authorChannelId': {'value': 'UCMAhQ2sI7HGF2sPhuplgziQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-25T07:47:56Z', 'updatedAt': '2022-10-25T07:47:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCMAhQ2sI7HGF2sPhuplgziQ,2022-10-25T07:47:56Z,👍🇧🇷 #ViraBrasil,,2023-06-09 11:23:11.067230
youtube#commentThread,mkfV6K8cB6P4fMERJL6ULqLtwh8,UgxXZg9-_YL091DA1Mt4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YTTgmuWVshVoQuP57qv4pASjRHo', 'id': 'UgxXZg9-_YL091DA1Mt4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': '22 BOLSONARO TOP TOP TOP DEMAIS NUNCA VI IGUAL ESSE SIM É UM PRESIDENTE DE RESPEITO    SOU PERNAMBUCANO E SOU BOLSONARO O MELHOR VOTO DA MINHA VIDA.', 'textOriginal': '22 BOLSONARO TOP TOP TOP DEMAIS NUNCA VI IGUAL ESSE SIM É UM PRESIDENTE DE RESPEITO    SOU PERNAMBUCANO E SOU BOLSONARO O MELHOR VOTO DA MINHA VIDA.', 'authorDisplayName': 'Menezes Mêne', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqObqa4JbJP9h8Ofpik42d5-XRooOEhNNgIScQfRTQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_9krnk9UAYb-CH9_mBOELw', 'authorChannelId': {'value': 'UC_9krnk9UAYb-CH9_mBOELw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-25T00:35:11Z', 'updatedAt': '2022-10-25T00:35:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_9krnk9UAYb-CH9_mBOELw,2022-10-25T00:35:11Z,22 BOLSONARO TOP TOP TOP DEMAIS NUNCA VI IGUAL ESSE SIM É UM PRESIDENTE DE RESPEITO    SOU PERNAMBUCANO E SOU BOLSONARO O MELHOR VOTO DA MINHA VIDA.,,2023-06-09 11:23:11.067230
youtube#commentThread,0hqXSTQvBWAmemnk3uKCAB6LS0Q,UgzNkxWtl3GdA0ixZTt4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'qJvqbGG0UJfOEzIKqAOHZvv78ak', 'id': 'UgzNkxWtl3GdA0ixZTt4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': '22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️', 'textOriginal': '22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️', 'authorDisplayName': 'Vancleide Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/PaKO9erWo5uOrEfuSUXXaQ-D2oMvzop6jagQLeTZ0ZXriKNR05k4gJ9ZtYyiCrETSO5wM7K3=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_IXquyqbhVP9VFkrDSyqTQ', 'authorChannelId': {'value': 'UC_IXquyqbhVP9VFkrDSyqTQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-10-24T18:05:34Z', 'updatedAt': '2022-10-24T18:05:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_IXquyqbhVP9VFkrDSyqTQ,2022-10-24T18:05:34Z,22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️,,2023-06-09 11:23:11.067230
youtube#commentThread,VUDRyuuqJTQ_mDCrzxuLrb2mLvs,UgwQbGIVH1hPHd2KS8R4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'T-aSA9fjNS3GvZ2EwzLoKuAeEj0', 'id': 'UgwQbGIVH1hPHd2KS8R4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': '🙏🇧🇷😎', 'textOriginal': '🙏🇧🇷😎', 'authorDisplayName': 'Fabricio Pinheiro Nunes da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/-Kvwx73scj1sUch1-5VGXoICiIJdDQdUUHLoc9L6gL9-MDNSWAaw6h-9GZDDsRpx1XPjL7OEquo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXwe1UvTnKdxWA2VkY-WsxA', 'authorChannelId': {'value': 'UCXwe1UvTnKdxWA2VkY-WsxA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 7, 'publishedAt': '2022-10-24T16:26:38Z', 'updatedAt': '2022-10-24T16:26:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXwe1UvTnKdxWA2VkY-WsxA,2022-10-24T16:26:38Z,🙏🇧🇷😎,,2023-06-09 11:23:11.067230
youtube#commentThread,1VBi5l-oMpA5pyf3N98yMfeLIDg,UgyfaZlLKwXIcqfLzSx4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Hkb7GLdDCbbmiDR83Wettmau9Rs', 'id': 'UgyfaZlLKwXIcqfLzSx4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': '22🇧🇷💛💚🇧🇷 LIBERDADE, Não a censura', 'textOriginal': '22🇧🇷💛💚🇧🇷 LIBERDADE, Não a censura', 'authorDisplayName': 'Emanuel PowerMax', 'authorProfileImageUrl': 'https://yt3.ggpht.com/VloHTDHWLTYq9BRLmDfNgacOR2N5qjRrECyId_VlQ6p7Z45iwTF3O7P5T-tMSINxEnzbd-Xki6o=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCLnTziKrVvESW6EmUk9ZCTg', 'authorChannelId': {'value': 'UCLnTziKrVvESW6EmUk9ZCTg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 12, 'publishedAt': '2022-10-24T16:00:20Z', 'updatedAt': '2022-10-24T16:00:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCLnTziKrVvESW6EmUk9ZCTg,2022-10-24T16:00:20Z,"22🇧🇷💛💚🇧🇷 LIBERDADE, Não a censura",,2023-06-09 11:23:11.067230
youtube#commentThread,ACOaZCbPbnIXjUH4tIrEbOs1dDU,UgwZJYjQtKhAZ5yqSCN4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QX_36IMj_C4LSnsKcoWDMbBS1mI', 'id': 'UgwZJYjQtKhAZ5yqSCN4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'A policial  Karina que Jerferson atingiu estava grávida. Isso é a liberdade que Bolsonaro quer. Liberdade de violência, de agressão, de perseguição contra fiéis, liberdade para os empresários cometerem abusos eleitorais. É isso o que ele quer.', 'textOriginal': 'A policial  Karina que Jerferson atingiu estava grávida. Isso é a liberdade que Bolsonaro quer. Liberdade de violência, de agressão, de perseguição contra fiéis, liberdade para os empresários cometerem abusos eleitorais. É isso o que ele quer.', 'authorDisplayName': 'NãoDigaQueNãoAvisei', 'authorProfileImageUrl': 'https://yt3.ggpht.com/4INq6TB71_7muWEJOq5CrB_12QNRHBuKYANG4Q1Tctx41CGbpJxDlAmO9B3k8x87IBYi3mK1fiE=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkkGP5j-74o6QkG8Bw5xwLQ', 'authorChannelId': {'value': 'UCkkGP5j-74o6QkG8Bw5xwLQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-24T15:51:31Z', 'updatedAt': '2022-10-24T15:51:31Z'}}, 'canReply': True, 'totalReplyCount': 6, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': '_V0wrhlwYS-zCIXfy5-xisR17Cs', 'id': 'UgwZJYjQtKhAZ5yqSCN4AaABAg.9h_2FIyaQby9hfHvhZ3xqz', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'na moral, tu é burro p krl hahahhahahhah qual é a relação do Jefferson com Bolsonaro ? SUA ANTAAA', 'textOriginal': 'na moral, tu é burro p krl hahahhahahhah qual é a relação do Jefferson com Bolsonaro ? SUA ANTAAA', 'parentId': 'UgwZJYjQtKhAZ5yqSCN4AaABAg', 'authorDisplayName': 'libertatis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/_a5BZaqAkOfeLqwwpds1Z0mxPaD85xYDg1dMPbhAl75RSLVb3gskCPWoJphPhPLXXi3vkaffWGQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwfv0TqQiH7lpKb8enjsqzw', 'authorChannelId': {'value': 'UCwfv0TqQiH7lpKb8enjsqzw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T02:03:57Z', 'updatedAt': '2022-10-27T02:03:57Z'}}, {'kind': 'youtube#comment', 'etag': '74kCRsDRuGNAeChAOGFKqCwT8sM', 'id': 'UgwZJYjQtKhAZ5yqSCN4AaABAg.9h_2FIyaQby9h_zNgS19HJ', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'OS AMIGOS DO LULA SÃO OS MAIORES DITADORES.. VC SABE O QUE É ISSO? VAI ESTUDAR MEU CARO AO INVES DE FALAR ASNEIRAS.', 'textOriginal': 'OS AMIGOS DO LULA SÃO OS MAIORES DITADORES.. VC SABE O QUE É ISSO? VAI ESTUDAR MEU CARO AO INVES DE FALAR ASNEIRAS.', 'parentId': 'UgwZJYjQtKhAZ5yqSCN4AaABAg', 'authorDisplayName': 'Menezes Mêne', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqObqa4JbJP9h8Ofpik42d5-XRooOEhNNgIScQfRTQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_9krnk9UAYb-CH9_mBOELw', 'authorChannelId': {'value': 'UC_9krnk9UAYb-CH9_mBOELw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T00:36:57Z', 'updatedAt': '2022-10-25T00:36:57Z'}}, {'kind': 'youtube#comment', 'etag': 'LkQ4G3OLUGs7J0hXwosw2V9dCos', 'id': 'UgwZJYjQtKhAZ5yqSCN4AaABAg.9h_2FIyaQby9h_N-KNt65z', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'BOLSONARO AGORA É CULPADO ATÉ PELOS.OUTROS.<br><br>SAIA DESSA BOLHA', 'textOriginal': 'BOLSONARO AGORA É CULPADO ATÉ PELOS.OUTROS.\\n\\nSAIA DESSA BOLHA', 'parentId': 'UgwZJYjQtKhAZ5yqSCN4AaABAg', 'authorDisplayName': 'Francisco Americo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPYQe9n6TS-Z6VFEowrfC17vzjoYKm05_E10o0PL9RAeW0ly3oK1X5JaTQoIQds=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGWpPLCBBVLRra7o5-Dn5Jg', 'authorChannelId': {'value': 'UCGWpPLCBBVLRra7o5-Dn5Jg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-10-24T18:52:50Z', 'updatedAt': '2022-10-24T18:52:50Z'}}, {'kind': 'youtube#comment', 'etag': '4FRMKKy44kUP-VdkfRubnKLGfaI', 'id': 'UgwZJYjQtKhAZ5yqSCN4AaABAg.9h_2FIyaQby9h_FuMPGGsI', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'Vai comer capim', 'textOriginal': 'Vai comer capim', 'parentId': 'UgwZJYjQtKhAZ5yqSCN4AaABAg', 'authorDisplayName': 'Julio Gomes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP1qeI-sQBrmjeehpkAbCut9C96PzlA10Mjq8ff-w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYV0Rgu9aroz9wTyPKDWujw', 'authorChannelId': {'value': 'UCYV0Rgu9aroz9wTyPKDWujw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T17:50:51Z', 'updatedAt': '2022-10-24T17:50:51Z'}}, {'kind': 'youtube#comment', 'etag': 'EHdhpjsBESvznQJ4x7m19zudASo', 'id': 'UgwZJYjQtKhAZ5yqSCN4AaABAg.9h_2FIyaQby9h_C_2WE3sx', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'Liberdade de violência já tem no país STF não deixa polícia subir morro.<br>Perseguição contra fiéis e templos tbm, 2 igrejas tiveram seu templo destruído num espaço de 1 mês, pela galerinha do bem da esquerda. Liberdade empresarial é pra empreender e crescer o país com micro e pequenas empresas, quem força trabalhadores a ir votar num determinado candidato são esses sindicatos aparelhados.<br>Um tem proposta, o outro apenas faz ataques, e nada tem pra economia e ainda foge de debates chaves. <br>Tá difícil ou não escolher um lado?', 'textOriginal': 'Liberdade de violência já tem no país STF não deixa polícia subir morro.\\nPerseguição contra fiéis e templos tbm, 2 igrejas tiveram seu templo destruído num espaço de 1 mês, pela galerinha do bem da esquerda. Liberdade empresarial é pra empreender e crescer o país com micro e pequenas empresas, quem força trabalhadores a ir votar num determinado candidato são esses sindicatos aparelhados.\\nUm tem proposta, o outro apenas faz ataques, e nada tem pra economia e ainda foge de debates chaves. \\nTá difícil ou não escolher um lado?', 'parentId': 'UgwZJYjQtKhAZ5yqSCN4AaABAg', 'authorDisplayName': 'Memphis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/wrA5EWJSuj-FzdsdxcpWMYcjhvoEyStb3Q0JGjT5wGjob9ob6hkOS5eUiZK6eVpXD6J0mBhSGYQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCz3syiTaZlQ5BdO-u88cGnQ', 'authorChannelId': {'value': 'UCz3syiTaZlQ5BdO-u88cGnQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 5, 'publishedAt': '2022-10-24T17:21:44Z', 'updatedAt': '2022-10-24T17:21:44Z'}}]}",UCkkGP5j-74o6QkG8Bw5xwLQ,2022-10-24T15:51:31Z,"A policial  Karina que Jerferson atingiu estava grávida. Isso é a liberdade que Bolsonaro quer. Liberdade de violência, de agressão, de perseguição contra fiéis, liberdade para os empresários cometerem abusos eleitorais. É isso o que ele quer.",,2023-06-09 11:23:11.067230
youtube#commentThread,DFu8_gvF8btqJjaHk9zoBfaTiuI,Ugzdo49uJVzmiIcVtTx4AaABAg,"{'videoId': 'V_lifBdbW-g', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'lwMYzzzvuovkqFiCo8mKQFody8E', 'id': 'Ugzdo49uJVzmiIcVtTx4AaABAg', 'snippet': {'videoId': 'V_lifBdbW-g', 'textDisplay': 'Para Cima Capitão Bolsonaro 🪖', 'textOriginal': 'Para Cima Capitão Bolsonaro 🪖', 'authorDisplayName': 'João Antônio Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOgS6lNb7A6A45--u_IzDbmwd7Sh9FKD663-GeM8Pk=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcx1Nk3VYDbmHKjU8NP7vaQ', 'authorChannelId': {'value': 'UCcx1Nk3VYDbmHKjU8NP7vaQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 9, 'publishedAt': '2022-10-24T15:46:30Z', 'updatedAt': '2022-10-24T15:46:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCcx1Nk3VYDbmHKjU8NP7vaQ,2022-10-24T15:46:30Z,Para Cima Capitão Bolsonaro 🪖,,2023-06-09 11:23:11.067230
