kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,rupMjvwZ-qCTK6N6C3bpsfTiQFo,UgzIU1UCBwohPDWz_aZ4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'b1jtdFIlWC-ScCdEql1jIvHSj34', 'id': 'UgzIU1UCBwohPDWz_aZ4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Eu estou feliz por te ouvir e entender .Agora sinto que a vida voltou ao normal. Somos mais que vencedores.', 'textOriginal': 'Eu estou feliz por te ouvir e entender .Agora sinto que a vida voltou ao normal. Somos mais que vencedores.', 'authorDisplayName': 'Elenice Camargo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO3epmeAAqQtHkdtrRAgd85sVsr4ZO7nMyYUg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXtY1Tzgoqj1k88LFVoZiLg', 'authorChannelId': {'value': 'UCXtY1Tzgoqj1k88LFVoZiLg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-26T20:01:53Z', 'updatedAt': '2023-04-26T20:01:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXtY1Tzgoqj1k88LFVoZiLg,2023-04-26T20:01:53Z,Eu estou feliz por te ouvir e entender .Agora sinto que a vida voltou ao normal. Somos mais que vencedores.,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,Ulf6N-WOAsMnKC6iw8i3EC6OkjI,Ugx9xWM4p6RetESWPRN4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Knj5s_pJPxDQknHSG43_TP0HslY', 'id': 'Ugx9xWM4p6RetESWPRN4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Sim tudo bem .', 'textOriginal': 'Sim tudo bem .', 'authorDisplayName': 'Elenice Camargo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO3epmeAAqQtHkdtrRAgd85sVsr4ZO7nMyYUg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXtY1Tzgoqj1k88LFVoZiLg', 'authorChannelId': {'value': 'UCXtY1Tzgoqj1k88LFVoZiLg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-04-26T19:53:05Z', 'updatedAt': '2023-04-26T19:53:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXtY1Tzgoqj1k88LFVoZiLg,2023-04-26T19:53:05Z,Sim tudo bem .,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,UCr9flZfxnAjJ_4lfaRAsgRJ28s,UgzKRK4ThOir0HCyzk54AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'X4UeFhEdJPhK--cXgP5N0YapT80', 'id': 'UgzKRK4ThOir0HCyzk54AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Boa tarde !', 'textOriginal': 'Boa tarde !', 'authorDisplayName': 'Maria da Graça Amaral Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOVHhbrxY61Wc3esGB-4ILCd_2MPbljEhwBng=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHle3sZQoc--lHt0mYHqBRg', 'authorChannelId': {'value': 'UCHle3sZQoc--lHt0mYHqBRg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-06T20:34:15Z', 'updatedAt': '2023-04-06T20:34:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHle3sZQoc--lHt0mYHqBRg,2023-04-06T20:34:15Z,Boa tarde !,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,TQ4NI9dvnjBgen3UmJPcTMyuC5U,UgwfxVYDxVYxzNm8N_d4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'CgZ8Ji-Btgy9ypfA7XmIYgx85BU', 'id': 'UgwfxVYDxVYxzNm8N_d4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Muita emoção 🎉❤👏👏👏👏👏👏👏👏👏👏👏', 'textOriginal': 'Muita emoção 🎉❤👏👏👏👏👏👏👏👏👏👏👏', 'authorDisplayName': '@ Flor do Dia 👉', 'authorProfileImageUrl': 'https://yt3.ggpht.com/H4VL-iSrrIKXSTHpidCQ0vXra9j-7z9dLt7RZKgM0UbSBdjtEUxsyMwTAxcNQQKLGUJmvZPP1h8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCv7cQWPcH-K5R8su-6wyQcg', 'authorChannelId': {'value': 'UCv7cQWPcH-K5R8su-6wyQcg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-02T16:51:37Z', 'updatedAt': '2023-04-02T16:51:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCv7cQWPcH-K5R8su-6wyQcg,2023-04-02T16:51:37Z,Muita emoção 🎉❤👏👏👏👏👏👏👏👏👏👏👏,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,59MFV5l9UR0cMBoQKg6WBh65mkI,UgxJ61L4nbXmAguTNdV4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'XZ60wYYZ4wNeU7pmMbDdJxuXT3k', 'id': 'UgxJ61L4nbXmAguTNdV4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Estou  assistindo novamente o vídeo  para relembrar a minha grande alegria  na hora que saiu o resultado que tanto esperava, meu grito de liberdade e que naquele momento   queria PAZ🙏🏻🙏🏻🙏🏻 para o Brasil,parabéns  para nós.', 'textOriginal': 'Estou  assistindo novamente o vídeo  para relembrar a minha grande alegria  na hora que saiu o resultado que tanto esperava, meu grito de liberdade e que naquele momento   queria PAZ🙏🏻🙏🏻🙏🏻 para o Brasil,parabéns  para nós.', 'authorDisplayName': 'Gardblue', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOt8px6NJTxCnVwV9ZIybOKf02gjCTzF0Xk2A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCh3va8JIOPKrZqe8rb9PkFg', 'authorChannelId': {'value': 'UCh3va8JIOPKrZqe8rb9PkFg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-21T05:11:43Z', 'updatedAt': '2023-02-21T05:11:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCh3va8JIOPKrZqe8rb9PkFg,2023-02-21T05:11:43Z,"Estou  assistindo novamente o vídeo  para relembrar a minha grande alegria  na hora que saiu o resultado que tanto esperava, meu grito de liberdade e que naquele momento   queria PAZ🙏🏻🙏🏻🙏🏻 para o Brasil,parabéns  para nós.",QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,CMsvGPibaWCnHZZB0kaIFVjlpzk,UgzMWbGxFHvniQMKRrZ4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'wXv3-StJek-p_8U8DNaO2BBm25g', 'id': 'UgzMWbGxFHvniQMKRrZ4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Vencemos 🙌❤🙏', 'textOriginal': 'Vencemos 🙌❤🙏', 'authorDisplayName': '@ Flor do Dia 👉', 'authorProfileImageUrl': 'https://yt3.ggpht.com/H4VL-iSrrIKXSTHpidCQ0vXra9j-7z9dLt7RZKgM0UbSBdjtEUxsyMwTAxcNQQKLGUJmvZPP1h8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCv7cQWPcH-K5R8su-6wyQcg', 'authorChannelId': {'value': 'UCv7cQWPcH-K5R8su-6wyQcg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-02T13:07:46Z', 'updatedAt': '2023-02-02T13:07:46Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCv7cQWPcH-K5R8su-6wyQcg,2023-02-02T13:07:46Z,Vencemos 🙌❤🙏,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,7ipMO6w6g4iJH7mVYj8FK4qauyA,Ugzb4iRClM8Ih5j_0A14AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2Gh22pfFNtkWpGkJdqg-DIfOc4I', 'id': 'Ugzb4iRClM8Ih5j_0A14AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Boa, estou em ❤João Pessoa-Pb!', 'textOriginal': 'Boa, estou em ❤João Pessoa-Pb!', 'authorDisplayName': 'José Alves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOvaYq-cILDoD2Jx2rtXcdHzdHWmj14RBz4vA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCM83gzMeH8-xRBJH1lXW7Yg', 'authorChannelId': {'value': 'UCM83gzMeH8-xRBJH1lXW7Yg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-17T13:29:28Z', 'updatedAt': '2023-01-17T13:29:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCM83gzMeH8-xRBJH1lXW7Yg,2023-01-17T13:29:28Z,"Boa, estou em ❤João Pessoa-Pb!",QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,nVkastU_B99RWYEcha9gMB3Hv5A,Ugzifnt7Y6cF3gFyvhJ4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5csxdyy-q-WlyMyVMFN-Fjn4hOw', 'id': 'Ugzifnt7Y6cF3gFyvhJ4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Oi professor boa tarde .por favor da um um toque no pimenta pra chamar o janones pra ser parte da comunicação', 'textOriginal': 'Oi professor boa tarde .por favor da um um toque no pimenta pra chamar o janones pra ser parte da comunicação', 'authorDisplayName': 'zete silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNsqNIUz_rC-kKbHYhq9niKYb254DsTXwSycEz_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHewq-pcbXOVm7rrO4ilgYw', 'authorChannelId': {'value': 'UCHewq-pcbXOVm7rrO4ilgYw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-31T19:55:00Z', 'updatedAt': '2022-12-31T19:55:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHewq-pcbXOVm7rrO4ilgYw,2022-12-31T19:55:00Z,Oi professor boa tarde .por favor da um um toque no pimenta pra chamar o janones pra ser parte da comunicação,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,CAz0XVj5TquyaPZAHRFo5TdWp6Q,Ugz5J1zW0-UaQ9SKo1x4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'P3P5I8zUt6ck_Z4EHmCTh1VYNvc', 'id': 'Ugz5J1zW0-UaQ9SKo1x4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'BOA NOITE PROFESSOR  MUSTO BOM  O SINAL  ALCIDES JUSTINO NATAL RN FELIZ  ANO NOVO  PRA TODOS  NOZ ABRAÇO', 'textOriginal': 'BOA NOITE PROFESSOR  MUSTO BOM  O SINAL  ALCIDES JUSTINO NATAL RN FELIZ  ANO NOVO  PRA TODOS  NOZ ABRAÇO', 'authorDisplayName': 'Alcides Justino', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP-hLIMEqbXLFtwMiJGmjBdyy3tvuAOkG0Mgw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCjOE0LBp32shsJYxhVAQ_0g', 'authorChannelId': {'value': 'UCjOE0LBp32shsJYxhVAQ_0g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-30T23:14:44Z', 'updatedAt': '2022-12-30T23:14:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCjOE0LBp32shsJYxhVAQ_0g,2022-12-30T23:14:44Z,BOA NOITE PROFESSOR  MUSTO BOM  O SINAL  ALCIDES JUSTINO NATAL RN FELIZ  ANO NOVO  PRA TODOS  NOZ ABRAÇO,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
youtube#commentThread,v0ZWF9Nbuf1J4wtrDrNosY8RIJA,Ugw0xgEiwSGxzFkXftd4AaABAg,"{'videoId': 'o6V-eCIQaFM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MeFTlkoMqGrS5gX4RGNNWltJklc', 'id': 'Ugw0xgEiwSGxzFkXftd4AaABAg', 'snippet': {'videoId': 'o6V-eCIQaFM', 'textDisplay': 'Em Minas Gerais está tudo bem Ipatinga tá um tempo frio mas tá chovendo muito aqui não tá chovendo hoje não mas à noite choveu mas o sono tá maravilhoso tá aí embaixo então é maravilhoso você tá maravilhoso graças a Deus nós estamos com muita saúde para poder agradecer a Deus a nossa luta graças a Deus o lula agora é pedir a Deus misericórdia que ele seja feliz no dia da Posse né um abração para vocês todos aí Somos Todos PT', 'textOriginal': 'Em Minas Gerais está tudo bem Ipatinga tá um tempo frio mas tá chovendo muito aqui não tá chovendo hoje não mas à noite choveu mas o sono tá maravilhoso tá aí embaixo então é maravilhoso você tá maravilhoso graças a Deus nós estamos com muita saúde para poder agradecer a Deus a nossa luta graças a Deus o lula agora é pedir a Deus misericórdia que ele seja feliz no dia da Posse né um abração para vocês todos aí Somos Todos PT', 'authorDisplayName': 'Elza Azevedo de Lima', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMQRvZnVo2IqNyQQQhwwj-FgrWitbgPFQ42RQ8HbNZbqBuzAIztYBWTD2RPECdT=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0reTZmP3iZKSanfc11xvTQ', 'authorChannelId': {'value': 'UC0reTZmP3iZKSanfc11xvTQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-23T17:16:24Z', 'updatedAt': '2022-12-23T17:16:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0reTZmP3iZKSanfc11xvTQ,2022-12-23T17:16:24Z,Em Minas Gerais está tudo bem Ipatinga tá um tempo frio mas tá chovendo muito aqui não tá chovendo hoje não mas à noite choveu mas o sono tá maravilhoso tá aí embaixo então é maravilhoso você tá maravilhoso graças a Deus nós estamos com muita saúde para poder agradecer a Deus a nossa luta graças a Deus o lula agora é pedir a Deus misericórdia que ele seja feliz no dia da Posse né um abração para vocês todos aí Somos Todos PT,QURTSl9pM1BKZ2ZzY0ZWaXNWcFNqT3NQd3drZUhaVkhKVmtCNXgyVDBpSXNVYUgyVG9Tc2ZsRlZ3dnUyT1lPTjM5cWQxMl9lV1JyaS1rRQ==,2023-06-09 11:44:09.547242
