kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,KTMJo71_gRgl8Z1-vKdrQrRBTgA,UgxNvcmXeCo4Xh1GQzJ4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ljxl2-mK-cBviH43UQOEsZQ8sWM', 'id': 'UgxNvcmXeCo4Xh1GQzJ4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'ATENÇÃO ELEITORES DE MARCELO RAMOS ELE CHAMA A SEUS ELEITORES DE FEDORENTOS , MANAUS-AM..', 'textOriginal': 'ATENÇÃO ELEITORES DE MARCELO RAMOS ELE CHAMA A SEUS ELEITORES DE FEDORENTOS , MANAUS-AM..', 'authorDisplayName': 'endrio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/sa8vbucz481CPWKSoM6uuNWoqV_L-h4sP72KV359V6PmUoURJ56VxY_4RvMeiTioz_Dxn2wRLwQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeS7QKBcr5vrI1P2Car9NHw', 'authorChannelId': {'value': 'UCeS7QKBcr5vrI1P2Car9NHw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-13T17:22:49Z', 'updatedAt': '2022-12-13T17:22:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCeS7QKBcr5vrI1P2Car9NHw,2022-12-13T17:22:49Z,"ATENÇÃO ELEITORES DE MARCELO RAMOS ELE CHAMA A SEUS ELEITORES DE FEDORENTOS , MANAUS-AM..",,2023-06-09 12:17:48.645805
youtube#commentThread,o0BnqegcNsGosBwub68JfXDc-2Y,Ugzi3Xb-7fNuAKnflsR4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-pLQObgQeS1RO0FFd0itlIu3eoc', 'id': 'Ugzi3Xb-7fNuAKnflsR4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'A FALACIA DESSA COMENTARISTA NÃO   E VERDADE.', 'textOriginal': 'A FALACIA DESSA COMENTARISTA NÃO   E VERDADE.', 'authorDisplayName': 'endrio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/sa8vbucz481CPWKSoM6uuNWoqV_L-h4sP72KV359V6PmUoURJ56VxY_4RvMeiTioz_Dxn2wRLwQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeS7QKBcr5vrI1P2Car9NHw', 'authorChannelId': {'value': 'UCeS7QKBcr5vrI1P2Car9NHw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-13T17:18:36Z', 'updatedAt': '2022-12-13T17:18:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCeS7QKBcr5vrI1P2Car9NHw,2022-12-13T17:18:36Z,A FALACIA DESSA COMENTARISTA NÃO   E VERDADE.,,2023-06-09 12:17:48.645805
youtube#commentThread,3kPpRWwjpKHjwoqvHrZzOpMLWmc,UgzqMGEEQKcEdv-DZqh4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NWhGsh1tTzyDmIgu9U53BJQhOm4', 'id': 'UgzqMGEEQKcEdv-DZqh4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Como você vai aceitar urnas fladafads', 'textOriginal': 'Como você vai aceitar urnas fladafads', 'authorDisplayName': 'Maria Tinoco', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO10S8qZRNlm9TxDxglvR9znZN9APYrwl547MHmmHQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHlcLGrg8fRv1wa3LZreBsQ', 'authorChannelId': {'value': 'UCHlcLGrg8fRv1wa3LZreBsQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-10T17:25:44Z', 'updatedAt': '2022-12-10T17:25:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHlcLGrg8fRv1wa3LZreBsQ,2022-12-10T17:25:44Z,Como você vai aceitar urnas fladafads,,2023-06-09 12:17:48.645805
youtube#commentThread,MMSpjYjO6V4KpnwPfGsvre-6Mks,Ugya-2geSV_IwdxoZWJ4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ntg1h4JwfuLVLELOiGwCBsdthdo', 'id': 'Ugya-2geSV_IwdxoZWJ4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Isso é mentira', 'textOriginal': 'Isso é mentira', 'authorDisplayName': 'Maria Tinoco', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO10S8qZRNlm9TxDxglvR9znZN9APYrwl547MHmmHQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCHlcLGrg8fRv1wa3LZreBsQ', 'authorChannelId': {'value': 'UCHlcLGrg8fRv1wa3LZreBsQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-10T17:25:17Z', 'updatedAt': '2022-12-10T17:25:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCHlcLGrg8fRv1wa3LZreBsQ,2022-12-10T17:25:17Z,Isso é mentira,,2023-06-09 12:17:48.645805
youtube#commentThread,wCn6iLiRvEe-cnT_NNTafgTL1V0,Ugw93HBxx836yPkjZj54AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'n1NRSL8zeq4_jXnf2ovWemGz3vo', 'id': 'Ugw93HBxx836yPkjZj54AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Vão ter q respeitar roubo? Onde isso é democracia?', 'textOriginal': 'Vão ter q respeitar roubo? Onde isso é democracia?', 'authorDisplayName': 'Yuri', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPm-1ZcQJXNGcDALEsVaxPJhaBJVeM3uUMP2oHJaA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-Iav6F8emVBkZtKJ5wKC4g', 'authorChannelId': {'value': 'UC-Iav6F8emVBkZtKJ5wKC4g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-11-08T08:56:18Z', 'updatedAt': '2022-11-08T08:56:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC-Iav6F8emVBkZtKJ5wKC4g,2022-11-08T08:56:18Z,Vão ter q respeitar roubo? Onde isso é democracia?,,2023-06-09 12:17:48.645805
youtube#commentThread,yCD5ti0vlxU5W7CxUOF0GSJwUfw,Ugwh77WffwKE4wFYRaJ4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ZgL-mqPPj4038LwQzyM9OSqpdUw', 'id': 'Ugwh77WffwKE4wFYRaJ4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Fake News, o exército já desmentiu na jovem pan, e vai processar o estadão, vão acabar rodando tbm', 'textOriginal': 'Fake News, o exército já desmentiu na jovem pan, e vai processar o estadão, vão acabar rodando tbm', 'authorDisplayName': 'Evelaine Torres - (D)Epiladora profissional', 'authorProfileImageUrl': 'https://yt3.ggpht.com/UHT87qsr_srm969TY89nYjm0k051Dewyg322z90zoQJIO5QsuiEB9RUkBCnmzNMhgxOQ8sn7AA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPgbQDGFSZFFTc4VsfisI7Q', 'authorChannelId': {'value': 'UCPgbQDGFSZFFTc4VsfisI7Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-05T22:09:04Z', 'updatedAt': '2022-11-05T22:09:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPgbQDGFSZFFTc4VsfisI7Q,2022-11-05T22:09:04Z,"Fake News, o exército já desmentiu na jovem pan, e vai processar o estadão, vão acabar rodando tbm",,2023-06-09 12:17:48.645805
youtube#commentThread,qAecbakkd4YT4nLtVZ-8dHPFu84,UgwsmtXjdRgrgNo2xmd4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'q4Un34dLsiU6Mcr6fk-DNLNWy68', 'id': 'UgwsmtXjdRgrgNo2xmd4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Não acredito, ainda mais se as eleições tiver fraude e estivermos a beira de mudarmos para um regime socialista/comunista: e também não acho que nossas Forças Armadas irão bater continência  a  uma pessoa que réu em varios crimes de corrupção, pois ele não foi inocentado, nem seus processos anulados pelo STF, ou seja nem concorrer as eleições ele podia, seria uma vergonha para a Nação brasileira.', 'textOriginal': 'Não acredito, ainda mais se as eleições tiver fraude e estivermos a beira de mudarmos para um regime socialista/comunista: e também não acho que nossas Forças Armadas irão bater continência  a  uma pessoa que réu em varios crimes de corrupção, pois ele não foi inocentado, nem seus processos anulados pelo STF, ou seja nem concorrer as eleições ele podia, seria uma vergonha para a Nação brasileira.', 'authorDisplayName': 'Solmar Balthazar', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO0qvSt5CVazpUm6v_oGaKx1RfE4DE6CCT9kQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCvbGBAiQm1vi-vtUfW93PTA', 'authorChannelId': {'value': 'UCvbGBAiQm1vi-vtUfW93PTA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-31T11:01:06Z', 'updatedAt': '2022-10-31T11:01:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCvbGBAiQm1vi-vtUfW93PTA,2022-10-31T11:01:06Z,"Não acredito, ainda mais se as eleições tiver fraude e estivermos a beira de mudarmos para um regime socialista/comunista: e também não acho que nossas Forças Armadas irão bater continência  a  uma pessoa que réu em varios crimes de corrupção, pois ele não foi inocentado, nem seus processos anulados pelo STF, ou seja nem concorrer as eleições ele podia, seria uma vergonha para a Nação brasileira.",,2023-06-09 12:17:48.645805
youtube#commentThread,Zmtwo20GixVbY3mXGcV0wK8MPT8,UgxElymBpH30H6NhCqx4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'VnmcKhms4OpwzimuXQSrzQDQK40', 'id': 'UgxElymBpH30H6NhCqx4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Se houver fraude', 'textOriginal': 'Se houver fraude', 'authorDisplayName': 'ronaldo lisboa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOcjv_lXQbqtxWwbX5pwUvcE6QLfe1h5VIE6w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCclMAtm-36chQ0dUQyGjvXw', 'authorChannelId': {'value': 'UCclMAtm-36chQ0dUQyGjvXw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T13:48:35Z', 'updatedAt': '2022-10-28T13:48:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCclMAtm-36chQ0dUQyGjvXw,2022-10-28T13:48:35Z,Se houver fraude,,2023-06-09 12:17:48.645805
youtube#commentThread,4S7OPAVNERCz41GyEfLR-PQ_mo8,UgyHd1UjO6h65cCYVhB4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Ge5bTq9HYV2qTBgVoBCUp8VLCVE', 'id': 'UgyHd1UjO6h65cCYVhB4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Se alguém for fraudar, pode ficar tranquilo.', 'textOriginal': 'Se alguém for fraudar, pode ficar tranquilo.', 'authorDisplayName': 'Rodolfo Lima', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMwj5E6vukK6xi3L7qaZYWH1md-qZSUErT5W_cepKA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCyxozVvZPvHjP_nCk_uGe5g', 'authorChannelId': {'value': 'UCyxozVvZPvHjP_nCk_uGe5g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-25T03:28:44Z', 'updatedAt': '2022-10-25T03:28:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCyxozVvZPvHjP_nCk_uGe5g,2022-10-25T03:28:44Z,"Se alguém for fraudar, pode ficar tranquilo.",,2023-06-09 12:17:48.645805
youtube#commentThread,6mOCUuQHi_ZSie9B6DTmI5amfVw,UgxRecPY4sayR3rW6bJ4AaABAg,"{'videoId': 'wswOfoPe4fk', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'f1A0JCHQjniywpr2y0tUftlP7h0', 'id': 'UgxRecPY4sayR3rW6bJ4AaABAg', 'snippet': {'videoId': 'wswOfoPe4fk', 'textDisplay': 'Essa notícia  é  mentirosa ...', 'textOriginal': 'Essa notícia  é  mentirosa ...', 'authorDisplayName': 'Francisco Lourenco', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOB5ZEDNKMCaVjpR-Yf0Co7uioi_RYoe26wyap7dQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCyVq3X9e8NLB1IEJQ032wDg', 'authorChannelId': {'value': 'UCyVq3X9e8NLB1IEJQ032wDg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-07T19:13:25Z', 'updatedAt': '2022-10-07T19:13:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCyVq3X9e8NLB1IEJQ032wDg,2022-10-07T19:13:25Z,Essa notícia  é  mentirosa ...,,2023-06-09 12:17:48.645805
