kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,CJxC-3hJbUIsl9jgnoAcuJoIo1M,UgzNvobA0FIcXz6zpLJ4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iE0hr5uaIl2QXZtNsFuTlI5KLfk', 'id': 'UgzNvobA0FIcXz6zpLJ4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'Excelente!', 'textOriginal': 'Excelente!', 'authorDisplayName': 'Sevendust Monterrey', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMjypHuhkDsu-jUbpBkLMUD-6bR_KMuL0x9aw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9XRECYY1FGVeBD-JHb37Bw', 'authorChannelId': {'value': 'UC9XRECYY1FGVeBD-JHb37Bw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T12:27:30Z', 'updatedAt': '2022-10-05T12:27:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC9XRECYY1FGVeBD-JHb37Bw,2022-10-05T12:27:30Z,Excelente!,,2023-06-09 12:21:35.673989
youtube#commentThread,x-50ibgE-W9vIfi7kxs-7ZDn3Bk,UgwM9mF1QtrEXSwJBUx4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'E40rrBvGB8an5OuuObypYUKWHEo', 'id': 'UgwM9mF1QtrEXSwJBUx4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'Bom dia like confirmado 💪💪🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': 'Bom dia like confirmado 💪💪🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Comissário Aurélio Reis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOWP7CtfnlyhcuUhIEBGeJSC6a9tZq0lS4ht1kMOw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCV5oja5UlGes-RNXGvfTQEQ', 'authorChannelId': {'value': 'UCV5oja5UlGes-RNXGvfTQEQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T10:43:24Z', 'updatedAt': '2022-10-05T10:43:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCV5oja5UlGes-RNXGvfTQEQ,2022-10-05T10:43:24Z,Bom dia like confirmado 💪💪🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,,2023-06-09 12:21:35.673989
youtube#commentThread,kqIwDzNtm_xmtrsbMnaIi-sjNcc,Ugx5Q7iPNXHtSnuY_Cl4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'viR-DBvM3iCsbf5ug0Mhj2pHU7M', 'id': 'Ugx5Q7iPNXHtSnuY_Cl4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': '🇧🇷🇧🇷🇧🇷', 'textOriginal': '🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Luanleonardo90 Dos santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO6iVKqiMjSAeSJlxd3Lh3bM5jk4AZEOos0HJHIhyPioehTOLMycgIEagsVzBsY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFdttvH8_bEt-i0_YJbqvgg', 'authorChannelId': {'value': 'UCFdttvH8_bEt-i0_YJbqvgg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T03:05:16Z', 'updatedAt': '2022-10-05T03:05:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFdttvH8_bEt-i0_YJbqvgg,2022-10-05T03:05:16Z,🇧🇷🇧🇷🇧🇷,,2023-06-09 12:21:35.673989
youtube#commentThread,eeUAiTmzH01zDPE3k0pnf5dTyug,Ugztk8La6Fx4ByebRgx4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'f1LftEEUgFkz1Zswajjljc6R1fA', 'id': 'Ugztk8La6Fx4ByebRgx4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': '🇧🇷🇧🇷🇧🇷', 'textOriginal': '🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Luanleonardo90 Dos santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO6iVKqiMjSAeSJlxd3Lh3bM5jk4AZEOos0HJHIhyPioehTOLMycgIEagsVzBsY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFdttvH8_bEt-i0_YJbqvgg', 'authorChannelId': {'value': 'UCFdttvH8_bEt-i0_YJbqvgg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T03:05:10Z', 'updatedAt': '2022-10-05T03:05:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFdttvH8_bEt-i0_YJbqvgg,2022-10-05T03:05:10Z,🇧🇷🇧🇷🇧🇷,,2023-06-09 12:21:35.673989
youtube#commentThread,OIpnmiv_xWB8UKi4lyoMGHl8crw,Ugwrf-JPhxXopFckLCF4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'M5yM8L9MXnz8kzQXC0db6MjeIX0', 'id': 'Ugwrf-JPhxXopFckLCF4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'Esse grupo aí é muito top. MAS FICA SÓ NA NOSSA BOLHA DAÍ, NESTES 30 dias não soma nada', 'textOriginal': 'Esse grupo aí é muito top. MAS FICA SÓ NA NOSSA BOLHA DAÍ, NESTES 30 dias não soma nada', 'authorDisplayName': 'Ricardo Cooper', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOAnDILI67PIWDYFgRR7gYLoU0jEtaLh7MCggnuJQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfPMP0uRbwRtN_lttGnxK-A', 'authorChannelId': {'value': 'UCfPMP0uRbwRtN_lttGnxK-A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-05T03:01:11Z', 'updatedAt': '2022-10-05T03:01:11Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfPMP0uRbwRtN_lttGnxK-A,2022-10-05T03:01:11Z,"Esse grupo aí é muito top. MAS FICA SÓ NA NOSSA BOLHA DAÍ, NESTES 30 dias não soma nada",,2023-06-09 12:21:35.673989
youtube#commentThread,tsvmT6QHB1Ue5422Vpx8o8N59fs,UgzinknYijVY_GJc6f54AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sY0l_qKSkOlRTMNhZzTODeujQ-4', 'id': 'UgzinknYijVY_GJc6f54AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'Somos palhaços discutindo regras de um jogo onde os dados estão viciados.', 'textOriginal': 'Somos palhaços discutindo regras de um jogo onde os dados estão viciados.', 'authorDisplayName': 'Pemaluda', 'authorProfileImageUrl': 'https://yt3.ggpht.com/VaS-7FCJduoSH7WvofDbCnaRMRsLLSqIGZ4YmPBc4fZ6ZqHVmWuV7AlZF7G-P8-LyID3WwuhPQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEy2mYDStHotGnqvN3idl4g', 'authorChannelId': {'value': 'UCEy2mYDStHotGnqvN3idl4g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-05T02:15:26Z', 'updatedAt': '2022-10-05T02:15:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEy2mYDStHotGnqvN3idl4g,2022-10-05T02:15:26Z,Somos palhaços discutindo regras de um jogo onde os dados estão viciados.,,2023-06-09 12:21:35.673989
youtube#commentThread,ovRRXvf1psLFpAWOhk_8lvQ-Omk,UgyibF2calxQ4wy8Db14AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'J4JQ1p3Ep3fyUKJUmJ0A8q8YYm4', 'id': 'UgyibF2calxQ4wy8Db14AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'Bnarooo', 'textOriginal': 'Bnarooo', 'authorDisplayName': 'doti poki', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNGHqagUwLIRvTcbYEKm6jO0cPP0rFb_TPABOlVVQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKQpmfxtJaEOOUXbaY7v--g', 'authorChannelId': {'value': 'UCKQpmfxtJaEOOUXbaY7v--g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-05T02:14:52Z', 'updatedAt': '2022-10-05T02:14:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKQpmfxtJaEOOUXbaY7v--g,2022-10-05T02:14:52Z,Bnarooo,,2023-06-09 12:21:35.673989
youtube#commentThread,HQRDLRx5__n54XBblUsjUPBzZ1Y,Ugzp9_7yaoWwF_gKtsJ4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2mAVBx9hxi_8kD2CEI75Uifj4zE', 'id': 'Ugzp9_7yaoWwF_gKtsJ4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'NÃO TEM SEGUNDO TURNO,FOI FRAUDE,CRIME ELEITORAL EXCLUI O MOLUSCO⬅️ TMJ BOLSONARO.', 'textOriginal': 'NÃO TEM SEGUNDO TURNO,FOI FRAUDE,CRIME ELEITORAL EXCLUI O MOLUSCO⬅️ TMJ BOLSONARO.', 'authorDisplayName': 'renato campello', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO0N418NpB1CGxTi-W3lULOPcrtRFEKso8H8w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNbwJO70a3I2A1WELgXs4ng', 'authorChannelId': {'value': 'UCNbwJO70a3I2A1WELgXs4ng'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-05T01:57:41Z', 'updatedAt': '2022-10-05T01:57:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNbwJO70a3I2A1WELgXs4ng,2022-10-05T01:57:41Z,"NÃO TEM SEGUNDO TURNO,FOI FRAUDE,CRIME ELEITORAL EXCLUI O MOLUSCO⬅️ TMJ BOLSONARO.",,2023-06-09 12:21:35.673989
youtube#commentThread,MudLbJbIYE2NG4g8Q0VQKD4QqAE,UgwG73dEEMPyjw201cF4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '7rYHF2ulZv1ouxdg_LOpq3SsRXE', 'id': 'UgwG73dEEMPyjw201cF4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'Fiuza e Augusto Nunes, sem menosprezo a muita gente competente e séria,  são minhas maiores referências em análises políticas.', 'textOriginal': 'Fiuza e Augusto Nunes, sem menosprezo a muita gente competente e séria,  são minhas maiores referências em análises políticas.', 'authorDisplayName': 'Sandra Dagostini', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM2Bdib9OgK_lve2Gj5GNb53G1DDFRG0T4H69QjFQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCqTAEoXL6rTR0fmoSB8Vxhw', 'authorChannelId': {'value': 'UCqTAEoXL6rTR0fmoSB8Vxhw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 6, 'publishedAt': '2022-10-05T01:52:44Z', 'updatedAt': '2022-10-05T01:52:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCqTAEoXL6rTR0fmoSB8Vxhw,2022-10-05T01:52:44Z,"Fiuza e Augusto Nunes, sem menosprezo a muita gente competente e séria,  são minhas maiores referências em análises políticas.",,2023-06-09 12:21:35.673989
youtube#commentThread,J-ypndDRuq3I-n2Uyo77AFLqBT4,UgyJXo86g6QHPUvYvAF4AaABAg,"{'videoId': 'RJzK896hZNA', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HwKbfH-SLfQqv-UIky7SCRuSQwA', 'id': 'UgyJXo86g6QHPUvYvAF4AaABAg', 'snippet': {'videoId': 'RJzK896hZNA', 'textDisplay': 'Ģrande e Corajoso FIUZA!', 'textOriginal': 'Ģrande e Corajoso FIUZA!', 'authorDisplayName': 'Vera Lucia Trindade', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPwPh2_Y6ypZSC5PpJIrF025KA33Qr1Rb27Jqy6Rg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTW0XS5XNBYeM_aKDu265iQ', 'authorChannelId': {'value': 'UCTW0XS5XNBYeM_aKDu265iQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-05T01:48:41Z', 'updatedAt': '2022-10-05T01:48:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTW0XS5XNBYeM_aKDu265iQ,2022-10-05T01:48:41Z,Ģrande e Corajoso FIUZA!,,2023-06-09 12:21:35.673989
