kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,qc-96Zo_jXBTm28RvIyfM0-zrxY,UgzpHIEchiV8YZpN_LB4AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'l_sHAX09hxU0rb4IHCNWhCbB8-M', 'id': 'UgzpHIEchiV8YZpN_LB4AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'Acabou a guerra entre Bolsonaro e Lula,pois o Orçamento secreto não foi aprovado pelo STF.👏🤛👊✊🖐️', 'textOriginal': 'Acabou a guerra entre Bolsonaro e Lula,pois o Orçamento secreto não foi aprovado pelo STF.👏🤛👊✊🖐️', 'authorDisplayName': 'AMARILDO DIAS DOS SANTOS Dias Dos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPtnldaqpsx01SbPr0erO1d4Cyx-mqlbgMLfLsaxVw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNe_DWYopvA27VVEJg8kPWw', 'authorChannelId': {'value': 'UCNe_DWYopvA27VVEJg8kPWw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-20T00:33:22Z', 'updatedAt': '2022-12-20T00:33:22Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNe_DWYopvA27VVEJg8kPWw,2022-12-20T00:33:22Z,"Acabou a guerra entre Bolsonaro e Lula,pois o Orçamento secreto não foi aprovado pelo STF.👏🤛👊✊🖐️",QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,SGDCprYpkUOZFFJVljo5-L3gN-8,UgyXbi55attXOFmrNrp4AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '7x52aJr6dtc_1CX23WabpnoegDI', 'id': 'UgyXbi55attXOFmrNrp4AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'Bolsonaro 22', 'textOriginal': 'Bolsonaro 22', 'authorDisplayName': 'ALMIR XAVIER', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMbr-dvamWpPGAHtxgwlvpcQjLmTvs7kMOe2wWDaw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtocGjvup34d460I0jusXXA', 'authorChannelId': {'value': 'UCtocGjvup34d460I0jusXXA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T03:36:58Z', 'updatedAt': '2022-10-28T03:36:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtocGjvup34d460I0jusXXA,2022-10-28T03:36:58Z,Bolsonaro 22,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,ebnYa8pVhb8UloAy1EcDnL76LXs,UgxhVthIlFuG_eTLZeB4AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'U378hFDlEt8RLuhJId5tAiQNOxE', 'id': 'UgxhVthIlFuG_eTLZeB4AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': '22', 'textOriginal': '22', 'authorDisplayName': 'Maria Da Conceição dos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNsRycjQJuI-AlzuZ_7XfXeCi_4dcM-3W1GdYMkE-LqoC2U27ho0zZZ-7hrir56=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCANEa40tf38ZWxxynRPXCMg', 'authorChannelId': {'value': 'UCANEa40tf38ZWxxynRPXCMg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T02:41:19Z', 'updatedAt': '2022-10-28T02:41:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCANEa40tf38ZWxxynRPXCMg,2022-10-28T02:41:19Z,22,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,PBXQOcns34h7XsG6Oq6vxp4BFPo,UgyCcBGhzaM2WNnFkpt4AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jkBtlyy0gGSDFkyCM6POaJF8o3c', 'id': 'UgyCcBGhzaM2WNnFkpt4AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'Kkkkkk', 'textOriginal': 'Kkkkkk', 'authorDisplayName': 'Sergio Gois', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP4uVr2uLH2xFksJ4qZ6cKG9J2VIYlVRASv18rbJJbW5x-ROUmR-rDzcMr5yJm2=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCO6RXrTzT7-BgO8eIN7HiWw', 'authorChannelId': {'value': 'UCO6RXrTzT7-BgO8eIN7HiWw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T21:15:55Z', 'updatedAt': '2022-10-23T21:15:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCO6RXrTzT7-BgO8eIN7HiWw,2022-10-23T21:15:55Z,Kkkkkk,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,GKyKy9UsjmqcRZ0vSwaiSvcI3yU,UgxBSd_haQONqZtM_R54AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OybigLULS_Cox075DEm3rOJjNhM', 'id': 'UgxBSd_haQONqZtM_R54AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'Boa noite Guerreiro presidente Deus abençoe', 'textOriginal': 'Boa noite Guerreiro presidente Deus abençoe', 'authorDisplayName': 'Lilian Batista dos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOqX6sOPFOHz7K9ahYeBzz3KVsNpAjwDYUDGA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIt5grJtuYJHBH619uZ_VNw', 'authorChannelId': {'value': 'UCIt5grJtuYJHBH619uZ_VNw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-22T23:32:02Z', 'updatedAt': '2022-10-22T23:32:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCIt5grJtuYJHBH619uZ_VNw,2022-10-22T23:32:02Z,Boa noite Guerreiro presidente Deus abençoe,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,voSjgqqXaZHa_cbWDNJ_m3gjv6Q,UgxXteI5jjveh8bSRyp4AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'LzEdC0kTaJ6Q1HWqzyyuWZGcZIk', 'id': 'UgxXteI5jjveh8bSRyp4AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'Deus é contigo Presidente  dias Melhores virão 🙏', 'textOriginal': 'Deus é contigo Presidente  dias Melhores virão 🙏', 'authorDisplayName': 'Silveria De sousa Farias', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN6-p_Q5tnDBV6vNFUChF0k7YEMGz_lhHP7QQhHcyMD6t_Fd-3xPl6cOvQdi6tW=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEzSeUlk_J4sS4RAM-2KF6A', 'authorChannelId': {'value': 'UCEzSeUlk_J4sS4RAM-2KF6A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T22:16:38Z', 'updatedAt': '2022-10-22T22:16:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEzSeUlk_J4sS4RAM-2KF6A,2022-10-22T22:16:38Z,Deus é contigo Presidente  dias Melhores virão 🙏,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,GAXJIBZ30ozjIIJlfbZBzwV7mEI,UgyOYWXyRttlCSTLp4Z4AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5JGv5pKZ3ekn6lRs_bHR1y1a2WY', 'id': 'UgyOYWXyRttlCSTLp4Z4AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'A canetada e sua!', 'textOriginal': 'A canetada e sua!', 'authorDisplayName': 'Bio da Ivania', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM-0EgI0okTU2kCPIY2lAuQppqDovWqo0uNrA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfnGLKzRumBPtstFIsMHZ7Q', 'authorChannelId': {'value': 'UCfnGLKzRumBPtstFIsMHZ7Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T21:46:44Z', 'updatedAt': '2022-10-22T21:46:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfnGLKzRumBPtstFIsMHZ7Q,2022-10-22T21:46:44Z,A canetada e sua!,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,WN15i9g-dosJQrrJ7Xd86B-uFpY,Ugx5U6r_GJR93aFmsS94AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'KwiSRVslQ40yqT_Azw1WqFlrAuU', 'id': 'Ugx5U6r_GJR93aFmsS94AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'O Lula não tem argumento pra debate ir nem projetos poriso ele não vai', 'textOriginal': 'O Lula não tem argumento pra debate ir nem projetos poriso ele não vai', 'authorDisplayName': 'CANAL DO LÉO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOziXiTPuUcIBkazoBAyhWM8ren8-0NvLENB5mseQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCv2MlgV0GGY15m5r0LhF52Q', 'authorChannelId': {'value': 'UCv2MlgV0GGY15m5r0LhF52Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-22T16:58:20Z', 'updatedAt': '2022-10-22T16:58:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCv2MlgV0GGY15m5r0LhF52Q,2022-10-22T16:58:20Z,O Lula não tem argumento pra debate ir nem projetos poriso ele não vai,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,NdcW6r2Do0iFLIxjCoz0ZKLygrM,UgxTBcwRAyDmCSBX33F4AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pxBBtv_4PG35sX1KF_6V6QeZ1vE', 'id': 'UgxTBcwRAyDmCSBX33F4AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'Vamos vencer esse Mal com certeza presidente', 'textOriginal': 'Vamos vencer esse Mal com certeza presidente', 'authorDisplayName': 'Gabriel Apolinário', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOBkIYVK0klLPoFtJy-TEx-yAcDsSwiL2HS_8-6efCjqsX6TP93Wc-8cVeUYa-X=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC5vXaBJQY5fE9X4PO7DFjvQ', 'authorChannelId': {'value': 'UC5vXaBJQY5fE9X4PO7DFjvQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T16:54:55Z', 'updatedAt': '2022-10-22T16:54:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC5vXaBJQY5fE9X4PO7DFjvQ,2022-10-22T16:54:55Z,Vamos vencer esse Mal com certeza presidente,QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
youtube#commentThread,KYvU8Em5xdL385IWzc6IHX5yLZg,Ugy9qdWtATYAMuAAgG94AaABAg,"{'videoId': 'OWAcJvjFpCw', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2Wk15DsDtvPrbw1NQG5EYE23-GE', 'id': 'Ugy9qdWtATYAMuAAgG94AaABAg', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'esse precidente é para as pessoas falsas que nem ele, aquelas pessoas que bate no peito diz ser da família e sai com garotas de progama ....', 'textOriginal': 'esse precidente é para as pessoas falsas que nem ele, aquelas pessoas que bate no peito diz ser da família e sai com garotas de progama ....', 'authorDisplayName': 'João Carlos Batista de Sousa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO3u2Zpv1QBccgEc55T5IiXPu6_MmYKHADxoAOAsJ0XN4IEpeUc3TOQxWRVvNth=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCoD5k1BUapcj_zh3R-y9dLA', 'authorChannelId': {'value': 'UCoD5k1BUapcj_zh3R-y9dLA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T14:08:37Z', 'updatedAt': '2022-10-22T14:08:37Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'lYiL3D0zFJ--DCw0j-eE31Q4f74', 'id': 'Ugy9qdWtATYAMuAAgG94AaABAg.9hUhsui1w5U9hUuq1YIGZ9', 'snippet': {'videoId': 'OWAcJvjFpCw', 'textDisplay': 'Vai se informar primeiro meu amigo, para de espalhar mentiras , uma pesquisa antes de falar, não dói, n mata, n faz mal algum.', 'textOriginal': 'Vai se informar primeiro meu amigo, para de espalhar mentiras , uma pesquisa antes de falar, não dói, n mata, n faz mal algum.', 'parentId': 'Ugy9qdWtATYAMuAAgG94AaABAg', 'authorDisplayName': 'Rafael Soares', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNJrUwXEwJ1d2krh4_mG2tfj3SAcNSjgLLtUw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC613p151hQWvL8kZpIlhYqQ', 'authorChannelId': {'value': 'UC613p151hQWvL8kZpIlhYqQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-22T16:01:49Z', 'updatedAt': '2022-10-22T16:01:49Z'}}]}",UCoD5k1BUapcj_zh3R-y9dLA,2022-10-22T14:08:37Z,"esse precidente é para as pessoas falsas que nem ele, aquelas pessoas que bate no peito diz ser da família e sai com garotas de progama ....",QURTSl9pMk5YalpaNW1VRWtnMXlkZGg5Yzc5NG5XaEFwdUtWdVdkSkNzeHd1TmdrNzBGU2g0NFJ0bGtQcHBxbmVQd1JpQzB6RUJXS0x5aw==,2023-06-09 13:03:43.712931
