kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,YWbx52eVt8cVdZx7CMnNBmFju-4,UgzvqfzTR30L9TcpeC14AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6jiLuFHw-IDHqQ_Wuu-sfFp_rh0', 'id': 'UgzvqfzTR30L9TcpeC14AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Pastor traidor !!!', 'textOriginal': 'Pastor traidor !!!', 'authorDisplayName': 'Ana Paula', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPUYWbnR5Ql7ZxPfJLtlSdwMs1RDagyc_AXAeXM5MIu2l86Iczy3MYWPKEaH3Iw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCj8KJMNNHCM1MMbBbcTVeBA', 'authorChannelId': {'value': 'UCj8KJMNNHCM1MMbBbcTVeBA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-14T05:10:06Z', 'updatedAt': '2022-10-14T05:10:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCj8KJMNNHCM1MMbBbcTVeBA,2022-10-14T05:10:06Z,Pastor traidor !!!,QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,2e359aXCdQiZ9D_ur1lwUqWdZKg,Ugyk2zjtqBSkQcuxVfF4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ISKzbxmiPIiHOwYwo4Vm6oBIWw4', 'id': 'Ugyk2zjtqBSkQcuxVfF4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Graças a Deus, que assim Ele faz!!!!', 'textOriginal': 'Graças a Deus, que assim Ele faz!!!!', 'authorDisplayName': 'Lucia Paludeto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPp6Drh8FzhYT2HVYVa_Sa662nlP-z4qE4YpA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCynqWsh5xIU4ZDDaYkfDERA', 'authorChannelId': {'value': 'UCynqWsh5xIU4ZDDaYkfDERA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T11:23:46Z', 'updatedAt': '2022-10-12T11:23:46Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCynqWsh5xIU4ZDDaYkfDERA,2022-10-12T11:23:46Z,"Graças a Deus, que assim Ele faz!!!!",QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,X_TBmVLJryCuHTH0-pEk9Rz_Zeg,UgyGaXBHEw8dexS-YzF4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Skk5BDgxV2BTnnSlF2lEfInQ5YI', 'id': 'UgyGaXBHEw8dexS-YzF4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Amém', 'textOriginal': 'Amém', 'authorDisplayName': 'damasio mendes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNjcBA6dDheFixlgLfJIklkZps5EPsR9LoJr3vhkw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCp2spD1a42P7sROwUecbV5A', 'authorChannelId': {'value': 'UCp2spD1a42P7sROwUecbV5A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-11T09:14:17Z', 'updatedAt': '2022-10-11T09:14:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCp2spD1a42P7sROwUecbV5A,2022-10-11T09:14:17Z,Amém,QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,-_UgdGNLMOG15C8183a4u_Y4M5Y,UgwwarXDMsq6nepc6JJ4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'T-ufDor7EUtXIon2TdZXzWbUwpM', 'id': 'UgwwarXDMsq6nepc6JJ4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Deus maravilhoso', 'textOriginal': 'Deus maravilhoso', 'authorDisplayName': 'Viviane Vitor', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOVPEBvODAG3g8gbL4ZOZtGEjTWQkeZgLAV2g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC91n9tjZBjMFO5ucJKFlzwA', 'authorChannelId': {'value': 'UC91n9tjZBjMFO5ucJKFlzwA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T14:26:02Z', 'updatedAt': '2022-10-09T14:26:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC91n9tjZBjMFO5ucJKFlzwA,2022-10-09T14:26:02Z,Deus maravilhoso,QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,4jgIDlWpBt6_wbKR5vGfUqL9AoY,UgyK3gYMLCSddlFsyK54AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mWZhg_uXjc6AgLpVxvDpP4QDWFc', 'id': 'UgyK3gYMLCSddlFsyK54AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'ele só fala sobre politica, ele é pastor????kkkkm', 'textOriginal': 'ele só fala sobre politica, ele é pastor????kkkkm', 'authorDisplayName': 'Marcos Antonio Dos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMmhS_K7A7tVDkDGGvphWQItPyeKuulYr2FOjBp1s-_PiyKvjiePWVNPYfB_gcV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0vq650aBjSum5CcmWcJg8Q', 'authorChannelId': {'value': 'UC0vq650aBjSum5CcmWcJg8Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T00:15:56Z', 'updatedAt': '2022-10-09T00:15:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0vq650aBjSum5CcmWcJg8Q,2022-10-09T00:15:56Z,"ele só fala sobre politica, ele é pastor????kkkkm",QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,dKsRix08fof_P3kz0gq7z8nZtNs,UgyGjvjrYGsaS0o2LSB4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xdpItJlO5sbMTckuKk-P8ikEh7s', 'id': 'UgyGjvjrYGsaS0o2LSB4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'ele não esta falando de politica, não acredito,kkkk', 'textOriginal': 'ele não esta falando de politica, não acredito,kkkk', 'authorDisplayName': 'Marcos Antonio Dos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMmhS_K7A7tVDkDGGvphWQItPyeKuulYr2FOjBp1s-_PiyKvjiePWVNPYfB_gcV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0vq650aBjSum5CcmWcJg8Q', 'authorChannelId': {'value': 'UC0vq650aBjSum5CcmWcJg8Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-09T00:15:00Z', 'updatedAt': '2022-10-09T00:15:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC0vq650aBjSum5CcmWcJg8Q,2022-10-09T00:15:00Z,"ele não esta falando de politica, não acredito,kkkk",QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,9UX17KInmZ26SeO81snLiFzC2qE,UgxUQZ32rlG1JKI7fUR4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'K9ExXhjpPGEfjW6YtYVdZtac8sQ', 'id': 'UgxUQZ32rlG1JKI7fUR4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Amém ♥️👏👏👏👏', 'textOriginal': 'Amém ♥️👏👏👏👏', 'authorDisplayName': 'Quéren Hapuque(thegirlofGOD👢👒)', 'authorProfileImageUrl': 'https://yt3.ggpht.com/AT3bPaqpgZp7gOLqk4aJlqQw0Pi8sKF8mhRq3dF4GfLZcuix6kwsR9G_l9NDNC8fK8O8etLvce8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCt1v6wDji0nbDPBabHRV8Gg', 'authorChannelId': {'value': 'UCt1v6wDji0nbDPBabHRV8Gg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-08T02:35:02Z', 'updatedAt': '2022-10-08T02:35:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCt1v6wDji0nbDPBabHRV8Gg,2022-10-08T02:35:02Z,Amém ♥️👏👏👏👏,QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,GjZJXFq-JmIZhZx0uMkoXXDxJ_Y,UgwbKRJ-Z9QfCy3vaEB4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3ZC3TgSFPSapk4AQJ1IpPxLtoc0', 'id': 'UgwbKRJ-Z9QfCy3vaEB4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Que Deus abençoe cada brasileiro que Deus abençoe sua vida pastor silas', 'textOriginal': 'Que Deus abençoe cada brasileiro que Deus abençoe sua vida pastor silas', 'authorDisplayName': 'Nilton Castro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMtZIRJ9nSfhuF870iruW7eG7rwLOeLpgl3xQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClQ87zWPbCIT2NSgLS_vmMA', 'authorChannelId': {'value': 'UClQ87zWPbCIT2NSgLS_vmMA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-08T01:24:49Z', 'updatedAt': '2022-10-08T01:24:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClQ87zWPbCIT2NSgLS_vmMA,2022-10-08T01:24:49Z,Que Deus abençoe cada brasileiro que Deus abençoe sua vida pastor silas,QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,oPLSEMHGZb_AyeDV9gyHNTfgPBA,UgzFado7zji3Sgzaiqh4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'E0I7VUIrguXvXzd9w0QmbukmqUk', 'id': 'UgzFado7zji3Sgzaiqh4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Tomo posse em nome de JESUS CRISTO amém', 'textOriginal': 'Tomo posse em nome de JESUS CRISTO amém', 'authorDisplayName': 'Hernane Junio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNtVIizhDaZ2z-wnvoL99n9jDlCPlDfCwCzpw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZsQFg4RAaM3072Sal2pTkg', 'authorChannelId': {'value': 'UCZsQFg4RAaM3072Sal2pTkg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T23:58:58Z', 'updatedAt': '2022-10-07T23:58:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZsQFg4RAaM3072Sal2pTkg,2022-10-07T23:58:58Z,Tomo posse em nome de JESUS CRISTO amém,QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
youtube#commentThread,Mswm3RjeRO9J5-KGkXuWwmGxQCs,UgwtCEkj56K6Bxq7z4p4AaABAg,"{'videoId': 'WQE18D0rvMY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'oKh-DYHU4V3CPV1qtIAZdsI_o3M', 'id': 'UgwtCEkj56K6Bxq7z4p4AaABAg', 'snippet': {'videoId': 'WQE18D0rvMY', 'textDisplay': 'Hoje eu tenho mais ódio da justiça do que esse bandido do Lula, porque a justiça teve todas as provas nas mãos do que ele fez e ainda assim soltou ele...com certeza tem muito dinheiro envolvido pra justiça também..', 'textOriginal': 'Hoje eu tenho mais ódio da justiça do que esse bandido do Lula, porque a justiça teve todas as provas nas mãos do que ele fez e ainda assim soltou ele...com certeza tem muito dinheiro envolvido pra justiça também..', 'authorDisplayName': 'Madalena', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMxUqPgMN8DfDtRNioIgYVM-He57PjNfkA33N32bA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCAqe-BhlA7TKFtwjh-hbSHA', 'authorChannelId': {'value': 'UCAqe-BhlA7TKFtwjh-hbSHA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-07T22:14:14Z', 'updatedAt': '2022-10-07T22:14:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCAqe-BhlA7TKFtwjh-hbSHA,2022-10-07T22:14:14Z,"Hoje eu tenho mais ódio da justiça do que esse bandido do Lula, porque a justiça teve todas as provas nas mãos do que ele fez e ainda assim soltou ele...com certeza tem muito dinheiro envolvido pra justiça também..",QURTSl9pMVFSN1YyaEVVZ182QV9WU1N6MDJ6dEpQQ1NocjlLeUJwTEpsTGhMbXFhZG5LNkRUaDlQcEJmNjZyeE5uOWZUZ3BrdHVULW5OUQ==,2023-06-09 13:34:07.591197
