kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,iv2dtxCrkIzhiOxdQbrJdWanzxQ,Ugwrk_QrNVy-rmFjh0p4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-hoTOQhW7uRLKBIadF63-87JiVA', 'id': 'Ugwrk_QrNVy-rmFjh0p4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': '<b>!!!Збираємо: 37 500 USD!!!</b> / <b>!!!Fundraising: 37 500 USD!!!</b><br><b>Монобанк</b> на дрони під Бахмут / <b>Monobank</b> for drones near Bakhmut: <br><a href=""https://send.monobank.ua/jar/8BDHzcY5HV"">https://send.monobank.ua/jar/8BDHzcY5HV</a><br>Або / Or: 5375 4112 0378 6111<br><b>PayPal:</b> <a href=""http://paypal.me/viktoriiaskl"">http://paypal.me/viktoriiaskl</a><br><b>PrivatBank, USDT (TRC20), Bitcoin (Bitcoin), Ethereum (ERC20) та інші способи оплати / and other payment methods:</b>  <a href=""https://terraops.info/ua/donate/"">https://terraops.info/ua/donate/</a><br><b>Канал TERRA у Telegram / TERRA channel on Telegram:</b> <a href=""https://t.me/terraops"">https://t.me/terraops</a><br><b>Наш сайт / Our website:</b> <a href=""https://terraops.info/ua/"">https://terraops.info/ua/</a><br><b>!!!Patreon NEW!!!:</b> <a href=""https://www.patreon.com/TERRAOps/membership"">https://www.patreon.com/TERRAOps/membership</a>', 'textOriginal': '*!!!Збираємо: 37 500 USD!!!* / *!!!Fundraising: 37 500 USD!!!*\\n*Монобанк* на дрони під Бахмут / *Monobank* for drones near Bakhmut: \\nhttps://send.monobank.ua/jar/8BDHzcY5HV\\nАбо / Or: 5375 4112 0378 6111\\n*PayPal:* http://paypal.me/viktoriiaskl\\n*PrivatBank, USDT (TRC20), Bitcoin (Bitcoin), Ethereum (ERC20) та інші способи оплати / and other payment methods:*  https://terraops.info/ua/donate/\\n*Канал TERRA у Telegram / TERRA channel on Telegram:* https://t.me/terraops\\n*Наш сайт / Our website:* https://terraops.info/ua/\\n*!!!Patreon NEW!!!:* https://www.patreon.com/TERRAOps/membership', 'authorDisplayName': 'TERRA Ops', 'authorProfileImageUrl': 'https://yt3.ggpht.com/SLDpHC_udXXvvivO0FqVmQQe_EgR6nsjB3y23VP292kfqj_9bMlAtWtIM4cIJHoadES56g2Z_Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJpob7tPzcH9ZwsnkZbLP1A', 'authorChannelId': {'value': 'UCJpob7tPzcH9ZwsnkZbLP1A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 77, 'publishedAt': '2022-10-31T20:11:45Z', 'updatedAt': '2023-04-11T18:19:32Z'}}, 'canReply': True, 'totalReplyCount': 8, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'qlTP0RGIA3nDZj4DCokSGUG93ms', 'id': 'Ugwrk_QrNVy-rmFjh0p4AaABAg.9hrXaRXRLmR9qHGvnxPBtR', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': '@Todd Bravo Russia..Uraaa', 'textOriginal': '@Todd Bravo Russia..Uraaa', 'parentId': 'Ugwrk_QrNVy-rmFjh0p4AaABAg', 'authorDisplayName': 'AAA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/-ch4LfTKVpd8_WwivTHClAH7EQZ63Hzp7gbolW6P2xFVbeamG5SP_wHuyJjTEOK7Vj8576FAXI4=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0OCAa0aGMlJdj6srXyqnAQ', 'authorChannelId': {'value': 'UC0OCAa0aGMlJdj6srXyqnAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-29T01:36:46Z', 'updatedAt': '2023-05-29T01:37:01Z'}}, {'kind': 'youtube#comment', 'etag': 'Sc_yjzcbqilchU-E6PgA9GrWQgM', 'id': 'Ugwrk_QrNVy-rmFjh0p4AaABAg.9hrXaRXRLmR9qF3FMPK0w-', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': '@Tomas Puzej ссяла Урина-ненька', 'textOriginal': '@Tomas Puzej ссяла Урина-ненька', 'parentId': 'Ugwrk_QrNVy-rmFjh0p4AaABAg', 'authorDisplayName': 'CoC Killer', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPM2t3NJbKRMSQXSPig7i-JMaCCQEWIMK1iEMF2=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCmsJFv0Jo6PeBVNLu4kzGqQ', 'authorChannelId': {'value': 'UCmsJFv0Jo6PeBVNLu4kzGqQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-28T04:58:45Z', 'updatedAt': '2023-05-28T04:58:45Z'}}, {'kind': 'youtube#comment', 'etag': '4qPR5uiKnM9iz9kWxyUq5adBFVI', 'id': 'Ugwrk_QrNVy-rmFjh0p4AaABAg.9hrXaRXRLmR9q0gB9PBbMp', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'T <a href=""https://www.youtube.com/watch?v=Y-kkQwz61ys&amp;t=1m31s"">1:31</a>', 'textOriginal': 'T 1:31', 'parentId': 'Ugwrk_QrNVy-rmFjh0p4AaABAg', 'authorDisplayName': 'Ouk Zynat', 'authorProfileImageUrl': 'https://yt3.ggpht.com/eqzBUxeBR20UllpmKED47rFKNZlYsTOMUEp60XfxSjj4LdBZBD3KUGox9O2YqBsEgQ_elO5cnQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCaa0lENUR8aKjnHInEO3L3Q', 'authorChannelId': {'value': 'UCaa0lENUR8aKjnHInEO3L3Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-05-22T14:59:06Z', 'updatedAt': '2023-05-22T14:59:06Z'}}, {'kind': 'youtube#comment', 'etag': 'kmZ3BgvGKApXNrmXiMXTvG8p6K4', 'id': 'Ugwrk_QrNVy-rmFjh0p4AaABAg.9hrXaRXRLmR9pioBDkZFyU', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': '🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦👍👍😘🌹💪💪❤️❤️💖💖💪💪💪💪💪🌹👏👏', 'textOriginal': '🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦👍👍😘🌹💪💪❤️❤️💖💖💪💪💪💪💪🌹👏👏', 'parentId': 'Ugwrk_QrNVy-rmFjh0p4AaABAg', 'authorDisplayName': 'Hue Nguyen', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOqSFHpn9t2EmyqfygubLt13btcgW4vyhg9VNk7Ow=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1kCqiJrkWJaogSkk5ysx2Q', 'authorChannelId': {'value': 'UC1kCqiJrkWJaogSkk5ysx2Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-05-15T07:03:27Z', 'updatedAt': '2023-05-15T07:03:27Z'}}, {'kind': 'youtube#comment', 'etag': 'w3n-Gx5reGsEYEhXHW9E0Ubchhg', 'id': 'Ugwrk_QrNVy-rmFjh0p4AaABAg.9hrXaRXRLmR9oYwSzoThId', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Sláva ukraine', 'textOriginal': 'Sláva ukraine', 'parentId': 'Ugwrk_QrNVy-rmFjh0p4AaABAg', 'authorDisplayName': 'Tomas Puzej', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNlIzrXfAhUNYbvFCwiAu6NCnHrL2XWfem8Yw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIeAERFs_ln8IiUSf1M2Sxw', 'authorChannelId': {'value': 'UCIeAERFs_ln8IiUSf1M2Sxw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2023-04-16T05:12:44Z', 'updatedAt': '2023-04-16T05:12:44Z'}}]}",UCJpob7tPzcH9ZwsnkZbLP1A,2022-10-31T20:11:45Z,"*!!!Збираємо: 37 500 USD!!!* / *!!!Fundraising: 37 500 USD!!!*
*Монобанк* на дрони під Бахмут / *Monobank* for drones near Bakhmut: 
https://send.monobank.ua/jar/8BDHzcY5HV
Або / Or: 5375 4112 0378 6111
*PayPal:* http://paypal.me/viktoriiaskl
*PrivatBank, USDT (TRC20), Bitcoin (Bitcoin), Ethereum (ERC20) та інші способи оплати / and other payment methods:*  https://terraops.info/ua/donate/
*Канал TERRA у Telegram / TERRA channel on Telegram:* https://t.me/terraops
*Наш сайт / Our website:* https://terraops.info/ua/
*!!!Patreon NEW!!!:* https://www.patreon.com/TERRAOps/membership",QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,ZAnVY0YBmU-z-KxIvaPuA3GwRbY,UgwMIkHTlzdnV-qQmkN4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MV833BJymDeIOp_xgD14UQ0RETU', 'id': 'UgwMIkHTlzdnV-qQmkN4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Zoti ju bekoft po luftoni kund je egersira ruse te putinit . Slava okraina jem me okrainen 👊👊👊🇺🇦🇺🇦🇽🇰🇽🇰', 'textOriginal': 'Zoti ju bekoft po luftoni kund je egersira ruse te putinit . Slava okraina jem me okrainen 👊👊👊🇺🇦🇺🇦🇽🇰🇽🇰', 'authorDisplayName': 'J. C .', 'authorProfileImageUrl': 'https://yt3.ggpht.com/5H93ETpWSWkqVjeENiYcMzqxGjw4mQlfEGYgGjtTam0JA-pLH1BCT-iOUr76S__D4UV5hnDiCg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCidjbiGKBwuqGhHQEFcOUPg', 'authorChannelId': {'value': 'UCidjbiGKBwuqGhHQEFcOUPg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-09T07:45:06Z', 'updatedAt': '2023-06-09T07:45:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCidjbiGKBwuqGhHQEFcOUPg,2023-06-09T07:45:06Z,Zoti ju bekoft po luftoni kund je egersira ruse te putinit . Slava okraina jem me okrainen 👊👊👊🇺🇦🇺🇦🇽🇰🇽🇰,QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,DFH5-F5xtz6VHewaIW5BhfR139g,UgxPAUkM2PrbYgRRQ-V4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sR-HAhWLSjYgZACgfZO7mXBDLQw', 'id': 'UgxPAUkM2PrbYgRRQ-V4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Awesome guys We will pray', 'textOriginal': 'Awesome guys We will pray', 'authorDisplayName': 'Elena Witte', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOsOKC6rO5WVq4c_UCFFYy292sVGvR7CBp9M_tDUTfYKPvHj64sR8q_U-iaRrmd=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChRj8bcVVeKQZmABHHBYeXg', 'authorChannelId': {'value': 'UChRj8bcVVeKQZmABHHBYeXg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-08T06:58:20Z', 'updatedAt': '2023-06-08T06:58:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChRj8bcVVeKQZmABHHBYeXg,2023-06-08T06:58:20Z,Awesome guys We will pray,QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,CeZUeJoNgzVE-aH6BqYxO0STijU,UgywroQPGKGMm-pvcTl4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kcYHlDjWmKVh3E4m0p8omP31c3s', 'id': 'UgywroQPGKGMm-pvcTl4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': '\\u200bСлава Україні! from Sardinia island Italy', 'textOriginal': '\\u200bСлава Україні! from Sardinia island Italy', 'authorDisplayName': 'Andrea Serra', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO7F4rlDKvdIFtqy3KmiDLoESSBoRD161yu68iv=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7jhZczFANGtTYo6VbhhqmA', 'authorChannelId': {'value': 'UC7jhZczFANGtTYo6VbhhqmA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-08T05:15:50Z', 'updatedAt': '2023-06-08T05:15:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7jhZczFANGtTYo6VbhhqmA,2023-06-08T05:15:50Z,​Слава Україні! from Sardinia island Italy,QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,SRRNUomzu5xsPGLr6o_zRAgpQuI,Ugxl-6J40ZFI9Dluh8l4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'IAjZTVil3V00DJ-kirFyPGBl6PQ', 'id': 'Ugxl-6J40ZFI9Dluh8l4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Clips này giống như mô hình gem vậy ? Nhìn rõ mồn một như thế , chúng tập trung như thế mà sao ko thấy tiêu diệt chúng vậy ?', 'textOriginal': 'Clips này giống như mô hình gem vậy ? Nhìn rõ mồn một như thế , chúng tập trung như thế mà sao ko thấy tiêu diệt chúng vậy ?', 'authorDisplayName': 'Trường Nguyễn kim', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP4yAe0tKmcPpRzK1TGR5o-o2YCb75zkLlTfEz9zsdu03CGrOGfJuC01jZwFVNT=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCTmMKI3ms8Lfrltfc6TaFRw', 'authorChannelId': {'value': 'UCTmMKI3ms8Lfrltfc6TaFRw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-07T06:08:24Z', 'updatedAt': '2023-06-07T06:08:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCTmMKI3ms8Lfrltfc6TaFRw,2023-06-07T06:08:24Z,"Clips này giống như mô hình gem vậy ? Nhìn rõ mồn một như thế , chúng tập trung như thế mà sao ko thấy tiêu diệt chúng vậy ?",QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,udH2aiaMlZxkzCm2SBkg9ZnoLIA,UgxL6kl5hqivY7yD5HV4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'oRCSA15rL9f0ZXFLxN38Skd_Dd8', 'id': 'UgxL6kl5hqivY7yD5HV4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Хлопці тримайтесь! любим вас!!!', 'textOriginal': 'Хлопці тримайтесь! любим вас!!!', 'authorDisplayName': 'Mr.Dragon', 'authorProfileImageUrl': 'https://yt3.ggpht.com/bxRAycbSdN0rK33Wd6hTsQ-YBCHvs0fM_L3fYoGKiWu2-RoyuQJqZVHWzFu0bvFe-hDKX6J5gLg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE4HQZXiJE-scl4IwL8Y5rg', 'authorChannelId': {'value': 'UCE4HQZXiJE-scl4IwL8Y5rg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-05T18:07:33Z', 'updatedAt': '2023-06-05T18:07:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCE4HQZXiJE-scl4IwL8Y5rg,2023-06-05T18:07:33Z,Хлопці тримайтесь! любим вас!!!,QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,yUAcYeivsj4asfyuzXOEWVisOQw,UgxfzRyZHbxbPpo9_Sh4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 't2IKepi_zqTI6XyTlxRHNLIaLvY', 'id': 'UgxfzRyZHbxbPpo9_Sh4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Que.  Dios guarde. A Los. Soldados. Ucranianos. Victoria 🇺🇦💪💪🇺🇦🇺🇦🙏🙏🙏❤️❤️ para ucrania', 'textOriginal': 'Que.  Dios guarde. A Los. Soldados. Ucranianos. Victoria 🇺🇦💪💪🇺🇦🇺🇦🙏🙏🙏❤️❤️ para ucrania', 'authorDisplayName': 'lissette willis', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOQgcQk6wMecNP_k8UAbKemHiI80ouXETeG4D3BakVu05i_41F2zyuHL6DoYyZg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCO6V16u-hXYz1I4Q9hm43WQ', 'authorChannelId': {'value': 'UCO6V16u-hXYz1I4Q9hm43WQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-04T21:45:51Z', 'updatedAt': '2023-06-04T21:45:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCO6V16u-hXYz1I4Q9hm43WQ,2023-06-04T21:45:51Z,Que.  Dios guarde. A Los. Soldados. Ucranianos. Victoria 🇺🇦💪💪🇺🇦🇺🇦🙏🙏🙏❤️❤️ para ucrania,QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,ufPjRP00HaLnIEdzjkhKb_wtC4A,UgwoNcReFAWZ9ob-qAN4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 't-pmsbgIjcypJG8I5ha_5XzqfZo', 'id': 'UgwoNcReFAWZ9ob-qAN4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Украина пабедит рашистов 💙💙💙💛💙💛💙💛💛💛💛💛💙❤', 'textOriginal': 'Украина пабедит рашистов 💙💙💙💛💙💛💙💛💛💛💛💛💙❤', 'authorDisplayName': 'Wehnaz Quliyeva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNzkRS1XtOwVpQkl795Sdj2J21QCVponQNNwqZFp90rK0M8EHAnc24js4KK6u3i=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCp78gciFQJgCOhx90BL4EdA', 'authorChannelId': {'value': 'UCp78gciFQJgCOhx90BL4EdA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-03T13:32:20Z', 'updatedAt': '2023-06-03T13:32:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCp78gciFQJgCOhx90BL4EdA,2023-06-03T13:32:20Z,Украина пабедит рашистов 💙💙💙💛💙💛💙💛💛💛💛💛💙❤,QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,kaHsTpakS62Iz8p9evmLql51e6c,UgzRaIT4CdPp9Tg-FuN4AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tRNklBrwRso-LGO5LBRbxwOVkog', 'id': 'UgzRaIT4CdPp9Tg-FuN4AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Keep safe  all&#39;you Ukraine forces  may god protect you all 🙏🙏', 'textOriginal': ""Keep safe  all'you Ukraine forces  may god protect you all 🙏🙏"", 'authorDisplayName': 'Charles Singh', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM2NA_ll4ZsRD03ZbJImr_3JhTVEsAm1IxHDg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCiM4WjNwe4iRjVA9feP8dpA', 'authorChannelId': {'value': 'UCiM4WjNwe4iRjVA9feP8dpA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-03T00:00:41Z', 'updatedAt': '2023-06-03T00:00:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCiM4WjNwe4iRjVA9feP8dpA,2023-06-03T00:00:41Z,Keep safe  all'you Ukraine forces  may god protect you all 🙏🙏,QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
youtube#commentThread,2Keo1BIDXIVJPXjgM0OOwq3dZBg,Ugws3dARd_ba5vHszI94AaABAg,"{'videoId': 'Y-kkQwz61ys', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Fcz78LvVbCzbuQRqmAsVzHWml7c', 'id': 'Ugws3dARd_ba5vHszI94AaABAg', 'snippet': {'videoId': 'Y-kkQwz61ys', 'textDisplay': 'Вы там по больше всяких колец, цепочек золотых с собой берите, мы потом после присоединения будем копать ездить с проборами, должен же от вас хоть какой то толк быть', 'textOriginal': 'Вы там по больше всяких колец, цепочек золотых с собой берите, мы потом после присоединения будем копать ездить с проборами, должен же от вас хоть какой то толк быть', 'authorDisplayName': 'Анатолий Кольцов', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMakVvfuCTRRIoeehqlPETwzKvNV58UJdcSaib2zdmmelbnXCHGFOYV6JQtREUZjA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCQwOdoMk60C9m4jp9QpynOQ', 'authorChannelId': {'value': 'UCQwOdoMk60C9m4jp9QpynOQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-06-02T12:39:12Z', 'updatedAt': '2023-06-02T12:39:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCQwOdoMk60C9m4jp9QpynOQ,2023-06-02T12:39:12Z,"Вы там по больше всяких колец, цепочек золотых с собой берите, мы потом после присоединения будем копать ездить с проборами, должен же от вас хоть какой то толк быть",QURTSl9pMWJsaXdaeEFJcVA4WjE2clBWRWxWTlRjekgtV2tVbzFaRmpDVEpWNzk0QkFyUDVTdHViS0d1SWd5TGpraFpobVNTd0xqbzU0NExtTDhxUklFcS1fcFZvdVg2,2023-06-09 13:37:00.758180
