kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,gmDG9-5jc49L7BoYzOBs0Gsh5sU,UgzsMtSU2J0UoWx4xSt4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'AW4Q2b64YblgvNeDmhFQoI-yEyI', 'id': 'UgzsMtSU2J0UoWx4xSt4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'Queimar pneu é matar pessoa  asfixiada pode', 'textOriginal': 'Queimar pneu é matar pessoa  asfixiada pode', 'authorDisplayName': 'pipow', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOVEeYYTanxIxRdF7yTesFEkzZt-VW7mfL8esKDumm6Mer6letgHPUxqGv8p4GO=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWCXXJJJL3TKS5jpuHcwCdQ', 'authorChannelId': {'value': 'UCWCXXJJJL3TKS5jpuHcwCdQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T18:02:38Z', 'updatedAt': '2022-10-16T18:02:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCWCXXJJJL3TKS5jpuHcwCdQ,2022-10-16T18:02:38Z,Queimar pneu é matar pessoa  asfixiada pode,,2023-06-07 13:37:37.568679
youtube#commentThread,kr6DBxjrLZVOzV18pNqp0i6RVY8,UgwlWvdDU1zJNbLRJuJ4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'amkZ5GSpPMMbgpuCKetQmXxe2Qc', 'id': 'UgwlWvdDU1zJNbLRJuJ4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'luladrão.', 'textOriginal': 'luladrão.', 'authorDisplayName': 'Marcio Batista', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPcyissGvLSdkGFGYEvoqJqbFavAEIJ_hT0JA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSpNUrnePdwOobRbp7tMcAQ', 'authorChannelId': {'value': 'UCSpNUrnePdwOobRbp7tMcAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-15T22:58:25Z', 'updatedAt': '2022-10-15T22:58:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCSpNUrnePdwOobRbp7tMcAQ,2022-10-15T22:58:25Z,luladrão.,,2023-06-07 13:37:37.568679
youtube#commentThread,31lUQcZYeswAAWJHWVQOds-P63c,UgwwK2NN6MX8ueyiAhd4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1GLIEc3ge6v3CrFQuPsDI2si0jA', 'id': 'UgwwK2NN6MX8ueyiAhd4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'Parece futilidade, mas alguém me alertou e eu conferi! A ainda advogada e blogueira Deolane ,participando de &quot;reality&quot;show na TV bolsonarista de Edir Macedo, após declarar &quot;apoio&quot; da Lula, vem demonstrando comportamento sem ética, agressivo, manipulador , ofensivo a outros participantes, acobertada pela direção do &quot;entretenimento&quot;, com a aparente finalidade de sujar a imagem dos eleitores de Lula e atingindo a postura ética de todos advogados do País, de esquerda ou de direita. É falsidade ideológica!', 'textOriginal': 'Parece futilidade, mas alguém me alertou e eu conferi! A ainda advogada e blogueira Deolane ,participando de ""reality""show na TV bolsonarista de Edir Macedo, após declarar ""apoio"" da Lula, vem demonstrando comportamento sem ética, agressivo, manipulador , ofensivo a outros participantes, acobertada pela direção do ""entretenimento"", com a aparente finalidade de sujar a imagem dos eleitores de Lula e atingindo a postura ética de todos advogados do País, de esquerda ou de direita. É falsidade ideológica!', 'authorDisplayName': 'Koroabom', 'authorProfileImageUrl': 'https://yt3.ggpht.com/MCmWzmj8iq83ZDu17YkUOnq-AFOpgpIuAW-vnDNPr66KkpdHlbRaFn1nNEwCb1MyRBXtXWgA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUrwIGDLgmoc_zCjpxrgW1w', 'authorChannelId': {'value': 'UCUrwIGDLgmoc_zCjpxrgW1w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T19:10:00Z', 'updatedAt': '2022-10-15T19:10:00Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCUrwIGDLgmoc_zCjpxrgW1w,2022-10-15T19:10:00Z,"Parece futilidade, mas alguém me alertou e eu conferi! A ainda advogada e blogueira Deolane ,participando de ""reality""show na TV bolsonarista de Edir Macedo, após declarar ""apoio"" da Lula, vem demonstrando comportamento sem ética, agressivo, manipulador , ofensivo a outros participantes, acobertada pela direção do ""entretenimento"", com a aparente finalidade de sujar a imagem dos eleitores de Lula e atingindo a postura ética de todos advogados do País, de esquerda ou de direita. É falsidade ideológica!",,2023-06-07 13:37:37.568679
youtube#commentThread,uILYOSzLo-A3pTuEP1bqy81t0NE,UgygL3rbXyRENc3RNfN4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OM4hIC5DgtfN9wKAOg7Kgt-LThg', 'id': 'UgygL3rbXyRENc3RNfN4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'Boa tarde à meia noite?', 'textOriginal': 'Boa tarde à meia noite?', 'authorDisplayName': 'luis oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNQEfkfxRTPy3SEtGW8SufYJSMjk7-Lm_GWiA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuSATITBq_5KW7ng2JHz1ew', 'authorChannelId': {'value': 'UCuSATITBq_5KW7ng2JHz1ew'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T19:00:06Z', 'updatedAt': '2022-10-15T19:00:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuSATITBq_5KW7ng2JHz1ew,2022-10-15T19:00:06Z,Boa tarde à meia noite?,,2023-06-07 13:37:37.568679
youtube#commentThread,AvB9glQKb_1TUVdu6rH-0ZPP3A0,UgyDZaS5bNc_xJxQPUN4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QI0qJz7r4IB4K_MQlj3SITxtW98', 'id': 'UgyDZaS5bNc_xJxQPUN4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'O problema do acesso dos usuários das redes sociais e  controle dos fluxos de plataformas que recebem muito dinheiro com as propagandas pagas pelos anunciantes,  existem canais que recebem financiamento e buscam desinformar o eleitor com fakes news e deepfakes. No ano de 2018, nas eleições, houve uma campanha violenta de desmoralização do PT e uma campanha de promoção de bolsonaro. Fizeram os eleitores odiarem o PT e adorar bolsonaro. Depois da fakeada ficou pior ainda. Teve fake news que mostravam bolsonaro como o &quot;messias&quot; e que ele iria salvar o Brasil do comunismo. Muitos brasileiros já estão cientes dessa prática insidiosa de desinformação. Porém, muitos ainda são presas fácil desse mecanismo.', 'textOriginal': 'O problema do acesso dos usuários das redes sociais e  controle dos fluxos de plataformas que recebem muito dinheiro com as propagandas pagas pelos anunciantes,  existem canais que recebem financiamento e buscam desinformar o eleitor com fakes news e deepfakes. No ano de 2018, nas eleições, houve uma campanha violenta de desmoralização do PT e uma campanha de promoção de bolsonaro. Fizeram os eleitores odiarem o PT e adorar bolsonaro. Depois da fakeada ficou pior ainda. Teve fake news que mostravam bolsonaro como o ""messias"" e que ele iria salvar o Brasil do comunismo. Muitos brasileiros já estão cientes dessa prática insidiosa de desinformação. Porém, muitos ainda são presas fácil desse mecanismo.', 'authorDisplayName': 'Hilda L', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMgjIY_gZOYHKx40hm8Ly70rIrRTtgqxLdGnw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCURIXRSX7j94XTvOyhSblKA', 'authorChannelId': {'value': 'UCURIXRSX7j94XTvOyhSblKA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T17:35:39Z', 'updatedAt': '2022-10-15T17:35:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCURIXRSX7j94XTvOyhSblKA,2022-10-15T17:35:39Z,"O problema do acesso dos usuários das redes sociais e  controle dos fluxos de plataformas que recebem muito dinheiro com as propagandas pagas pelos anunciantes,  existem canais que recebem financiamento e buscam desinformar o eleitor com fakes news e deepfakes. No ano de 2018, nas eleições, houve uma campanha violenta de desmoralização do PT e uma campanha de promoção de bolsonaro. Fizeram os eleitores odiarem o PT e adorar bolsonaro. Depois da fakeada ficou pior ainda. Teve fake news que mostravam bolsonaro como o ""messias"" e que ele iria salvar o Brasil do comunismo. Muitos brasileiros já estão cientes dessa prática insidiosa de desinformação. Porém, muitos ainda são presas fácil desse mecanismo.",,2023-06-07 13:37:37.568679
youtube#commentThread,kzduFfTmcJhWheX5Bixc9af_qQQ,UgzBC63CTPH_buzE_kp4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'S83RrDnzSul_wBDMtq_2n6sYW84', 'id': 'UgzBC63CTPH_buzE_kp4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'Miguel, discordo que houve clima de já ganhou. Porém, os demais argumentos que pontuou foram bons. Abraços', 'textOriginal': 'Miguel, discordo que houve clima de já ganhou. Porém, os demais argumentos que pontuou foram bons. Abraços', 'authorDisplayName': 'Lúcia Simões', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOc8iclztFYqGcxG11D5i1rKzyoXeu8tJJ8a58uaA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2pLRkmT2xrdnAEogBLUyAg', 'authorChannelId': {'value': 'UC2pLRkmT2xrdnAEogBLUyAg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T14:33:48Z', 'updatedAt': '2022-10-15T14:33:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2pLRkmT2xrdnAEogBLUyAg,2022-10-15T14:33:48Z,"Miguel, discordo que houve clima de já ganhou. Porém, os demais argumentos que pontuou foram bons. Abraços",,2023-06-07 13:37:37.568679
youtube#commentThread,khT7o2IlAcAVMKLYKMzCgQw8INY,UgwzSAj1L94yiuu6H3F4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2tBr8syZMN6SN7d9ow1v7uaub6A', 'id': 'UgwzSAj1L94yiuu6H3F4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'Conde, discordo que tenha sido erro o uso do boné. O problema é a ignorância da campanha desse DESGOVERNO. Abr', 'textOriginal': 'Conde, discordo que tenha sido erro o uso do boné. O problema é a ignorância da campanha desse DESGOVERNO. Abr', 'authorDisplayName': 'Lúcia Simões', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOc8iclztFYqGcxG11D5i1rKzyoXeu8tJJ8a58uaA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2pLRkmT2xrdnAEogBLUyAg', 'authorChannelId': {'value': 'UC2pLRkmT2xrdnAEogBLUyAg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T14:32:21Z', 'updatedAt': '2022-10-15T14:32:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2pLRkmT2xrdnAEogBLUyAg,2022-10-15T14:32:21Z,"Conde, discordo que tenha sido erro o uso do boné. O problema é a ignorância da campanha desse DESGOVERNO. Abr",,2023-06-07 13:37:37.568679
youtube#commentThread,r9zgw5jirRxRkIHQpKzgER5vgwE,UgwzQ5Ccwpglbg1ImrB4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-T7xSRawMGC9OJXXxBQeytTnCa8', 'id': 'UgwzQ5Ccwpglbg1ImrB4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'Zumbinauros', 'textOriginal': 'Zumbinauros', 'authorDisplayName': 'Cleide Ramos da silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMWSiWs9rJQf9R5Tos5DBjTPvzgRtOJ38-mXg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYsqA5DsA0H0V4npYS9QOhw', 'authorChannelId': {'value': 'UCYsqA5DsA0H0V4npYS9QOhw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-15T11:42:14Z', 'updatedAt': '2022-10-15T11:42:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYsqA5DsA0H0V4npYS9QOhw,2022-10-15T11:42:14Z,Zumbinauros,,2023-06-07 13:37:37.568679
youtube#commentThread,pSkgmg4w1eX_8tRRXD2ZZmrgZEk,UgyQbxeeNH3a77Ap-1F4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6Hh8JNGD89QVSB-l-oT7uE2FREI', 'id': 'UgyQbxeeNH3a77Ap-1F4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'O termo fascista não significa nada para o povo. As pessoas não sabem o que isso significa. A esquerda não usa uma linguagem que chegue ao povo, por isso na reta final a direita, através de suas fakenews, curtas e grossas, altera o quadro.', 'textOriginal': 'O termo fascista não significa nada para o povo. As pessoas não sabem o que isso significa. A esquerda não usa uma linguagem que chegue ao povo, por isso na reta final a direita, através de suas fakenews, curtas e grossas, altera o quadro.', 'authorDisplayName': 'FS Juarez', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNo8dzoT830MovqGqSevBR4_f_-0sGE5iePBTL_=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCfXkw245mF6Lb5oxss-cAQ', 'authorChannelId': {'value': 'UCCfXkw245mF6Lb5oxss-cAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T10:15:40Z', 'updatedAt': '2022-10-15T10:15:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCCfXkw245mF6Lb5oxss-cAQ,2022-10-15T10:15:40Z,"O termo fascista não significa nada para o povo. As pessoas não sabem o que isso significa. A esquerda não usa uma linguagem que chegue ao povo, por isso na reta final a direita, através de suas fakenews, curtas e grossas, altera o quadro.",,2023-06-07 13:37:37.568679
youtube#commentThread,_ZFkpQi9vJ3RG9p-Ngsd9XRYWl4,UgwgFH91eP9D1hLvOkN4AaABAg,"{'videoId': 'qQbbXS4cA40', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zfb19C_sjlSTLpHIMutGanGatzc', 'id': 'UgwgFH91eP9D1hLvOkN4AaABAg', 'snippet': {'videoId': 'qQbbXS4cA40', 'textDisplay': 'Conde  bom dia companheiro processo é simples o favorito não  èra o Lula  quem está com  a máquina na mãos é o direita  , ELES jogaram tudo estava convictos da vitória arrasadora  não levaram  acabou Lula 13', 'textOriginal': 'Conde  bom dia companheiro processo é simples o favorito não  èra o Lula  quem está com  a máquina na mãos é o direita  , ELES jogaram tudo estava convictos da vitória arrasadora  não levaram  acabou Lula 13', 'authorDisplayName': 'Clécio Aparecido salvador', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOoxvLLqk6HulPdlXiHTqLDitJbrDnBbthimf_g1_AdDkd0qxapVEbJX33GgQjh=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7YZlPDfM0ZFmzDMOdGSUJg', 'authorChannelId': {'value': 'UC7YZlPDfM0ZFmzDMOdGSUJg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T09:48:33Z', 'updatedAt': '2022-10-15T09:48:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7YZlPDfM0ZFmzDMOdGSUJg,2022-10-15T09:48:33Z,"Conde  bom dia companheiro processo é simples o favorito não  èra o Lula  quem está com  a máquina na mãos é o direita  , ELES jogaram tudo estava convictos da vitória arrasadora  não levaram  acabou Lula 13",,2023-06-07 13:37:37.568679
