kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,iSugqocIjbXmBwof9eOFPK5soKM,UgwT5fLkEmcDc6FfsG94AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'AXWeSc4Qm8pUzF6cBBHtyAlF77I', 'id': 'UgwT5fLkEmcDc6FfsG94AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Pt a todo vapor eu quero ver so a lapada', 'textOriginal': 'Pt a todo vapor eu quero ver so a lapada', 'authorDisplayName': 'edivandantas dantas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqND8HhsXwhtUVzJmS-RpBtvR_pyU-DYgChkuQv8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCxd2a9EPcp3GFJbunxn-rsQ', 'authorChannelId': {'value': 'UCxd2a9EPcp3GFJbunxn-rsQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-17T13:59:10Z', 'updatedAt': '2022-10-17T13:59:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCxd2a9EPcp3GFJbunxn-rsQ,2022-10-17T13:59:10Z,Pt a todo vapor eu quero ver so a lapada,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,6xBx3vijKwa6CvRVwic7NkjKm0w,UgzQ3WISXwtcYT-GlaZ4AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-uOubg3Q7g16FiyJwWJWUtHmyZs', 'id': 'UgzQ3WISXwtcYT-GlaZ4AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Hj eh dia dele ser massacrado .Aguardo ansioso', 'textOriginal': 'Hj eh dia dele ser massacrado .Aguardo ansioso', 'authorDisplayName': 'Diego Da Hora', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO76Nw6U0Hk_cg7Miov1_pvuzegkJSXrPb-it-QZWI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChK7TzlAv01Wp9H9tx5JXzA', 'authorChannelId': {'value': 'UChK7TzlAv01Wp9H9tx5JXzA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T21:36:15Z', 'updatedAt': '2022-10-16T21:36:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UChK7TzlAv01Wp9H9tx5JXzA,2022-10-16T21:36:15Z,Hj eh dia dele ser massacrado .Aguardo ansioso,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,KXYlGuwQsvkdLRgkgPdlhmGwR78,Ugy0jfc7yhIXNjtQcqB4AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3OkvT7bGx8b8wZANrxPUPUI6Uk0', 'id': 'Ugy0jfc7yhIXNjtQcqB4AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Ai tem coisa e Deus revelará 🙏', 'textOriginal': 'Ai tem coisa e Deus revelará 🙏', 'authorDisplayName': 'Manoel Neto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOXMSnIxNiq7-kTuSbVwe7W5wHoUItnJlh-1k7jHx_n5AGoSm8J3JCeoap1_7Rn=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCPgL-Qp3e4IO8TavWSKn2WA', 'authorChannelId': {'value': 'UCPgL-Qp3e4IO8TavWSKn2WA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-16T18:23:55Z', 'updatedAt': '2022-10-16T18:23:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCPgL-Qp3e4IO8TavWSKn2WA,2022-10-16T18:23:55Z,Ai tem coisa e Deus revelará 🙏,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,WyVH6Wu4vnpGGyMuVGSq8iB0DoU,UgzY8Ie0ye1grH-S7iN4AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'k_EgO7lG7MLLhBUlwWQ-72J2-84', 'id': 'UgzY8Ie0ye1grH-S7iN4AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Proibido falar para o Bozo: rachadinha, orçamento secreto, Aristides', 'textOriginal': 'Proibido falar para o Bozo: rachadinha, orçamento secreto, Aristides', 'authorDisplayName': 'Geovane Sousa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMZmibJIa7--D7xsl95eT4wqHd5QfiauD9-XzQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRchd9jgUSjMYTXb2ntD7bQ', 'authorChannelId': {'value': 'UCRchd9jgUSjMYTXb2ntD7bQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T17:31:40Z', 'updatedAt': '2022-10-15T17:31:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRchd9jgUSjMYTXb2ntD7bQ,2022-10-15T17:31:40Z,"Proibido falar para o Bozo: rachadinha, orçamento secreto, Aristides",QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,pmNB6MdE_VE7Bb4Q9FJEmqoVAoA,UgzmfgljGDgyY79FAI54AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jCfX_Xef7CmxCQXXRmkuN7zZY0Q', 'id': 'UgzmfgljGDgyY79FAI54AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'A única coisa que sei fazer direto é defender meu presidente mintooo mintooo 🤣🤣🤣🤣🤣🤡🤡🇧🇷🇧🇷', 'textOriginal': 'A única coisa que sei fazer direto é defender meu presidente mintooo mintooo 🤣🤣🤣🤣🤣🤡🤡🇧🇷🇧🇷', 'authorDisplayName': 'Moto G', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqP6XcRf0Zl95rfOtM_W3Wd1IvlhfoVhxVVaSA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCadzdMWoGX3pkliYX09xNpA', 'authorChannelId': {'value': 'UCadzdMWoGX3pkliYX09xNpA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T02:13:38Z', 'updatedAt': '2022-10-15T02:13:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCadzdMWoGX3pkliYX09xNpA,2022-10-15T02:13:38Z,A única coisa que sei fazer direto é defender meu presidente mintooo mintooo 🤣🤣🤣🤣🤣🤡🤡🇧🇷🇧🇷,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,QJR7hS7K6u4J0evj9uqePTVrheo,UgyXkd6XHyIP9tIERhh4AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Nn-FQ2E4cPBIxyv6DB1KplA7uWw', 'id': 'UgyXkd6XHyIP9tIERhh4AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Presidente safado', 'textOriginal': 'Presidente safado', 'authorDisplayName': 'Jailton Barbosa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO_--VKKitEDeVx4UWnBih8ZjT58d2Tz9z9vA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8vCUVjPWJZRgF8b5jPICIA', 'authorChannelId': {'value': 'UC8vCUVjPWJZRgF8b5jPICIA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-15T00:28:33Z', 'updatedAt': '2022-10-15T00:28:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8vCUVjPWJZRgF8b5jPICIA,2022-10-15T00:28:33Z,Presidente safado,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,FXSPmJzDvtyhOs2JDpmb7rwGSRQ,UgxVORfYmkrkhMdeJtx4AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'PYawZoU29FvcD4TFsLDX9vD4-kM', 'id': 'UgxVORfYmkrkhMdeJtx4AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Segredo secreto é coisa POBRE igual a ele chujo', 'textOriginal': 'Segredo secreto é coisa POBRE igual a ele chujo', 'authorDisplayName': 'luciana puelker', 'authorProfileImageUrl': 'https://yt3.ggpht.com/VQRLb2bfaKvSG1DiLQiu8f_hRiLWR5OV7pKow1lW5BKMsxOl0WIe5n3lFh3VKIXg7TBml209zg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRgXSajn1TNCFZdKlHzHBjQ', 'authorChannelId': {'value': 'UCRgXSajn1TNCFZdKlHzHBjQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T00:17:40Z', 'updatedAt': '2022-10-15T00:17:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRgXSajn1TNCFZdKlHzHBjQ,2022-10-15T00:17:40Z,Segredo secreto é coisa POBRE igual a ele chujo,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,zSAgPcjNQ-7xUFJuRYNZ6kmW3dA,UgzKW6B8WcTQpe_RsOJ4AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MRiYscvdS1cEhWKBV1M_PPhc6iU', 'id': 'UgzKW6B8WcTQpe_RsOJ4AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Idiota nem sabe responder', 'textOriginal': 'Idiota nem sabe responder', 'authorDisplayName': 'luciana puelker', 'authorProfileImageUrl': 'https://yt3.ggpht.com/VQRLb2bfaKvSG1DiLQiu8f_hRiLWR5OV7pKow1lW5BKMsxOl0WIe5n3lFh3VKIXg7TBml209zg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRgXSajn1TNCFZdKlHzHBjQ', 'authorChannelId': {'value': 'UCRgXSajn1TNCFZdKlHzHBjQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-15T00:16:42Z', 'updatedAt': '2022-10-15T00:16:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRgXSajn1TNCFZdKlHzHBjQ,2022-10-15T00:16:42Z,Idiota nem sabe responder,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,20NHkaCaxAQHjd2syqXAVY_3XAY,Ugz1fMtMpeAUgEwpfL14AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hYQi4TZcyV8xtuZq0OUPp8rJwfo', 'id': 'Ugz1fMtMpeAUgEwpfL14AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'O imbrochável não correu da raia.', 'textOriginal': 'O imbrochável não correu da raia.', 'authorDisplayName': 'Rosa Muniz', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNTR24HJtG1DG0ouYKgvbABQjcGXpTThRpH4Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCARf2prSVXkyoO_sE8zelhA', 'authorChannelId': {'value': 'UCARf2prSVXkyoO_sE8zelhA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-14T23:57:13Z', 'updatedAt': '2022-10-14T23:57:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCARf2prSVXkyoO_sE8zelhA,2022-10-14T23:57:13Z,O imbrochável não correu da raia.,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
youtube#commentThread,-_khTiWrmuZ97tPvBO4Qq6oTWiE,Ugzla759hDqUjMGXn_94AaABAg,"{'videoId': 'FLVHtQYWEd0', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'nu7demzde-mvIf7Ho96VW-pd4a8', 'id': 'Ugzla759hDqUjMGXn_94AaABAg', 'snippet': {'videoId': 'FLVHtQYWEd0', 'textDisplay': 'Jesus Cristo salva a minha alma do inferno.', 'textOriginal': 'Jesus Cristo salva a minha alma do inferno.', 'authorDisplayName': 'Dorinha Procópio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO9PXc_QZj8E6LMQJ8ooccx4tdU85ePWyXO2yZ6=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwtXNS9l9Ka1lfS2Y8UopCA', 'authorChannelId': {'value': 'UCwtXNS9l9Ka1lfS2Y8UopCA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-14T20:50:23Z', 'updatedAt': '2022-10-14T20:50:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwtXNS9l9Ka1lfS2Y8UopCA,2022-10-14T20:50:23Z,Jesus Cristo salva a minha alma do inferno.,QURTSl9pMzhZWm9ZbVoySXdxdGRQLV9yRUNXbm9xU1c0Wlc3Vl9KMVo1eHY4VnNubElQNHlITFYzT2pPR093TlpuZjREblNuWTVDRDgybw==,2023-06-09 13:41:30.752783
