kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,a2Y3kMf2oQSjJZ_QXWyj6vx-7Kc,Ugwm-3YvrQ28gExMQeh4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'aYtNiEYHzG5SXbKcbO5tEj_0Kto', 'id': 'Ugwm-3YvrQ28gExMQeh4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': '👆🏿👆🏿👆🏿 NÃO ESQUEÇA DE ATIVAR A LEGENDA NAS CONFIGURAÇÕES DO VÍDEO 👆🏿👆🏿👆🏿', 'textOriginal': '👆🏿👆🏿👆🏿 NÃO ESQUEÇA DE ATIVAR A LEGENDA NAS CONFIGURAÇÕES DO VÍDEO 👆🏿👆🏿👆🏿', 'authorDisplayName': 'TV Boitempo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOAyKrySL7e6r_MMwGudp37Q0discjlLNq9B8zOiw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCzwfw0utuEVxc4D6ggXcqiQ', 'authorChannelId': {'value': 'UCzwfw0utuEVxc4D6ggXcqiQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 4, 'publishedAt': '2022-10-25T21:22:01Z', 'updatedAt': '2022-10-25T21:22:01Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'ELwYt1YNZY8EJiSZ0LQedOZsX8U', 'id': 'Ugwm-3YvrQ28gExMQeh4AaABAg.9hcCrpimBPk9heIanGGgiv', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'Só sei que foi triste ver o Aemond tapa-olho matando o filho da Rhaenyra no final...\\r<br>\\r<br>Rhaenyra vai ser a próxima, depois o Daemon mata o Aemond com uma espadada no olho que sobrou', 'textOriginal': 'Só sei que foi triste ver o Aemond tapa-olho matando o filho da Rhaenyra no final...\\r\\n\\r\\nRhaenyra vai ser a próxima, depois o Daemon mata o Aemond com uma espadada no olho que sobrou', 'parentId': 'Ugwm-3YvrQ28gExMQeh4AaABAg', 'authorDisplayName': 'Elias do Diálogo Cabuloso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/GmcOPh5jl7haZcL2h0KGGfztsYIFSaKJcNTxuMgmjPFO4kj5djkg_TGt9Xc8aTMGidRtcgYOiA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE_3u0KYKioQzjmMEhgvAoQ', 'authorChannelId': {'value': 'UCE_3u0KYKioQzjmMEhgvAoQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T16:50:36Z', 'updatedAt': '2022-10-26T16:50:36Z'}}]}",UCzwfw0utuEVxc4D6ggXcqiQ,2022-10-25T21:22:01Z,👆🏿👆🏿👆🏿 NÃO ESQUEÇA DE ATIVAR A LEGENDA NAS CONFIGURAÇÕES DO VÍDEO 👆🏿👆🏿👆🏿,,2023-06-09 13:49:42.862077
youtube#commentThread,LvnqK0CckxmfuWdbsgprqBRyUnA,UgwV2Jv6E80cJVwPaTN4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NwPFgFXD5lKP578SURly4DZ_qFg', 'id': 'UgwV2Jv6E80cJVwPaTN4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': '❤️❤️❤️❤️', 'textOriginal': '❤️❤️❤️❤️', 'authorDisplayName': 'Priscilla Franco', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPHUBPv6fTbeGZzqsmJHur7A0pgXkH1ILoKocqE_Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgQD4Bc7QpxDDR8nTzzxeSw', 'authorChannelId': {'value': 'UCgQD4Bc7QpxDDR8nTzzxeSw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T23:30:10Z', 'updatedAt': '2022-11-03T23:30:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgQD4Bc7QpxDDR8nTzzxeSw,2022-11-03T23:30:10Z,❤️❤️❤️❤️,,2023-06-09 13:49:42.862077
youtube#commentThread,SQl153ZbRFaQTsfeHK7P0PcvMEw,UgwTNEvGAlHun_Sf5Hp4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'lNYSvVWiHTpjlcnNlHHF0c0OX4o', 'id': 'UgwTNEvGAlHun_Sf5Hp4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'Conteúdo sensacional!', 'textOriginal': 'Conteúdo sensacional!', 'authorDisplayName': 'Eliseu Quirino Rodrigues', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNdkGQa9bgbepJ3PDbg_J-UONEWUVrEof9ETbOZmqoLV45CyqPovdkum9R_dCeB=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCle7EF6wcRxTeSEFPrv3SbQ', 'authorChannelId': {'value': 'UCle7EF6wcRxTeSEFPrv3SbQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T20:12:40Z', 'updatedAt': '2022-10-26T20:12:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCle7EF6wcRxTeSEFPrv3SbQ,2022-10-26T20:12:40Z,Conteúdo sensacional!,,2023-06-09 13:49:42.862077
youtube#commentThread,m5A0A6SgaXGL-lvBNp7up9R3tzk,UgwVm9ii7-zE9JIWg1l4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GCEuXIa91Tly5jnNcnW6JcqE3T0', 'id': 'UgwVm9ii7-zE9JIWg1l4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'At this complicated moment, her words are priceless ✨', 'textOriginal': 'At this complicated moment, her words are priceless ✨', 'authorDisplayName': 'Henrique Rebouças', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMnIJBKvDHnYpDVIaYUrfq9PSvF7hdpgAiPG2OFKA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7HU4F6nD8Y-19SjGmjqTnw', 'authorChannelId': {'value': 'UC7HU4F6nD8Y-19SjGmjqTnw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T18:28:38Z', 'updatedAt': '2022-10-26T18:28:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7HU4F6nD8Y-19SjGmjqTnw,2022-10-26T18:28:38Z,"At this complicated moment, her words are priceless ✨",,2023-06-09 13:49:42.862077
youtube#commentThread,ihI5uOpiiNmJaKLDEXxc88oQwiY,UgxEVjkN-pxDFhld5Al4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fpBOAqoNr6SAyCfDk3PxQ22hXRM', 'id': 'UgxEVjkN-pxDFhld5Al4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'Legaliza 🌞🌱', 'textOriginal': 'Legaliza 🌞🌱', 'authorDisplayName': 'Kalado Adonai', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNqPH8-bXMF2NRL4tdOrvONLS9x2NOt-8JDLQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVd5nKK0gIQ7Q0tZfAX5U4w', 'authorChannelId': {'value': 'UCVd5nKK0gIQ7Q0tZfAX5U4w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-26T11:20:17Z', 'updatedAt': '2022-10-26T11:20:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVd5nKK0gIQ7Q0tZfAX5U4w,2022-10-26T11:20:17Z,Legaliza 🌞🌱,,2023-06-09 13:49:42.862077
youtube#commentThread,SNInsftKzl6QcIUxWAlRlfar92k,Ugwzv180CjDkDpdwRUp4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Eym7AKUrxtUMsiZGsXWEG-6aCxk', 'id': 'Ugwzv180CjDkDpdwRUp4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'Agradecendo !💜❤', 'textOriginal': 'Agradecendo !💜❤', 'authorDisplayName': 'Joyce Cesar Pires', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Vk-v1tG81pG9fNVGnzQG5Azp4Cn_Pc1VTNni0R7CmVxKPLfXiwbe4YS1dhFacC-c-9MVPgOU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4-HdCtksEEh1HF_8dkgbhQ', 'authorChannelId': {'value': 'UC4-HdCtksEEh1HF_8dkgbhQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-26T10:49:01Z', 'updatedAt': '2022-10-26T10:49:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4-HdCtksEEh1HF_8dkgbhQ,2022-10-26T10:49:01Z,Agradecendo !💜❤,,2023-06-09 13:49:42.862077
youtube#commentThread,U8_Fw-xuAKAPeOTT9PmZVS-QNYo,UgxRGWHuVbIu-oYpdiF4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Wz-YyF5WTncVwLRj6F7LqWrJw_0', 'id': 'UgxRGWHuVbIu-oYpdiF4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'ENFRENTANDO <br>Estamos aqui, diante do horror de uma possível reeleição desse nazifascista, nos agarrando aos 8 pontos que poderão eleger Lula e a Frente transcendente (mais que Ampla).<br>Há alguns anos, inimaginável... estaríamos esbravejando contra os partidos da esquerda  Entretanto,  diante do abismo da barbárie, aqui estamos .<br>Ninguém larga a mão de ninguém. <br>Pelo Brasil,  por você,  por nós, pelos jovens,  crianças, negros e mulheres,  pelos gays, lésbicas , trans, bi, por mim.<br>Por Marielle, Anderson, e por todos que sofreram nas mãos das milícias bolsonaristas, por todos os torturados e assassinados, pelos ofendidos e humilhados   E tb pelos que seguem enganados. <br><br>E gritamos:<br>Ele é um  Hitler, o  Mussolini, Anticristo!<br>Um &quot;Sedutor&quot; Perverso,  Psicopata<br> Sádico !<br> Se faz de sonso...<br><br>Os fascistas sempre estiveram aí, algum mecanismo impedia de mostrarem sua essência. Na vdd, convivemos com gente assim desde sempre. Nunca imaginamos o quanto de sadismo havia neles<br> São sim, pedófilos, comem ou se deixam comer por gays, batem em mulheres, exploram empregados, excluem os deficientes, debocham e zombam dos pobres e miseráveis, matam negros e indígenas, estupram sempre que podem qualquer um ou uma...<br>( Tudo aqui saiu da minha raiva, mágoa, ódio. Expurguei tudo)<br><br>Sim. Essa gente estúpida nos faz mal. Contamina. E a gente evita ver, pra não fazer sintoma... e se fizer, catarse!<br><br>Não vai ser fácil, mesmo com a nossa vitória em 30 de outubro  Eles vão continuar, com hegemonia no Congresso, imperializando as redes com mentiras, fazendo uma dura oposição.<br>Se o nazi se reeleger, será a tragédia.<br>Seremos jogados nos guetos. E a Europa assistirá de perto a nossa desgraça. Lá tb estão cercados pela extrema-direita, e conhecem de sobra o que isso significa.<br><br>Mas, sigamos! A dialética está sempre agindo e essa é a nossa única certeza.<br><br>(Lyudmila Brecht &amp; Joyce Pires <br>25 out 22)', 'textOriginal': 'ENFRENTANDO \\nEstamos aqui, diante do horror de uma possível reeleição desse nazifascista, nos agarrando aos 8 pontos que poderão eleger Lula e a Frente transcendente (mais que Ampla).\\nHá alguns anos, inimaginável... estaríamos esbravejando contra os partidos da esquerda  Entretanto,  diante do abismo da barbárie, aqui estamos .\\nNinguém larga a mão de ninguém. \\nPelo Brasil,  por você,  por nós, pelos jovens,  crianças, negros e mulheres,  pelos gays, lésbicas , trans, bi, por mim.\\nPor Marielle, Anderson, e por todos que sofreram nas mãos das milícias bolsonaristas, por todos os torturados e assassinados, pelos ofendidos e humilhados   E tb pelos que seguem enganados. \\n\\nE gritamos:\\nEle é um  Hitler, o  Mussolini, Anticristo!\\nUm ""Sedutor"" Perverso,  Psicopata\\n Sádico !\\n Se faz de sonso...\\n\\nOs fascistas sempre estiveram aí, algum mecanismo impedia de mostrarem sua essência. Na vdd, convivemos com gente assim desde sempre. Nunca imaginamos o quanto de sadismo havia neles\\n São sim, pedófilos, comem ou se deixam comer por gays, batem em mulheres, exploram empregados, excluem os deficientes, debocham e zombam dos pobres e miseráveis, matam negros e indígenas, estupram sempre que podem qualquer um ou uma...\\n( Tudo aqui saiu da minha raiva, mágoa, ódio. Expurguei tudo)\\n\\nSim. Essa gente estúpida nos faz mal. Contamina. E a gente evita ver, pra não fazer sintoma... e se fizer, catarse!\\n\\nNão vai ser fácil, mesmo com a nossa vitória em 30 de outubro  Eles vão continuar, com hegemonia no Congresso, imperializando as redes com mentiras, fazendo uma dura oposição.\\nSe o nazi se reeleger, será a tragédia.\\nSeremos jogados nos guetos. E a Europa assistirá de perto a nossa desgraça. Lá tb estão cercados pela extrema-direita, e conhecem de sobra o que isso significa.\\n\\nMas, sigamos! A dialética está sempre agindo e essa é a nossa única certeza.\\n\\n(Lyudmila Brecht & Joyce Pires \\n25 out 22)', 'authorDisplayName': 'Joyce Cesar Pires', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Vk-v1tG81pG9fNVGnzQG5Azp4Cn_Pc1VTNni0R7CmVxKPLfXiwbe4YS1dhFacC-c-9MVPgOU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC4-HdCtksEEh1HF_8dkgbhQ', 'authorChannelId': {'value': 'UC4-HdCtksEEh1HF_8dkgbhQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T10:46:25Z', 'updatedAt': '2022-10-26T10:46:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC4-HdCtksEEh1HF_8dkgbhQ,2022-10-26T10:46:25Z,"ENFRENTANDO 
Estamos aqui, diante do horror de uma possível reeleição desse nazifascista, nos agarrando aos 8 pontos que poderão eleger Lula e a Frente transcendente (mais que Ampla).
Há alguns anos, inimaginável... estaríamos esbravejando contra os partidos da esquerda  Entretanto,  diante do abismo da barbárie, aqui estamos .
Ninguém larga a mão de ninguém. 
Pelo Brasil,  por você,  por nós, pelos jovens,  crianças, negros e mulheres,  pelos gays, lésbicas , trans, bi, por mim.
Por Marielle, Anderson, e por todos que sofreram nas mãos das milícias bolsonaristas, por todos os torturados e assassinados, pelos ofendidos e humilhados   E tb pelos que seguem enganados. 

E gritamos:
Ele é um  Hitler, o  Mussolini, Anticristo!
Um ""Sedutor"" Perverso,  Psicopata
 Sádico !
 Se faz de sonso...

Os fascistas sempre estiveram aí, algum mecanismo impedia de mostrarem sua essência. Na vdd, convivemos com gente assim desde sempre. Nunca imaginamos o quanto de sadismo havia neles
 São sim, pedófilos, comem ou se deixam comer por gays, batem em mulheres, exploram empregados, excluem os deficientes, debocham e zombam dos pobres e miseráveis, matam negros e indígenas, estupram sempre que podem qualquer um ou uma...
( Tudo aqui saiu da minha raiva, mágoa, ódio. Expurguei tudo)

Sim. Essa gente estúpida nos faz mal. Contamina. E a gente evita ver, pra não fazer sintoma... e se fizer, catarse!

Não vai ser fácil, mesmo com a nossa vitória em 30 de outubro  Eles vão continuar, com hegemonia no Congresso, imperializando as redes com mentiras, fazendo uma dura oposição.
Se o nazi se reeleger, será a tragédia.
Seremos jogados nos guetos. E a Europa assistirá de perto a nossa desgraça. Lá tb estão cercados pela extrema-direita, e conhecem de sobra o que isso significa.

Mas, sigamos! A dialética está sempre agindo e essa é a nossa única certeza.

(Lyudmila Brecht & Joyce Pires 
25 out 22)",,2023-06-09 13:49:42.862077
youtube#commentThread,URUEEKxIyfvD9w9cqukyQXg1Bt8,UgwIALixAiD1z85_hhR4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YtGyD4-biA-htmqAhGKFM5jbwvY', 'id': 'UgwIALixAiD1z85_hhR4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'Só sei que foi triste ver o Aemond tapa-olho matando o filho da Rhaenyra no final...\\r<br>\\r<br>Rhaenyra vai ser a próxima, depois o Daemon mata o Aemond com uma espadada no olho que sobrou', 'textOriginal': 'Só sei que foi triste ver o Aemond tapa-olho matando o filho da Rhaenyra no final...\\r\\n\\r\\nRhaenyra vai ser a próxima, depois o Daemon mata o Aemond com uma espadada no olho que sobrou', 'authorDisplayName': 'Elias do Diálogo Cabuloso', 'authorProfileImageUrl': 'https://yt3.ggpht.com/GmcOPh5jl7haZcL2h0KGGfztsYIFSaKJcNTxuMgmjPFO4kj5djkg_TGt9Xc8aTMGidRtcgYOiA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE_3u0KYKioQzjmMEhgvAoQ', 'authorChannelId': {'value': 'UCE_3u0KYKioQzjmMEhgvAoQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-26T08:24:18Z', 'updatedAt': '2022-10-26T08:24:18Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCE_3u0KYKioQzjmMEhgvAoQ,2022-10-26T08:24:18Z,"Só sei que foi triste ver o Aemond tapa-olho matando o filho da Rhaenyra no final...

Rhaenyra vai ser a próxima, depois o Daemon mata o Aemond com uma espadada no olho que sobrou",,2023-06-09 13:49:42.862077
youtube#commentThread,QK4guxwqq5l8RrZTZkiYlaEtkd4,Ugz6Tc_k261OPhRf_Ex4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'S4KR3f9rQwLI4BDW1iq5mZN-PR4', 'id': 'Ugz6Tc_k261OPhRf_Ex4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': '😺', 'textOriginal': '😺', 'authorDisplayName': 'Gabriel T.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/BXjbpoZJwnkM0mik1THNUV3A9i9rng2lh23O7iiU6aJDgP2-YVBpeiAdo7oCa9AHL7Y4La6orQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCN1Jh9OHTntH_Xd1JHb8rKA', 'authorChannelId': {'value': 'UCN1Jh9OHTntH_Xd1JHb8rKA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-26T03:31:07Z', 'updatedAt': '2022-10-26T03:31:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCN1Jh9OHTntH_Xd1JHb8rKA,2022-10-26T03:31:07Z,😺,,2023-06-09 13:49:42.862077
youtube#commentThread,1_Ghp8z63W37cNAvYPqJP7ZJQnM,UgzntBmHz-IcLjconEJ4AaABAg,"{'videoId': 'DrS-FhXeKdU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UtlAmBmUX72S_h3mnLIddxyPt2U', 'id': 'UgzntBmHz-IcLjconEJ4AaABAg', 'snippet': {'videoId': 'DrS-FhXeKdU', 'textDisplay': 'Lutadora, inteligente e necessária, parabéns Angela, seu nome está na história ✊🏼', 'textOriginal': 'Lutadora, inteligente e necessária, parabéns Angela, seu nome está na história ✊🏼', 'authorDisplayName': 'Diogo Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPckoiKJ-yCKqB48kekp1i-L71_7c7VfYUkfaDYGw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRmy9eZ6ldLcht6pNjGauSw', 'authorChannelId': {'value': 'UCRmy9eZ6ldLcht6pNjGauSw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-25T21:41:25Z', 'updatedAt': '2022-10-25T21:41:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRmy9eZ6ldLcht6pNjGauSw,2022-10-25T21:41:25Z,"Lutadora, inteligente e necessária, parabéns Angela, seu nome está na história ✊🏼",,2023-06-09 13:49:42.862077
