kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,3sk1qH8YWj6dEA9xvBkULP7XrZ0,UgzUneqIuKejyngtZaJ4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'u8KrMVZWFuDP8uhoUIE_z3P8QLE', 'id': 'UgzUneqIuKejyngtZaJ4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Essa é a primeira vez que termino um vídeo do canal aos prantos! Um pranto de lavar a minha alma, de entender a força nas palavras da Sabrina, o brilho do olhar dela de quem entende o que passamos juntos mas que ao entender não se contenta em apenas relatar e nos dá força, nos enche de garra! Só posso agradecer! Venceremos, em grupo!', 'textOriginal': 'Essa é a primeira vez que termino um vídeo do canal aos prantos! Um pranto de lavar a minha alma, de entender a força nas palavras da Sabrina, o brilho do olhar dela de quem entende o que passamos juntos mas que ao entender não se contenta em apenas relatar e nos dá força, nos enche de garra! Só posso agradecer! Venceremos, em grupo!', 'authorDisplayName': 'Ana Almeida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/YUuXo93v73Kk1fg0pMtjw4s_Tb7j7gicUQJcQ77H4J8r3Cshadg98R8vaBv0lZ7YLZBM7Lbg5w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCiHV51gz-Ed32geH82HCOdw', 'authorChannelId': {'value': 'UCiHV51gz-Ed32geH82HCOdw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 163, 'publishedAt': '2022-10-27T20:15:06Z', 'updatedAt': '2022-10-27T20:15:06Z'}}, 'canReply': True, 'totalReplyCount': 9, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'n1t4hQEKQtkDOHlL5fjY-55xWPc', 'id': 'UgzUneqIuKejyngtZaJ4AaABAg.9hhEnTKI30h9how4xOyDlo', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Não vejo esse medo no olhar dela.<br>Parece calculista.', 'textOriginal': 'Não vejo esse medo no olhar dela.\\nParece calculista.', 'parentId': 'UgzUneqIuKejyngtZaJ4AaABAg', 'authorDisplayName': 'Trad', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO-QarovGmIUU78BJl7sjsxFXH2JAqiWXh97XTp=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC5kiqq8hjFkUSIAWf74pmJQ', 'authorChannelId': {'value': 'UC5kiqq8hjFkUSIAWf74pmJQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T19:56:47Z', 'updatedAt': '2022-10-30T19:56:47Z'}}, {'kind': 'youtube#comment', 'etag': '3d-3hfV29SiuFIpYw5rJ-lSz4u8', 'id': 'UgzUneqIuKejyngtZaJ4AaABAg.9hhEnTKI30h9hlrfQFhTZd', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Kkkk ladainha', 'textOriginal': 'Kkkk ladainha', 'parentId': 'UgzUneqIuKejyngtZaJ4AaABAg', 'authorDisplayName': 'PATRICK.87LIMA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/MKwYu9MlY48Zy2IyLMUvbdKMecbldXNSXt8cv1UuJao-RBnnNTWlCmZTCWcTAb5ew5MWym-2PQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCe-u0aUheBfusXX7EwBczKQ', 'authorChannelId': {'value': 'UCe-u0aUheBfusXX7EwBczKQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T15:20:29Z', 'updatedAt': '2022-10-29T15:20:29Z'}}, {'kind': 'youtube#comment', 'etag': '1wpERtxMeaMInc7e4XNutGORvAo', 'id': 'UgzUneqIuKejyngtZaJ4AaABAg.9hhEnTKI30h9hlL0ddbOGU', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': '@Gerusa de Aquino Lima viva!!!!!!! ❤️❤️❤️', 'textOriginal': '@Gerusa de Aquino Lima viva!!!!!!! ❤️❤️❤️', 'parentId': 'UgzUneqIuKejyngtZaJ4AaABAg', 'authorDisplayName': 'Ana Almeida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/YUuXo93v73Kk1fg0pMtjw4s_Tb7j7gicUQJcQ77H4J8r3Cshadg98R8vaBv0lZ7YLZBM7Lbg5w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCiHV51gz-Ed32geH82HCOdw', 'authorChannelId': {'value': 'UCiHV51gz-Ed32geH82HCOdw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-29T10:26:26Z', 'updatedAt': '2022-10-29T10:26:26Z'}}, {'kind': 'youtube#comment', 'etag': 'Iwa-5sDYZXzGUjp20kjpanUIes8', 'id': 'UgzUneqIuKejyngtZaJ4AaABAg.9hhEnTKI30h9hlJ0TwzrRh', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': '@Sabrina Lima Sou nordestina e votamos no Lula porque foi o único que se preocupou com a região Nordeste. Quanto à transposição de águas do Rio São Francisco, eu só quero te dizer que ela foi uma obra gigantesca e realizada por etapas por causa dos impactos ambientais. Não é só tirar a água de um rio importante como o Velho Chico e pronto. Precisa de vários estudos e tudo foi feito com muita responsabilidade. A preocupação do PT foi fazer a obra da forma correta e não pular etapas para usar ganhar votos. Se o PT realizou 95% da obra, então, nosso povo vê como obra do PT e não do atual presidente. Melhor fazer com calma e funcionar do que construir pontes que caem, como o Tarcísio fez. No mais, quero dizer que nordestino vota em Lula por gratidão e não por migalhas. Deixando claro que eu tenho nível superior 3x, não recebo auxílio de nenhum tipo e nunca sai do meu Nordeste. Meu coração é vermelho e fica do lado esquerdo. Até a anatomia humana sabe o lado certo! Paz e Amor para todos nós!', 'textOriginal': '@Sabrina Lima Sou nordestina e votamos no Lula porque foi o único que se preocupou com a região Nordeste. Quanto à transposição de águas do Rio São Francisco, eu só quero te dizer que ela foi uma obra gigantesca e realizada por etapas por causa dos impactos ambientais. Não é só tirar a água de um rio importante como o Velho Chico e pronto. Precisa de vários estudos e tudo foi feito com muita responsabilidade. A preocupação do PT foi fazer a obra da forma correta e não pular etapas para usar ganhar votos. Se o PT realizou 95% da obra, então, nosso povo vê como obra do PT e não do atual presidente. Melhor fazer com calma e funcionar do que construir pontes que caem, como o Tarcísio fez. No mais, quero dizer que nordestino vota em Lula por gratidão e não por migalhas. Deixando claro que eu tenho nível superior 3x, não recebo auxílio de nenhum tipo e nunca sai do meu Nordeste. Meu coração é vermelho e fica do lado esquerdo. Até a anatomia humana sabe o lado certo! Paz e Amor para todos nós!', 'parentId': 'UgzUneqIuKejyngtZaJ4AaABAg', 'authorDisplayName': 'Gerusa de Aquino Lima', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOC3r4cQQupOwnYwBKGKf5TZfc6GEUVlrxf=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwc8W8zfexn5H98bW-Rc6Vw', 'authorChannelId': {'value': 'UCwc8W8zfexn5H98bW-Rc6Vw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 8, 'publishedAt': '2022-10-29T10:08:56Z', 'updatedAt': '2022-10-29T10:08:56Z'}}, {'kind': 'youtube#comment', 'etag': 'MrjfASVRk7ZZhK7P5DGdK-arJW8', 'id': 'UgzUneqIuKejyngtZaJ4AaABAg.9hhEnTKI30h9hkBPA7l2Ia', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Leiam o programa dos PTralhas, pare de mentir<br>10/22 no domingo', 'textOriginal': 'Leiam o programa dos PTralhas, pare de mentir\\n10/22 no domingo', 'parentId': 'UgzUneqIuKejyngtZaJ4AaABAg', 'authorDisplayName': 'Gilberto Dos Santos - SP', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO0ehX1ShxYR4dO1El3Z_E5OXdJoLicPPplxg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSlQhEaPEWteMjkQRrxhftQ', 'authorChannelId': {'value': 'UCSlQhEaPEWteMjkQRrxhftQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-28T23:43:09Z', 'updatedAt': '2022-10-28T23:43:09Z'}}]}",UCiHV51gz-Ed32geH82HCOdw,2022-10-27T20:15:06Z,"Essa é a primeira vez que termino um vídeo do canal aos prantos! Um pranto de lavar a minha alma, de entender a força nas palavras da Sabrina, o brilho do olhar dela de quem entende o que passamos juntos mas que ao entender não se contenta em apenas relatar e nos dá força, nos enche de garra! Só posso agradecer! Venceremos, em grupo!",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,NUyeb6iqdaRwOgK73j9QuKZul4M,Ugy5Mf4VozW8lIf9WNh4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'OtEfpa8GnmKdr5N1o9asWh5BSNI', 'id': 'Ugy5Mf4VozW8lIf9WNh4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Que vídeo, Sabrina! Que potência!', 'textOriginal': 'Que vídeo, Sabrina! Que potência!', 'authorDisplayName': 'Raphael Barbosa de Freitas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNBkWo2JJaeoGMx5BhVV5gWZsdHLrvwZtF8cw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCA6OGUhTaONWD99TuO9rodQ', 'authorChannelId': {'value': 'UCA6OGUhTaONWD99TuO9rodQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-04T16:50:46Z', 'updatedAt': '2023-05-04T16:50:46Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': '6LlReEyrbUp4rl-rH2rk5BzO91o', 'id': 'Ugy5Mf4VozW8lIf9WNh4AaABAg.9pIXe7GXWt-9pNiaaU1ENG', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': '&lt;33', 'textOriginal': '<33', 'parentId': 'Ugy5Mf4VozW8lIf9WNh4AaABAg', 'authorDisplayName': 'Tese Onze', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMU6f3BRjsEoD0QhZopmvczOHxaNndH674qeCpa=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC0fGGprihDIlQ3ykWvcb9hg', 'authorChannelId': {'value': 'UC0fGGprihDIlQ3ykWvcb9hg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-05-06T17:11:20Z', 'updatedAt': '2023-05-06T17:11:20Z'}}]}",UCA6OGUhTaONWD99TuO9rodQ,2023-05-04T16:50:46Z,"Que vídeo, Sabrina! Que potência!",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,y8aaV151Z8CGbgCp6w7m8bF5Dg0,UgzfD9FG1oF8W_G4EoV4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6lE2Q-q1FOm4i_Lx51pLvZKelF4', 'id': 'UgzfD9FG1oF8W_G4EoV4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Gente e ela nem sabia o que ia acontecer em Janeiro...', 'textOriginal': 'Gente e ela nem sabia o que ia acontecer em Janeiro...', 'authorDisplayName': 'mnmlst', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPADdu3451c8LXJURC9H5Iou0ZLhDBcBdqmcoX0=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZF952ywyoQpTUxeKVJxc3A', 'authorChannelId': {'value': 'UCZF952ywyoQpTUxeKVJxc3A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-05T15:06:33Z', 'updatedAt': '2023-03-05T15:06:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZF952ywyoQpTUxeKVJxc3A,2023-03-05T15:06:33Z,Gente e ela nem sabia o que ia acontecer em Janeiro...,QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,Bh5tqPZV6s64og-H0GVWsf9fZ14,UgysElU_kccc5agroVx4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'G8CCJ2sgyBjZ_w0JLkXZCFN7I44', 'id': 'UgysElU_kccc5agroVx4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'PAPAGAIOS DE PIRATAS 😂😂😂<br>REPETEM AS MESMAS ASNEIRAS TODO DIA.<br>E DIGA ENTÃO, QUANDO FOI QUE O COMUNISMO FOI BOM PARA ALGUMA NAÇÃO.', 'textOriginal': 'PAPAGAIOS DE PIRATAS 😂😂😂\\nREPETEM AS MESMAS ASNEIRAS TODO DIA.\\nE DIGA ENTÃO, QUANDO FOI QUE O COMUNISMO FOI BOM PARA ALGUMA NAÇÃO.', 'authorDisplayName': 'delma gobettisouza', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOtpezL3zclfYzdJbPb8fCUxubMzjjwQ5-CPunv=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCus6bYbOkZEKpVDUhFpNO8g', 'authorChannelId': {'value': 'UCus6bYbOkZEKpVDUhFpNO8g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-22T00:37:49Z', 'updatedAt': '2023-01-22T00:37:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCus6bYbOkZEKpVDUhFpNO8g,2023-01-22T00:37:49Z,"PAPAGAIOS DE PIRATAS 😂😂😂
REPETEM AS MESMAS ASNEIRAS TODO DIA.
E DIGA ENTÃO, QUANDO FOI QUE O COMUNISMO FOI BOM PARA ALGUMA NAÇÃO.",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,0Dm_lzFLAAMgPIjyTYHi4ReTSeQ,UgyvJVML1mNntyTs8sV4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'YHDVbds9QgW77PjRGXtt_dIJATM', 'id': 'UgyvJVML1mNntyTs8sV4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Muita gente falando em emoção não entendi😂😂😂😂 . Cara ela passou 20 min falando do bozo qual sentido ? Já foi , já virou a página . Tá batendo em cachorro morto <br>   Bom o que percebo há intenção desse vídeo é apontar o erro do amiguinho pra poder abafar seu umbigo . <br> Hipocrisia pura', 'textOriginal': 'Muita gente falando em emoção não entendi😂😂😂😂 . Cara ela passou 20 min falando do bozo qual sentido ? Já foi , já virou a página . Tá batendo em cachorro morto \\n   Bom o que percebo há intenção desse vídeo é apontar o erro do amiguinho pra poder abafar seu umbigo . \\n Hipocrisia pura', 'authorDisplayName': 'iago rique silva da cunha rique', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPK5eL3XKz-GO3Rxiides3kQG2Wr8v6tijaYRm3ZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuUjkzkS30HEKgwDuf5zYaQ', 'authorChannelId': {'value': 'UCuUjkzkS30HEKgwDuf5zYaQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-16T23:45:35Z', 'updatedAt': '2022-12-16T23:45:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuUjkzkS30HEKgwDuf5zYaQ,2022-12-16T23:45:35Z,"Muita gente falando em emoção não entendi😂😂😂😂 . Cara ela passou 20 min falando do bozo qual sentido ? Já foi , já virou a página . Tá batendo em cachorro morto 
   Bom o que percebo há intenção desse vídeo é apontar o erro do amiguinho pra poder abafar seu umbigo . 
 Hipocrisia pura",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,uHLGp3lY5Om3rSSdjaTLkx8XtPA,UgzUPQAn4T4G2GjD8n14AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6HZ1sKEKPADtdkUsqJUgF_FampM', 'id': 'UgzUPQAn4T4G2GjD8n14AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Tu tem Instagram?', 'textOriginal': 'Tu tem Instagram?', 'authorDisplayName': 'Daishinkan', 'authorProfileImageUrl': 'https://yt3.ggpht.com/HWxEfum6W0eavpw6xyIqQUCnn078y6JLK8jYDptxGS3u_chTZhTzHRA1-mHMmlNbsNH8wsXx=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCddRkhDNGLRJwpy6NQ7ApBQ', 'authorChannelId': {'value': 'UCddRkhDNGLRJwpy6NQ7ApBQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-11T13:45:52Z', 'updatedAt': '2022-12-11T13:45:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCddRkhDNGLRJwpy6NQ7ApBQ,2022-12-11T13:45:52Z,Tu tem Instagram?,QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,nHNUGVLdSpHrrdcJVWxws4hRoiY,Ugz795gswV781tnredl4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2mVFcRPvd_1Sp65HHJJDeWTrrkY', 'id': 'Ugz795gswV781tnredl4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Bolsonaro desmatou menos q Lula <br><br>Lula assinou a carta pela democracia, e é apaixonado por ditadores... Bolsonaro sempre criticou Venezuela<br><br>Bolsonaro pegou país no vermelho e entregou no azul, Lula pegou no azul e Dilma entregou no vermelho', 'textOriginal': 'Bolsonaro desmatou menos q Lula \\n\\nLula assinou a carta pela democracia, e é apaixonado por ditadores... Bolsonaro sempre criticou Venezuela\\n\\nBolsonaro pegou país no vermelho e entregou no azul, Lula pegou no azul e Dilma entregou no vermelho', 'authorDisplayName': 'Pedro Henrique Macchia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMJEnD8f0bNEfnFDuEQdGPSdzZ81bhWEjnKbk5Iog=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCBMqJNnEAoZDxo1ShDHp82g', 'authorChannelId': {'value': 'UCBMqJNnEAoZDxo1ShDHp82g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-09T12:28:21Z', 'updatedAt': '2022-12-09T12:28:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCBMqJNnEAoZDxo1ShDHp82g,2022-12-09T12:28:21Z,"Bolsonaro desmatou menos q Lula 

Lula assinou a carta pela democracia, e é apaixonado por ditadores... Bolsonaro sempre criticou Venezuela

Bolsonaro pegou país no vermelho e entregou no azul, Lula pegou no azul e Dilma entregou no vermelho",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,6v8-YUurtNTwHLrtlKnNjxVzJx4,Ugx0x4uu8nnjYdJJRQF4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'q8CyEiNJ3IBiBYu5g1N6pzKtNAk', 'id': 'Ugx0x4uu8nnjYdJJRQF4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'O fica em casa, fez eu quebrar. Quebrei. Tô endividada! Vendi carro para pagar contas!', 'textOriginal': 'O fica em casa, fez eu quebrar. Quebrei. Tô endividada! Vendi carro para pagar contas!', 'authorDisplayName': 'Nataxa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOLy0qtgUC7zPXIYUxTaOpS2-nA4U2iN7SkLNZ0=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCiwmy307p39e2UfpDrXZu3g', 'authorChannelId': {'value': 'UCiwmy307p39e2UfpDrXZu3g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-05T16:06:30Z', 'updatedAt': '2022-12-05T16:06:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCiwmy307p39e2UfpDrXZu3g,2022-12-05T16:06:30Z,"O fica em casa, fez eu quebrar. Quebrei. Tô endividada! Vendi carro para pagar contas!",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,N9Ufve8i3CBQxLG-B-BkGEy_cF0,Ugy49354gWEQocSzksB4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'n3xsUHO_OcWGjupf-JzoEFL9VyU', 'id': 'Ugy49354gWEQocSzksB4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Espero que vcs tenham aprendido a lição e parem de bater em governos possíveis de esquerda dando espaço para o fascismo crescer no lugar. Esquerda precisa ter mais medo e menos esperança, só assim vai ser competitiva na disputa das massas.', 'textOriginal': 'Espero que vcs tenham aprendido a lição e parem de bater em governos possíveis de esquerda dando espaço para o fascismo crescer no lugar. Esquerda precisa ter mais medo e menos esperança, só assim vai ser competitiva na disputa das massas.', 'authorDisplayName': 'Random Avenger', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPcZt1CStuEVDzyrmW2rH9wFyRPLBykJJeIel8VvA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCD0FEAGT7Nkpfkuzd4Gnabw', 'authorChannelId': {'value': 'UCD0FEAGT7Nkpfkuzd4Gnabw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-24T17:41:37Z', 'updatedAt': '2022-11-24T17:41:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCD0FEAGT7Nkpfkuzd4Gnabw,2022-11-24T17:41:37Z,"Espero que vcs tenham aprendido a lição e parem de bater em governos possíveis de esquerda dando espaço para o fascismo crescer no lugar. Esquerda precisa ter mais medo e menos esperança, só assim vai ser competitiva na disputa das massas.",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
youtube#commentThread,U3Q_aFg1pswHVhq8lyCMX3LHy8E,Ugy7YRQRe4W_X90Osax4AaABAg,"{'videoId': 'AGm8EgNg9oQ', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'SvRwTHUJZ477PLhZKwx6YXayJRI', 'id': 'Ugy7YRQRe4W_X90Osax4AaABAg', 'snippet': {'videoId': 'AGm8EgNg9oQ', 'textDisplay': 'Quando aparece o vídeo do Bolsonaro &quot;imitando falta de ar&quot;, a imparcialidade não existe, pois isso não foi verdade.', 'textOriginal': 'Quando aparece o vídeo do Bolsonaro ""imitando falta de ar"", a imparcialidade não existe, pois isso não foi verdade.', 'authorDisplayName': 'Luiz E S Monteiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPDynQyGKMOTNUQx7QCzrB1sEAH5owuMXxwvkDFBsHbrnfnIEc21NkaDg6NeVxk=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCxDLC-a5SuqvaA8xxaZd-xQ', 'authorChannelId': {'value': 'UCxDLC-a5SuqvaA8xxaZd-xQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-19T15:46:02Z', 'updatedAt': '2022-11-19T15:46:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCxDLC-a5SuqvaA8xxaZd-xQ,2022-11-19T15:46:02Z,"Quando aparece o vídeo do Bolsonaro ""imitando falta de ar"", a imparcialidade não existe, pois isso não foi verdade.",QURTSl9pMlMwUnVBTjV0SzRPcnpJVHlBM2RhVm1IV19qT1B5dnQ3WktEb0JybXFKSW43aEVIYVZGZjZmWk5YdDVXMkJoZThhS2lQc05fZ1hhTnFQUGhsVTJ2OEFXdUhE,2023-06-09 13:37:36.079782
