kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,D8UiUx-YxAWUG8YVhs2_n1DQjt0,Ugx67HRS75RzUSmqVdR4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sftgiJCYwQcDR5YWpLuiv7l-k2A', 'id': 'Ugx67HRS75RzUSmqVdR4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Fascistas não passarão. <a href=""http://www.youtube.com/results?search_query=%23lula13"">#Lula13</a>', 'textOriginal': 'Fascistas não passarão. #Lula13', 'authorDisplayName': 'Michele Bove', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNLTfYucS0xek446eIojidqlcIIFNNlQgC1RgytMCdcdMrn3-IBn0BvRRUaQZ19=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1Hm4LYyHdUCTj5FL9fShDg', 'authorChannelId': {'value': 'UC1Hm4LYyHdUCTj5FL9fShDg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-21T13:31:16Z', 'updatedAt': '2022-10-21T13:31:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1Hm4LYyHdUCTj5FL9fShDg,2022-10-21T13:31:16Z,Fascistas não passarão. #Lula13,,2023-06-09 13:37:42.044061
youtube#commentThread,fTSdOAtNnRDl4G3cW5P4lTpnGOk,UgzJMOaHD9YeGGvsxsF4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1_H92D9--Bj7V6Siq15gjhmpSPQ', 'id': 'UgzJMOaHD9YeGGvsxsF4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Canalhas', 'textOriginal': 'Canalhas', 'authorDisplayName': 'T', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPGW9ICSbCMYgSuzhx6oTNwdMIgNiSWMUBvs1_FhuPm7WGKY3nba3FxsWbolb6N=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFUZSkgTcy9cepZxUIuq-ag', 'authorChannelId': {'value': 'UCFUZSkgTcy9cepZxUIuq-ag'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T19:04:38Z', 'updatedAt': '2022-10-19T19:04:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFUZSkgTcy9cepZxUIuq-ag,2022-10-19T19:04:38Z,Canalhas,,2023-06-09 13:37:42.044061
youtube#commentThread,bN9reOk-7tkXpKXrrdfYHHVcWP8,UgzPEmEE7HrcPNmrIT94AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-47KJ8GhNfwSLJPDHR0eoO7c9JM', 'id': 'UgzPEmEE7HrcPNmrIT94AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Direita junta com a extrema direita resulta em neonazifascistas perigosíssimos', 'textOriginal': 'Direita junta com a extrema direita resulta em neonazifascistas perigosíssimos', 'authorDisplayName': 'José Freitas Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOoBcvyvbVu60z2BcyEGoRQyNQ-vtCBRtXCF10poA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuGHqTFBQyHovZMz_vzPqjQ', 'authorChannelId': {'value': 'UCuGHqTFBQyHovZMz_vzPqjQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-19T10:19:45Z', 'updatedAt': '2022-10-19T10:19:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCuGHqTFBQyHovZMz_vzPqjQ,2022-10-19T10:19:45Z,Direita junta com a extrema direita resulta em neonazifascistas perigosíssimos,,2023-06-09 13:37:42.044061
youtube#commentThread,gWxkWCQhMwjrK4Jowi_dtGSI1mI,Ugzo9yCLVp5o8uZCSWx4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iIAERmjkglT7jq_Jc1AQuwS1dJY', 'id': 'Ugzo9yCLVp5o8uZCSWx4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Bolsonaro 22, cambada de maconheiro 🖕🖕🖕💩💩💩', 'textOriginal': 'Bolsonaro 22, cambada de maconheiro 🖕🖕🖕💩💩💩', 'authorDisplayName': 'Mesut Ozil', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMmhS_K7A7tVDkDGGvphWQItPyeKuulYr2FOjBp1s-_PiyKvjiePWVNPYfB_gcV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCiWdToSeIrhbpO4-hqsFgMA', 'authorChannelId': {'value': 'UCiWdToSeIrhbpO4-hqsFgMA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T22:38:23Z', 'updatedAt': '2022-10-18T22:38:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCiWdToSeIrhbpO4-hqsFgMA,2022-10-18T22:38:23Z,"Bolsonaro 22, cambada de maconheiro 🖕🖕🖕💩💩💩",,2023-06-09 13:37:42.044061
youtube#commentThread,vZS9ub2t_zLErwkRAopnWwDPUbQ,UgzLqELiDGnX-bAdPmN4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ON-AjD_NtV33Liz-ut_PDJ1C37I', 'id': 'UgzLqELiDGnX-bAdPmN4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': '🏆🏆🏆🏆', 'textOriginal': '🏆🏆🏆🏆', 'authorDisplayName': 'A', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOhHfElbQAJTAb2rH4qH7bdiOkUdsnYwPgX6g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7XbO-GuLEDZXeql3koP14w', 'authorChannelId': {'value': 'UC7XbO-GuLEDZXeql3koP14w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T21:27:28Z', 'updatedAt': '2022-10-18T21:27:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7XbO-GuLEDZXeql3koP14w,2022-10-18T21:27:28Z,🏆🏆🏆🏆,,2023-06-09 13:37:42.044061
youtube#commentThread,67bLGGGT73mz0UVQbZK_IYII64M,UgzLZFpkcZj-LQSNVOx4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'UOKEd-d1pWDTtwAKFjb1p8bKwOM', 'id': 'UgzLZFpkcZj-LQSNVOx4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Parabéns pelo programa!', 'textOriginal': 'Parabéns pelo programa!', 'authorDisplayName': 'Adele Marie Adele', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMcvnAyvQBgHV6hm-B6Aqwdk6sN9lAeauKDsnC1PdI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCdw_9gTdSsTZcVq-EihpBwQ', 'authorChannelId': {'value': 'UCdw_9gTdSsTZcVq-EihpBwQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T14:17:26Z', 'updatedAt': '2022-10-18T14:17:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCdw_9gTdSsTZcVq-EihpBwQ,2022-10-18T14:17:26Z,Parabéns pelo programa!,,2023-06-09 13:37:42.044061
youtube#commentThread,2uqgGwSJuHkjXX4lBDkQdrythJY,UgxZFUjNa3ICQPK-P5B4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_mFhc98zA6PESeiSE4wKjUlQHTk', 'id': 'UgxZFUjNa3ICQPK-P5B4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Sou evangélica, meus filhos também, e todos votamos no Lula', 'textOriginal': 'Sou evangélica, meus filhos também, e todos votamos no Lula', 'authorDisplayName': 'Adele Marie Adele', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMcvnAyvQBgHV6hm-B6Aqwdk6sN9lAeauKDsnC1PdI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCdw_9gTdSsTZcVq-EihpBwQ', 'authorChannelId': {'value': 'UCdw_9gTdSsTZcVq-EihpBwQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-18T14:14:25Z', 'updatedAt': '2022-10-18T14:14:25Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'bXzGpnVBnh3jzLB3B6iZQdM__T8', 'id': 'UgxZFUjNa3ICQPK-P5B4AaABAg.9hKQMsevGGR9hKpvZeNxyZ', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': '<a href=""https://www.youtube.com/watch?v=72yNj_w3_CI"">https://www.youtube.com/watch?v=72yNj_w3_CI</a>', 'textOriginal': 'https://www.youtube.com/watch?v=72yNj_w3_CI', 'parentId': 'UgxZFUjNa3ICQPK-P5B4AaABAg', 'authorDisplayName': 'Edson m.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNMilhFbjN0eRAh0OZdZVLqJFAtsHoHSwEvXg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCi0mR059an3pL64DAk-K0Sg', 'authorChannelId': {'value': 'UCi0mR059an3pL64DAk-K0Sg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T18:06:29Z', 'updatedAt': '2022-10-18T18:06:29Z'}}]}",UCdw_9gTdSsTZcVq-EihpBwQ,2022-10-18T14:14:25Z,"Sou evangélica, meus filhos também, e todos votamos no Lula",,2023-06-09 13:37:42.044061
youtube#commentThread,2p0vy6k-OLT9wiMB2_JGVjOeAds,UgypGNAOC8tTyTumUMV4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Xlw4uvHfoSaDVVklDeTY3NnWpCY', 'id': 'UgypGNAOC8tTyTumUMV4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'em tantos anos de PT como o xico sá consegue ter orgulho de tão pouca coisa feita pelo PT pelo nordeste??', 'textOriginal': 'em tantos anos de PT como o xico sá consegue ter orgulho de tão pouca coisa feita pelo PT pelo nordeste??', 'authorDisplayName': 'ViDAL ALVES', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPSJvzkPPNZJnpbQkl0Pvmczb8ulqPi-fUtHQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCd2R5pVq4IZL7rPJI2OFqBA', 'authorChannelId': {'value': 'UCd2R5pVq4IZL7rPJI2OFqBA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-18T10:52:52Z', 'updatedAt': '2022-10-18T10:52:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCd2R5pVq4IZL7rPJI2OFqBA,2022-10-18T10:52:52Z,em tantos anos de PT como o xico sá consegue ter orgulho de tão pouca coisa feita pelo PT pelo nordeste??,,2023-06-09 13:37:42.044061
youtube#commentThread,PknH2TiI2LLkLq9lX3YN84uE0Lo,Ugxtsscj-K7rdqLdwv14AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'P3bygDJwcy77Yxcnls2MJJawOro', 'id': 'Ugxtsscj-K7rdqLdwv14AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Muito obrigado pelo debate 💐🍻', 'textOriginal': 'Muito obrigado pelo debate 💐🍻', 'authorDisplayName': 'Mtset Mik78', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMMrK3XYUUXsSxQaEYoDCfg_D3SDPACd1WxzDXrSbrpUuT04IxWA5AIqItFud_V=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCAA-txl8tUQ_5xUOW6ElcTw', 'authorChannelId': {'value': 'UCAA-txl8tUQ_5xUOW6ElcTw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T07:31:26Z', 'updatedAt': '2022-10-18T07:31:26Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCAA-txl8tUQ_5xUOW6ElcTw,2022-10-18T07:31:26Z,Muito obrigado pelo debate 💐🍻,,2023-06-09 13:37:42.044061
youtube#commentThread,xL_Jwk-lC5jLfuAsoGmhMEIYyHI,UgxEMQAi77WEeSrgSDR4AaABAg,"{'videoId': 'E8_cilXy5IY', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '8IGjUwa-5gv2fcHYP12fCleJC_o', 'id': 'UgxEMQAi77WEeSrgSDR4AaABAg', 'snippet': {'videoId': 'E8_cilXy5IY', 'textDisplay': 'Uma pergunta: pq se cria uma associação da informação independente junto com outros grupos como Brasil de Fato, O Ponto, Cajuína, os departamentos de jornalismo das universidades.', 'textOriginal': 'Uma pergunta: pq se cria uma associação da informação independente junto com outros grupos como Brasil de Fato, O Ponto, Cajuína, os departamentos de jornalismo das universidades.', 'authorDisplayName': 'Mtset Mik78', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMMrK3XYUUXsSxQaEYoDCfg_D3SDPACd1WxzDXrSbrpUuT04IxWA5AIqItFud_V=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCAA-txl8tUQ_5xUOW6ElcTw', 'authorChannelId': {'value': 'UCAA-txl8tUQ_5xUOW6ElcTw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T07:30:38Z', 'updatedAt': '2022-10-18T07:30:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCAA-txl8tUQ_5xUOW6ElcTw,2022-10-18T07:30:38Z,"Uma pergunta: pq se cria uma associação da informação independente junto com outros grupos como Brasil de Fato, O Ponto, Cajuína, os departamentos de jornalismo das universidades.",,2023-06-09 13:37:42.044061
