kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,4yRQXBN26JPAPOU97hGDvbEknNY,Ugwq2erArgSpoXpTUkB4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'v9vhTgVTCRx2iofb5BauCxN5dIc', 'id': 'Ugwq2erArgSpoXpTUkB4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'AQUI EM CASA NÃO TEM GLOBO MAIS<br>JORNALECO', 'textOriginal': 'AQUI EM CASA NÃO TEM GLOBO MAIS\\nJORNALECO', 'authorDisplayName': 'Mucio Barbosa Bretas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOh3zjQOXKa0V3Vl1u48qP_ORAPevtF9wqsD6jfZNI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNtiLX9JqIu9zbBgZDfR79g', 'authorChannelId': {'value': 'UCNtiLX9JqIu9zbBgZDfR79g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-16T22:40:12Z', 'updatedAt': '2022-12-16T22:40:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNtiLX9JqIu9zbBgZDfR79g,2022-12-16T22:40:12Z,"AQUI EM CASA NÃO TEM GLOBO MAIS
JORNALECO",,2023-06-08 12:43:53.037292
youtube#commentThread,hTq5HBAaoAV2PTwgGWIb29e3Nj4,Ugx0pke2XsRQfO-eJYZ4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'I0_syhMyOKFm_39r6B2Kq4AHij4', 'id': 'Ugx0pke2XsRQfO-eJYZ4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'Vou excluir este canal no meu pacote da NET.', 'textOriginal': 'Vou excluir este canal no meu pacote da NET.', 'authorDisplayName': 'JAILSON SANTS 1970', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMSc4yzw8kjdg9bC0UwNpVptBwthmjsAumDBCqPXdauJItnIrdXWSl8cDI3cfPV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClzUHdtEJsOIjwZalkpawHA', 'authorChannelId': {'value': 'UClzUHdtEJsOIjwZalkpawHA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-12T01:18:04Z', 'updatedAt': '2022-11-12T01:18:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClzUHdtEJsOIjwZalkpawHA,2022-11-12T01:18:04Z,Vou excluir este canal no meu pacote da NET.,,2023-06-08 12:43:53.037292
youtube#commentThread,PkUXDKxYBZl6888CSBUbmiNPUf4,UgwDhF2x30Chz3Vnh-J4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kI7ftqqxvZURwpzGlIphIDU8Cn4', 'id': 'UgwDhF2x30Chz3Vnh-J4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'Muito engraçado, todos vocês têm pensamentos e falas iguais, parece um treino 🤔', 'textOriginal': 'Muito engraçado, todos vocês têm pensamentos e falas iguais, parece um treino 🤔', 'authorDisplayName': 'JAILSON SANTS 1970', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMSc4yzw8kjdg9bC0UwNpVptBwthmjsAumDBCqPXdauJItnIrdXWSl8cDI3cfPV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClzUHdtEJsOIjwZalkpawHA', 'authorChannelId': {'value': 'UClzUHdtEJsOIjwZalkpawHA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-12T01:15:58Z', 'updatedAt': '2022-11-12T01:15:58Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClzUHdtEJsOIjwZalkpawHA,2022-11-12T01:15:58Z,"Muito engraçado, todos vocês têm pensamentos e falas iguais, parece um treino 🤔",,2023-06-08 12:43:53.037292
youtube#commentThread,ers3ajtIhWv74us9Z-fAqX1iC9E,Ugy2M5X2aMrvHIotYZV4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'l3XXsgXZkC4JcaEKecewz9JNt18', 'id': 'Ugy2M5X2aMrvHIotYZV4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'JÁ ESTOU COM SDDS DA CENTRAL DAS ELEIÇÕES', 'textOriginal': 'JÁ ESTOU COM SDDS DA CENTRAL DAS ELEIÇÕES', 'authorDisplayName': 'Jorgeliton Azevedo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNK7GXy-bfqelX-zne8pj8jOVR3jZ1LW8KaUA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCIQC5IpwBSygdhppYdcMY1g', 'authorChannelId': {'value': 'UCIQC5IpwBSygdhppYdcMY1g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-05T01:02:43Z', 'updatedAt': '2022-11-05T01:02:43Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCIQC5IpwBSygdhppYdcMY1g,2022-11-05T01:02:43Z,JÁ ESTOU COM SDDS DA CENTRAL DAS ELEIÇÕES,,2023-06-08 12:43:53.037292
youtube#commentThread,53SpsBOOLuTNnooSLPzP28NxRJ8,Ugw6YHf7mCOpdyoJ0S14AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'eKH-YsptyIZj3GWSaTNZhJSqz3w', 'id': 'Ugw6YHf7mCOpdyoJ0S14AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'DEUS de GLÓRIA ⬆️Acima', 'textOriginal': 'DEUS de GLÓRIA ⬆️Acima', 'authorDisplayName': 'sandra ribeiro da silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNdFaucCnn9Wa6wT88OUwbPadT8LoxmaCjtIQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3Rg_jQ31-3o0yohiwEvFag', 'authorChannelId': {'value': 'UC3Rg_jQ31-3o0yohiwEvFag'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-04T01:08:50Z', 'updatedAt': '2022-11-04T01:08:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3Rg_jQ31-3o0yohiwEvFag,2022-11-04T01:08:50Z,DEUS de GLÓRIA ⬆️Acima,,2023-06-08 12:43:53.037292
youtube#commentThread,A7C7uBz04CpT-lhyo7-0I-BmmoY,Ugxlo_mIqtWI3_SqxcV4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'RFvzud4qx6hSepYPUtfujGL-D5Q', 'id': 'Ugxlo_mIqtWI3_SqxcV4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'vcs são um lixoooooo. abutre  essa imprensa marrom. até pra dar boas notícias dão com cara de velório. olha a onde chegou o nível de cada um de vcs. Abutres', 'textOriginal': 'vcs são um lixoooooo. abutre  essa imprensa marrom. até pra dar boas notícias dão com cara de velório. olha a onde chegou o nível de cada um de vcs. Abutres', 'authorDisplayName': 'Raquel Onecam', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPf2TktpeFyu6Kq1roBlKou9J9XD8DgJL_5TH-6fMRbv8AfC3LQcwiP6VoReq0B=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCH0-4qjsMC7-LVB8fR-T7Jw', 'authorChannelId': {'value': 'UCH0-4qjsMC7-LVB8fR-T7Jw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T00:20:08Z', 'updatedAt': '2022-10-28T00:20:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCH0-4qjsMC7-LVB8fR-T7Jw,2022-10-28T00:20:08Z,vcs são um lixoooooo. abutre  essa imprensa marrom. até pra dar boas notícias dão com cara de velório. olha a onde chegou o nível de cada um de vcs. Abutres,,2023-06-08 12:43:53.037292
youtube#commentThread,iilZyy2m3zNw271b0-t6QpgMFo4,Ugwf7z8g9hWqzLHjahl4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-DxUsqDrR1V_UjybkT1JOvuyL4s', 'id': 'Ugwf7z8g9hWqzLHjahl4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'Misericórdia, apresentadores e comentaristas da GloboNews, falam 500 vezes a palavra &#39;você&#39; em cada fala. Eu tento ouvi-los, mas não consigo. Andreia Sadi, o Camarote, Valdo Cruz, etc. Que chatossssssss', 'textOriginal': ""Misericórdia, apresentadores e comentaristas da GloboNews, falam 500 vezes a palavra 'você' em cada fala. Eu tento ouvi-los, mas não consigo. Andreia Sadi, o Camarote, Valdo Cruz, etc. Que chatossssssss"", 'authorDisplayName': 'Ana Rosa Batista Glória', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMMuUrykvrcTK1Zg-D42m44pmFWGKhOsu3We6dXJs5yBkkGuDbg6MoTTIaHLvPH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVHgbZngwD6kuI2Eq3NX1Cg', 'authorChannelId': {'value': 'UCVHgbZngwD6kuI2Eq3NX1Cg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-25T21:15:06Z', 'updatedAt': '2022-10-25T21:15:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVHgbZngwD6kuI2Eq3NX1Cg,2022-10-25T21:15:06Z,"Misericórdia, apresentadores e comentaristas da GloboNews, falam 500 vezes a palavra 'você' em cada fala. Eu tento ouvi-los, mas não consigo. Andreia Sadi, o Camarote, Valdo Cruz, etc. Que chatossssssss",,2023-06-08 12:43:53.037292
youtube#commentThread,IKZw3UuPwGXVJL6bXXZb8pqtUBo,UgxPvd7vgHFaY3K6J0h4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'puujMrewgzaYeDl9HRisZ8B7Apg', 'id': 'UgxPvd7vgHFaY3K6J0h4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'A sadi está parecendo um avatar kkkk', 'textOriginal': 'A sadi está parecendo um avatar kkkk', 'authorDisplayName': 'eufrosina flor', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMBuhDkquy2S54UN6-_-_54Hvvd8ShwO_UoF0mZsQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKWn2NMtqcGO5jZ5quG9eAw', 'authorChannelId': {'value': 'UCKWn2NMtqcGO5jZ5quG9eAw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-25T20:55:47Z', 'updatedAt': '2022-10-25T20:55:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKWn2NMtqcGO5jZ5quG9eAw,2022-10-25T20:55:47Z,A sadi está parecendo um avatar kkkk,,2023-06-08 12:43:53.037292
youtube#commentThread,UweyLWuxMx1vrbx_sb4qBEZNQDE,Ugy5V0t0SHFhbjTtZBl4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'P_RKIyJUAHIxLuvtg5EF2f1UKG8', 'id': 'Ugy5V0t0SHFhbjTtZBl4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'O Gabeira dizendo que deverá haver muito diálogo pra mudar os conservadores e ir por outros caminhos ! Kkkkkkkk daqui 4 anos vai ter voto pra 2 senadores! Vai ser ainda maior a onda !', 'textOriginal': 'O Gabeira dizendo que deverá haver muito diálogo pra mudar os conservadores e ir por outros caminhos ! Kkkkkkkk daqui 4 anos vai ter voto pra 2 senadores! Vai ser ainda maior a onda !', 'authorDisplayName': 'Ivan Rzatki', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNydaY_x4BsAM4ocG6N7z1XicGMF98iSdhUuw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCp5oA3SxSzUc_PI-yh7Px4w', 'authorChannelId': {'value': 'UCp5oA3SxSzUc_PI-yh7Px4w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-25T00:30:47Z', 'updatedAt': '2022-10-25T00:30:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCp5oA3SxSzUc_PI-yh7Px4w,2022-10-25T00:30:47Z,O Gabeira dizendo que deverá haver muito diálogo pra mudar os conservadores e ir por outros caminhos ! Kkkkkkkk daqui 4 anos vai ter voto pra 2 senadores! Vai ser ainda maior a onda !,,2023-06-08 12:43:53.037292
youtube#commentThread,_s_h3uXAiUxqQ2cdGvzqceaQkH0,Ugx1PZF9oJJ_h2wv3NZ4AaABAg,"{'videoId': '5J4kVkzJqVM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'u4bxyJ3Ro-R9nvlAy0XDFVW2vtA', 'id': 'Ugx1PZF9oJJ_h2wv3NZ4AaABAg', 'snippet': {'videoId': '5J4kVkzJqVM', 'textDisplay': 'VERGONHA DE TUDO QUE VOCÊS REPRESENTAM!!!!!', 'textOriginal': 'VERGONHA DE TUDO QUE VOCÊS REPRESENTAM!!!!!', 'authorDisplayName': 'Leonardo Maldonado Design', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOdD8Goh_JcIt5m2YM_SHiRC5XJsR__byfSbMVcpQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGVrwHPIFq_A77gilQ_dDKg', 'authorChannelId': {'value': 'UCGVrwHPIFq_A77gilQ_dDKg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-20T07:37:04Z', 'updatedAt': '2022-10-20T07:37:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCGVrwHPIFq_A77gilQ_dDKg,2022-10-20T07:37:04Z,VERGONHA DE TUDO QUE VOCÊS REPRESENTAM!!!!!,,2023-06-08 12:43:53.037292
