kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,N-echD9w44AXLg_7Tcdu9E9Rw70,UgxImADK3bV0JnhjcBJ4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Q7lIqQ-aHDK_INyVqQ9Ah2Dw8n4', 'id': 'UgxImADK3bV0JnhjcBJ4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': '😂😂😂😂😂😂😂', 'textOriginal': '😂😂😂😂😂😂😂', 'authorDisplayName': 'Irani Amaro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMBOzMD_PgVOs3wHMokg1OwegKpctbIj1SIFwxMhkIFjIILNCXwMcDwzhT0JNVF=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCsV3Z3YIW37-ir9F9O81v_w', 'authorChannelId': {'value': 'UCsV3Z3YIW37-ir9F9O81v_w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-04-12T11:17:40Z', 'updatedAt': '2023-04-12T11:17:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCsV3Z3YIW37-ir9F9O81v_w,2023-04-12T11:17:40Z,😂😂😂😂😂😂😂,,2023-06-09 12:21:49.650004
youtube#commentThread,_4Z7-Z9qmT4oFLUI-iIGPhjpt9s,Ugz9i0aufiUbpMrVPsh4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tn96mIgrkc6oGfWOfW7m6TxDBMc', 'id': 'Ugz9i0aufiUbpMrVPsh4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'TOLEDO É UM ENCANTO. É UMA CIDADE QUE FICA NA ESPANHA<br>PODEM USAR A DIALÉTICA.<br>KKKKKKKKKK.', 'textOriginal': 'TOLEDO É UM ENCANTO. É UMA CIDADE QUE FICA NA ESPANHA\\nPODEM USAR A DIALÉTICA.\\nKKKKKKKKKK.', 'authorDisplayName': 'Talma Nobre', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM9hU71vUeOj9r55VkFcVYguA24xNwdBAd_-g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCkAM__KzobOJ6S5jEyGEVMA', 'authorChannelId': {'value': 'UCkAM__KzobOJ6S5jEyGEVMA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-03-26T15:06:49Z', 'updatedAt': '2023-03-26T15:06:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCkAM__KzobOJ6S5jEyGEVMA,2023-03-26T15:06:49Z,"TOLEDO É UM ENCANTO. É UMA CIDADE QUE FICA NA ESPANHA
PODEM USAR A DIALÉTICA.
KKKKKKKKKK.",,2023-06-09 12:21:49.650004
youtube#commentThread,D8r1fbg2wTWGhdH36scyvwytO_A,UgwabxfmHXmhDsNEMSZ4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'b0lQiHKJAoDpSJFnEmdRDbGCj9A', 'id': 'UgwabxfmHXmhDsNEMSZ4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'O cartoon de abertura ficou o máximo !!', 'textOriginal': 'O cartoon de abertura ficou o máximo !!', 'authorDisplayName': 'Alexandre Rangel', 'authorProfileImageUrl': 'https://yt3.ggpht.com/F9Q1T6a0SGOJd1VwrjWL9TGmHieVOLyIjpEHgWxo8krBDJ-ExTXLOlcoAea2tdGGjMuYjduJ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtogpCYuAR7ctiPmzestpkw', 'authorChannelId': {'value': 'UCtogpCYuAR7ctiPmzestpkw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-31T10:59:52Z', 'updatedAt': '2022-10-31T10:59:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtogpCYuAR7ctiPmzestpkw,2022-10-31T10:59:52Z,O cartoon de abertura ficou o máximo !!,,2023-06-09 12:21:49.650004
youtube#commentThread,LcNFs_pOOy7JFYXDRodIfkSiJMQ,UgzkPX0l9aUr_7LNXZh4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Z9p_YWRWvBTJRnWbsJiagqMEf5k', 'id': 'UgzkPX0l9aUr_7LNXZh4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'Bob Jeff, Doidamares e Micheque precisam de tratamento psiquiátrico e cadeia!', 'textOriginal': 'Bob Jeff, Doidamares e Micheque precisam de tratamento psiquiátrico e cadeia!', 'authorDisplayName': 'José Eduardo Ribeiro Marques', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN0YAk62rffR5KkAiip-crQnoeJOFjERHKpUgX5=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC74e4m0Vs8egJvUj6LtDG-g', 'authorChannelId': {'value': 'UC74e4m0Vs8egJvUj6LtDG-g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T17:46:51Z', 'updatedAt': '2022-10-30T17:46:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC74e4m0Vs8egJvUj6LtDG-g,2022-10-30T17:46:51Z,"Bob Jeff, Doidamares e Micheque precisam de tratamento psiquiátrico e cadeia!",,2023-06-09 12:21:49.650004
youtube#commentThread,U-jnvyvsBOTSTWP3qkHWR-tZ4gE,UgxfR9XTXRz3e8BBgMR4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'KK81cV0B8EY19W-YL7WuO4jxATQ', 'id': 'UgxfR9XTXRz3e8BBgMR4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'De forma alguma remeter ao passado foi erro. Não é pq alguém é jovem que não queira saber como foi determinado governo. É claro que é importante dosar passado com futuro, e Lula fez isso.', 'textOriginal': 'De forma alguma remeter ao passado foi erro. Não é pq alguém é jovem que não queira saber como foi determinado governo. É claro que é importante dosar passado com futuro, e Lula fez isso.', 'authorDisplayName': 'Maria José Lins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOj5bzr8vENdrPBa_9fz7mhEF3Wl7RkIqBIb2hg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCerpoI4kIhd0KdKS0nlhs3g', 'authorChannelId': {'value': 'UCerpoI4kIhd0KdKS0nlhs3g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-30T16:26:03Z', 'updatedAt': '2022-10-30T16:26:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCerpoI4kIhd0KdKS0nlhs3g,2022-10-30T16:26:03Z,"De forma alguma remeter ao passado foi erro. Não é pq alguém é jovem que não queira saber como foi determinado governo. É claro que é importante dosar passado com futuro, e Lula fez isso.",,2023-06-09 12:21:49.650004
youtube#commentThread,UGZR-ORFysXAtVPMYhmy-Hj17MM,Ugx4wspAl-UJsWNKf4p4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'kmnrDXro-ZGxk4d6J0AQ03ptvfQ', 'id': 'Ugx4wspAl-UJsWNKf4p4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'Zema eleito no 1o turno se fazendo passar por apoiador de Lula', 'textOriginal': 'Zema eleito no 1o turno se fazendo passar por apoiador de Lula', 'authorDisplayName': 'Maria José Lins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOj5bzr8vENdrPBa_9fz7mhEF3Wl7RkIqBIb2hg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCerpoI4kIhd0KdKS0nlhs3g', 'authorChannelId': {'value': 'UCerpoI4kIhd0KdKS0nlhs3g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-30T16:19:13Z', 'updatedAt': '2022-10-30T16:19:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCerpoI4kIhd0KdKS0nlhs3g,2022-10-30T16:19:13Z,Zema eleito no 1o turno se fazendo passar por apoiador de Lula,,2023-06-09 12:21:49.650004
youtube#commentThread,WUwwpEUdbf6AJvYk_zOteBxi55Y,UgxGfT0MJgJ5xHXRVC94AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-uODrSKfLPNp6U2cdWqSbFASjhc', 'id': 'UgxGfT0MJgJ5xHXRVC94AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'JEFERSON: BOLSONARO, TO SOZINHO NA CADEIA, VEM ME FAZER COMPANHIA.<br>BOZONARO: AI AI AI', 'textOriginal': 'JEFERSON: BOLSONARO, TO SOZINHO NA CADEIA, VEM ME FAZER COMPANHIA.\\nBOZONARO: AI AI AI', 'authorDisplayName': 'Robson.Silva - Unespar Paranavaí ROBSON ROBERTO DA SILVA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNxme4kBhBRwBVTKNbqyMZdEK055b3HKiJgTOJD=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC41PNwqAPCpQUt1aau-tIRQ', 'authorChannelId': {'value': 'UC41PNwqAPCpQUt1aau-tIRQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-30T13:38:45Z', 'updatedAt': '2022-10-30T13:38:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC41PNwqAPCpQUt1aau-tIRQ,2022-10-30T13:38:45Z,"JEFERSON: BOLSONARO, TO SOZINHO NA CADEIA, VEM ME FAZER COMPANHIA.
BOZONARO: AI AI AI",,2023-06-09 12:21:49.650004
youtube#commentThread,f68tYJGNU0ulUeB6-C-v69OVp94,UgwrU37W27aXitVBQql4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '8zLgWhqt6K4-2QMhBBuGXRVrLso', 'id': 'UgwrU37W27aXitVBQql4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'Parabéns excelente trabalho bjs e parabéns a aniversariante', 'textOriginal': 'Parabéns excelente trabalho bjs e parabéns a aniversariante', 'authorDisplayName': 'Viviani Saraiva Rodrigues', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPqkapEskQk8UMy-Xlr-bM_vc5oX0PbGjo8oERy=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtFTMo8ovwJ6kpijfeN_rBQ', 'authorChannelId': {'value': 'UCtFTMo8ovwJ6kpijfeN_rBQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-29T22:15:52Z', 'updatedAt': '2022-10-29T22:15:52Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtFTMo8ovwJ6kpijfeN_rBQ,2022-10-29T22:15:52Z,Parabéns excelente trabalho bjs e parabéns a aniversariante,,2023-06-09 12:21:49.650004
youtube#commentThread,lw778uNqrna6BTYhUDN5zx0cCmQ,UgzcUT1Ld0DfbDVvVmd4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'wOC8pekR-pQNloe4n_1tf09XeEw', 'id': 'UgzcUT1Ld0DfbDVvVmd4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'Que legal', 'textOriginal': 'Que legal', 'authorDisplayName': 'Terezinha Viana', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNRbPrxClnBj9BdpTszql6-TVWTcbXmkw3OsA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8kpZRY27__mTdv6l_E7Slw', 'authorChannelId': {'value': 'UC8kpZRY27__mTdv6l_E7Slw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-29T21:56:38Z', 'updatedAt': '2022-10-29T21:56:38Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8kpZRY27__mTdv6l_E7Slw,2022-10-29T21:56:38Z,Que legal,,2023-06-09 12:21:49.650004
youtube#commentThread,uwlnL5UURAxLWv-rEQEahtc9bL4,UgxnwH2GGEmsj6eI_jF4AaABAg,"{'videoId': 'p_4XW-o-kYU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'DRRHd7zvMzDnrhaMyelN9dUIIWQ', 'id': 'UgxnwH2GGEmsj6eI_jF4AaABAg', 'snippet': {'videoId': 'p_4XW-o-kYU', 'textDisplay': 'Pacheco utilizando o orçamento secreto contra o Bolsonaro.<br><br>A Terra plana não dá voltas, ELA CAPOTA!', 'textOriginal': 'Pacheco utilizando o orçamento secreto contra o Bolsonaro.\\n\\nA Terra plana não dá voltas, ELA CAPOTA!', 'authorDisplayName': 'Afro Power', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO22gihRGw1YUVMAPS9n7P0ngBUgZF2EU4IpvmjSg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCgUIYdDTuvVjg6YnDkjzGFg', 'authorChannelId': {'value': 'UCgUIYdDTuvVjg6YnDkjzGFg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-29T18:04:31Z', 'updatedAt': '2022-10-29T18:04:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCgUIYdDTuvVjg6YnDkjzGFg,2022-10-29T18:04:31Z,"Pacheco utilizando o orçamento secreto contra o Bolsonaro.

A Terra plana não dá voltas, ELA CAPOTA!",,2023-06-09 12:21:49.650004
