kind,etag,id,snippet,contentDetails,status,statistics,player,topicDetails,recordingDetails,channelId,channelTitle,publishedAt,videoId,extraction_date
youtube#video,cI7rkKoH2W0QOpGkUC6lEuKoti4,TP2jy2Swdno,"{'publishedAt': '2022-10-19T17:33:36Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': '[AO VIVO] BOA TARDE SÃO PAULO - 19/10/2022', 'description': 'Suas tardes ganham um jornal dinâmico e que fala sua língua. Boa tarde, São Paulo.\\n\\nINSCREVA-SE NO CANAL E NÃO PERCA NENHUMA NOTÍCIA DO BRASIL E DO MUNDO. \\n\\nSiga as nossas redes sociais: \\nTwitter: https://twitter.com/bandjornalismo/\\nFacebook: https://www.facebook.com/bandjornalismo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/TP2jy2Swdno/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TP2jy2Swdno/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TP2jy2Swdno/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/TP2jy2Swdno/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/TP2jy2Swdno/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'tags': ['band jornalismo', 'band', 'jornalismo', 'bandeirantes', 'band tv', 'reportagens', 'jornal da band', 'café com jornal', 'bora sp', 'canal livre', 'brasil urgente', 'ao vivo', 'boa tarde são paulo'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': '[AO VIVO] BOA TARDE SÃO PAULO - 19/10/2022', 'description': 'Suas tardes ganham um jornal dinâmico e que fala sua língua. Boa tarde, São Paulo.\\n\\nINSCREVA-SE NO CANAL E NÃO PERCA NENHUMA NOTÍCIA DO BRASIL E DO MUNDO. \\n\\nSiga as nossas redes sociais: \\nTwitter: https://twitter.com/bandjornalismo/\\nFacebook: https://www.facebook.com/bandjornalismo/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT34M25S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '7858', 'favoriteCount': '0', 'commentCount': '0'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TP2jy2Swdno"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T17:33:36Z,TP2jy2Swdno,7/1/2023 17:29
youtube#video,Lq9P9DWZfMj3kTP3TOqphZOMkCo,nGiHjaYTFjY,"{'publishedAt': '2022-10-19T13:47:45Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': 'Band Vale inaugura nova sede no Interior de São Paulo', 'description': 'Uma nova sede da Band Vale foi inaugurada nesta semana em São José dos Campos, no Interior de São Paulo. https://www.band.uol.com.br/noticias/jornal-da-band', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/nGiHjaYTFjY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nGiHjaYTFjY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nGiHjaYTFjY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/nGiHjaYTFjY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/nGiHjaYTFjY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'categoryId': '25', 'liveBroadcastContent': 'none', 'localized': {'title': 'Band Vale inaugura nova sede no Interior de São Paulo', 'description': 'Uma nova sede da Band Vale foi inaugurada nesta semana em São José dos Campos, no Interior de São Paulo. https://www.band.uol.com.br/noticias/jornal-da-band'}}","{'duration': 'PT2M14S', 'dimension': '2d', 'definition': 'hd', 'caption': 'true', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '1422', 'likeCount': '46', 'favoriteCount': '0', 'commentCount': '3'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nGiHjaYTFjY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}",{'topicCategories': ['https://en.wikipedia.org/wiki/Society']},{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T13:47:45Z,nGiHjaYTFjY,7/1/2023 17:29
youtube#video,4RZj0-09-6oB6KKjWVGFjpWHHp8,vvKJnz1zank,"{'publishedAt': '2022-10-19T12:38:53Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': '[AO VIVO] BORA BRASIL - 19/10/2022', 'description': 'Às 8h, o Bora Brasil conta com repórteres espalhados pelo País inteiro trazendo a notícia ao vivo até você.\\n\\nINSCREVA-SE NO CANAL E NÃO PERCA NENHUM NOTÍCIA DA SUA CIDADE, DO BRASIL E DO MUNDO. \\n\\n\\nSiga o Bora Brasil nas redes sociais: \\nInstagram: https://www.instagram.com/bandjornalismo/\\nTwitter: https://twitter.com/bandjornalismo\\nFacebook: https://www.facebook.com/bandjornalismo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/vvKJnz1zank/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vvKJnz1zank/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vvKJnz1zank/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/vvKJnz1zank/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Band Jornalismo', 'tags': ['band jornalismo', 'band', 'jornalismo', 'bandeirantes', 'band tv', 'reportagens', 'jornal da band', 'café com jornal', 'bora sp', 'canal livre', 'brasil urgente'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': '[AO VIVO] BORA BRASIL - 19/10/2022', 'description': 'Às 8h, o Bora Brasil conta com repórteres espalhados pelo País inteiro trazendo a notícia ao vivo até você.\\n\\nINSCREVA-SE NO CANAL E NÃO PERCA NENHUM NOTÍCIA DA SUA CIDADE, DO BRASIL E DO MUNDO. \\n\\n\\nSiga o Bora Brasil nas redes sociais: \\nInstagram: https://www.instagram.com/bandjornalismo/\\nTwitter: https://twitter.com/bandjornalismo\\nFacebook: https://www.facebook.com/bandjornalismo/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT1H12M21S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '17405', 'likeCount': '455', 'favoriteCount': '0', 'commentCount': '4'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vvKJnz1zank"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T12:38:53Z,vvKJnz1zank,7/1/2023 17:29
youtube#video,zEDO5qVisWLyMSkXFZOA7JNvNlI,KAOT3xp1Rkw,"{'publishedAt': '2022-10-19T12:17:10Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': 'Prefeituras podem oferecer transporte gratuito no segundo turno das eleições', 'description': 'Prefeituras podem oferecer transporte gratuito no segundo turno das eleições. O ministro Luís Roberto Barroso, do STF, autorizou que as prefeituras ofereçam transporte gratuito dia 30 de outubro, data do segundo turno das eleições.\\n\\nVeja mais notícias em https://www.band.uol.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/KAOT3xp1Rkw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KAOT3xp1Rkw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KAOT3xp1Rkw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/KAOT3xp1Rkw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/KAOT3xp1Rkw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'tags': ['band jornalismo', 'band', 'jornalismo', 'bandeirantes', 'band tv', 'reportagens', 'jornal da band', 'bora sp', 'canal livre', 'brasil urgente'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': 'Prefeituras podem oferecer transporte gratuito no segundo turno das eleições', 'description': 'Prefeituras podem oferecer transporte gratuito no segundo turno das eleições. O ministro Luís Roberto Barroso, do STF, autorizou que as prefeituras ofereçam transporte gratuito dia 30 de outubro, data do segundo turno das eleições.\\n\\nVeja mais notícias em https://www.band.uol.com.br/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT38S', 'dimension': '2d', 'definition': 'hd', 'caption': 'true', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '1842', 'likeCount': '22', 'favoriteCount': '0', 'commentCount': '7'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KAOT3xp1Rkw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T12:17:10Z,KAOT3xp1Rkw,7/1/2023 17:29
youtube#video,73C80XqEuePt9DSHURFJPTgLEnM,2kXc-Zs39TE,"{'publishedAt': '2022-10-19T12:15:33Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': 'Neymar presta depoimento na Justiça da Espanha', 'description': 'Neymar presta depoimento na Justiça da Espanha. Neymar prestou depoimento num Tribunal na Espanha, como parte do julgamento sobre suposta fraude fiscal e corrupção empresarial na transferência para o Barcelona.\\n\\nVeja mais notícias em https://www.band.uol.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/2kXc-Zs39TE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2kXc-Zs39TE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2kXc-Zs39TE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2kXc-Zs39TE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2kXc-Zs39TE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'tags': ['neymar', 'julgamento neymar', 'neymar presta depoimento', 'neymar esta sendo acusado de que', 'neymar depoimento', 'neymar presta depoimento na espanha', 'neymar barcelona', 'neymar santos'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': 'Neymar presta depoimento na Justiça da Espanha', 'description': 'Neymar presta depoimento na Justiça da Espanha. Neymar prestou depoimento num Tribunal na Espanha, como parte do julgamento sobre suposta fraude fiscal e corrupção empresarial na transferência para o Barcelona.\\n\\nVeja mais notícias em https://www.band.uol.com.br/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT3M27S', 'dimension': '2d', 'definition': 'hd', 'caption': 'true', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '4235', 'likeCount': '55', 'favoriteCount': '0', 'commentCount': '7'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/2kXc-Zs39TE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T12:15:33Z,2kXc-Zs39TE,7/1/2023 17:29
youtube#video,hxTeEY_BQJMZ0tcJwWLBWnHqP_Q,c-KYPzRSZAc,"{'publishedAt': '2022-10-19T10:49:21Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': '1° JORNAL - 19/10/2022', 'description': 'Sua manhã recheada de notícias na tela da Band! O 1º Jornal chega na frente, às 4h00, com João Paulo Vergueiro, para trazer tudo o que você precisa saber antes de sair de casa. \\n\\nSiga o 1º Jornal e o Bora Brasil nas redes sociais: \\nInstagram: https://www.instagram.com/bandjornali...\\nTwitter: https://twitter.com/bandjornalismo\\nFacebook: https://www.facebook.com/bandjornalismo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/c-KYPzRSZAc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/c-KYPzRSZAc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/c-KYPzRSZAc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/c-KYPzRSZAc/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'Band Jornalismo', 'tags': ['band jornalismo', 'band', 'jornalismo', 'bandeirantes', 'band tv', 'reportagens', 'jornal da band', 'café com jornal', 'bora sp', 'canal livre', 'brasil urgente'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': '1° JORNAL - 19/10/2022', 'description': 'Sua manhã recheada de notícias na tela da Band! O 1º Jornal chega na frente, às 4h00, com João Paulo Vergueiro, para trazer tudo o que você precisa saber antes de sair de casa. \\n\\nSiga o 1º Jornal e o Bora Brasil nas redes sociais: \\nInstagram: https://www.instagram.com/bandjornali...\\nTwitter: https://twitter.com/bandjornalismo\\nFacebook: https://www.facebook.com/bandjornalismo/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT1H59M50S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '40972', 'likeCount': '892', 'favoriteCount': '0', 'commentCount': '16'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/c-KYPzRSZAc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T10:49:21Z,c-KYPzRSZAc,7/1/2023 17:29
youtube#video,Nc6dN4YXfjYxauUdGIoi9CU-1c0,dTqNnZZD4pI,"{'publishedAt': '2022-10-19T10:11:49Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': 'JORNAL DA NOITE - 18/10/2022', 'description': 'INSCREVA-SE NO CANAL E NÃO PERCA NENHUMA NOTÍCIA DO BRASIL E DO MUNDO. \\n\\nSiga as nossas redes sociais: \\nTwitter: https://twitter.com/bandjornalismo/\\nFacebook: https://www.facebook.com/bandjornalismo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/dTqNnZZD4pI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dTqNnZZD4pI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dTqNnZZD4pI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dTqNnZZD4pI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dTqNnZZD4pI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'tags': ['band jornalismo', 'band', 'jornalismo', 'bandeirantes', 'band tv', 'reportagens', 'jornal da band', 'café com jornal', 'bora sp', 'canal livre', 'brasil urgente', 'ao vivo'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': 'JORNAL DA NOITE - 18/10/2022', 'description': 'INSCREVA-SE NO CANAL E NÃO PERCA NENHUMA NOTÍCIA DO BRASIL E DO MUNDO. \\n\\nSiga as nossas redes sociais: \\nTwitter: https://twitter.com/bandjornalismo/\\nFacebook: https://www.facebook.com/bandjornalismo/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT59M18S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '5948', 'favoriteCount': '0', 'commentCount': '3'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dTqNnZZD4pI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T10:11:49Z,dTqNnZZD4pI,7/1/2023 17:29
youtube#video,s1r8oktyj8YE9fuZbXXULszKcK0,u0uVIoPjF0E,"{'publishedAt': '2022-10-19T03:20:05Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': 'Rússia destrói 30% das usinas de energia da Ucrânia', 'description': 'Numa nova onda de ataques aéreos, a Rússia intensificou os bombardeios contra estações de energia na Ucrânia.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/u0uVIoPjF0E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/u0uVIoPjF0E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/u0uVIoPjF0E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/u0uVIoPjF0E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/u0uVIoPjF0E/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'tags': ['Rússia', 'Ucrânia', 'energia', 'guerra'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'localized': {'title': 'Rússia destrói 30% das usinas de energia da Ucrânia', 'description': 'Numa nova onda de ataques aéreos, a Rússia intensificou os bombardeios contra estações de energia na Ucrânia.'}}","{'duration': 'PT1M25S', 'dimension': '2d', 'definition': 'hd', 'caption': 'true', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '16939', 'likeCount': '446', 'favoriteCount': '0', 'commentCount': '110'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/u0uVIoPjF0E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T03:20:05Z,u0uVIoPjF0E,7/1/2023 17:29
youtube#video,i6rtQANqVW43gbtn7OcvNUI7kOE,iTL9uV9eP4I,"{'publishedAt': '2022-10-19T01:28:42Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': 'Cop 27 sugestões do agronegócio para o clima', 'description': 'O agronegócio apresentou hoje propostas para o Brasil levar à Conferência do Clima da ONU, que será realizada no Egito no mês que vem.\\n\\nVeja mais notícias em https://www.band.uol.com.br/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/iTL9uV9eP4I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iTL9uV9eP4I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iTL9uV9eP4I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/iTL9uV9eP4I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/iTL9uV9eP4I/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'tags': ['band jornalismo', 'band', 'jornalismo', 'bandeirantes', 'band tv', 'reportagens', 'jornal da band', 'bora sp', 'canal livre', 'brasil urgente'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': 'Cop 27 sugestões do agronegócio para o clima', 'description': 'O agronegócio apresentou hoje propostas para o Brasil levar à Conferência do Clima da ONU, que será realizada no Egito no mês que vem.\\n\\nVeja mais notícias em https://www.band.uol.com.br/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT1M29S', 'dimension': '2d', 'definition': 'hd', 'caption': 'true', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '1875', 'likeCount': '42', 'favoriteCount': '0', 'commentCount': '0'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/iTL9uV9eP4I"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T01:28:42Z,iTL9uV9eP4I,7/1/2023 17:29
youtube#video,9FQZUqLTLVzhm7HBPdaG5eatQrQ,72oAsfYglrA,"{'publishedAt': '2022-10-19T00:51:39Z', 'channelId': 'UCoa-D_VfMkFrCYodrOC9-mA', 'title': 'JORNAL DA BAND 18/10/2022', 'description': 'INSCREVA-SE NO CANAL E NÃO PERCA NENHUMA NOTÍCIA DO BRASIL E DO MUNDO. \\n\\nSiga as nossas redes sociais: \\nTwitter: https://twitter.com/bandjornalismo/\\nFacebook: https://www.facebook.com/bandjornalismo/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/72oAsfYglrA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/72oAsfYglrA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/72oAsfYglrA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/72oAsfYglrA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/72oAsfYglrA/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Band Jornalismo', 'tags': ['jornow', 'noticias twitter', 'noticias do momentos', 'trends twitter', 'noticias agora', 'jornal internet', 'redes sociais', 'trends redes sociais', 'polemica redes sociais', 'Joana Treptow', 'Narley Resende', 'auxílio brasil', 'pec dos benefícios', 'eleitores não lembram', 'em quem votaram', 'deputados', 'incêndio', 'são vicente', 'cadastro único'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'pt', 'localized': {'title': 'JORNAL DA BAND 18/10/2022', 'description': 'INSCREVA-SE NO CANAL E NÃO PERCA NENHUMA NOTÍCIA DO BRASIL E DO MUNDO. \\n\\nSiga as nossas redes sociais: \\nTwitter: https://twitter.com/bandjornalismo/\\nFacebook: https://www.facebook.com/bandjornalismo/'}, 'defaultAudioLanguage': 'pt-BR'}","{'duration': 'PT1H15M41S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}","{'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}","{'viewCount': '164059', 'likeCount': '3220', 'favoriteCount': '0', 'commentCount': '71'}","{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/72oAsfYglrA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}","{'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']}",{},UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,2022-10-19T00:51:39Z,72oAsfYglrA,7/1/2023 17:29
