kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,Pc_PCUaPfgmKCKlj5XiPBCOwfC8,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLmtrZDNUcGVpVkJR,2023-06-06T02:16:40Z,UCitie-To0pWGe5Qyk9SjWRA,Governo Lula enredado em si próprio,,"{'url': 'https://i.ytimg.com/vi/kkd3TpeiVBQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/kkd3TpeiVBQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/kkd3TpeiVBQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/kkd3TpeiVBQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/kkd3TpeiVBQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,0,youtube#video,kkd3TpeiVBQ,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,wdq6gefIk_Kqx0wFBrxtUvPMSFc,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLmo5QTJoSUg0MEVR,2023-06-05T17:00:13Z,UCitie-To0pWGe5Qyk9SjWRA,Bolsonaro com prefeito MDB/SP capital,,"{'url': 'https://i.ytimg.com/vi/j9A2hIH40EQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/j9A2hIH40EQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/j9A2hIH40EQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/j9A2hIH40EQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/j9A2hIH40EQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,1,youtube#video,j9A2hIH40EQ,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,6M_QFhoyB6E6HVWEe_phEaCOcI4,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLkxSaEZGVkRfZDI0,2023-06-05T01:59:28Z,UCitie-To0pWGe5Qyk9SjWRA,Zanin: não será tão fácil no Senado,,"{'url': 'https://i.ytimg.com/vi/LRhFFVD_d24/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/LRhFFVD_d24/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/LRhFFVD_d24/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/LRhFFVD_d24/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/LRhFFVD_d24/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,2,youtube#video,LRhFFVD_d24,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,pTUVuw489mg4yZUXqgcm_VH0gYU,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLlQ2TUczeDFMQmtz,2023-06-03T17:33:46Z,UCitie-To0pWGe5Qyk9SjWRA,Lula se queima  por Maduro,,"{'url': 'https://i.ytimg.com/vi/T6MG3x1LBks/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/T6MG3x1LBks/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/T6MG3x1LBks/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/T6MG3x1LBks/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/T6MG3x1LBks/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,3,youtube#video,T6MG3x1LBks,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,eRAG8rqpeBI2s_98odKkvS70x74,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLlplYnV3Tk5WenIw,2023-06-02T17:58:51Z,UCitie-To0pWGe5Qyk9SjWRA,Paz no campo em perigo nas mãos de Pacheco,Meu comentário desta sexta-feira em 300 rádios,"{'url': 'https://i.ytimg.com/vi/ZebuwNNVzr0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZebuwNNVzr0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZebuwNNVzr0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZebuwNNVzr0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ZebuwNNVzr0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,4,youtube#video,ZebuwNNVzr0,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,uKG7aHtuxAF5apmGAWtIDEzYgXY,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLnIwS0tTTlJfTW5z,2023-06-02T00:33:30Z,UCitie-To0pWGe5Qyk9SjWRA,Lula indica seu próprio advogado para o Supremo,,"{'url': 'https://i.ytimg.com/vi/r0KKSNR_Mns/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/r0KKSNR_Mns/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/r0KKSNR_Mns/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/r0KKSNR_Mns/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/r0KKSNR_Mns/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,5,youtube#video,r0KKSNR_Mns,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,yRBH9WjsNHqZpHIdYN-jIXa804o,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLm5ZNjNKcFo5c1RB,2023-06-01T16:30:11Z,UCitie-To0pWGe5Qyk9SjWRA,Gasolina mais cara. Os bodes da MP,Meeu comentário desta quimta-feira em 300 rádios,"{'url': 'https://i.ytimg.com/vi/nY63JpZ9sTA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/nY63JpZ9sTA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/nY63JpZ9sTA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/nY63JpZ9sTA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/nY63JpZ9sTA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,6,youtube#video,nY63JpZ9sTA,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,P2XkIcmumnWKQ2Z1zbqNaSLKo-U,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLjI2OUR2Q3hub3lF,2023-06-01T00:59:16Z,UCitie-To0pWGe5Qyk9SjWRA,Fiasco de Lula bajulando Maduro,,"{'url': 'https://i.ytimg.com/vi/269DvCxnoyE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/269DvCxnoyE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/269DvCxnoyE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/269DvCxnoyE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/269DvCxnoyE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,7,youtube#video,269DvCxnoyE,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,sXO9G5xQgRS2Bhd8yfgr2_GV19Y,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLm93cHAteUk1TjBZ,2023-05-31T16:30:13Z,UCitie-To0pWGe5Qyk9SjWRA,Deputados reagem a abusos do STF,Meu comentário desta quarta-feira em 300 rádios,"{'url': 'https://i.ytimg.com/vi/owpp-yI5N0Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/owpp-yI5N0Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/owpp-yI5N0Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/owpp-yI5N0Y/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/owpp-yI5N0Y/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,8,youtube#video,owpp-yI5N0Y,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
youtube#playlistItem,TebKaxrtjugdeEYFzYfnFG0jimY,VVVpdGllLVRvMHBXR2U1UXlrOVNqV1JBLnpCdF9DOVdhUG9V,2023-05-30T23:57:18Z,UCitie-To0pWGe5Qyk9SjWRA,As perdas de Lula ao acolher Maduro,,"{'url': 'https://i.ytimg.com/vi/zBt_C9WaPoU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zBt_C9WaPoU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zBt_C9WaPoU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zBt_C9WaPoU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zBt_C9WaPoU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Alexandre Garcia,UUitie-To0pWGe5Qyk9SjWRA,9,youtube#video,zBt_C9WaPoU,Alexandre Garcia,UCitie-To0pWGe5Qyk9SjWRA,EAAaBlBUOkNESQ,2023-06-06 00:32:33.199486
