kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,snippet.thumbnails.maxres,nextPageToken,extraction_date
youtube#playlistItem,qzZoaEb8qZBruzM-rPRs0uP4B3Q,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLkpPRzVQOHhvZDBF,2023-06-05T22:00:22Z,UCHkIWOyyMuYfWeXkRGJUSxA,ALMANAQUE DO SASSARICO,"Live com Bemvindo Sequeira e Dimitri  Sales com assuntos diversos, sob a forma e literatutra popular em prosa: de Horóscopo a Fase da Lua, passando por datas e fatos, e acontecimentos politicos atuais e passados.","{'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/JOG5P8xod0E/sddefault_live.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,0,youtube#video,JOG5P8xod0E,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,,EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,nPtKqfYqnXlHdREvd-HpNUU-iOg,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLk1odjYxTExTNDlV,2023-06-05T14:00:12Z,UCHkIWOyyMuYfWeXkRGJUSxA,LADRÃO OU TCHUTCHUCA? PF INVESTIGA MAIS DESVIOS DE JOIAS POR BOLSONARO. TCHUTCHUCA DOS SHEIKS ?,"Não param de ser descobertos presentes de ouro, rubis, diamantes ... oferecidos a Bolsonaro pelos sheiks árabes. Em troca de quê? Joias que pela lei pertencem à  Repúblca e não ao acervo pessoal de Jair,  guardado na fazenda de Nelson Piquet.
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join
Humor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !
Obs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.","{'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,1,youtube#video,Mhv61LLS49U,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/Mhv61LLS49U/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,VBc_ZfzX2cozyo_cW6nRCONuV0k,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLld4d0dyNDRIc25Z,2023-06-05T00:07:29Z,UCHkIWOyyMuYfWeXkRGJUSxA,O FANTASMA DA MEIA-NOITE,"Em algum canto do Mundo é meia-noite.  nesta hora um Fantasma ameaça os Continentes: o Fantasma do comunismo, diria Marx. Nós dizemos: O Fantasma da Meia-Noite. Para os oprimidos e desamparados das redes sociais. Colaboração gráfica de Lia Sérgia e @vam_ilustrador. Papo leve e interação com internautas.","{'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,2,youtube#video,WxwGr44HsnY,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/WxwGr44HsnY/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,8z6vMJNYmwGmXpfGNn-Hh509Iag,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLmFkanJkSkJKTlBN,2023-06-04T14:39:54Z,UCHkIWOyyMuYfWeXkRGJUSxA,"60.000,00 POR UM CARRO POPULAR... ESTÁ BARATÍSISMO. APROVEITEM É SÓ POR 4 MESES.","Lula pede que critiquemos suas ações e projetos. Mas não é fácil criticar sem deixar de fortalecer a Direita. Mas hãcoisas  que incomodam  e a língua coça. Vão desculpando, companheiros. Rstrsrsrs
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join
Humor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !
Obs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.","{'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,3,youtube#video,adjrdJBJNPM,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/adjrdJBJNPM/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,v1WIfQ99zvsCVZJNq8zfmpQxiVQ,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLllha3h4SFhoRDQ0,2023-06-04T11:06:12Z,UCHkIWOyyMuYfWeXkRGJUSxA,ATENÇÃO ! MUDANÇA NOS HORÁRIOS E CONTEUDO DO CANAL,"Horarios de Brasilia: 2as feIras 19hs Almanaque do sassarico: 5as feiras 11hs Comentário Bemvindo; Sábados 19hs Dando Uma Perdida na Night; Domingos  20hs O Fantasma da Meia Noite. A Hora  da Larica das terças feiras sai do ar para dar lugarao Amanaque às segundas feiras. 
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join
Humor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !
Obs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.","{'url': 'https://i.ytimg.com/vi/YakxxHXhD44/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YakxxHXhD44/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YakxxHXhD44/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YakxxHXhD44/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,4,youtube#video,YakxxHXhD44,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/YakxxHXhD44/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,UoZatod2DRmOqfmHhSZrfXW-oS8,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLkJqckYwdlZ6aGxN,2023-06-04T00:39:41Z,UCHkIWOyyMuYfWeXkRGJUSxA,DANDO UMA PERDIDA NA NIGHT,"Papo leve e bem humorado sobr e os fatos da semana. Com o esquete das ""Manicures Bibilóides"". Com Bemvindo Sequeira, Dimitri Sales e Décio Nogueira. Colaboração gráfica Lia Sérgia Marcondes.","{'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BjrF0vVzhlM/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,5,youtube#video,BjrF0vVzhlM,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,,EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,aefs7g2YSwKH9dhiYLps4lpDB2s,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLjFOYzluS0dYazhN,2023-06-03T18:55:08Z,UCHkIWOyyMuYfWeXkRGJUSxA,A ORDEM É MASSACRAR LULA. A DIREITA DO MUNDO GOSTARIA DE VE-LO MORTO.,"Lula é um espinho na garganta do imperialismo norte americano. Lula coloca o Brasil como uma das lideranças mundiais. E isto os EEUU não perdoam.
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join
Humor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !
Obs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.","{'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,6,youtube#video,1Nc9nKGXk8M,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/1Nc9nKGXk8M/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,R8l7liQXG4UmZoRBYl4oXEb_5_8,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLmxBYVA1UTFxcUlr,2023-06-02T14:00:35Z,UCHkIWOyyMuYfWeXkRGJUSxA,O MANJA ROLA. O SENADOR  E O VENDEDOR DE ROLA ASSADA,"Humor. Sátira. Inspirado em literatura de Cordel o video de hoje retrata o costume culinário nordestino de comer pombas rolas, assadas ou cozidas.
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join
Humor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !
Obs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.","{'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,7,youtube#video,lAaP5Q1qqIk,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/lAaP5Q1qqIk/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,Nr-dVf1J0v_yjmxErSAc8e3Q9tw,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLkJFaWJfdUxSZllF,2023-06-01T20:00:03Z,UCHkIWOyyMuYfWeXkRGJUSxA,"ARTUR LIRA, O VILÃO DA REPÚBLICA. O INIMIGO DENTRO","Há um entulho que restou do governo fascista de Bolsonaro, chama-se Artur LIra. Comanda os votos de oportunistas, fascistas, bolsonaristas e corruptos. Maioria de um Congresso eleito por um eleitorado esquizofrênico. Lula tem que se virar e muito para conseguir governar apesar deste Congresso comandado pelo chefe do monturo.
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join
Humor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !
Obs.: Os comentários dos espectadores são de responsabilidade dos próprios e podem não corresponder à minha opinião.","{'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,8,youtube#video,BEib_uLRfYE,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/BEib_uLRfYE/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
youtube#playlistItem,xWj4vQDgVBa9-xgOEII1UkpOIEg,VVVIa0lXT3l5TXVZZldlWGtSR0pVU3hBLnd1VUsyd1BHaUxJ,2023-06-01T17:22:53Z,UCHkIWOyyMuYfWeXkRGJUSxA,#LIVE - Comentário Bemvindo o seu Sassarico News,"Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCHkIWOyyMuYfWeXkRGJUSxA/join
Humor e sátiras. Análises políticas e  filosóficas. Inscreva-se. Dê like !","{'url': 'https://i.ytimg.com/vi/wuUK2wPGiLI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/wuUK2wPGiLI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/wuUK2wPGiLI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/wuUK2wPGiLI/sddefault.jpg', 'width': 640, 'height': 480}",Bemvindo Sequeira,UUHkIWOyyMuYfWeXkRGJUSxA,9,youtube#video,wuUK2wPGiLI,Bemvindo Sequeira,UCHkIWOyyMuYfWeXkRGJUSxA,"{'url': 'https://i.ytimg.com/vi/wuUK2wPGiLI/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:54.730041
