kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,7kAjOMEyAi22G_xvkXY2J0RY2jI,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLi1ORDFKRDBjQmlF,2023-06-02T22:30:01Z,UCVLMRyUik9KrSdFdfRUiFgg,O próximo encontro do Foro de São Paulo será NO BRASIL!,"**INSCREVA-SE no canal: https://bit.ly/2Vnfrap
*Acesse nossa Livraria: https://livrariadobernardo.com/
Seja leitor do jornal Brasil Sem Medo: https://brasilsemmedo.com
________________________________________________
Telegram: https://t.me/bkuster
Facebook: https://bit.ly/2KJv7ep
Twitter: https://bit.ly/2T6p7mT
Instagram: https://bit.ly/2BTLR4t
Parler: https://bit.ly/2CgLNeW","{'url': 'https://i.ytimg.com/vi/-ND1JD0cBiE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/-ND1JD0cBiE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/-ND1JD0cBiE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/-ND1JD0cBiE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/-ND1JD0cBiE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,0,youtube#video,-ND1JD0cBiE,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,40ewzgiDtTczL1F9asNjzhAA0ZY,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLlFLSUItXzBzYkR3,2023-05-31T22:30:01Z,UCVLMRyUik9KrSdFdfRUiFgg,A hipocrisia que existe dentro da CNBB,"**INSCREVA-SE no canal: https://bit.ly/2Vnfrap
*Acesse nossa Livraria: https://livrariadobernardo.com/

________________________________________________

Nos acusam de semear a divisão, mas geram cada vez mais distanciamento entre os católicos!
Os que não compactuam com a Teologia da Libertação viram alvos. Os que compreendem o verdadeiro sentido do CV II e não o relativizam são vistos como uma ameaça.
Aonde vocês acham que isso vai parar?

________________________________________________

Participe de nosso grupo no Telegram: https://t.me/bkuster
Seja leitor do jornal Brasil Sem Medo: https://brasilsemmedo.com
________________________________________________
Telegram: https://t.me/bkuster
Facebook: https://bit.ly/2KJv7ep
Twitter: https://bit.ly/2T6p7mT
Instagram: https://bit.ly/2BTLR4t
Parler: https://bit.ly/2CgLNeW","{'url': 'https://i.ytimg.com/vi/QKIB-_0sbDw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/QKIB-_0sbDw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/QKIB-_0sbDw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/QKIB-_0sbDw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/QKIB-_0sbDw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,1,youtube#video,QKIB-_0sbDw,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,_jYNNZNi0ekpT2XvOMV2gnAcRLc,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLkZLbWxUbS1qbU5n,2023-05-29T22:00:08Z,UCVLMRyUik9KrSdFdfRUiFgg,Reagindo a 10 COMENTÁRIOS ABSURDOS no meu vídeo,"INSCREVA-SE no canal: https://bit.ly/2Vnfrap
Me siga no Instagram: https://www.instagram.com/bernardopkuster/

_____________________________
Outros vídeos sobre a defesa da FÉ CATÓLICA: 

O FIM da IGREJA CATÓLICA no Brasil?: https://youtu.be/IlYG1jHX518

Testando se católicos sabem defender a própria fé: https://youtu.be/gmuDoewiuC4

_____________________________
Participe de nosso grupo no Telegram: https://t.me/bkuster
Seja leitor do jornal Brasil Sem Medo: https://brasilsemmedo.com","{'url': 'https://i.ytimg.com/vi/FKmlTm-jmNg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/FKmlTm-jmNg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/FKmlTm-jmNg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/FKmlTm-jmNg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/FKmlTm-jmNg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,2,youtube#video,FKmlTm-jmNg,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,48Wdtn86NqvQ2F4vf1UMaztN4DM,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLlpwR2Q4dnlZOUhj,2023-05-27T11:30:17Z,UCVLMRyUik9KrSdFdfRUiFgg,O distanciamento entre a CNBB e povo católico,"**INSCREVA-SE no canal: https://bit.ly/2Vnfrap
*Acesse nossa Livraria: https://bit.ly/2qH0kXP

________________________________________________

Nos acusam de semear a divisão, mas geram cada vez mais distanciamento entre os católicos!
Os que não compactuam com a Teologia da Libertação viram alvos. Os que compreendem o verdadeiro sentido do CV II e não o relativizam são vistos como uma ameaça.
Aonde vocês acham que isso vai parar?

________________________________________________

Participe de nosso grupo no Telegram: https://t.me/bkuster
Seja leitor do jornal Brasil Sem Medo: https://brasilsemmedo.com
________________________________________________
Telegram: https://t.me/bkuster
Facebook: https://bit.ly/2KJv7ep
Twitter: https://bit.ly/2T6p7mT
Instagram: https://bit.ly/2BTLR4t
Parler: https://bit.ly/2CgLNeW","{'url': 'https://i.ytimg.com/vi/ZpGd8vyY9Hc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZpGd8vyY9Hc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZpGd8vyY9Hc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZpGd8vyY9Hc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ZpGd8vyY9Hc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,3,youtube#video,ZpGd8vyY9Hc,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,kxjGRfq_rOkNg6DQrMkANhOUZ1U,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLjlPbk1pNDgzSzAw,2023-05-24T22:00:04Z,UCVLMRyUik9KrSdFdfRUiFgg,Olha só a situação dos católicos no Brasil...,"**INSCREVA-SE no canal: https://bit.ly/2Vnfrap
*Acesse nossa Livraria: https://bit.ly/2qH0kXP

Participe de nosso grupo no Telegram: https://t.me/bkuster
Seja leitor do jornal Brasil Sem Medo: https://brasilsemmedo.com
________________________________________________
Telegram: https://t.me/bkuster
Facebook: https://bit.ly/2KJv7ep
Twitter: https://bit.ly/2T6p7mT
Instagram: https://bit.ly/2BTLR4t
Parler: https://bit.ly/2CgLNeW","{'url': 'https://i.ytimg.com/vi/9OnMi483K00/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/9OnMi483K00/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/9OnMi483K00/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/9OnMi483K00/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/9OnMi483K00/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,4,youtube#video,9OnMi483K00,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,-mm4NMz4cQSoFlzMRadvPp2ofWs,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLm42T1VYdXh1MEc0,2023-05-19T22:00:21Z,UCVLMRyUik9KrSdFdfRUiFgg,O mundo antes da Igreja Católica,"**INSCREVA-SE no canal: https://bit.ly/2Vnfrap
*Instagram: https://bit.ly/2BTLR4t
*Acesse nossa Livraria: https://bit.ly/2qH0kXP
________________________________________________

A Igreja Católica CONSTRUIU o mundo como conhecemos.

E agora ela está sendo destruída.

Antes do catolicismo, os princípios morais, assim como as regras que pautavam o mundo, eram completamente corrompidos.
As pessoas hoje querem o mundo gerado pela Igreja – mas sem se submeterem a ela.","{'url': 'https://i.ytimg.com/vi/n6OUXuxu0G4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/n6OUXuxu0G4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/n6OUXuxu0G4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/n6OUXuxu0G4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/n6OUXuxu0G4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,5,youtube#video,n6OUXuxu0G4,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,5fp2-X9T4GlwC3ekaA9Nrjxw8S0,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLjEyTjlnYzJYSjdj,2023-05-17T22:00:00Z,UCVLMRyUik9KrSdFdfRUiFgg,Qual será o impacto do FIM do CATOLICISMO no Brasil?,"**INSCREVA-SE no canal: https://bit.ly/2Vnfrap
*Instagram: https://bit.ly/2BTLR4t
*Acesse nossa Livraria: https://bit.ly/2qH0kXP
________________________________________________

A fé católica representa a última barreira de preservação de uma série de princípios morais básicos e inquebráveis.

Só existe santidade na Igreja Católica. O encerramento dessa realidade é, inevitavelmente, a nossa ruína.

Participe de nosso grupo no Telegram: https://t.me/bkuster
Seja leitor do jornal Brasil Sem Medo: https://brasilsemmedo.com","{'url': 'https://i.ytimg.com/vi/12N9gc2XJ7c/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/12N9gc2XJ7c/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/12N9gc2XJ7c/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/12N9gc2XJ7c/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/12N9gc2XJ7c/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,6,youtube#video,12N9gc2XJ7c,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,W1MB7WCLJYBgEqtyZsnHrOkNRNo,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLm1OUkI5ME9DRmRr,2023-05-15T22:00:19Z,UCVLMRyUik9KrSdFdfRUiFgg,A CNBB endoidou? O documento MALUCO da CNBB,"A CNBB disponibilizou a análise de conjuntura eclesial que cita eu e vários influencer católicos.

_____________________________

*INSCREVA-SE no canal: https://bit.ly/2Vnfrap
*Me siga no Instagram: https://www.instagram.com/bernardopkuster/

_____________________________

A CNBB tenta, nesse documento, relacionar diretamente diversas personalidades católicas com a divisão política que está acontecendo na igreja católica.

Neste vídeo eu vou te mostrar os absurdos escritos nesse documento da CNBB e qual é a minha real opinião sobre ele.

_____________________________

Outros vídeos sobre a defesa da FÉ CATÓLICA: 

O fim da igreja católica no Brasil: https://youtu.be/IlYG1jHX518

_____________________________

Acesse a nossa LIVRARIA: https://bit.ly/2qH0kXP
Participe de nosso grupo no Telegram: https://t.me/bkuster
Seja leitor do jornal Brasil Sem Medo: https://brasilsemmedo.com","{'url': 'https://i.ytimg.com/vi/mNRB90OCFdk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mNRB90OCFdk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mNRB90OCFdk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mNRB90OCFdk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mNRB90OCFdk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,7,youtube#video,mNRB90OCFdk,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,7kZJJqoc33zzu_1xNVe4_I9rnLY,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLmVLTThCRG9ILV9B,2023-05-11T21:11:28Z,UCVLMRyUik9KrSdFdfRUiFgg,TAPA CULTURAL #155  - Como o ESG vai acabar com seu negócio,"O programa de hoje conta a participação de André Pirajá - advogado e produtor rural - para explicar de vez o que é o tal ESG, mercado de carbono e como essa agenda verde pode colocar em risco as propriedades rurais e a segurança alimentar mundial.","{'url': 'https://i.ytimg.com/vi/eKM8BDoH-_A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eKM8BDoH-_A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eKM8BDoH-_A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eKM8BDoH-_A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eKM8BDoH-_A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,8,youtube#video,eKM8BDoH-_A,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
youtube#playlistItem,yBhP2gE1GSJnKqyjXivpJbrnpvI,VVVWTE1SeVVpazlLclNkRmRmUlVpRmdnLmpLRlk1dWJ5U01V,2023-05-08T21:16:10Z,UCVLMRyUik9KrSdFdfRUiFgg,"TAPA CULTURAL #154 - ""Liberdade é uma emoção""","ASSINE O BSM: https://brasilsemmedo.com/

Cármen Lúcia afirmou durante uma entrevista que “a liberdade não é um direito, é um sentimento, uma emoção do ser humano”.

Seria a excelentíssima ministra alguém gozando com a nossa cara, apenas mais uma analfabeta funcional nessa pátria socioconstrutivista ou misto das duas coisas?

Não seja como a Carminha; aproveite as ofertas do excelente catálogo da Livraria BSM: https://livrariabsm.com.br/","{'url': 'https://i.ytimg.com/vi/jKFY5ubySMU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jKFY5ubySMU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jKFY5ubySMU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jKFY5ubySMU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jKFY5ubySMU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bernardo P Küster,UUVLMRyUik9KrSdFdfRUiFgg,9,youtube#video,jKFY5ubySMU,Bernardo P Küster,UCVLMRyUik9KrSdFdfRUiFgg,EAAaBlBUOkNESQ,2023-06-06 00:48:16.268144
