kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,7rLc8z8072gxGjseHW7uOI7IIc8,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLk4yNG93VFJHLWJ3,2023-06-03T04:10:52Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Bob Fernandes, Janio de Freitas e Mário Kertész - Programa Três Pontos - 2/6/2023","Sexta-feira , dia 2 de Junho de 2023


INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS DO CANAL
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy




Este é o canal de Bob Fernandes. Vídeos novos todas terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/N24owTRG-bw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/N24owTRG-bw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/N24owTRG-bw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/N24owTRG-bw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/N24owTRG-bw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,0,youtube#video,N24owTRG-bw,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,8nVQiOjAsIYZjrTgblv66Fh9QPg,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLlF5akVUNnZXRTVB,2023-06-02T21:59:32Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Acusado de lavar dinheiro e com assessor investigado pela PF, Lira avança, ou blefa, contra governo.","Sexta-feira, dia 2 de junho de 2023



INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé



Este é o canal de Bob Fernandes. Vídeos novos em todas as terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/QyjET6vWE5A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/QyjET6vWE5A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/QyjET6vWE5A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/QyjET6vWE5A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/QyjET6vWE5A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,1,youtube#video,QyjET6vWE5A,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,Qyx1MkMkxjt3yhmTV28PmWuzTVs,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLmZxcDlmNVNpMEo0,2023-05-30T22:07:04Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Arthur Lira lavou dinheiro do Orçamento Secreto, acusa Renan Calheiros. CNJ investiga Curitiba/TRF4","Terça-feira, dia 30 de maio de 2023


INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé




Este é o canal de Bob Fernandes. Vídeos novos todas terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/fqp9f5Si0J4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/fqp9f5Si0J4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/fqp9f5Si0J4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/fqp9f5Si0J4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/fqp9f5Si0J4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,2,youtube#video,fqp9f5Si0J4,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,nPdTsVxdI-I4P7bpCOmJKnBN22s,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLkdacXkyeDJpTmFv,2023-05-26T22:00:16Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Sob ataque do Fascio e braços de Lira, Lula deve assumir a coordenação política... “O jogo começou”","Sexta-feira, dia 26 de maio de 2023



INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Imagem: Grupo Metrópole
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé



Este é o canal de Bob Fernandes. Vídeos novos em todas as terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/GZqy2x2iNao/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GZqy2x2iNao/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GZqy2x2iNao/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GZqy2x2iNao/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GZqy2x2iNao/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,3,youtube#video,GZqy2x2iNao,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,k12O-uXaKPi9N-8uyqgispXXCec,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLjh3eEJncXkySHMw,2023-05-23T22:00:13Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Refluxo nas latrinas da Lava Jato, Vinícius ataca o racismo na Espanha, o fascismo quer cercar o MST","Terça-feira, dia 23 de maio de 2023


INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé




Este é o canal de Bob Fernandes. Vídeos novos todas terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/8wxBgqy2Hs0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8wxBgqy2Hs0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8wxBgqy2Hs0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8wxBgqy2Hs0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8wxBgqy2Hs0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,4,youtube#video,8wxBgqy2Hs0,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,iI5Xm0tGU1O3nfVXvYcy0zq246Q,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLkV4Ujg1MGctQm1F,2023-05-22T20:15:12Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Petrobras prendeu, torturou e perseguiu petroleiros durante a Ditadura","Segunda-feira, dia 22 de maio de 2023


AJUDE A FINANCIAR ESTE CANAL: https://www.catarse.me/bobfernandes
INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com




FICHA TÉCNICA
Roteiro e captação: Miguel Breyton
Edição: Roberto Fernández/O Movimento Falso

Capítulos anteriores desta série:

Estudar atuação de civis e militares na ditadura ajuda a lidar com golpismo atual, diz pesquisador
https://youtu.be/B0lzsSV-LZw

Itaipu: estudo relata violência, benefícios pra empresas e militares, perdas de famílias e indígenas
https://youtu.be/Pw8qPhXEr3s

Trabalho escravo: Volkswagen responde à Justiça por violações de direitos durante a ditadura 
https://youtu.be/OqKfO_F17rI

Para favorecer empresa na ditadura, Exército bombardeou indígenas na construção da Transamazônica 
https://youtu.be/j3NgtVOWZwI

Investigada, Fiat vigiou e reprimiu seus trabalhadores e recebeu da ditadura terreno e estradas
https://youtu.be/tGfnjL5B4ks



CRÉDITOS DO CANAL
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Myagi
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé



Este é o canal de Bob Fernandes. Vídeos novos todas terças e quintas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/ExR850g-BmE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ExR850g-BmE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ExR850g-BmE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ExR850g-BmE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ExR850g-BmE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,5,youtube#video,ExR850g-BmE,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,2acRFoNtDU4PzyR0Hx1VFiweflw,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLnJqeGJsZzFiV2Zz,2023-05-18T22:00:29Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Escárnio e deboche de Cid & Michelle, Valdemar & Jair tentando explicar o inexplicável…","Quinta-feira, dia 18 de maio de 2023



INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de encerramento: Gabriel Edé



Este é o canal de Bob Fernandes. Vídeos novos em todas as terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/rjxblg1bWfs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/rjxblg1bWfs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/rjxblg1bWfs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/rjxblg1bWfs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/rjxblg1bWfs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,6,youtube#video,rjxblg1bWfs,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,1r30mvhGrEfK-vDFq_RUuODK0mU,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLlBnNjNjQ0w5bWRJ,2023-05-16T22:00:14Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"Cracolândia, uma Construção coletiva... E que Deus lhes Pague","Terça-feira, dia 16 de maio de 2023


INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com


Fotografias de Ale Ruaro, vídeos aéreos de Alexandre Borracha - Universo Drone, edição de Thiago Miagy, canção Construção, de Chico Buarque.


CRÉDITOS DO CANAL
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé




Este é o canal de Bob Fernandes. Vídeos novos todas terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/Pg63cCL9mdI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Pg63cCL9mdI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Pg63cCL9mdI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Pg63cCL9mdI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Pg63cCL9mdI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,7,youtube#video,Pg63cCL9mdI,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,YmHUJHXON1n7T25kUKQtzpGDZEI,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLmo5VUxsZDRTd0dr,2023-05-12T22:00:32Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,"O Agro invade, mas a CPMI é do MST, ""liberais"" a serviço dos EUA e no Congresso o ""toma lá, dá cá""","Sexta-feira, dia 12 de maio de 2023



INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé



Este é o canal de Bob Fernandes. Vídeos novos em todas as terças e sextas, sempre, e demais postagens a qualquer momento necessário.


SEJA MEMBRO DESTE CANAL :
https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join

APOIE O  CANAL NO CATARSE: https://www.catarse.me/bobfernandes
INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ","{'url': 'https://i.ytimg.com/vi/j9ULld4SwGk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/j9ULld4SwGk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/j9ULld4SwGk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/j9ULld4SwGk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/j9ULld4SwGk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,8,youtube#video,j9ULld4SwGk,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
youtube#playlistItem,E94HLxUQcCLBk7l4OOfuk3m9RPs,VVVmcExEWjJQcmJGbk5ySXpSSGlVOFpRLnZFUHF3eDFpeHFR,2023-05-09T22:19:17Z,UCfpLDZ2PrbFnNrIzRHiU8ZQ,FBI & cia em ações fora da lei no Brasil. E como os EUA e seus braços financiam institutos liberais,"Terça-feira, dia 9 de maio de 2023


INSCREVA-SE NO CANAL: https://goo.gl/5jEXsJ
SEJA MEMBRO E COLABORE: https://www.youtube.com/channel/UCfpLDZ2PrbFnNrIzRHiU8ZQ/join
AJUDE A FINANCIAR ESTE CANAL ATRAVÉS DO CATARSE: https://www.catarse.me/bobfernandes
SE PREFERIR, COLABORE VIA PIX: bobfernandespix@gmail.com



CRÉDITOS
Direção Geral: Bob Fernandes
Direção Executiva: Antonio Prada
Produção: Eliano Jorge
Edição: Thiago Miagy
Arte e Vinhetas: Lorota
Música de abertura e encerramento: Gabriel Edé




Este é o canal de Bob Fernandes. Vídeos novos todas terças e sextas, sempre, e demais postagens a qualquer momento necessário.","{'url': 'https://i.ytimg.com/vi/vEPqwx1ixqQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/vEPqwx1ixqQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/vEPqwx1ixqQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/vEPqwx1ixqQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/vEPqwx1ixqQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Bob Fernandes,UUfpLDZ2PrbFnNrIzRHiU8ZQ,9,youtube#video,vEPqwx1ixqQ,Bob Fernandes,UCfpLDZ2PrbFnNrIzRHiU8ZQ,EAAaBlBUOkNESQ,2023-06-05 20:04:16.760570
