kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,W4fSMm06c9cAlmaDksljrqPLP3o,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LnFfNl84VmZKY3gw,2023-06-03T03:54:08Z,UCDwLCn3w_8-q9xwhNC6H5dw,"URGENTE: ISSO É MUITO SÉRIO, O SISTEMA TODO SE ALINHOU","URGENTE: ISSO É MUITO SÉRIO, O SISTEMA TODO SE ALINHOU","{'url': 'https://i.ytimg.com/vi/q_6_8VfJcx0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/q_6_8VfJcx0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/q_6_8VfJcx0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/q_6_8VfJcx0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/q_6_8VfJcx0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,0,youtube#video,q_6_8VfJcx0,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,wHwsuzLMdBXPtaAfI3T_iRNH26o,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LmlHSGU4MWxEVDBz,2023-06-01T02:09:59Z,UCDwLCn3w_8-q9xwhNC6H5dw,ISSO É URGENTE: TODOS SÃO PEGOS DE SUPRESA E SITUAÇÃO COMPLICA,ISSO É URGENTE: TODOS SÃO PEGOS DE SUPRESA E SITUAÇÃO COMPLICA,"{'url': 'https://i.ytimg.com/vi/iGHe81lDT0s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/iGHe81lDT0s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/iGHe81lDT0s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/iGHe81lDT0s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/iGHe81lDT0s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,1,youtube#video,iGHe81lDT0s,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,1gm17kuQoNgOfQO67ClCEwCB1tQ,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3Lk1lbmJWbno4amhr,2023-05-31T20:07:40Z,UCDwLCn3w_8-q9xwhNC6H5dw,EXTREMA URGÊNCIA: A SITUAÇÃO FUGIU DO CONTROLE E EM BRASÍLIA COMPLICOU TUDO,EXTREMA URGÊNCIA: A SITUAÇÃO FUGIU DO CONTROLE E EM BRASÍLIA COMPLICOU TUDO,"{'url': 'https://i.ytimg.com/vi/MenbVnz8jhk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/MenbVnz8jhk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/MenbVnz8jhk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/MenbVnz8jhk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/MenbVnz8jhk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,2,youtube#video,MenbVnz8jhk,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,CzJn20hJytXZ3H5X7sUlZkowvLI,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LmVrUFZuZ2FFd3VN,2023-05-26T19:59:17Z,UCDwLCn3w_8-q9xwhNC6H5dw,AGORA: ACABA DE SER DIVULGADA DECISÃO E BRASILEIROS SÃO PEGOS DE SURPRESA,AGORA: ACABA DE SER DIVULGADA DECISÃO E BRASILEIROS SÃO PEGOS DE SURPRESA,"{'url': 'https://i.ytimg.com/vi/ekPVngaEwuM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ekPVngaEwuM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ekPVngaEwuM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ekPVngaEwuM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ekPVngaEwuM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,3,youtube#video,ekPVngaEwuM,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,_QwOXw6Wc0Da63xTNLsbgxi8QLU,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LmNnN3UyOUxFTndJ,2023-05-22T23:11:23Z,UCDwLCn3w_8-q9xwhNC6H5dw,AO VIVO: BRASILEIROS VOLTAM AS RUAS APÓS DECISÃO,AO VIVO: BRASILEIROS VOLTAM AS RUAS APÓS DECISÃO DE MORAES,"{'url': 'https://i.ytimg.com/vi/cg7u29LENwI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cg7u29LENwI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cg7u29LENwI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cg7u29LENwI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/cg7u29LENwI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,4,youtube#video,cg7u29LENwI,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,uT42To8BypO4PLd2k07Xh-UGLmU,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LldPT3FibURJa0FR,2023-05-21T23:55:57Z,UCDwLCn3w_8-q9xwhNC6H5dw,EXTREMA URGÊNCIA! DECISÃO PEGA O BRASIL DE SURPRESA,"Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw/join

▶️INSCREVA-SE NO CANAL: https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw?sub_confirmation=1
▶ Telegram: https://t.me/joinchat/H3f4hYr12siY-4ev
▶ Instagram: https://www.instagram.com/patriotacristaobr/?hl=pt-br
▶ Facebook: https://www.facebook.com/Patriota-Crist%C3%A3o-165036818505727
▶ Grupo do Facebook: https://www.facebook.com/groups/1365287200536432
▷ TEMA DO VÍDEO -","{'url': 'https://i.ytimg.com/vi/WOOqbmDIkAQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/WOOqbmDIkAQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/WOOqbmDIkAQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/WOOqbmDIkAQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/WOOqbmDIkAQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,5,youtube#video,WOOqbmDIkAQ,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,3ICx87Oi3eJiWdizrQGCJZ_XhOM,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LnZrZTRqdHZrbDBJ,2023-05-19T20:59:01Z,UCDwLCn3w_8-q9xwhNC6H5dw,"AGORA: NOVA DECISÃO ACABA DE SER DIVULGADA, O BRASIL NÃO ESPERAVA","Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw/join

▶️INSCREVA-SE NO CANAL: https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw?sub_confirmation=1
▶ Telegram: https://t.me/joinchat/H3f4hYr12siY-4ev
▶ Instagram: https://www.instagram.com/patriotacristaobr/?hl=pt-br
▶ Facebook: https://www.facebook.com/Patriota-Crist%C3%A3o-165036818505727
▶ Grupo do Facebook: https://www.facebook.com/groups/1365287200536432
▷ TEMA DO VÍDEO -","{'url': 'https://i.ytimg.com/vi/vke4jtvkl0I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/vke4jtvkl0I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/vke4jtvkl0I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/vke4jtvkl0I/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/vke4jtvkl0I/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,6,youtube#video,vke4jtvkl0I,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,tcu_y8P9yZPSirVoUt21YY4RKEM,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LlJINWJ4VDNsdFhN,2023-05-12T21:16:10Z,UCDwLCn3w_8-q9xwhNC6H5dw,AGORA: BOLSONARO FAZ PRONUNCIAMENTO AO BRASIL,"Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw/join

▶️INSCREVA-SE NO CANAL: https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw?sub_confirmation=1
▶ Telegram: https://t.me/joinchat/H3f4hYr12siY-4ev
▶ Instagram: https://www.instagram.com/patriotacristaobr/?hl=pt-br
▶ Facebook: https://www.facebook.com/Patriota-Crist%C3%A3o-165036818505727
▶ Grupo do Facebook: https://www.facebook.com/groups/1365287200536432
▷ TEMA DO VÍDEO -","{'url': 'https://i.ytimg.com/vi/RH5bxT3ltXM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/RH5bxT3ltXM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/RH5bxT3ltXM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/RH5bxT3ltXM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/RH5bxT3ltXM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,7,youtube#video,RH5bxT3ltXM,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,MBY83bC4gsSa0DFosf_4YnLvSkg,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LjhpOUs3WDJHUUh3,2023-05-10T23:27:24Z,UCDwLCn3w_8-q9xwhNC6H5dw,AGORA: DECISÃO DE MORAES FAZ PF IR PRA CIMA E SITUAÇÃO FICA COMPLICADA,AGORA: DECISÃO DE MORAES FAZ PF IR PRA CIMA E SITUAÇÃO FICA COMPLICADA,"{'url': 'https://i.ytimg.com/vi/8i9K7X2GQHw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8i9K7X2GQHw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8i9K7X2GQHw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8i9K7X2GQHw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8i9K7X2GQHw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,8,youtube#video,8i9K7X2GQHw,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
youtube#playlistItem,bK2kjuo5nZbYgHg9jgNhKSR4Gt0,VVVEd0xDbjN3XzgtcTl4d2hOQzZINWR3LnlZcnBuZllsRHZz,2023-05-08T15:02:00Z,UCDwLCn3w_8-q9xwhNC6H5dw,EXTREMA URGÊNCIA: VEJA O QUE ESTÃO DISCUTINDO AGORA!! MENDONÇA FOI PRA CIMA,"Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw/join

▶️INSCREVA-SE NO CANAL: https://www.youtube.com/channel/UCDwLCn3w_8-q9xwhNC6H5dw?sub_confirmation=1
▶ Telegram: https://t.me/joinchat/H3f4hYr12siY-4ev
▶ Instagram: https://www.instagram.com/patriotacristaobr/?hl=pt-br
▶ Facebook: https://www.facebook.com/Patriota-Crist%C3%A3o-165036818505727
▶ Grupo do Facebook: https://www.facebook.com/groups/1365287200536432
▷ TEMA DO VÍDEO -","{'url': 'https://i.ytimg.com/vi/yYrpnfYlDvs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/yYrpnfYlDvs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/yYrpnfYlDvs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/yYrpnfYlDvs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/yYrpnfYlDvs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil Agora,UUDwLCn3w_8-q9xwhNC6H5dw,9,youtube#video,yYrpnfYlDvs,Brasil Agora,UCDwLCn3w_8-q9xwhNC6H5dw,EAAaBlBUOkNESQ,2023-06-06 00:53:02.357252
