kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,BxkXEw1k5pXAwwATgDEtNsI1fo4,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLmZmX1pOYmlNdXdN,2023-06-05T22:44:49Z,UCOnuheHbS2DgZiAZFL0-Sbg,Kleber Karipuna: Votação do marco temporal no STF não encerra luta contra bancada ruralista,"Organizações indígenas se reuniram com o presidente do Senado, Rodrigo Pacheco (PSD-MG) na última semana, para entender como se dará a tramitação do PL 490 (no senado, PL 2903), no Congresso.

O projeto, que determina um marco temporal para as demarcações de terras indígenas, recebeu tratamento de urgência pela Câmara dos Deputados, atropelando ritos da casa e até mesmo o Supremo Tribunal Federal (STF), que deverá tratar de matéria similar nesta semana.

O coordenador executivo da Articulação dos Povos Indígenas do Brasil (Apib), Kleber Karipuna, é o convidado desta semana no BDF Entrevista. Karipuna explica que, apesar do açodamento na aprovação do PL pelos deputados, foi graças à articulação das organizações indígenas que atuam em Brasília que o projeto dormiu durante mais de 10 anos nas gavetas da Câmara Federal.

#BdFEntrevista
#KleberKaripuna
#MarcoTemporal
#MeioAmbiente
#PovosIndígenas","{'url': 'https://i.ytimg.com/vi/ff_ZNbiMuwM/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ff_ZNbiMuwM/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ff_ZNbiMuwM/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ff_ZNbiMuwM/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ff_ZNbiMuwM/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,0,youtube#video,ff_ZNbiMuwM,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,D2thfO093-yndTaY0MoI-YF-_fI,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLnRBb1owSmxPdFdr,2023-06-05T22:48:39Z,UCOnuheHbS2DgZiAZFL0-Sbg,Marina Silva critica decisões do Congresso que afetam política ambiental,"Marina Silva aproveitou a cerimônia de anúncios de medidas na área ambiental, pelo Dia Nacional do Meio Ambiente, para criticar decisões recentes do Congresso Nacional que afetam sua área. 

Segundo a ministra, ao assumir, Lula optou pelo fortalecimento do Sistema Nacional de Meio Ambiente, colocando a Agência Nacional de Águas e o Serviço Florestal Brasileiro sob o guarda-chuva do Ministerio do Meio Ambiente, decisão revertida pelo Congresso na semana passada.

Acesse o nosso site para mais notícias: http://www.brasildefato.com.br

INSCREVA-SE em nosso canal: https://www.youtube.com/@brasildefato

Facebook: https://facebook.com/brasildefato
Twitter: https://twitter.com/brasildefato
Instagram: https://instagram.com/brasildefato/","{'url': 'https://i.ytimg.com/vi/tAoZ0JlOtWk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tAoZ0JlOtWk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tAoZ0JlOtWk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tAoZ0JlOtWk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tAoZ0JlOtWk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,1,youtube#video,tAoZ0JlOtWk,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,nkasKhcGgfkv3uF0o8GBSc6_bLc,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLlE4a2pIbl92QVpF,2023-06-05T22:42:10Z,UCOnuheHbS2DgZiAZFL0-Sbg,Marina Silva homenageia Bruno e Dom,"Em cerimônia pelo Dia Mundial do Meio Ambiente, a ministra do Meio Ambiente, Marina Silva, lembrou o assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips, que aconteceu há exato um ano. Segundo ela, eles tiveram suas vidas ceifadas enquanto exerciam um papel de defesa da floresta que deveria ser exercido pelo Estado.

Durante a cerimônia, Lula vetou trecho de Medida Provisória do governo Bolsonaro que ameaçava a Mata Atlântica, conhecida como ""MP da boiada"", assinou a criação de uma unidade de conservação e reafirmou o compromisso do governo com a preservação dos biomas.

Marina também comentou os retrocessos ambientais no Congresso, como a de transferir competências de seu ministério a outras pastas. Ela afirmou que as medidas enfraqueceram a política ambiental do governo. 

""Infelizmente em recente decisão do Congresso tivemos um retrocesso"", disse Marina. ""Acatamos, porque na democracia a gente acata as decisões legítimas do Congresso. Mas não posso concordar.""

Acesse o nosso site para mais notícias: http://www.brasildefato.com.br

INSCREVA-SE em nosso canal: https://www.youtube.com/@brasildefato

Facebook: https://facebook.com/brasildefato
Twitter: https://twitter.com/brasildefato
Instagram: https://instagram.com/brasildefato/","{'url': 'https://i.ytimg.com/vi/Q8kjHn_vAZE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Q8kjHn_vAZE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Q8kjHn_vAZE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Q8kjHn_vAZE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Q8kjHn_vAZE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,2,youtube#video,Q8kjHn_vAZE,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,P3AbDBi1_huT8sXbQgK29iNQqOc,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLk1sTl9jeGhONlk4,2023-06-05T16:34:58Z,UCOnuheHbS2DgZiAZFL0-Sbg,"O legado de Bruno e Dom, um ano após os assassinatos","Nesta segunda, 5 de junho, o assassinato do indigenista Bruno Pereira e do jornalista inglês Dom Phillips completa um ano. O repórter Murilo Pajola, que acompanha essa história desde o desaparecimento de Bruno e Dom, traz uma reportagem especial sobre o legado dos dois profissionais e o andamento do caso. Confira.
‌
O Brasil de Fato entrou em contato com a defesa dos acusados de matar Bruno e Dom, mas não houve resposta.

Acesse o nosso site para mais notícias: http://www.brasildefato.com.br

INSCREVA-SE em nosso canal: https://www.youtube.com/@brasildefato

Facebook: https://facebook.com/brasildefato
Twitter: https://twitter.com/brasildefato
Instagram: https://instagram.com/brasildefato/","{'url': 'https://i.ytimg.com/vi/MlN_cxhN6Y8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/MlN_cxhN6Y8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/MlN_cxhN6Y8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/MlN_cxhN6Y8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/MlN_cxhN6Y8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,3,youtube#video,MlN_cxhN6Y8,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,DwCPg8YfwGboGhQj-UIh-EfV-FQ,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLjdILVNRVWNzN3dB,2023-06-05T16:01:54Z,UCOnuheHbS2DgZiAZFL0-Sbg,🔴 Lula e Marina anunciam novas medidas diante de Congresso anti-ambientalista | Central do Brasil,"O jornal Central do Brasil desta segunda-feira (5) está no ar! Confira os destaques desta edição:

DIA DO MEIO AMBIENTE - Ex-presidente do ICMBio, Cláudio Maretti participa ao vivo e faz uma análise das tensões vividas pelo governo Lula diante da pauta ambiental

UM ANO SEM BRUNO E DOM: O repórter Murilo Pajolla viajou pelo Vale do Javari e traz na edição de hoje uma reportagem especial sobre o legado do indigenista Bruno Pereira e do jornalista inglês Dom Phillips, assassinados em Junho de 2022.

Acesse o nosso site para mais notícias: http://www.brasildefato.com.br

INSCREVA-SE em nosso canal: https://www.youtube.com/c/AgenciaBrasildeFato

Facebook: https://facebook.com/brasildefato
Twitter: https://twitter.com/brasildefato
Instagram: https://instagram.com/brasildefato/","{'url': 'https://i.ytimg.com/vi/7H-SQUcs7wA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/7H-SQUcs7wA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/7H-SQUcs7wA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/7H-SQUcs7wA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/7H-SQUcs7wA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,4,youtube#video,7H-SQUcs7wA,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,k_HqPs-nRLJXvHvDUNcl8sv0U-o,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLnhQUVBzWU40T3Zv,2023-06-04T13:49:14Z,UCOnuheHbS2DgZiAZFL0-Sbg,🔴 Lula dobra o centrão e consegue aprovação de MP que reorganiza os ministérios,"No Tempero da Notícia desta semana o jornalista Rodrigo Vianna comenta a vitória do governo Lula com a aprovação da MP dos Ministérios pelo Congresso e fala sobre a ação da Polícia Federal que teve como um dos alvos, um ex-assessor de Arthur Lira.

Acompanhe!


#TemperoDaNotícia
#RodrigoVianna
#GovernoLula
#MPdosMinistérios
#ArthurLira","{'url': 'https://i.ytimg.com/vi/xPQPsYN4Ovo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/xPQPsYN4Ovo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/xPQPsYN4Ovo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/xPQPsYN4Ovo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/xPQPsYN4Ovo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,5,youtube#video,xPQPsYN4Ovo,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,z4nTO5GkzpaEguoOX9rr9Z_SLpY,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLmtGb2toRmhsRzNB,2023-06-03T16:30:21Z,UCOnuheHbS2DgZiAZFL0-Sbg,A trajetória de luta e resistência do povo Xukuru do Ororubá | Bem Viver,"Confira os destaques do Bem Viver desta semana:

Reportagem especial sobre a trajetória de luta pela demarcação do povo Xukuru do Ororubá, em Pesqueira (PE), e do seu líder, Cacique Xicão, assassinado há 25 anos.

O Momento Agroecológico mostra a 4ª edição da Romaria pela Ecologia Integral, realizada peça Arquidiocese de Belo Horizonte em Minas Gerais.

#BemViver
#BemViverNaTV
#MarcoTemporal
#MeioAmbiente
#PovoXukuru","{'url': 'https://i.ytimg.com/vi/kFokhFhlG3A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/kFokhFhlG3A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/kFokhFhlG3A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/kFokhFhlG3A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/kFokhFhlG3A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,6,youtube#video,kFokhFhlG3A,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,BEp10loXzQBdLBpZnuAc-tYmXBk,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLlk0bWhWbThxMXA0,2023-06-03T13:30:18Z,UCOnuheHbS2DgZiAZFL0-Sbg,“Governar também é disputar corações e mentes da população” - José Genoino,"Para José Genoino, ex-presidente do PT e ex-deputado federal, é preciso uma disputa do governo sobre os fatos políticos. Ele sugere um ajuste na articulação política no Congresso: “Temos que governar com a temperatura quente”.

Este é um trecho do quinto episódio do #TrêsporQuatro, podcast do #BrasildeFato, que traz um debate da conjuntura e dos rumos da política nacional na perspectiva do campo popular.

Ouça o episódio completo 📲 https://bdf.sh/y/1vwq2

Acesse o nosso site para mais notícias: http://www.brasildefato.com.br

INSCREVA-SE em nosso canal: https://www.youtube.com/@brasildefato

Facebook: https://facebook.com/brasildefato
Twitter: https://twitter.com/brasildefato
Instagram: https://instagram.com/brasildefato/","{'url': 'https://i.ytimg.com/vi/Y4mhVm8q1p4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Y4mhVm8q1p4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Y4mhVm8q1p4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Y4mhVm8q1p4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Y4mhVm8q1p4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,7,youtube#video,Y4mhVm8q1p4,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,M6V96aKwnV0JwyPsXwjRP8P_fhs,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLmUxRlNtSDEzT2pz,2023-06-03T11:00:33Z,UCOnuheHbS2DgZiAZFL0-Sbg,Comida no prato e organização política: conheça as Casas de Alimentação da Venezuela,"Na Venezuela, grupos de mulheres administram as Casas de Alimentação. O programa social oferece refeições diárias para a população vulnerável, e são um instrumento de organização política. O repórter Lucas Estanislau foi até a cidade de Cumanacoa, no interior do país, e mostra essa história.

Acesse o nosso site para mais notícias: http://www.brasildefato.com.br

INSCREVA-SE em nosso canal: https://www.youtube.com/@brasildefato

Facebook: https://facebook.com/brasildefato
Twitter: https://twitter.com/brasildefato
Instagram: https://instagram.com/brasildefato/","{'url': 'https://i.ytimg.com/vi/e1FSmH13Ojs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/e1FSmH13Ojs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/e1FSmH13Ojs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/e1FSmH13Ojs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/e1FSmH13Ojs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,8,youtube#video,e1FSmH13Ojs,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
youtube#playlistItem,pylHDIzJw-uelyd-Eho6pcMG9Sk,VVVPbnVoZUhiUzJEZ1ppQVpGTDAtU2JnLjB5V3NIRXdWOGZV,2023-06-03T11:00:01Z,UCOnuheHbS2DgZiAZFL0-Sbg,Moscou sob ataque: guerra da Ucrânia cada vez mais dentro da Rússia,"Ataques de drone atingiram a capital russa no começo da semana. Enquanto o Kremlin acusa o governo ucraniano pelas ofensivas em áreas residenciais, Kiev mostra capacidade de avançar cada vez mais dentro das fronteiras da Rússia. Quem traz mais detalhes é o repórter Serguei Monin.

Acesse o nosso site para mais notícias: http://www.brasildefato.com.br

INSCREVA-SE em nosso canal: https://www.youtube.com/@brasildefato

Facebook: https://facebook.com/brasildefato
Twitter: https://twitter.com/brasildefato
Instagram: https://instagram.com/brasildefato/","{'url': 'https://i.ytimg.com/vi/0yWsHEwV8fU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/0yWsHEwV8fU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/0yWsHEwV8fU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/0yWsHEwV8fU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/0yWsHEwV8fU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Brasil de Fato,UUOnuheHbS2DgZiAZFL0-Sbg,9,youtube#video,0yWsHEwV8fU,Brasil de Fato,UCOnuheHbS2DgZiAZFL0-Sbg,EAAaBlBUOkNESQ,2023-06-05 20:04:59.805614
