kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,9JPgWYzbt0zSy2dm9DomB4gqNt0,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLm9XQlptMXFneEpz,2023-06-05T12:01:46Z,UCARDgcz77ogd21gfi7kiWUQ,Programa F5 #58 | O CASO DELTAN DALLAGNOL | 05/06/2023,"🟪 Aqui nós te contamos o outro lado da história!
Mantenha-se atualizado através do Programa F5.

▶️ Nosso encontro é de Segunda a Sexta às 8h de Brasília ▶️
• Notícias | Política | Cultura

👉🏻 Se inscreva no canal PROGRAMA F5 E ATIVE AS NOTIFICAÇÕES
🟪 https://www.youtube.com/@f5programa  

👉🏻 APOIE NOSSOS PROJETOS
🟪 PIX E-MAIL: euapoiohipocritas@gmail.com
🟪 ZELLE (EUA): contatohipocritas@gmail.com

👉🏻 OUÇA NO SPOTIFY
🟪 https://open.spotify.com/show/2Pjgt0pM2HAxgSuFV5d0oO?si=038b6c608bd349c2

👉🏻 Siga o F5 NAS REDES SOCIAIS
🟪 Instagram
www.instagram.com/f5programa_/

🟪 Facebook
https://www.facebook.com/f5programa

🟪 Telegram
https://t.me/f5programa

🟪 Twitter
https://twitter.com/f5programa

👉🏻 ENTRE EM CONTATO OU SEJA UM PATROCINADOR DO F5!
🟪 f5@canalhipocritas.com.br
🟪 patrocinio@canalhipocritas.com.br

👉🏻 Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@karinamichelin
@brunoallemand_

#noticias #f5programa #programaf5 #f5canalhipocritas #cortesf5 #politica #culture #cultura #noticias #programadenoticias #news #brasil #breakingnews","{'url': 'https://i.ytimg.com/vi/oWBZm1qgxJs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/oWBZm1qgxJs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/oWBZm1qgxJs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/oWBZm1qgxJs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/oWBZm1qgxJs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,0,youtube#video,oWBZm1qgxJs,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,MRUWY6rGed7PEvD4GOSCQ76CC2o,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLmRvcVROYmUzakx3,2023-06-02T19:29:50Z,UCARDgcz77ogd21gfi7kiWUQ,Programa F5 #57 ZANIN É INDICADO PARA O STF 02/06/2023,"🟪 Aqui nós te contamos o outro lado da história!
Mantenha-se atualizado através do Programa F5.

▶️ Nosso encontro é de Segunda a Sexta às 8h de Brasília ▶️
• Notícias | Política | Cultura

👉🏻 Se inscreva no canal PROGRAMA F5 E ATIVE AS NOTIFICAÇÕES
🟪 https://www.youtube.com/@f5programa  

👉🏻 APOIE NOSSOS PROJETOS
🟪 PIX E-MAIL: euapoiohipocritas@gmail.com
🟪 ZELLE (EUA): contatohipocritas@gmail.com

👉🏻 OUÇA NO SPOTIFY
🟪 https://open.spotify.com/show/2Pjgt0pM2HAxgSuFV5d0oO?si=038b6c608bd349c2

👉🏻 Siga o F5 NAS REDES SOCIAIS
🟪 Instagram
www.instagram.com/f5programa_/

🟪 Facebook
https://www.facebook.com/f5programa

🟪 Telegram
https://t.me/f5programa

🟪 Twitter
https://twitter.com/f5programa

👉🏻 ENTRE EM CONTATO OU SEJA UM PATROCINADOR DO F5!
🟪 f5@canalhipocritas.com.br
🟪 patrocinio@canalhipocritas.com.br

👉🏻 Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@karinamichelin
@brunoallemand_

#zanin #stf #lula #cristianozanin #politicabrasil #noticias #f5programa #programaf5 #f5canalhipocritas #cortesf5 #politica #culture #cultura #noticias #programadenoticias #news #brasil #breakingnews","{'url': 'https://i.ytimg.com/vi/doqTNbe3jLw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/doqTNbe3jLw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/doqTNbe3jLw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/doqTNbe3jLw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/doqTNbe3jLw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,1,youtube#video,doqTNbe3jLw,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,V2ObqgfeQ7ykQNZF2MV5bZJE-So,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLm8yckxtZlNfaDVZ,2023-06-01T22:18:45Z,UCARDgcz77ogd21gfi7kiWUQ,"O MADURO, O VERDE E O PODRE","📌  FAÇA PARTE DA COMUNIDADE HIPÓCRITAS
Torne-se um apoiador nessa guerra cultural! Tenha acesso ao podcast e as entrevistas polêmicas, grupo exclusivo no Telegram, curta metragem, teatros, making off, cursos e muito mais ⬇️
👉🏻 https://canalhipocritas.com.br/comunidade-hipocritas/?utm_source=Youtube&utm_medium=Descricao

👉🏻  LOJA CANAL HIPÓCRITAS
https://www.lojacanalhipocritas.com.br/?utm_source=Youtube&utm_medium=Descricao

👉🏻  PIX - E-MAIL: euapoiohipocritas@gmail.com
👉🏻 ZELLE: contatohipocritas@gmail.com

📌 PUBLICIDADE + CONTATO
👉🏻 contato@canalhipocritas.com.br

📌 SUPORTE DOS MEMBROS DA COMUNIDADE HIPÓCRITAS
👉🏻 suporte@canalhipocritas.com.br

Atores:
Paulo Souza

Roteiro:
Paulo Souza

Assessoria de Imprensa: 
Thais Victorello

Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@bismarkfugazza.oficial
@paulosouza.oficial

#maduro #lula #alexandre #nicolasmadura #lulapresidente #moraes #rirpranaochorar #hipocritas #videoshipocritas #canalhipocritas #videosprarir #querorir #politica #politicabrasil #brasil #hipocrisia #plfakenews","{'url': 'https://i.ytimg.com/vi/o2rLmfS_h5Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/o2rLmfS_h5Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/o2rLmfS_h5Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/o2rLmfS_h5Y/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/o2rLmfS_h5Y/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,2,youtube#video,o2rLmfS_h5Y,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,FuIEnpHuDAqiWCFxjrXjvB0Kk64,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLmVZa0czdHVZY01n,2023-06-01T15:26:52Z,UCARDgcz77ogd21gfi7kiWUQ,Programa F5 #56 CONFUSÃO NO ITAMARATY 01/06/2023,"🟪 Aqui nós te contamos o outro lado da história!
Mantenha-se atualizado através do Programa F5.

▶️ Nosso encontro é de Segunda a Sexta às 8h de Brasília ▶️
• Notícias | Política | Cultura

👉🏻 Se inscreva no canal PROGRAMA F5 E ATIVE AS NOTIFICAÇÕES
🟪 https://www.youtube.com/@f5programa  

👉🏻 APOIE NOSSOS PROJETOS
🟪 PIX E-MAIL: euapoiohipocritas@gmail.com
🟪 ZELLE (EUA): contatohipocritas@gmail.com

👉🏻 OUÇA NO SPOTIFY
🟪 https://open.spotify.com/show/2Pjgt0pM2HAxgSuFV5d0oO?si=038b6c608bd349c2

👉🏻 Siga o F5 NAS REDES SOCIAIS
🟪 Instagram
www.instagram.com/f5programa_/

🟪 Facebook
https://www.facebook.com/f5programa

🟪 Telegram
https://t.me/f5programa

🟪 Twitter
https://twitter.com/f5programa

👉🏻 ENTRE EM CONTATO OU SEJA UM PATROCINADOR DO F5!
🟪 f5@canalhipocritas.com.br
🟪 patrocinio@canalhipocritas.com.br

👉🏻 Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@karinamichelin
@brunoallemand_

#maduro #itamaraty #jornalistasagredidos #jornalistas #gsi #noticias #f5programa #programaf5 #f5canalhipocritas #cortesf5 #politica #culture #cultura #noticias #programadenoticias #news #brasil #breakingnews","{'url': 'https://i.ytimg.com/vi/eYkG3tuYcMg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eYkG3tuYcMg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eYkG3tuYcMg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eYkG3tuYcMg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eYkG3tuYcMg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,3,youtube#video,eYkG3tuYcMg,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,lgoJlxfFVFgC-cQ_Jn7fA9dWdlU,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLmVhc1hyaUdLYTJN,2023-05-31T22:33:35Z,UCARDgcz77ogd21gfi7kiWUQ,Programa F5 #55 MARCO TEMPORAL APROVADO NA CÂMARA 31/05/2023,"🟪 Aqui nós te contamos o outro lado da história!
Mantenha-se atualizado através do Programa F5.

▶️ Nosso encontro é de Segunda a Sexta às 8h de Brasília ▶️
• Notícias | Política | Cultura

👉🏻 Se inscreva no canal PROGRAMA F5 E ATIVE AS NOTIFICAÇÕES
🟪 https://www.youtube.com/@f5programa  

👉🏻 APOIE NOSSOS PROJETOS
🟪 PIX E-MAIL: euapoiohipocritas@gmail.com
🟪 ZELLE (EUA): contatohipocritas@gmail.com

👉🏻 OUÇA NO SPOTIFY
🟪 https://open.spotify.com/show/2Pjgt0pM2HAxgSuFV5d0oO?si=038b6c608bd349c2

👉🏻 Siga o F5 NAS REDES SOCIAIS
🟪 Instagram
www.instagram.com/f5programa_/

🟪 Facebook
https://www.facebook.com/f5programa

🟪 Telegram
https://t.me/f5programa

🟪 Twitter
https://twitter.com/f5programa

👉🏻 ENTRE EM CONTATO OU SEJA UM PATROCINADOR DO F5!
🟪 f5@canalhipocritas.com.br
🟪 patrocinio@canalhipocritas.com.br

👉🏻 Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@karinamichelin
@brunoallemand_

#marcotemporal #marcotemporalaprovado #terrasindigenas #noticias #f5programa #programaf5 #f5canalhipocritas #cortesf5 #politica #culture #cultura #noticias #programadenoticias #news #brasil #breakingnews","{'url': 'https://i.ytimg.com/vi/easXriGKa2M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/easXriGKa2M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/easXriGKa2M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/easXriGKa2M/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/easXriGKa2M/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,4,youtube#video,easXriGKa2M,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,QsC1mGfNBSFvFZY9mY0IjU825oE,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLlo5U2trTVBOUVJ3,2023-05-30T17:29:49Z,UCARDgcz77ogd21gfi7kiWUQ,Programa F5 #54 NICOLÁS MADURO VÍTIMA DE NARRATIVA 30/05/2023,"🟪 Aqui nós te contamos o outro lado da história!
Mantenha-se atualizado através do Programa F5.

▶️ Nosso encontro é de Segunda a Sexta às 8h de Brasília ▶️
• Notícias | Política | Cultura

👉🏻 Se inscreva no canal PROGRAMA F5 E ATIVE AS NOTIFICAÇÕES
🟪 https://www.youtube.com/@f5programa  

👉🏻 APOIE NOSSOS PROJETOS
🟪 PIX E-MAIL: euapoiohipocritas@gmail.com
🟪 ZELLE (EUA): contatohipocritas@gmail.com

👉🏻 OUÇA NO SPOTIFY
🟪 https://open.spotify.com/show/2Pjgt0pM2HAxgSuFV5d0oO?si=038b6c608bd349c2

👉🏻 Siga o F5 NAS REDES SOCIAIS
🟪 Instagram
www.instagram.com/f5programa_/

🟪 Facebook
https://www.facebook.com/f5programa

🟪 Telegram
https://t.me/f5programa

🟪 Twitter
https://twitter.com/f5programa

👉🏻 ENTRE EM CONTATO OU SEJA UM PATROCINADOR DO F5!
🟪 f5@canalhipocritas.com.br
🟪 patrocinio@canalhipocritas.com.br

👉🏻 Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@karinamichelin
@brunoallemand_

#nicolásmaduro #maduronobrasil #lula #lulaemaduro #noticias #f5programa #programaf5 #f5canalhipocritas #cortesf5 #politica #culture #cultura #noticias #programadenoticias #news #brasil #breakingnews","{'url': 'https://i.ytimg.com/vi/Z9SkkMPNQRw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Z9SkkMPNQRw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Z9SkkMPNQRw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Z9SkkMPNQRw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Z9SkkMPNQRw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,5,youtube#video,Z9SkkMPNQRw,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,LeRd-Ui6wONYvjslgN8YY-pBMos,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLmN0RUtKLTl4U2FV,2023-05-30T17:25:44Z,UCARDgcz77ogd21gfi7kiWUQ,Programa F5 #53 VOCÊ ESTÁ PREPARADO PARA UMA PANDEMIA EM BREVE? OMS ALERTA 29/05/2023,"🟪 Aqui nós te contamos o outro lado da história!
Mantenha-se atualizado através do Programa F5.

▶️ Nosso encontro é de Segunda a Sexta às 8h de Brasília ▶️
• Notícias | Política | Cultura

👉🏻 Se inscreva no canal PROGRAMA F5 E ATIVE AS NOTIFICAÇÕES
🟪 https://www.youtube.com/@f5programa  

👉🏻 APOIE NOSSOS PROJETOS
🟪 PIX E-MAIL: euapoiohipocritas@gmail.com
🟪 ZELLE (EUA): contatohipocritas@gmail.com

👉🏻 OUÇA NO SPOTIFY
🟪 https://open.spotify.com/show/2Pjgt0pM2HAxgSuFV5d0oO?si=038b6c608bd349c2

👉🏻 Siga o F5 NAS REDES SOCIAIS
🟪 Instagram
www.instagram.com/f5programa_/

🟪 Facebook
https://www.facebook.com/f5programa

🟪 Telegram
https://t.me/f5programa

🟪 Twitter
https://twitter.com/f5programa

👉🏻 ENTRE EM CONTATO OU SEJA UM PATROCINADOR DO F5!
🟪 f5@canalhipocritas.com.br
🟪 patrocinio@canalhipocritas.com.br

👉🏻 Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@karinamichelin
@brunoallemand_

#OMS #novapandemia #alertaoms #noticias #f5programa #programaf5 #f5canalhipocritas #cortesf5 #politica #culture #cultura #noticias #programadenoticias #news #brasil #breakingnews","{'url': 'https://i.ytimg.com/vi/ctEKJ-9xSaU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ctEKJ-9xSaU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ctEKJ-9xSaU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ctEKJ-9xSaU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ctEKJ-9xSaU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,6,youtube#video,ctEKJ-9xSaU,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,1z-oMXKkbuq-Bm0JKqk-d7P9Z4I,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLmlHd3IwQTRXSGc4,2023-05-29T21:08:23Z,UCARDgcz77ogd21gfi7kiWUQ,Programa F5 #52 FOTO DE LULA ESTAMPADA EM EMBALAGEM DE DROGAS  26/05/2023,"🟪 Aqui nós te contamos o outro lado da história!
Mantenha-se atualizado através do Programa F5.

▶️ Nosso encontro é de Segunda a Sexta às 8h de Brasília ▶️
• Notícias | Política | Cultura

👉🏻 Se inscreva no canal PROGRAMA F5 E ATIVE AS NOTIFICAÇÕES
🟪 https://www.youtube.com/@f5programa  

👉🏻 APOIE NOSSOS PROJETOS
🟪 PIX E-MAIL: euapoiohipocritas@gmail.com
🟪 ZELLE (EUA): contatohipocritas@gmail.com

👉🏻 OUÇA NO SPOTIFY
🟪 https://open.spotify.com/show/2Pjgt0pM2HAxgSuFV5d0oO?si=038b6c608bd349c2

👉🏻 Siga o F5 NAS REDES SOCIAIS
🟪 Instagram
www.instagram.com/f5programa_/

🟪 Facebook
https://www.facebook.com/f5programa

🟪 Telegram
https://t.me/f5programa

🟪 Twitter
https://twitter.com/f5programa

👉🏻 ENTRE EM CONTATO OU SEJA UM PATROCINADOR DO F5!
🟪 f5@canalhipocritas.com.br
🟪 patrocinio@canalhipocritas.com.br

👉🏻 Sigam nossos perfis pessoais no Instagram!
@augustopachecooficial
@karinamichelin
@brunoallemand_

#lula #balneariocamboriu #apreensao #noticias #f5programa #programaf5 #f5canalhipocritas #cortesf5 #politica #culture #cultura #noticias #programadenoticias #news #brasil #breakingnews","{'url': 'https://i.ytimg.com/vi/iGwr0A4WHg8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/iGwr0A4WHg8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/iGwr0A4WHg8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/iGwr0A4WHg8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/iGwr0A4WHg8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,7,youtube#video,iGwr0A4WHg8,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,l_zTHwMaeDuH30JuqRqzQ_lmfeg,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLkdDTnRqSnQySjkw,2023-05-29T14:12:58Z,UCARDgcz77ogd21gfi7kiWUQ,Carolzinha23 atrapalhando a vida de muita gente…#canalhipocritas #telegram #plfakenews #censura,,"{'url': 'https://i.ytimg.com/vi/GCNtjJt2J90/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GCNtjJt2J90/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GCNtjJt2J90/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GCNtjJt2J90/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GCNtjJt2J90/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,8,youtube#video,GCNtjJt2J90,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
youtube#playlistItem,ttAx4ecX8EZfMgGP_avUWzN6Hro,VVVBUkRnY3o3N29nZDIxZ2ZpN2tpV1VRLnVaRXBZVWczSnBn,2023-05-28T14:29:50Z,UCARDgcz77ogd21gfi7kiWUQ,Cala a boca Telegram!!!!!!!#canalhipocritas #telegram #plfakenews #censura,,"{'url': 'https://i.ytimg.com/vi/uZEpYUg3Jpg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/uZEpYUg3Jpg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/uZEpYUg3Jpg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/uZEpYUg3Jpg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/uZEpYUg3Jpg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Canal Hipocritas,UUARDgcz77ogd21gfi7kiWUQ,9,youtube#video,uZEpYUg3Jpg,Canal Hipocritas,UCARDgcz77ogd21gfi7kiWUQ,EAAaBlBUOkNESQ,2023-06-06 00:48:11.614459
