kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,JZ8R6S6bmKBjUQ3naguZ5I9yVH8,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLnA4WnZxUEM3WHk4,2023-06-02T17:46:36Z,UCBrntWupyTRnnsRy3dA4VdA,E conhecereis a verdade e a verdade vos libertará!,,"{'url': 'https://i.ytimg.com/vi/p8ZvqPC7Xy8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/p8ZvqPC7Xy8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/p8ZvqPC7Xy8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/p8ZvqPC7Xy8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/p8ZvqPC7Xy8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,0,youtube#video,p8ZvqPC7Xy8,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,dLidpPvg3WegP4rKCtx7DJj73NM,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLlI3QndvWTBjQ193,2023-06-01T01:04:03Z,UCBrntWupyTRnnsRy3dA4VdA,Choque de realidade:,,"{'url': 'https://i.ytimg.com/vi/R7BwoY0cC_w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/R7BwoY0cC_w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/R7BwoY0cC_w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/R7BwoY0cC_w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/R7BwoY0cC_w/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,1,youtube#video,R7BwoY0cC_w,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,bHgSiH4Jg_b3fZLbDSejueRk3iQ,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLkd3eDJNNE91X29F,2023-05-29T17:44:56Z,UCBrntWupyTRnnsRy3dA4VdA,A mentira diária pela democracia e pela lisura das eleições:,,"{'url': 'https://i.ytimg.com/vi/Gwx2M4Ou_oE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Gwx2M4Ou_oE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Gwx2M4Ou_oE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Gwx2M4Ou_oE/sddefault.jpg', 'width': 640, 'height': 480}",,Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,2,youtube#video,Gwx2M4Ou_oE,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,OUSKRIcq89CPq5Yig6tKSk4EE5w,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLl82a3NPU0t2bUxJ,2023-05-28T14:53:40Z,UCBrntWupyTRnnsRy3dA4VdA,Domingão!,,"{'url': 'https://i.ytimg.com/vi/_6ksOSKvmLI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_6ksOSKvmLI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_6ksOSKvmLI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_6ksOSKvmLI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_6ksOSKvmLI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,3,youtube#video,_6ksOSKvmLI,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,Yrj2OLZm5Kiqd27x_KnQ8Xy9QV8,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLmFqWVR0YkNTTVBF,2023-05-27T13:20:43Z,UCBrntWupyTRnnsRy3dA4VdA,Compartilhe mais esta verdade sobre o MST antes que seja censurada!,,"{'url': 'https://i.ytimg.com/vi/ajYTtbCSMPE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ajYTtbCSMPE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ajYTtbCSMPE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ajYTtbCSMPE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ajYTtbCSMPE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,4,youtube#video,ajYTtbCSMPE,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,YH5-SWbWmQX2WDMc6ktAlzWHmEc,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLmdiSEFNNklRM1hv,2023-05-25T18:19:18Z,UCBrntWupyTRnnsRy3dA4VdA,👀,,"{'url': 'https://i.ytimg.com/vi/gbHAM6IQ3Xo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/gbHAM6IQ3Xo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/gbHAM6IQ3Xo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/gbHAM6IQ3Xo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/gbHAM6IQ3Xo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,5,youtube#video,gbHAM6IQ3Xo,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,VZvc2a1MeKv5NBrb0Jam4duEBGw,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLnM3WGs4MVZoaTBN,2023-05-24T10:55:11Z,UCBrntWupyTRnnsRy3dA4VdA,A diferença entre um Presidente e um bandido. O sistema é F….,,"{'url': 'https://i.ytimg.com/vi/s7Xk81Vhi0M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/s7Xk81Vhi0M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/s7Xk81Vhi0M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/s7Xk81Vhi0M/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/s7Xk81Vhi0M/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,6,youtube#video,s7Xk81Vhi0M,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,fyWrSGlz4lxqSaPn-A-rL4quITk,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLmdYQ2tHd2E5NklV,2023-05-22T10:32:54Z,UCBrntWupyTRnnsRy3dA4VdA,As coincidências….,,"{'url': 'https://i.ytimg.com/vi/gXCkGwa96IU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/gXCkGwa96IU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/gXCkGwa96IU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/gXCkGwa96IU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/gXCkGwa96IU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,7,youtube#video,gXCkGwa96IU,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,f-p5PCTVSoIh0NYWqlKOKsYuHSs,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLlFUZDBpdWttZl9B,2023-05-19T11:11:36Z,UCBrntWupyTRnnsRy3dA4VdA,Confere?,,"{'url': 'https://i.ytimg.com/vi/QTd0iukmf_A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/QTd0iukmf_A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/QTd0iukmf_A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/QTd0iukmf_A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/QTd0iukmf_A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,8,youtube#video,QTd0iukmf_A,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
youtube#playlistItem,Dkw2glljG1dqtRggzFAw9FkVs44,VVVCcm50V3VweVRSbm5zUnkzZEE0VmRBLjZYNVNYMk1wc0Nn,2023-05-14T01:47:07Z,UCBrntWupyTRnnsRy3dA4VdA,ESG NÃO! Mais detalhes na descrição.,"ESG: Votei contrário hoje ao PL 1153 de 2022 do Prefeito do Rio, que concede benefício fiscal a empresas que se instalem na Cidade para negociar créditos de carbono. 

Embora defenda reduções, isenções e benefícios fiscais, sempre, a questão concernente a essa proposta é outra: quais as consequências da introdução de políticas de redução de emissões de carbono no Rio para os negócios em geral, especialmente para os pequenos e médios?

Tecnologias de redução de emissões são caras, envolvendo, em geral, grande capacidade de capital, coisa que só grandes empreendedores conseguem arcar. Já temos a instituição, via decreto, de um Distrito de Baixa Emissão de Carbono, uma experimentação de 35 mil metros quadrados no Centro do Rio que causará problemas ao ir e vir das pessoas, à logística dos comércios locais, custos relativos a adequações, etc. 

O quê o Prefeito está tentando fazer ? Estrangular os pequenos negócios ? A loja do seu Zé, que funciona há anos no Centro, mas que não pode despender dinheiro na instalação de filtros especiais?

 Um dos grandes comerciantes do mercado de créditos de carbono, ex-candidato a Presidente dos EUA, é pródigo na compra de propriedades à beira mar, o mesmo mar que ele afirmou em 2009 subiria desenfreadamente em 2014 em função do derretimento do Pólo Norte. Derreteu? Não. 

Dióxido de carbono não causa efeito estufa propalado, primeiro, muito resumidamente, porque é um gás traço (0,033% de presença na atmosfera, mesmo com contribuições humanas) e porque a Terra não se assemelha a uma estufa.

Aí, fica a pergunta, somando todas essas informações: a coisa tem por fim beneficiar os grandes empreendimentos, os grandes monopólios comerciais?

Parece que sim, porque benefícios aos pequenos não traz, muito pelo contrário; traz um gasto com o qual eles certamente não contam e que pesará em seus orçamentos.

Tentamos protocolar emenda ao Projeto, buscando preservar os pequenos e médios comerciantes cariocas, protegê-los de quaisquer regramentos com base em créditos de carbono e reduções de emissões em geral, mas não obtivemos sucesso. Apenas 4 assinaturas de 17 necessárias ao protocolo da emenda. 

Por fim, vamos ao óbvio: a Prefeitura do Rio é adepta do ESG, ao que parece, de forma entusiástica. Qual o futuro do Rio? Contratar cotas de pessoas em função da cor do cabelo, o S do ESG (esta condicionante está no PL 671 de 21, que pretende condicionar o Uber e outras plataformas parecidas)? 

Só produzir se o quê for produzido não produzir carbono algum, um gás traço que não esquenta o planeta? Vamos acordar para o óbvio, o ESG não é a moda empresarial boa praça que os especialistas de sapatênis pregam, é a morte dos pequenos e médios empreendimentos e o início dos giga-monopólios. 

Mas porque isso é ruim? Só para ficar num exemplo, se alguém controla o mercado de determinado produto, esse alguém controla os valores dos salários de seus funcionários e os preços dos produtos, sem competição, ao bel prazer de quem exerce esse controle.","{'url': 'https://i.ytimg.com/vi/6X5SX2MpsCg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6X5SX2MpsCg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6X5SX2MpsCg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6X5SX2MpsCg/sddefault.jpg', 'width': 640, 'height': 480}",,Carlos Bolsonaro,UUBrntWupyTRnnsRy3dA4VdA,9,youtube#video,6X5SX2MpsCg,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,EAAaBlBUOkNESQ,2023-06-06 00:29:19.749823
