kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,g9gAVNge2n7dY1Xd0u2IJbhSEo4,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LnBuZDZ1UThaaEU0,2023-05-22T19:18:47Z,UCKWus46Vy8gwf1rRLu4II0w,‘ARCABOUÇO FISCAL’ PODE AFUNDAR GOVERNO LULA,"A Câmara dos Deputados pode votar essa semana a nova política econômica do governo Lula, o “Arcabouço Fiscal”, do ministro da Fazenda, Fernando Haddad. Tentando suavizar o Teto de Gastos do ex-presidente golpista Michel Temer, o Arcabouço vai manter uma mordaça sobre os investimentos sociais do governo federal, o que sem dúvidas vai gerar desgaste e impopularidade ao governo Lula. Com as emendas propostas pela oposição, que preveem punição ao presidente no caso de descumprimento do Arcabouço, o projeto aumenta as chances de um golpe (impeachment) contra Lula.

Pensando nessa tragédia anunciada, lembrei desse vídeo que eu postei em fevereiro de 2022 no Instagram (na outra conta que foi derrubada) e no TikTok. É um trecho de uma entrevista do professor @SNSalysson à @brasil247, onde ele demonstrava sua preocupação com a ausência de mobilização do povo por parte da esquerda majoritária e como isso impediria o governo Lula de tomar medidas mais efetivas pra superar os retrocessos que vieram com o golpe de 2016 e os governos Temer e Bolsonaro. O exemplo que Lula deveria seguir, além do da Bolívia, que o professor cita na entrevista, é o de Gustavo Petro, presidente da Colômbia, que recentemente demitiu os ministros liberais do governo e convocou mobilizações populares pra apoiar suas reformas.

Infelizmente não vou ter tempo pra produzir um vídeo sobre o assunto, mas recomendo os que @JonesManoel tem feito.

Link pra ver a entrevista completa: https://youtu.be/IWb81yY2PZk

_____________________

Redes sociais:

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
TikTok: www.tiktok.com/@chavosodausp
Twitter: https://twitter.com/chavosodausp?s=09
E-mail (e pix): contato.thiagotorres1917@gmail.com","{'url': 'https://i.ytimg.com/vi/pnd6uQ8ZhE4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/pnd6uQ8ZhE4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/pnd6uQ8ZhE4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/pnd6uQ8ZhE4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/pnd6uQ8ZhE4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,0,youtube#video,pnd6uQ8ZhE4,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,noaaWC-b5mmOXjy6nJ2-K4RLWLI,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LjRtSm00bDNmZlln,2023-05-02T15:17:31Z,UCKWus46Vy8gwf1rRLu4II0w,PORQUE REVOGAR O 'NOVO' ENSINO MÉDIO,"Parte das minhas falas na live que participei no canal de @DoutoraDrag semana passada falando sobre o retrocesso que é o 'Novo' Ensino Médio e a necessidade de lutar pela sua revogação e pela construção de outra Educação, popular, e construída pela base. Junto comigo e Dimitra, estavam @Contrapalavra e @dialetizando-prof.johnmate8473.

Live completa: https://www.youtube.com/watch?v=qq8SCo4zoCQ

Artigo citado sobre as antigas políticas educacionais resgatadas pela Deforma do Ensino Médio de Temer: https://www.scielo.br/j/es/a/8hBKtMRjC9mBJYjPwbNDktk/?lang=pt&format=pdf

_____________________

Redes sociais:

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
TikTok: www.tiktok.com/@chavosodausp
Twitter: https://twitter.com/chavosodausp?s=09
E-mail (e pix): contato.thiagotorres1917@gmail.com","{'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/4mJm4l3ffYg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,1,youtube#video,4mJm4l3ffYg,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,F_x3ii3Tw5agVlzw-JQnlwpMhaM,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LkxtdXNNVFpKNGs4,2023-03-30T17:18:11Z,UCKWus46Vy8gwf1rRLu4II0w,MATERIALISMO HISTÓRICO DIALÉTICO | Cortes,"Corte da minha live com o professor da Faculdade de Direito da USP, Alysson Mascaro. Aqui, ele explicou o que é o materialismo histórico dialético, método de análise social desenvolvido por Karl Marx e Friedrich Engels.
_____________________

Redes sociais:

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
Twitter: https://twitter.com/chavosodausp?s=09
E-mail (e pix): contato.thiagotorres1917@gmail.com","{'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/LmusMTZJ4k8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,2,youtube#video,LmusMTZJ4k8,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,tR7awMQZ5CRxnnYSSnaGskw7GEg,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LkRxNDhJT0h5YTVF,2023-03-29T15:39:42Z,UCKWus46Vy8gwf1rRLu4II0w,PROFESSOR DA USP EXPLICA O QUE É MARXISMO | Cortes,"Corte da minha live com o professor da Faculdade de Direito da USP, Alysson Mascaro. Aqui, ele explicou o que é o marxismo.
_____________________

Redes sociais:

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
Twitter: https://twitter.com/chavosodausp?s=09
E-mail (e pix): contato.thiagotorres1917@gmail.com","{'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Dq48IOHya5E/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,3,youtube#video,Dq48IOHya5E,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,b-EwRDYF7qtIyHO7rkfEuG2DDAo,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3Lk5ZalRlc2NvUUZr,2023-03-23T15:42:41Z,UCKWus46Vy8gwf1rRLu4II0w,"A CHINA NÃO É SOCIALISTA, POR ALYSSON MASCARO | Cortes","Corte da minha live com o professor Alysson Mascaro. Aqui, ele explica porque a China não pode ser considerada socialista. A entrevista completa está aqui: https://www.youtube.com/live/PgjFZ302VDI?feature=share

Recomendação de leitura: Estado e Forma Política, do professor Alysson.

_____________________


Redes sociais:

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
Twitter: https://twitter.com/chavosodausp?s=09
E-mail (e pix): contato.thiagotorres1917@gmail.com","{'url': 'https://i.ytimg.com/vi/NYjTescoQFk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NYjTescoQFk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NYjTescoQFk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NYjTescoQFk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NYjTescoQFk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,4,youtube#video,NYjTescoQFk,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,jYuD-1qgO9GSW3VLztNOd49KxFQ,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LkVfSTI3Tnlsd1Zn,2023-03-19T18:03:21Z,UCKWus46Vy8gwf1rRLu4II0w,REAGINDO AO 'FAVELADO INVESTIDOR' DEFENDENDO O CAPITALISMO,"Murilo Duarte, mais conhecido como “Favelado Investidor”, participou de um podcast há um tempo, onde foi perguntado sobre uma treta que teve comigo (na ocasião, ele disse no Twitter que eu não poderia criticar ele porque eu supostamente “não faço nada pela favela), e aproveitou pra dizer várias coisas infundadas pra defender o sistema capitalista. Como vi aí a oportunidade de rebater várias falácias da ideologia liberal, fiz esse vídeo reagindo e respondendo às falas do Murilo.


Referências bibliográficas e recomendações:

• Notícias/matérias

China contribui para a redução da pobreza no mundo https://oglobo.globo.com/economia/parceria-brasil-china/china-contribui-para-reducao-da-pobreza-no-mundo-24074955

Eliminação da pobreza extrema na China é o maior feito da história da humanidade https://www.brasildefato.com.br/2021/07/16/artigo-eliminacao-da-pobreza-extrema-na-china-e-o-maior-feito-da-historia-da-humanidade

Fortuna de bilionários do mundo cresceu 60% durante a pandemia https://www.cnnbrasil.com.br/business/fortuna-de-bilionarios-do-mundo-cresceu-60-durante-a-pandemia/

Extrema-pobreza bate recorde no Brasil em dois anos de pandemia
https://g1.globo.com/economia/noticia/2022/12/02/extrema-pobreza-bate-recorde-no-brasil-em-dois-anos-de-pandemia-diz-ibge.ghtml

• Artigos

Determinantes do “milagre” econômico brasileiro (1968-1973): uma análise empírica
https://repositorio.ipea.gov.br/bitstream/11058/1764/1/TD_1273.pdf

O lado obscuro do ‘milagre econômico’ da ditadura: o boom da desigualdade
https://brasil.elpais.com/brasil/2017/09/29/economia/1506721812_344807.html

Sobre Jeff Bezos
https://brasil.elpais.com/brasil/2016/01/08/economia/1452274684_308717.html

Albert Einstein: Por Que Socialismo?
https://www.marxists.org/portugues/einstein/1949/05/socialismo.htm?

• Livros

Clara Zetkin: Como Nasce e Morre o Fascismo
Eric Hobsbawm: A Era das Revoluções (1789–1848)
Eric Hobsbawm: A Era do Capital (1848–1875)
Eric Hobsbawm: A Era dos Impérios (1875–1914)
Karl Marx: O Capital - Seção VII, O Processo de Acumulação do Capital; Capítulo 24 - A assim chamada acumulação primitiva
Karl Marx: Os Despossuídos - Debates Sobre a Lei Referente ao Furto de Madeira
Leon Trótski: Como Esmagar o Fascismo
Vladimir Lenin: Imperialismo, Estágio Superior do Capitalismo
Tom Robinson: Jeff Bezos: Amazon.com Architect (de onde tirei as informações sobre o avô de Bezos e seu latifúndio)
Walter Rodney: Como a Europa Subdesenvolveu a África

_______________

Redes sociais

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
Twitter: https://twitter.com/chavosodausp?s=09
TikTok: www.tiktok.com/@chavosodausp
E-mail (e PIX): contato.thiagotorres1917@gmail.com

Edição do vídeo: @jayafilmes","{'url': 'https://i.ytimg.com/vi/E_I27NylwVg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/E_I27NylwVg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/E_I27NylwVg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/E_I27NylwVg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/E_I27NylwVg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,5,youtube#video,E_I27NylwVg,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,KShEkzM7R44643l0fCyFrCy187k,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LnppU3pyWmlTZkNB,2023-03-18T13:33:09Z,UCKWus46Vy8gwf1rRLu4II0w,"LENINISMO, STALINISMO E TROTSKISMO, POR ALYSSON MASCARO | Cortes","Corte da conversa que tive com o professor da Faculdade de Direito da USP, Alysson Mascaro. Aqui, ele fala sobre leninismo, stalinismo, trotskismo e maoísmo na história e a relevância do debate na atualidade.

Redes sociais:

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
Twitter: https://twitter.com/chavosodausp?s=09
E-mail (e pix): contato.thiagotorres1917@gmail.com","{'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ziSzrZiSfCA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,6,youtube#video,ziSzrZiSfCA,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,gubTHjvIB-2F7T1rKl3BslNPnx0,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LnBaVHc4YkNYbXpB,2023-03-12T13:55:24Z,UCKWus46Vy8gwf1rRLu4II0w,SÃO PAULO ALÉM DA VITRINE,"Baseado em várias reflexões e conversas que eu tive nas viagens que fiz pro Rio de Janeiro, Tocantins e Bahia ao longo do mês de janeiro, percebi que São Paulo, assim como todas as outras grandes cidades, tem uma “vitrine” que é exposta pro restante do Brasil e do mundo. Enquanto as ‘vitrines’ de Salvador e do Rio, por exemplo, são mais turísticas, têm mais a intenção de atrair turistas, a ‘vitrine’ de São Paulo é mais econômica. Ela se vende como “a terra do emprego, da oportunidade, da ascensão social, da riqueza”, na intenção de atrair trabalhadores e investidores.

De fato, São Paulo é a cidade mais rica do Brasil, é o epicentro do capitalismo industrial, financeiro e comercial no nosso país. Mas o que não é mostrado nessa vitrine é que o capitalismo depende da exploração e da opressão de uma imensa maioria. Pra existir tanta riqueza de um lado, precisa existir muito mais pobreza do outro, e essa pobreza está escondida dentro da própria cidade de São Paulo: nos fundões da zona norte, nos extremos da zona leste, da zona sul… Essas regiões, distantes e segregadas do centro, são habitadas, principalmente, por retirantes nordestinos e seus filhos — como eu próprio —, que em sua maioria são pretos, pardos e indígenas — inclusive, muitos nativos desse território, mesmo. Mas essa população é invisibilizada, assim como a enorme quantidade de imigrantes latino-americanos, africanos e asiáticos que vivem por aqui. São pessoas que vieram atrás da prometida ascensão social, mas que geralmente não a encontraram e acabaram virando mão de obra barata na construção e na manutenção dessa metrópole tão desigual. Como fazemos pra “sobreviver nesse inferno”? Foi sobre todas essas e outras questões que eu tratei nesse vídeo, que está completo no meu canal do YouTube; link na bio e no story.
.
.
.
Texto de um professor meu da USP (Eduardo Marques) sobre a macro e a micro segregação no Rio de Janeiro e em São Paulo:

“Comparando estruturas sociais no Rio de Janeiro e em São Paulo”
https://www.anpocs.com/index.php/papers-31-encontro/st-7/st17-6/2936-celiscalon-comparando/file

_______________

Redes sociais

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
Twitter: https://twitter.com/chavosodausp?s=09
TikTok: www.tiktok.com/@chavosodausp
E-mail (e PIX): contato.thiagotorres1917@gmail.com

Edição do vídeo: @jayafilmes
Thumb: @coladapreta","{'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/pZTw8bCXmzA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,7,youtube#video,pZTw8bCXmzA,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,FkDF9_lPP6TftAPbT9FBkY-BdHU,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LlBnakZaMzAyVkRJ,2023-03-11T02:20:55Z,UCKWus46Vy8gwf1rRLu4II0w,O QUE É MARXISMO? | PAPO DE VISÃO COM ALYSSON MASCARO,"Alysson Mascaro é um dos maiores intelectuais do nosso país. Professor da Faculdade de Direito da USP (com quem tive aula) e autor de muitos livros, Mascaro me dá a honra de entrevistá-lo para tirar dúvidas de muitos de vocês em relação ao marxismo e ao movimento comunista: a China é socialista? Existe algum país socialista atualmente? O que pensar da União Soviética e da treta “Stalin vs Trótski”? Por onde começar a estudar o marxismo? Quais livros ler? Vamos conversar sobre tudo isso e muito mais aqui no canal sexta-feira (10/03/2023) às 20h 👊🏽🔥

______________

Redes sociais:

Apoia-se: https://apoia.se/chavosodausp
Instagram: https://instagram.com/chavosodausp.02?igshid=YmMyMTA2M2Y=
Twitter: https://twitter.com/chavosodausp?s=09
E-mail (e pix): contato.thiagotorres1917@gmail.com

______________


00:00:00 – 00:05:33 — Introdução
00:05:33 – 00:34:13 — Por que Alysson virou comunista?
00:34:13 – 00:37:59 — Silvio Almeida e outros orientandos de Alysson
00:37:59 – 01:03:53 — O que é marxismo?
01:03:53 – 01:15:39 — O que é materialismo histórico dialético?
01:15:39 – 01:23:10 — Como começar a estudar o marxismo
01:23:10 – 02:18:31 — Experiências concretas do socialismo
02:18:31 – 02:21:58 — Encerramento","{'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/PgjFZ302VDI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,8,youtube#video,PgjFZ302VDI,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
youtube#playlistItem,pxiAi04kb-VrKjEB6DEsqOSQ2qU,VVVLV3VzNDZWeThnd2YxclJMdTRJSTB3LnVhVzFmZ0tvLWk4,2023-02-28T17:55:05Z,UCKWus46Vy8gwf1rRLu4II0w,NO COMUNISMO VAI EXISTIR SALÁRIO? (NÃO),"SOBRE COMUNIDADE | Um dos nossos grandes desafios na luta revolucionária é conseguir tirar as vendas que foram colocadas nos olhos das pessoas e que fazem elas não conseguirem enxergar outra realidade possível além da que já está dada.

Quando a gente fala que no comunismo as pessoas vão trabalhar pela comunidade, sem precisar de um salário, de um pagamento, a maioria não entende, e até ridiculariza. Mas na Sétima Jornada de Agroecologia da Bahia, organizada pela Teia dos Povos, eu consegui ver isso na prática. Consegui ver a revolução brasileira materializada, em andamento.

Conheçam a Teia dos Povos (@DIALOGOSCOMOSPOVOS); vejam a entrevista que dei pra eles: https://youtu.be/EyB2-uurJ-g

Me sigam no Instagram: @chavosodausp.02

Me fortaleçam no apoia.se/chavosodausp

E-mail (e pix): contato.thiagotorres1917@gmail.com","{'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/uaW1fgKo-i8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Chavoso da USP,UUKWus46Vy8gwf1rRLu4II0w,9,youtube#video,uaW1fgKo-i8,Chavoso da USP,UCKWus46Vy8gwf1rRLu4II0w,EAAaBlBUOkNESQ,2023-06-05 19:54:30.042720
