kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,_9rqZY8Z9uEYMUC0jm8ovKi4JaY,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3Lk5YSGtHNnVLUWRj,2023-06-05T16:59:59Z,UCkJ8uPxz6UvoI6ihgQJZnww,Chanceler alemão perde a paciência - #shorts,"Chanceler alemão Olaf Scholz perdeu a paciência durante um discurso perto de Berlim quanto foi contestado pela plateia por apoiar a Ucrânia com armas. 

#guerranaucrania #poderbelico #armasdefogo #olafscholz 

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/NXHkG6uKQdc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NXHkG6uKQdc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NXHkG6uKQdc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NXHkG6uKQdc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NXHkG6uKQdc/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,0,youtube#video,NXHkG6uKQdc,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,JlgXMJZK8tNo92j_GEkYoOfjIeQ,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LmYwUkxEbVNqYlFn,2023-06-05T16:15:04Z,UCkJ8uPxz6UvoI6ihgQJZnww,Uma opção mais segura de energia nuclear? | Futurando (05/06/2023),"Veja os destaques desta edição: 

- Energia nuclear: o quão seguros são os cobiçados “Pequenos Reatores Modulares” - Enquanto a Alemanha fecha suas usinas nucleares, outros países europeus investem na tecnologia. Uma nova geração de reatores nucleares promete ser mais segura. 

- Os problemas energéticos da Índia mesmo com o maior parque solar do mundo - Mesmo com o maior parque solar do mundo e obtendo cerca de 40% de energia de fontes renováveis, indianos sofrem com quedas na rede elétrica.

- Hidrogênio, a chave para a transição energética - Além de ajudar a tornar a geração de eletricidade mais limpa, o hidrogênio pode também ser usado para o aquecimento. 

- A lua e o sol sempre nascem em horários diferentes? Apesar da Lua e do Sol estarem sempre lá, os diversos movimentos dos corpos celestes influenciam o local e a aparência deles. 

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/f0RLDmSjbQg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/f0RLDmSjbQg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/f0RLDmSjbQg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/f0RLDmSjbQg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/f0RLDmSjbQg/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,1,youtube#video,f0RLDmSjbQg,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,AjO49gKJmtD8xQck8ZeDj43_CvI,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LmJ4OXZ5c19sLUE4,2023-06-05T15:00:23Z,UCkJ8uPxz6UvoI6ihgQJZnww,A onda de afro-americanos se mudando para África,"Gana tem a missão de atrair africanos na diáspora para retornar ao continente de Gana e se reassentar. Centenas de afro-americanos já se mudaram para o país. Eles não estão apenas reassentando, mas operando iniciativas que trazem investimentos na economia ganense. 

#África #diáspora #afro-americanos

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/bx9vys_l-A8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/bx9vys_l-A8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/bx9vys_l-A8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/bx9vys_l-A8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/bx9vys_l-A8/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,2,youtube#video,bx9vys_l-A8,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,eYSCqzXmmz_t-2QrSUA_0hfHk4M,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LkRiazdQVldrM0Jr,2023-06-03T18:00:04Z,UCkJ8uPxz6UvoI6ihgQJZnww,Começando a vida do zero na Alemanha - #shorts,"Como é começar a vida do zero na Alemanha?

#dwstories 

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/Dbk7PVWk3Bk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Dbk7PVWk3Bk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Dbk7PVWk3Bk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Dbk7PVWk3Bk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Dbk7PVWk3Bk/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,3,youtube#video,Dbk7PVWk3Bk,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,_sCD9SLPBALouAhUzCEPJVUu0Dk,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LnVrNE5jVmx3S3p3,2023-06-02T15:00:45Z,UCkJ8uPxz6UvoI6ihgQJZnww,Conflitos por água estão virando rotina na França,"O governo francês está construindo reservatórios de água gigantescos para abastecer grandes fazendas durante o verão. Os moradores locais protestam, alegando que as medidas prejudicam os pequenos agricultores.

#agua #frança #conflito 

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/uk4NcVlwKzw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/uk4NcVlwKzw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/uk4NcVlwKzw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/uk4NcVlwKzw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/uk4NcVlwKzw/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,4,youtube#video,uk4NcVlwKzw,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,mTELIB8N16bctiNBBWZiFIKcILg,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3Llo4MzdMRmFyMFBr,2023-06-02T11:17:31Z,UCkJ8uPxz6UvoI6ihgQJZnww,O Brasil é um país viciado em celular? - #shorts,"Um estudo constatou que os brasileiros passam, em média, quase cinco horas e meia por dia olhando para a tela do smartphone. Ou seja, cerca de seis dias inteiros por mês. Isso é quase o dobro do tempo dos alemães, por exemplo. 

#brasil #celular #vicio 

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/Z837LFar0Pk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Z837LFar0Pk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Z837LFar0Pk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Z837LFar0Pk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Z837LFar0Pk/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,5,youtube#video,Z837LFar0Pk,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,nnrjDCEqux8_qhj5xSZt7G_m-cM,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LlQ5eXBkaHFsVFpN,2023-06-01T20:54:06Z,UCkJ8uPxz6UvoI6ihgQJZnww,Nossa conexão com a natureza - #shorts,"A partir de 5 de junho na plataforma de streaming @boxbrazilplay

#ecobrasil #dw_globalideas #boxbrazilplay #cidadessustentaveis #sustentabilidade

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/T9ypdhqlTZM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/T9ypdhqlTZM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/T9ypdhqlTZM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/T9ypdhqlTZM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/T9ypdhqlTZM/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,6,youtube#video,T9ypdhqlTZM,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,0a4ghdIpDq2HWGs_d0bmwdgWKws,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LjJoaXhRcUhmamtR,2023-06-01T18:00:01Z,UCkJ8uPxz6UvoI6ihgQJZnww,"Nicarágua, o regime mais autoritário das Américas?","Décadas atrás, ele liderou o movimento que derrubou um dos regimes mais cruéis da América Latina. Hoje, é visto como um governante autoritário, que abandonou os ideais revolucionários e está cada vez mais parecido com o ditador que ajudou a depor. 

Daniel Ortega está há mais de 16 anos consecutivos no poder da Nicarágua. E é o líder mais antigo das Américas. Neste vídeo, explicamos como um ex-guerrilheiro de esquerda transformou a Nicarágua no que muitos consideram uma ditadura. Um tema que ainda divide fortemente a esquerda latino-americana. 

#Nicaragua #ditadura #esquerda

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/2hixQqHfjkQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2hixQqHfjkQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2hixQqHfjkQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2hixQqHfjkQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2hixQqHfjkQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,7,youtube#video,2hixQqHfjkQ,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,vrGAIlVvlyWmogHBKdfM9EQes00,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LmplTmtIQXdYSG1v,2023-06-01T11:10:07Z,UCkJ8uPxz6UvoI6ihgQJZnww,Caças vão decidir a guerra? - #shorts,"Desde o início da guerra, a Ucrânia pede caças ao Ocidente. Precisamente os F-16 americanos. Agora, deverá recebe-los. Mas o que isso significa?

#guerra #russia #ucrania 

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/jeNkHAwXHmo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jeNkHAwXHmo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jeNkHAwXHmo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jeNkHAwXHmo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jeNkHAwXHmo/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,8,youtube#video,jeNkHAwXHmo,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
youtube#playlistItem,1ueb6GueqR6Mn5wFPxLXot_THZ4,VVVrSjh1UHh6NlV2b0k2aWhnUUpabnd3LjVjNlBLaFV5TElR,2023-05-31T11:17:17Z,UCkJ8uPxz6UvoI6ihgQJZnww,IA identifica câncer no pâncreas até três anos antes do diagnóstico - #shorts,"#dwdigital #ia #medicina 

www.dw.com/brasil
www.twitter.com/dw_brasil
www.instagram.com/dw.brasil
www.facebook.com/dw.brasil","{'url': 'https://i.ytimg.com/vi/5c6PKhUyLIQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5c6PKhUyLIQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5c6PKhUyLIQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5c6PKhUyLIQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/5c6PKhUyLIQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",DW Brasil,UUkJ8uPxz6UvoI6ihgQJZnww,9,youtube#video,5c6PKhUyLIQ,DW Brasil,UCkJ8uPxz6UvoI6ihgQJZnww,EAAaBlBUOkNESQ,2023-06-06 00:26:08.880670
