kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,EsRGmJ8VL7TuAp6K_4CqMtLODgs,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLnJEYWJQSFdUcW5n,2023-06-05T18:15:37Z,UCkR6xPOHhpjq3wnFchVI4sg,O que mais mata policiais?,,"{'url': 'https://i.ytimg.com/vi/rDabPHWTqng/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/rDabPHWTqng/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/rDabPHWTqng/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/rDabPHWTqng/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/rDabPHWTqng/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,0,youtube#video,rDabPHWTqng,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,s0E1hs-wFSRaN8pfsmVaG9nQ048,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLnozc01Ib1ZfWVZZ,2023-06-03T00:11:04Z,UCkR6xPOHhpjq3wnFchVI4sg,(ENG/ESP) Unbelievable what Lula said about USA and Maduro! Share it!,"Lula galando besteira sobre Maduro e EUA.
Lula talking bad things about Maduro and USA.
Lula hablando boludoces sobre Maduro y EEUU.","{'url': 'https://i.ytimg.com/vi/z3sMHoV_YVY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/z3sMHoV_YVY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/z3sMHoV_YVY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/z3sMHoV_YVY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/z3sMHoV_YVY/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,1,youtube#video,z3sMHoV_YVY,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,RITWqjdTuMUyojUjyJYXxEy834c,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLm9kd2RlYlE2dTBR,2023-05-31T17:44:30Z,UCkR6xPOHhpjq3wnFchVI4sg,Absurdo: Lula recebe narcoditador Maduro no Brasil,,"{'url': 'https://i.ytimg.com/vi/odwdebQ6u0Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/odwdebQ6u0Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/odwdebQ6u0Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/odwdebQ6u0Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/odwdebQ6u0Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,2,youtube#video,odwdebQ6u0Q,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,qDoPahDVS-s-PhIHeISxbgI7JrE,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLlBsV3p5ZFNOeEE4,2023-05-30T01:48:38Z,UCkR6xPOHhpjq3wnFchVI4sg,Riscos de Maduro no Brasil,"Hoje 21:45h em minhas redes estarei com o analista Marcelo Rech, do grupo Inforel, para detalhar os problemas desta visita, as implicações jurídicas internacionais e o que afeta a vida do brasileiro.","{'url': 'https://i.ytimg.com/vi/PlWzydSNxA8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/PlWzydSNxA8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/PlWzydSNxA8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/PlWzydSNxA8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/PlWzydSNxA8/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,3,youtube#video,PlWzydSNxA8,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,BWZ4NEKOpzB6xPMTMWdHB9L3HlU,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLjh1LUtoMDNmRFJV,2023-05-29T22:35:41Z,UCkR6xPOHhpjq3wnFchVI4sg,As implicações de Maduro no Brasil,"Lula convidou o narcoditador ao Brasil. Mas em que isso afeta sua vida? Quem é Maduro?

Mais detalhes na live hoje 21:45 com Marcelo Rech, analista do Inforel, aqui no youtube.","{'url': 'https://i.ytimg.com/vi/8u-Kh03fDRU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8u-Kh03fDRU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8u-Kh03fDRU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8u-Kh03fDRU/sddefault.jpg', 'width': 640, 'height': 480}",,EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,4,youtube#video,8u-Kh03fDRU,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,Yw4Oxr6sKk1TgzIbxzYzrSokhOE,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLmJHd0trTVlibkpF,2023-05-27T22:24:09Z,UCkR6xPOHhpjq3wnFchVI4sg,Qual o bom trabalho da CPMI 8J?,,"{'url': 'https://i.ytimg.com/vi/bGwKkMYbnJE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/bGwKkMYbnJE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/bGwKkMYbnJE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/bGwKkMYbnJE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/bGwKkMYbnJE/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,5,youtube#video,bGwKkMYbnJE,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,Ea-e-Qc9cCarb6AfQjXgB2AtS0s,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLklYNW5SWVBGZFMw,2023-05-25T00:55:38Z,UCkR6xPOHhpjq3wnFchVI4sg,Resposta ao SECOM Montanha da Odebrecht que me chamou de mentiroso,,"{'url': 'https://i.ytimg.com/vi/IX5nRYPFdS0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/IX5nRYPFdS0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/IX5nRYPFdS0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/IX5nRYPFdS0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/IX5nRYPFdS0/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,6,youtube#video,IX5nRYPFdS0,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,Do6EBW8E5tuoi0nDvqraq-gYe-A,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLk1RNWpoS3ZRTEdz,2023-05-24T23:14:52Z,UCkR6xPOHhpjq3wnFchVI4sg,Eduardo Bolsonaro desmascara ministro petista ao vivo,,"{'url': 'https://i.ytimg.com/vi/MQ5jhKvQLGs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/MQ5jhKvQLGs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/MQ5jhKvQLGs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/MQ5jhKvQLGs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/MQ5jhKvQLGs/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,7,youtube#video,MQ5jhKvQLGs,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,y5qRlAc_zsqcTc9z29Epld9Hsi0,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLkVaeFFHSkgwS3ZR,2023-05-24T20:43:16Z,UCkR6xPOHhpjq3wnFchVI4sg,Saiba como o novo arcabouço fiscal destruirá o Brasil,,"{'url': 'https://i.ytimg.com/vi/EZxQGJH0KvQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/EZxQGJH0KvQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/EZxQGJH0KvQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/EZxQGJH0KvQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/EZxQGJH0KvQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,8,youtube#video,EZxQGJH0KvQ,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
youtube#playlistItem,jFBLdx7M4duJmeEouq_Dg--Cnw0,VVVrUjZ4UE9IaHBqcTN3bkZjaFZJNHNnLmxHU0JZcTk3ZkZr,2023-05-24T18:41:47Z,UCkR6xPOHhpjq3wnFchVI4sg,Eduardo Bolsonaro denuncia reaproximação do Brasil com ditaduras terroristas,,"{'url': 'https://i.ytimg.com/vi/lGSBYq97fFk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/lGSBYq97fFk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/lGSBYq97fFk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/lGSBYq97fFk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/lGSBYq97fFk/maxresdefault.jpg', 'width': 1280, 'height': 720}",EDUARDO BOLSONARO,UUkR6xPOHhpjq3wnFchVI4sg,9,youtube#video,lGSBYq97fFk,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,EAAaBlBUOkNESQ,2023-06-06 00:28:23.915360
