kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,DAgrdPBWaS6mTJ_V24Z2yuvmqng,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LmhTWm1iNU5WN3hF,2023-06-05T21:00:34Z,UC7cIZNwQhE1o8kopShrQHvw,NOVOS INDÍCIOS LIGAM DESVIO DE ORÇAMENTO SECRETO A ARTHUR LIRA - ICL NOTÍCIAS 2 AO VIVO HOJE,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/hSZmb5NV7xE/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hSZmb5NV7xE/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hSZmb5NV7xE/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hSZmb5NV7xE/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hSZmb5NV7xE/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,0,youtube#video,hSZmb5NV7xE,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,mNCEGtJCwvIhLyZBbByM27Ufs4U,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LlU4SDZPWVZXbGdJ,2023-06-05T18:00:13Z,UC7cIZNwQhE1o8kopShrQHvw,Nome disso é RACISMO ESTRUTURAL,"Assista o ICL Notícias na Íntegra: https://www.youtube.com/watch?v=H-5veMxKs0E&t=2s

👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/U8H6OYVWlgI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/U8H6OYVWlgI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/U8H6OYVWlgI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/U8H6OYVWlgI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/U8H6OYVWlgI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,1,youtube#video,U8H6OYVWlgI,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,msPIoBqHDWEg7h-0CUmEpV6xJLw,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LkVtZjF4QUljcXpz,2023-06-05T17:00:12Z,UC7cIZNwQhE1o8kopShrQHvw,É CIÊNCIA EXATA! Todo mundo sabia que Juscelino Filho ia voltar às manchetes,"Assista o ICL Notícias na Íntegra: https://www.youtube.com/watch?v=H-5veMxKs0E&t=2s

👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/Emf1xAIcqzs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Emf1xAIcqzs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Emf1xAIcqzs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Emf1xAIcqzs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Emf1xAIcqzs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,2,youtube#video,Emf1xAIcqzs,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,ipQoMfAe9f5aHQkE6feZBu5uH5I,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LnZISjNzNU5fTnZ3,2023-06-05T15:00:40Z,UC7cIZNwQhE1o8kopShrQHvw,O maior crime eleitoral da história,"Assista o ICL Notícias na Íntegra: https://youtube.com/live/H-5veMxKs0E

👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/vHJ3s5N_Nvw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/vHJ3s5N_Nvw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/vHJ3s5N_Nvw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/vHJ3s5N_Nvw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/vHJ3s5N_Nvw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,3,youtube#video,vHJ3s5N_Nvw,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,kZWcW6ie1-v6WRzCYH0jNiz-viE,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LkgtNXZlTXhLczBF,2023-06-05T13:42:51Z,UC7cIZNwQhE1o8kopShrQHvw,05/06 - DOCUMENTOS DA CGU APONTAM PARA MAIOR ESQUEMA DE COMPRA DE VOTOS DA HISTÓRIA - ICL NOTÍCIAS,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/H-5veMxKs0E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/H-5veMxKs0E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/H-5veMxKs0E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/H-5veMxKs0E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/H-5veMxKs0E/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,4,youtube#video,H-5veMxKs0E,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,_lWN6KkGm4ir4w7eDHzn6ka7-vY,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LkJGOUREdk03RW1J,2023-06-05T13:38:28Z,UC7cIZNwQhE1o8kopShrQHvw,É preciso denunciar: essa isenção tributária é ABSURDA!,"Assista o ICL Notícias na Íntegra: https://youtube.com/live/H-5veMxKs0E

👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/BF9DDvM7EmI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BF9DDvM7EmI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BF9DDvM7EmI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BF9DDvM7EmI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/BF9DDvM7EmI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,5,youtube#video,BF9DDvM7EmI,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,mqxPSgD9c1YKnEGgzhlpcgHXq28,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LkdVTmNTTV9QN2R3,2023-06-05T11:06:14Z,UC7cIZNwQhE1o8kopShrQHvw,05/06 - BOLSONARO GASTOU R$ 6 BILHÕES EM BUSCA DE VOTOS - DESPERTA ICL COM LEANDRO DEMORI,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br

⌛Live Minutada 
00:00 - Inscreva-se no canal!
00:10 - Sejam bem-vindos ao Desperta ICL
02:45 - Internet de Elon Musk chega a garimpos ilegais e a só 3 escolas da Amazônia
20:09 - Bruno e Dom: presos, suspeitos de matar dupla são indiciados pelo crime
29:14 - Auditorias do CGU apontam bilhões de pagamentos indevidos de programas como Auxílio Brasil
41:00 - CPMI dos atos golpistas: igrejas suspeitas de financiar golpe serão investigadas
43:08 - Arábia Saudita anuncia corte de 1 milhão de barris de petróleo por dia
46:35 - Juscelino Filho entregou gabinete para sogro
48:30 - Motorista de ex-assessor de Lira é suspeito de receber dinheiro de kits de robótica
54:16 - Nelson Piquet, condenado a pagar R$5 milhões por racismo e homofobia, tem recurso negado
1:01:30 - Encerramento

#despertaicl #cpmi #cgu","{'url': 'https://i.ytimg.com/vi/GUNcSM_P7dw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GUNcSM_P7dw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GUNcSM_P7dw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GUNcSM_P7dw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GUNcSM_P7dw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,6,youtube#video,GUNcSM_P7dw,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,ezhy0-lFurNP5igEgYeRNxFIcr0,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LllKRHBoVjJYQVJr,2023-06-05T00:40:19Z,UC7cIZNwQhE1o8kopShrQHvw,TEOLOGIA NEGRA - ESPIRITUALIDADE NA AÇÃO AO VIVO HOJE COM FREI DAVI,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exc...

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-you...
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/YJDphV2XARk/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YJDphV2XARk/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YJDphV2XARk/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YJDphV2XARk/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YJDphV2XARk/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,7,youtube#video,YJDphV2XARk,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,0vWvhPehECNvJ2IpwjGXyQGiVxY,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3LmtWSEZsVWxRNklV,2023-06-02T23:14:32Z,UC7cIZNwQhE1o8kopShrQHvw,QUEM SAI MAIS FORTE DA DISPUTA ENTRE LULA E LIRA - ICL NOTÍCIAS 2 AO VIVO HOJE COM CHICO PINHEIRO,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/kVHFlUlQ6IU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/kVHFlUlQ6IU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/kVHFlUlQ6IU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/kVHFlUlQ6IU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/kVHFlUlQ6IU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,8,youtube#video,kVHFlUlQ6IU,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
youtube#playlistItem,iVYZN6jWDfvJmPgErvjscbAGLxM,VVU3Y0laTndRaEUxbzhrb3BTaHJRSHZ3Lk52RGh4cU9NRmtj,2023-06-02T13:51:10Z,UC7cIZNwQhE1o8kopShrQHvw,02/06 - OPERAÇÃO DA PF DESCOBRE QUANTIA ASSUSTADORA COM ALIADOS - ICL NOTÍCIAS COM EDU MOREIRA,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://edu1.com.br/yt-edu-pv/

🟣 [Aula Online e Gratuita] Compreendendo os 2 únicos tipos de investimentos que existem na prática. Assista agora ➡️ https://edumoreira.com.br/pg/aula-exclusiva-ogw22/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​/
👉 Telegram: https://edu1.com.br/live-telegram/​​​

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://iclnoticias.com.br/cortes-youtube
📷 Instagram: https://iclnoticias.com.br/instagram
🎥 TikTok: https://icl1.com.br/tt-icl/
💬 Twitter: https://iclnoticias.com.br/twitter

➡️ Curta também as redes sociais:
👍 Facebook: https://edu1.com.br/fb-edu/
📷 Instagram: https://edu1.com.br/ig-edu/
💬 Twitter: https://edu1.com.br/tw-edu/
🌐 Blog: https://edumoreira.com.br
📧 Contato: contato@edumoreira.com.br","{'url': 'https://i.ytimg.com/vi/NvDhxqOMFkc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NvDhxqOMFkc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NvDhxqOMFkc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NvDhxqOMFkc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NvDhxqOMFkc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Eduardo Moreira,UU7cIZNwQhE1o8kopShrQHvw,9,youtube#video,NvDhxqOMFkc,Eduardo Moreira,UC7cIZNwQhE1o8kopShrQHvw,EAAaBlBUOkNESQ,2023-06-05 19:57:49.195246
