kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,LM5xuOtN8DVR6M_0yU_ZaWBpYR0,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLlM2TC1LV0Fhal9j,2023-06-06T00:32:33Z,UCrtOL8bJsh-csozGS2aV77Q,PATROCINADO: Morning Call | Mercado em 15 minutos,Um bate-papo sobre o mercado financeiro para quem quer começar a investir e para quem já investe.,"{'url': 'https://i.ytimg.com/vi/S6L-KWAaj_c/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/S6L-KWAaj_c/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/S6L-KWAaj_c/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/S6L-KWAaj_c/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/S6L-KWAaj_c/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,0,youtube#video,S6L-KWAaj_c,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,zonDNtVZuMGbPdgxODesCpLF3ug,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLkhuVU5mQzBZSXhJ,2023-06-05T22:29:38Z,UCrtOL8bJsh-csozGS2aV77Q,Juscelino entregou gabinete para sogro despachar até na sua ausência | 3 notícias em 1 minuto,"Confira três fatos desta segunda-feira, 5 de junho, e leia mais no site do Estadão:

Juscelino entregou gabinete para sogro despachar até mesmo na sua ausência em Brasília
https://www.estadao.com.br/politica/juscelino-entregou-gabinete-para-sogro-despachar-ate-mesmo-na-sua-ausencia-em-brasilia/

Programa para carros deve ser mais voltado para caminhões e ônibus, diz Haddad
https://www.estadao.com.br/economia/programa-carros-caminhoes-onibus-haddad/

Parada do Orgulho LGBT+ anuncia foco em assistência social e show de Daniela Mercury e Pabllo Vittar
https://www.estadao.com.br/sao-paulo/parada-do-orgulho-lgbt-anuncia-foco-em-assistencia-social-e-show-de-daniela-mercury-e-pabllo-vittar/","{'url': 'https://i.ytimg.com/vi/HnUNfC0YIxI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/HnUNfC0YIxI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/HnUNfC0YIxI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/HnUNfC0YIxI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/HnUNfC0YIxI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,1,youtube#video,HnUNfC0YIxI,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,TwFDPvxGOJVfJBFio_6-vQhfDLM,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLkwtOWZIZEYycFFZ,2023-06-05T21:39:49Z,UCrtOL8bJsh-csozGS2aV77Q,Conheça as denúncias contra o ministro Juscelino,"Estadão revelou que chefe das Comunicações já mandou emendas para asfaltar uma estrada que corta a própria fazenda, enviou informações falsas à Justiça Eleitoral e usou avião da FAB e diárias para ir a leilões de cavalo em SP

Leia mais https://www.estadao.com.br/politica/asfalto-na-fazenda-chip-para-indigena-e-carona-em-jato-da-fab-o-que-pesa-contra-juscelino-filho/","{'url': 'https://i.ytimg.com/vi/L-9fHdF2pQY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/L-9fHdF2pQY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/L-9fHdF2pQY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/L-9fHdF2pQY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/L-9fHdF2pQY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,2,youtube#video,L-9fHdF2pQY,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,JgATDc2eSOEvy3W3IZiJj9U3v3o,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLnVLd3RYVXpjak9Z,2023-06-05T19:37:59Z,UCrtOL8bJsh-csozGS2aV77Q,Pastor Valdemiro Santiago recorre aos fiéis para diminuir a crise da Igreja Mundial do Poder de Deus,"Leia sobre: https://www.estadao.com.br/sao-paulo/pastor-valdemiro-santiago-mergulha-em-dividas-pede-dinheiro-a-fieis-e-ve-risco-de-perder-templo/

Espaço de culto em Santo Amaro foi penhorado por atraso de aluguéis e Igreja Mundial é alvo de mais de mil ações, a maioria por cobrança de dívidas. Defesa diz à Justiça que instituição, sem fim lucrativo, depende de dízimos","{'url': 'https://i.ytimg.com/vi/uKwtXUzcjOY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/uKwtXUzcjOY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/uKwtXUzcjOY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/uKwtXUzcjOY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/uKwtXUzcjOY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,3,youtube#video,uKwtXUzcjOY,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,jL3X7-0V52_Yq393BoxXZVJu8X0,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLkpoalh5eXljdHNF,2023-06-05T18:13:26Z,UCrtOL8bJsh-csozGS2aV77Q,Das pistas para as telas e ruas do mundo,"Nissan lança o novo sedã Sentra no Brasil, aposta na Fórmula E e inspira filme ""Gran Turismo"", que estreia em agosto","{'url': 'https://i.ytimg.com/vi/JhjXyyyctsE/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/JhjXyyyctsE/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/JhjXyyyctsE/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/JhjXyyyctsE/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/JhjXyyyctsE/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,4,youtube#video,JhjXyyyctsE,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,kWSJnKtiQGpMTvI5MZ49qdej2O8,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLjFfOVRXZjRTVFdZ,2023-06-05T17:11:29Z,UCrtOL8bJsh-csozGS2aV77Q,"Juscelino entregou gabinete para sogro despachar, Rodoanel aumenta custo total em 79% e Bia Haddad","O sogro do ministro das Comunicações, Juscelino Filho, despacha no gabinete do genro, onde recebe empresários, embora não esteja nomeado em nenhum cargo público. Registros de entradas e saídas do ministério, obtidos pelo Estadão, mostram que o empresário Fernando Fialho, sogro de Juscelino, atende na sede da pasta, em Brasília, inclusive quando o genro cumpre agenda no Maranhão, sua base eleitoral.

https://www.estadao.com.br/politica/juscelino-entregou-gabinete-para-sogro-despachar-ate-mesmo-na-sua-ausencia-em-brasilia/

Dez anos após a primeira licitação do trecho norte do Rodoanel, o custo total da obra saltou de R$ 7,2 bilhões para R$ 12,9 bilhões, em valores corrigidos pela inflação, segundo cálculo do Radar Brasil, da Federação das Indústrias de São Paulo (Fiesp). A alta é de 79%. As obras estão paralisadas desde 2018, mas o governo estadual concedeu o trecho em março.

https://www.estadao.com.br/sao-paulo/rodoanel-custo-total-do-trecho-norte-aumenta-79-e-chega-a-r-129-bilhoes-obra-vai-resolver/


E ainda: Bia Haddad põe Brasil nas quartas de um Grand Slam após 55 anos. Ouça estas e outras notícias desta segunda-feira, 5, no ""Análise dos Fatos"".","{'url': 'https://i.ytimg.com/vi/1_9TWf4STWY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1_9TWf4STWY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1_9TWf4STWY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1_9TWf4STWY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1_9TWf4STWY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,5,youtube#video,1_9TWf4STWY,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,otgX4I1cMU3Ew9Ppqp6InaoPGPQ,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLktBR1llZmNNakpz,2023-06-05T15:30:04Z,UCrtOL8bJsh-csozGS2aV77Q,"Eldorado em Campo entrevista o diretor de esportes da Dream Factory, Jued Andari.","Eldorado em Campo entrevista o diretor de esportes da Dream Factory, Jued Andari. No bate-papo, a volta do campeonato brasileiro de Surf, o Rally dos Sertões, e a promoção de eventos esportivos no Brasil. O Eldorado em Campo vai ao ar todos os domingos, às 8h, na Rádio Eldorado (radioeldorado.com.br), no Youtube do Estadão (l1nq.com/opUGE), e em formato podcast ( l1nk.dev/IqufK).","{'url': 'https://i.ytimg.com/vi/KAGYefcMjJs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/KAGYefcMjJs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/KAGYefcMjJs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/KAGYefcMjJs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/KAGYefcMjJs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,6,youtube#video,KAGYefcMjJs,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,Rx0yW2TjFXMbsNj33ai9Vyn9iZQ,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLmhsQVdZRm9SSk1v,2023-06-05T13:38:41Z,UCrtOL8bJsh-csozGS2aV77Q,Carro popular: governo deve detalhar programa de incentivo nesta segunda; veja o que está previsto,"Leia: https://www.estadao.com.br/economia/carro-popular-governo-deve-detalhar-programa-de-incentivo-nesta-segunda-feira-veja-o-que-esperar/

O governo do presidente Luiz Inácio Lula da Silva deve anunciar nesta segunda-feira, 5, um pacote de estímulo à venda de carros novos de até R$ 120 mil para socorrer a indústria automobilística. A medida também deve incluir descontos especiais para caminhões e ônibus. O presidente vai se reunir na manhã desta segunda com os ministros da Fazenda, Fernando Haddad, e Geraldo Alckmin, do Desenvolvimento, Indústria, Comércio e Serviços, para bater o martelo sobre o programa.

O pacote sofreu alterações em relação ao plano original anunciado. No lugar da redução de 1,5% a 10,96% sobre o valor do carro mediante redução de impostos, anunciada do dia 25 de maio, serão oferecidos aos compradores bônus de R$ 2 mil a R$ 8 mil, como revelou o Estadão na sexta-feira, 2. Com a mudança, o valor do bônus será aplicado na Nota Fiscal ao consumidor e compensado depois pelas montadoras no recolhimento dos tributos.","{'url': 'https://i.ytimg.com/vi/hlAWYFoRJMo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hlAWYFoRJMo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hlAWYFoRJMo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hlAWYFoRJMo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hlAWYFoRJMo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,7,youtube#video,hlAWYFoRJMo,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,bn_HAWLSEyqKIwcZYRaGeur9s48,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLlQ3UEhHcThWdlQ4,2023-06-05T13:26:34Z,UCrtOL8bJsh-csozGS2aV77Q,Saiba quais são os avanços no tratamento do câncer apresentados nos EUA,Pesquisas divulgadas no maior congresso oncológico do mundo trazem dados animadores para pacientes com tumores de pulmão e mama. Busca por terapias menos tóxicas é tendência.,"{'url': 'https://i.ytimg.com/vi/T7PHGq8VvT8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/T7PHGq8VvT8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/T7PHGq8VvT8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/T7PHGq8VvT8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/T7PHGq8VvT8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,8,youtube#video,T7PHGq8VvT8,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
youtube#playlistItem,IQ8MlLsOmVv-G2t7mIqJJnyeXmI,VVVydE9MOGJKc2gtY3NvekdTMmFWNzdRLlBSRXlLMm5lYnpN,2023-06-05T13:19:54Z,UCrtOL8bJsh-csozGS2aV77Q,SUMMIT ESG 2023 [Trilha Tarde],"Participe! Ative o sininho para receber a notificação.
Até que ponto as empresas brasileiras estão sabendo lidar com esse ambiente e o que ainda precisa ser feito será o tema central debatido por especialistas do Brasil e do exterior, em duas trilhas de conhecimento: desafios atuais e perspectivas de futuro.
Uma imersão de conteúdo em um dia inteiro de debates. Não perca.","{'url': 'https://i.ytimg.com/vi/PREyK2nebzM/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/PREyK2nebzM/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/PREyK2nebzM/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/PREyK2nebzM/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/PREyK2nebzM/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Estadão,UUrtOL8bJsh-csozGS2aV77Q,9,youtube#video,PREyK2nebzM,Estadão,UCrtOL8bJsh-csozGS2aV77Q,EAAaBlBUOkNESQ,2023-06-06 00:26:21.371246
