kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,yKVS75LNWaQlNAtnPur1oF2kFQw,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3Lkh1OXlOSkNMeTVv,2023-06-01T17:53:40Z,UCy2eJiK2ANIaq1a8z4AEaVw,O vídeo mais triste e mais esperançoso desse canal,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/Hu9yNJCLy5o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Hu9yNJCLy5o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Hu9yNJCLy5o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Hu9yNJCLy5o/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Hu9yNJCLy5o/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,0,youtube#video,Hu9yNJCLy5o,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,Z-RpzN1DrKzrFIAILc2UdBkdmwc,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3LmFEdjhRZjZCTUNZ,2023-05-29T18:24:15Z,UCy2eJiK2ANIaq1a8z4AEaVw,A mídia hegemônica contra Roger Waters,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/aDv8Qf6BMCY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/aDv8Qf6BMCY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/aDv8Qf6BMCY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/aDv8Qf6BMCY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/aDv8Qf6BMCY/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,1,youtube#video,aDv8Qf6BMCY,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,M-hCK90H0GsKrhpdPV8ixUXYetY,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3LnhGUmwtbWZPaVdz,2023-05-24T15:38:38Z,UCy2eJiK2ANIaq1a8z4AEaVw,Precisamos falar sobre o PSOL,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/xFRl-mfOiWs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/xFRl-mfOiWs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/xFRl-mfOiWs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/xFRl-mfOiWs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/xFRl-mfOiWs/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,2,youtube#video,xFRl-mfOiWs,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,A3ejP6N6Vzlg5wqiNxy8YBXNs10,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3LnE5UlphUnJLVWgw,2023-05-20T13:27:48Z,UCy2eJiK2ANIaq1a8z4AEaVw,Leo Lins tem contar essas “piadas” na quebrada,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/q9RZaRrKUh0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/q9RZaRrKUh0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/q9RZaRrKUh0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/q9RZaRrKUh0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/q9RZaRrKUh0/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,3,youtube#video,q9RZaRrKUh0,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,CxLQAh-qcBx6PpBADOkMLYDVmD8,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3LmNhNlhqaFpYdGhR,2023-05-18T17:15:33Z,UCy2eJiK2ANIaq1a8z4AEaVw,As Pessoas Perderam o Senso,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/ca6XjhZXthQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ca6XjhZXthQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ca6XjhZXthQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ca6XjhZXthQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ca6XjhZXthQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,4,youtube#video,ca6XjhZXthQ,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,ZSfQIa7qZBu1ffnDG9DpfwMaLOM,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3Lmc5ZEZ0dnlpeDQw,2023-05-13T18:32:35Z,UCy2eJiK2ANIaq1a8z4AEaVw,Renato Freitas é perigoso e nos despedimos de Dum Dum.,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/g9dFtvyix40/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/g9dFtvyix40/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/g9dFtvyix40/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/g9dFtvyix40/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/g9dFtvyix40/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,5,youtube#video,g9dFtvyix40,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,0IKIKMqy970rmXNXRjc4FLYz3JY,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3LkVxUE40Z1lpcFc4,2023-05-10T19:02:56Z,UCy2eJiK2ANIaq1a8z4AEaVw,Nunca mais almocei sozinho,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/EqPN4gYipW8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/EqPN4gYipW8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/EqPN4gYipW8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/EqPN4gYipW8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/EqPN4gYipW8/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,6,youtube#video,EqPN4gYipW8,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,r5NJkofP7b55jWmBsacuPV8L_hA,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3Lnc4bDRhb1Q0eUw0,2023-05-08T15:08:47Z,UCy2eJiK2ANIaq1a8z4AEaVw,Estão Acabando com o Centro de SP,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/w8l4aoT4yL4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/w8l4aoT4yL4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/w8l4aoT4yL4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/w8l4aoT4yL4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/w8l4aoT4yL4/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,7,youtube#video,w8l4aoT4yL4,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,euBmRcAFfskrPPA6yJ5rdc5iLSg,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3LjNwVGt0YlhxX2ZJ,2023-05-04T18:33:23Z,UCy2eJiK2ANIaq1a8z4AEaVw,O MIMIMI DE BOLSONARO!,"https://www.1dasul.com.br/
https://comixzone.com.br/

Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/3pTktbXq_fI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/3pTktbXq_fI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/3pTktbXq_fI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/3pTktbXq_fI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/3pTktbXq_fI/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,8,youtube#video,3pTktbXq_fI,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
youtube#playlistItem,jeN0UxoPNGNPIPeaGNFOSoZjErw,VVV5MmVKaUsyQU5JYXExYTh6NEFFYVZ3Lk1ualR4ZFowcjJN,2023-04-27T16:35:25Z,UCy2eJiK2ANIaq1a8z4AEaVw,Você Está Sendo Enganado?,"Minha campanha no APOIA.SE
http://apoia.se/ferrez
Para manter esse canal e seus lançamentos. Seja parceiro dessa iniciativa.

Produtos da marca 1DASUL criada por mim há 22 anos no Capão Redondo:
Site: http://www.1dasul.com.br
Instagram - @1dasuloficial: https://bit.ly/3xRPb6Y
WhatsApp: (11) 5870-7409

MINHAS REDES SOCIAIS:
~ BLOG: http://bit.ly/2O2Qew4
~ FACEBOOK - Ferréz Escritor: http://bit.ly/36Hyyia
~ INSTAGRAM - @ferrezoficial: http://bit.ly/36INXic","{'url': 'https://i.ytimg.com/vi/MnjTxdZ0r2M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/MnjTxdZ0r2M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/MnjTxdZ0r2M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/MnjTxdZ0r2M/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/MnjTxdZ0r2M/maxresdefault.jpg', 'width': 1280, 'height': 720}",FERRÉZ,UUy2eJiK2ANIaq1a8z4AEaVw,9,youtube#video,MnjTxdZ0r2M,FERRÉZ,UCy2eJiK2ANIaq1a8z4AEaVw,EAAaBlBUOkNESQ,2023-06-05 19:54:24.182925
