kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,TwmNPwz0M4VGj9VAjLL-wwAWi4A,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLkhGT05PRmFPYmFv,2023-06-06T01:40:01Z,UCEPdMH4DqKXxy6RRizDS34g,DE NOVO JANJO AGORA COMO VAI FAZER 05/06/2023,"Líderes não atendem chamado de barba e já reunião temporal pesado barba é o AMOR ❤️ 🇧🇷🙌

https://youtu.be/HFONOFaObao","{'url': 'https://i.ytimg.com/vi/HFONOFaObao/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/HFONOFaObao/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/HFONOFaObao/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/HFONOFaObao/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/HFONOFaObao/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,0,youtube#video,HFONOFaObao,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,8H_KqhQvK_lSPUfyWvH4JRJWpWE,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLjVhdkRmVkFYS0Qw,2023-06-02T00:30:04Z,UCEPdMH4DqKXxy6RRizDS34g,Negócio ficou muito feio janjo depois da... 01/06/2023,"promessa na prática negócio está muito feio para lado de lá só que falava na campanha veja isso inédito melhor do mundo tinha razão 🇧🇷🙌


https://youtu.be/5avDfVAXKD0","{'url': 'https://i.ytimg.com/vi/5avDfVAXKD0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5avDfVAXKD0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5avDfVAXKD0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5avDfVAXKD0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/5avDfVAXKD0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,1,youtube#video,5avDfVAXKD0,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,yaAC8GcIAE7WP7YrGrvkuMHQ9Ys,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLjJpcjV3VmZtV21N,2023-05-30T00:47:00Z,UCEPdMH4DqKXxy6RRizDS34g,MUNDO PAROU PRA ASSISTIR ESTA NOTÍCIA BARBA 29/05/2023,"Negócio ficou muito feio com essa ação do janjo vergonha internacional l 🙌🇧🇷🙌


https://youtu.be/2ir5wVfmWmM","{'url': 'https://i.ytimg.com/vi/2ir5wVfmWmM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2ir5wVfmWmM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2ir5wVfmWmM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2ir5wVfmWmM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2ir5wVfmWmM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,2,youtube#video,2ir5wVfmWmM,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,ex-wFqP6FUgOFqa-9HKPqbLVfvs,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLmhDVUljV2FUb0Y4,2023-05-26T01:20:00Z,UCEPdMH4DqKXxy6RRizDS34g,NEGÓCIO ESTÁ MUITO FEIO JANJO 25/05/2023,"MUNDO está assistindo esta notícia eles não estão se entendendo entre si negócio muito feio 🇧🇷🙌🇧🇷


https://youtu.be/hCUIcWaToF8","{'url': 'https://i.ytimg.com/vi/hCUIcWaToF8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hCUIcWaToF8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hCUIcWaToF8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hCUIcWaToF8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hCUIcWaToF8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,3,youtube#video,hCUIcWaToF8,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,7vpgRngaM4tdLeWW3m-5UqEAWrE,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLnRNc0dJYURNSXBJ,2023-05-23T00:25:00Z,UCEPdMH4DqKXxy6RRizDS34g,MUNDO ESTÁ ASSISTINDO ESTA NOTÍCIA negócio muito feio barba 22/05/2023,"olha resultado vergonha nacional promessa é dívida não pagou por quê 😁🤣 🇧🇷🙌


https://youtu.be/tMsGIaDMIpI","{'url': 'https://i.ytimg.com/vi/tMsGIaDMIpI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tMsGIaDMIpI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tMsGIaDMIpI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tMsGIaDMIpI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tMsGIaDMIpI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,4,youtube#video,tMsGIaDMIpI,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,AKSj2Wy3iuGZ3GiasuNgxmvzhik,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLmpkRXNIeXRKaGtv,2023-05-19T00:10:00Z,UCEPdMH4DqKXxy6RRizDS34g,MUNDO ESTÁ ASSISTINDO ESSA NOTÍCIA AGORA VAI 18/05/2023,"caiu barba agora mostrou que você é o cara olha o gás 😃🇧🇷🙌


https://youtu.be/jdEsHytJhko","{'url': 'https://i.ytimg.com/vi/jdEsHytJhko/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jdEsHytJhko/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jdEsHytJhko/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jdEsHytJhko/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jdEsHytJhko/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,5,youtube#video,jdEsHytJhko,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,bO2eGYCcSkw-JFBnkt7DX0CXeu4,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLi1aNmpJYU1fQmdZ,2023-05-16T01:10:00Z,UCEPdMH4DqKXxy6RRizDS34g,MUNDO TODO ESTÁ ASSISTINDO ESTA NOTÍCIA NEGÓCIO FEIO BARBA 15/05/2023,"você não vai acreditar muito gasto e nada funciona Veja a grande diferença e também bandeira mais linda do mundo 🇧🇷🙌🇧🇷🙌❤️


https://youtu.be/-Z6jIaM_BgY","{'url': 'https://i.ytimg.com/vi/-Z6jIaM_BgY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/-Z6jIaM_BgY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/-Z6jIaM_BgY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/-Z6jIaM_BgY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/-Z6jIaM_BgY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,6,youtube#video,-Z6jIaM_BgY,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,GsC9YYtupeOyTrnS-H73aCd032E,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLloxczJyUm5hd0VF,2023-05-13T20:30:02Z,UCEPdMH4DqKXxy6RRizDS34g,MUNDO ESTÁ ASSISTINDO ESTA NOTÍCIA NEGÓCIO MUITO FEIO 13/05/2023,"esta notícia viralizou no mundo veja que o janjo causou, melhor do mundo sempre com razão 🇧🇷👏


https://youtu.be/Z1s2rRnawEE","{'url': 'https://i.ytimg.com/vi/Z1s2rRnawEE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Z1s2rRnawEE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Z1s2rRnawEE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Z1s2rRnawEE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Z1s2rRnawEE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,7,youtube#video,Z1s2rRnawEE,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,toDIIUqW7PuO3Ar-Fx46csE6Lcg,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLmcyYVBZRl9FdjVv,2023-05-12T01:50:01Z,UCEPdMH4DqKXxy6RRizDS34g,NEGÓCIO MUITO FEIO JANJO AMOR AGINDO COM BRAVURA 11/05/2023,"como é fácil falar O amor acabou de chamar a galera do agro de Ribeirão Preto (SP) de ...... 😳 para que correria está todo mundo no mesmo barco 🇧🇷🙌🇧🇷🙌


https://youtu.be/g2aPYF_Ev5o","{'url': 'https://i.ytimg.com/vi/g2aPYF_Ev5o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/g2aPYF_Ev5o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/g2aPYF_Ev5o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/g2aPYF_Ev5o/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/g2aPYF_Ev5o/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,8,youtube#video,g2aPYF_Ev5o,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
youtube#playlistItem,IcWBUInE1IOTBXXVlYosZTyI5ek,VVVFUGRNSDREcUtYeHk2UlJpekRTMzRnLmU3RlpJZXBQT1Zr,2023-05-09T00:30:24Z,UCEPdMH4DqKXxy6RRizDS34g,NEGÓCIO FEIO MESMO BARBA 08/05/2023,"A brincadeira ficou séria. É só Falar a Verdade Que dá Audiência é meus amigos vocês não viram foi nada 🇧🇷🙌🇧🇷


https://youtu.be/e7FZIepPOVk","{'url': 'https://i.ytimg.com/vi/e7FZIepPOVk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/e7FZIepPOVk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/e7FZIepPOVk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/e7FZIepPOVk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/e7FZIepPOVk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Felinto MotoVlog,UUEPdMH4DqKXxy6RRizDS34g,9,youtube#video,e7FZIepPOVk,Felinto MotoVlog,UCEPdMH4DqKXxy6RRizDS34g,EAAaBlBUOkNESQ,2023-06-06 00:49:16.563049
