kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,FJNevexb9ZwhMZo0u_EBnROymto,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLkJUemw0Z2t2U3ow,2023-06-06T01:00:04Z,UCl2HptoHv6PjZMQAwTdA--Q,Lula só prioriza seus “cumpanheiros” e olhe lá..,,"{'url': 'https://i.ytimg.com/vi/BTzl4gkvSz0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BTzl4gkvSz0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BTzl4gkvSz0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BTzl4gkvSz0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/BTzl4gkvSz0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,0,youtube#video,BTzl4gkvSz0,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,gxBmt_YuOyfAoJHj74E-VjWlcz8,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLl9qMmpKU1NQUHZR,2023-06-05T23:38:48Z,UCl2HptoHv6PjZMQAwTdA--Q,Contar mentiras é tudo que ele sabe fazer…,,"{'url': 'https://i.ytimg.com/vi/_j2jJSSPPvQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_j2jJSSPPvQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_j2jJSSPPvQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_j2jJSSPPvQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_j2jJSSPPvQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,1,youtube#video,_j2jJSSPPvQ,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,J3RR_y97qeoo3m6FPcy3E1qTyMo,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLmRwY0FDakdvN3Q0,2023-06-04T21:55:56Z,UCl2HptoHv6PjZMQAwTdA--Q,NÃO ADIANTA! Os mais pobres não são prioridade para Lula,,"{'url': 'https://i.ytimg.com/vi/dpcACjGo7t4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/dpcACjGo7t4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/dpcACjGo7t4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/dpcACjGo7t4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/dpcACjGo7t4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,2,youtube#video,dpcACjGo7t4,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,cEO3SRdrI0UuRIhlHrkFT7GjevQ,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLncya3VsYXRjazdv,2023-06-03T23:50:12Z,UCl2HptoHv6PjZMQAwTdA--Q,Governo Lula falsifica documentos oficiais,"Governo Lula colocou muita sujeira debaixo do tapete! 

Senador Esperidião Amin desmascara o governo e mostra que relatório do GSI teria omitido informações que eram relevantes para a preparação da segurança do dia 8 de janeiro.

ONZE ALERTAS foram recebidos e nenhum deles constava no documento!","{'url': 'https://i.ytimg.com/vi/w2kulatck7o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/w2kulatck7o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/w2kulatck7o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/w2kulatck7o/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/w2kulatck7o/maxresdefault.jpg', 'width': 1280, 'height': 720}",Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,3,youtube#video,w2kulatck7o,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,EzHQlVVSkYWicZH8JslSSJMFnVA,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLkVZbkpnUGRwRTlJ,2023-06-03T01:04:28Z,UCl2HptoHv6PjZMQAwTdA--Q,MST: exploradores de vulneráveis,,"{'url': 'https://i.ytimg.com/vi/EYnJgPdpE9I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/EYnJgPdpE9I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/EYnJgPdpE9I/hqdefault.jpg', 'width': 480, 'height': 360}",,,Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,4,youtube#video,EYnJgPdpE9I,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,CArnyGIbflmYrsVvSeMVv9VZkMg,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLjVZTUdya29tYzdV,2023-06-02T22:34:47Z,UCl2HptoHv6PjZMQAwTdA--Q,Bolsonaro sobre Maduro: “comigo ele não entrava”,,"{'url': 'https://i.ytimg.com/vi/5YMGrkomc7U/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5YMGrkomc7U/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5YMGrkomc7U/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5YMGrkomc7U/sddefault.jpg', 'width': 640, 'height': 480}",,Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,5,youtube#video,5YMGrkomc7U,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,8tMMI4Z3Eeqo8UGLC-JfDck79CA,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLkJfUnpfdUlGbXRZ,2023-06-02T01:09:55Z,UCl2HptoHv6PjZMQAwTdA--Q,O molusco gosta de ostentar,"Deve achar que é rei e não presidente do Brasil.
.
INSCREVA-SE NO CANAL: https://www.youtube.com/flaviobolsonaro

- FACEBOOK: https://www.facebook.com/flaviobolsonaro
- TWITTER: https://twitter.com/flaviobolsonaro
- INSTAGRAM: https://www.instagram.com/flaviobolsonaro
- TELEGRAM: https://t.me/flaviobolsonaro

- SITE: www.flaviobolsonaro.net","{'url': 'https://i.ytimg.com/vi/B_Rz_uIFmtY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/B_Rz_uIFmtY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/B_Rz_uIFmtY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/B_Rz_uIFmtY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/B_Rz_uIFmtY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,6,youtube#video,B_Rz_uIFmtY,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,-tOG-jP8UVGDU3aH1fOUXkAEC6E,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLnBoc1RocV9ibmVN,2023-06-01T18:38:32Z,UCl2HptoHv6PjZMQAwTdA--Q,Lula não liga para os venezuelanos!,"Sabe quantos venezuelanos fugiram de Maduro durante o governo Bolsonaro? Aproximadamente 90 mil!

Um narcoditador sanguinário que tortura, passa por cima de pessoas com blindado, fecha rádios e deporta jornalistas!

Com o regime de Maduro, 94,5% de sua população está abaixo da linha da pobreza!

Lula envergonha o Brasil, demonstra querer financiar e firmar contratos com ditadores e enfraquece relações internacionais!
Lula é um câncer para o Brasil!

.
INSCREVA-SE NO CANAL: https://www.youtube.com/flaviobolsonaro

- FACEBOOK: https://www.facebook.com/flaviobolsonaro
- TWITTER: https://twitter.com/flaviobolsonaro
- INSTAGRAM: https://www.instagram.com/flaviobolsonaro
- TELEGRAM: https://t.me/flaviobolsonaro

- SITE: www.flaviobolsonaro.net","{'url': 'https://i.ytimg.com/vi/phsThq_bneM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/phsThq_bneM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/phsThq_bneM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/phsThq_bneM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/phsThq_bneM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,7,youtube#video,phsThq_bneM,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,jJGUaLNX2t6VIc698kimHbBb5Ag,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLk1rbXpVU0tibDVJ,2023-05-31T23:11:22Z,UCl2HptoHv6PjZMQAwTdA--Q,Flávio Bolsonaro denuncia GSI do governo Lula: eles sabiam tudo sobre 8 de Jan,"Seja bem-vindo(a) ao meu canal! Por aqui, você encontrará vídeos exclusivos do meu trabalho pelo Rio de Janeiro e pelo Brasil!
.
.
.
.
INSCREVA-SE NO CANAL: https://www.youtube.com/flaviobolsonaro

- FACEBOOK: https://www.facebook.com/flaviobolsonaro
- TWITTER: https://twitter.com/flaviobolsonaro
- INSTAGRAM: https://www.instagram.com/flaviobolsonaro
- TELEGRAM: https://t.me/flaviobolsonaro

- SITE: www.flaviobolsonaro.net","{'url': 'https://i.ytimg.com/vi/MkmzUSKbl5I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/MkmzUSKbl5I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/MkmzUSKbl5I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/MkmzUSKbl5I/sddefault.jpg', 'width': 640, 'height': 480}",,Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,8,youtube#video,MkmzUSKbl5I,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
youtube#playlistItem,0HAmvR_ZFMTwS0wBZLBiM6DWc9I,VVVsMkhwdG9IdjZQalpNUUF3VGRBLS1RLmpsRkZJUFZ0SWhN,2023-05-31T22:00:23Z,UCl2HptoHv6PjZMQAwTdA--Q,Ditadura Maduro não respeita ninguém!,"Seja bem-vindo(a) ao meu canal! Por aqui, você encontrará vídeos exclusivos do meu trabalho pelo Rio de Janeiro e pelo Brasil!
.
.
.
.
INSCREVA-SE NO CANAL: https://www.youtube.com/flaviobolsonaro

- FACEBOOK: https://www.facebook.com/flaviobolsonaro
- TWITTER: https://twitter.com/flaviobolsonaro
- INSTAGRAM: https://www.instagram.com/flaviobolsonaro
- TELEGRAM: https://t.me/flaviobolsonaro

- SITE: www.flaviobolsonaro.net","{'url': 'https://i.ytimg.com/vi/jlFFIPVtIhM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jlFFIPVtIhM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jlFFIPVtIhM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jlFFIPVtIhM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jlFFIPVtIhM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Flavio Bolsonaro,UUl2HptoHv6PjZMQAwTdA--Q,9,youtube#video,jlFFIPVtIhM,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,EAAaBlBUOkNESQ,2023-06-06 00:29:23.040919
