kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,pCEUh1L_S4WPt0WCNfl2gCgxeK0,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLkVzRklGaktDTV9B,2023-06-05T23:26:21Z,UCmYuiV9wAR3i8p19Ygc7izg,Livros são censurados no Brasil? #shorts,,"{'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/EsFIFjKCM_A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,0,youtube#video,EsFIFjKCM_A,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,g5bqHaipV7DaxGnhzRy_efaO4rc,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLkpidndLRUR5dVZr,2023-06-05T23:25:51Z,UCmYuiV9wAR3i8p19Ygc7izg,Quais os tipos de livros mais censurados nos EUA? #shorts,,"{'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/JbvwKEDyuVk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,1,youtube#video,JbvwKEDyuVk,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,7WHwxQYegZGPL55fL7hBhG7B20I,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLjQtcEpZOFZLUGlJ,2023-06-05T23:25:06Z,UCmYuiV9wAR3i8p19Ygc7izg,Do que se trata a censura a livros nos EUA? #shorts,,"{'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/4-pJY8VKPiI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,2,youtube#video,4-pJY8VKPiI,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,_M-9SFIzEOA3KDeJadFj5Urs9hM,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLnJSOG5HNE81LXc4,2023-06-05T21:41:37Z,UCmYuiV9wAR3i8p19Ygc7izg,Como é que é? | Por que a censura a livros bate recorde nos EUA?,"As proibições a livros explodiram nos Estados Unidos e cresceram mais de 40% no ano passado, segundo um estudo da associação de bibliotecas do país, que identificou 2.571 títulos contestados nas prateleiras de diversos estados em 2022 após sofrerem pressão de grupos organizados.

Segundo a BBC, os pedidos de retirada de livros de escolas e bibliotecas públicas em 2022 atingiram o maior número que se tem registro.

Para explicar os motivos que levam ao banimento de livros nos EUA, Isabella Faria conversa com o editor Walter Porto.

Ao vivo, de segunda a sexta-feira, direto da Redação da Folha, no centro de São Paulo, o programa Como é que é? convida especialistas de diferentes áreas, além de repórteres, editores e colunistas do jornal, para discutir política, economia, cultura, educação, tecnologia e tudo o que for assunto no país.

A transmissão ocorre pelos canais do jornal no Youtube, no Facebook e na Twitch.

Depois da exibição ao vivo, todos os episódios também ficam disponíveis em formato de áudio nos principais agregadores de podcast.

Leia mais na Folha
https://folha.com/7is2rp4l

Veja outros programas:
https://www1.folha.uol.com.br/folha-topicos/como-e-que-e/

Assine a TV Folha
https://goo.gl/EBg4ag

Instagram
https://www.instagram.com/folhadespaulo/","{'url': 'https://i.ytimg.com/vi/rR8nG4O5-w8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/rR8nG4O5-w8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/rR8nG4O5-w8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/rR8nG4O5-w8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/rR8nG4O5-w8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,3,youtube#video,rR8nG4O5-w8,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,y5ttL6YkDXaYzPh_STkdPe6G0JE,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLllUcEFpM016ZEpZ,2023-06-05T14:07:36Z,UCmYuiV9wAR3i8p19Ygc7izg,Rússia divulga vídeo de disparos contra blindados da Ucrânia | CENAS DA GUERRA,"Imagens feitas por drone, divulgadas neste domingo (5) pelo Ministério da Defesa da Rússia, mostram a destruição de blindados em localidade não identificada. 

A pasta afirma ter contido uma grande contraofensiva ucraniana na região de Donetsk, ora controlada pelos russos

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/","{'url': 'https://i.ytimg.com/vi/YTpAi3MzdJY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YTpAi3MzdJY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YTpAi3MzdJY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YTpAi3MzdJY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YTpAi3MzdJY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,4,youtube#video,YTpAi3MzdJY,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,8tVfc7CqwQLIHQzOiikmxk9kiDE,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLlI1TEcxRXlHMms4,2023-06-05T12:23:34Z,UCmYuiV9wAR3i8p19Ygc7izg,A Artista da Brecha | OCEANO FORA DA LEI,"Há mais de 20 anos, uma médica holandesa atraca um navio em diferentes portos no mundo e leva para longe da costa mulheres que desejam interromper a gravidez –em águas internacionais, ela não precisa se submeter às restrições contra o aborto de cada país.

No oitavo episódio da série documental ""Despachos do Oceano Fora da Lei"", a equipe do jornalista Ian Urbina acompanha a ginecologista Rebecca Gomperts, fundadora da ONG Woman on Waves (mulheres nas ondas), a bordo do Adelaide no México.

O vídeo é publicado pela Folha em parceria com a organização jornalística sem fins lucrativos The Outlaw Ocean Project, dirigida por Urbina. Ex-repórter do New York Times, ele investiga há uma década crimes ambientais e contra os direitos humanos em águas internacionais.

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/","{'url': 'https://i.ytimg.com/vi/R5LG1EyG2k8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/R5LG1EyG2k8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/R5LG1EyG2k8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/R5LG1EyG2k8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/R5LG1EyG2k8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,5,youtube#video,R5LG1EyG2k8,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,dQWs8OYlMgzfsUwGrnpzPfXxzyY,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLnRQcmwzVXI3NFRr,2023-06-05T11:15:23Z,UCmYuiV9wAR3i8p19Ygc7izg,Navio chinês manobra perto de destróier americano no Estreito de Taiwan,"O Serviço de Distribuição de Informação Visual do Ministério da Defesa dos Estados Unidos (DVIDS) divulgou nesta segunda-feira (5) imagens que mostram um navio chinês executando manobras perto de um destróier americano no Estreito de Taiwan.

Segundo os EUA, os chineses ""executaram manobras de maneira insegura"".

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/","{'url': 'https://i.ytimg.com/vi/tPrl3Ur74Tk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tPrl3Ur74Tk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tPrl3Ur74Tk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tPrl3Ur74Tk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tPrl3Ur74Tk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,6,youtube#video,tPrl3Ur74Tk,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,JZlIzwqMHeuKDTVC3ZDMqkfE-J8,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLk85TUczT3RHdXA0,2023-06-03T14:06:07Z,UCmYuiV9wAR3i8p19Ygc7izg,Operação de resgate na Índia vira 'coleta de corpos' após colisão histórica de trens,"O descarrilamento de um trem de passageiros no leste da Índia deixou ao menos 280 mortos e 850 feridos nesta sexta-feira (2) —números que aumentam a cada novo anúncio das autoridades locais e fazem do acidente o quarto pior desastre de trem de que se tem registro no país.

O mais grave dos últimos dez anos havia ocorrido em 2016, quando um acidente em Pukhrayan, próximo à cidade de Kanpur, no norte da Índia, matou 150 pessoas e feriu outras 150.

Assine a TV Folha
https://goo.gl/EBg4ag

Leia mais na Folha
http://www.folha.com.br

Instagram
https://www.instagram.com/folhadespaulo/","{'url': 'https://i.ytimg.com/vi/O9MG3OtGup4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/O9MG3OtGup4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/O9MG3OtGup4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/O9MG3OtGup4/sddefault.jpg', 'width': 640, 'height': 480}",,Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,7,youtube#video,O9MG3OtGup4,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,SLM8Us247KLUWUk2y0AZeoy3vuE,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLnlZSzZwOU1ZdXhR,2023-06-02T23:23:38Z,UCmYuiV9wAR3i8p19Ygc7izg,É correto ministros serem midiáticos? #shorts,,"{'url': 'https://i.ytimg.com/vi/yYK6p9MYuxQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/yYK6p9MYuxQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/yYK6p9MYuxQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/yYK6p9MYuxQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/yYK6p9MYuxQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,8,youtube#video,yYK6p9MYuxQ,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
youtube#playlistItem,sXTZRSWzb8AlF894hjJdoC0tuGw,VVVtWXVpVjl3QVIzaThwMTlZZ2M3aXpnLkVNQ2xNNTlqZjcw,2023-06-02T23:21:16Z,UCmYuiV9wAR3i8p19Ygc7izg,Zanin é bem quisto? #shorts,,"{'url': 'https://i.ytimg.com/vi/EMClM59jf70/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/EMClM59jf70/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/EMClM59jf70/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/EMClM59jf70/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/EMClM59jf70/maxresdefault.jpg', 'width': 1280, 'height': 720}",Folha de S.Paulo,UUmYuiV9wAR3i8p19Ygc7izg,9,youtube#video,EMClM59jf70,Folha de S.Paulo,UCmYuiV9wAR3i8p19Ygc7izg,EAAaBlBUOkNESQ,2023-06-05 20:28:11.639807
