kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,aiQDWtR_wxpIuwCV6llZSxTIz2Q,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLlk0UHNMeHp2VVBv,2023-06-06T01:27:12Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Policial Civil em protesto no DF detona Rui Costa 05/06,,"{'url': 'https://i.ytimg.com/vi/Y4PsLxzvUPo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Y4PsLxzvUPo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Y4PsLxzvUPo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Y4PsLxzvUPo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Y4PsLxzvUPo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,0,youtube#video,Y4PsLxzvUPo,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,Dz8BxrMSA9eJmNWi2Grx_NzVnHo,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLkdYTjEtdHYyX2I0,2023-06-05T23:34:05Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Não eles não vieram pelo Cacique Tsererê preso pelo STF,,"{'url': 'https://i.ytimg.com/vi/GXN1-tv2_b4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GXN1-tv2_b4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GXN1-tv2_b4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GXN1-tv2_b4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GXN1-tv2_b4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,1,youtube#video,GXN1-tv2_b4,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,ZG-gKGln51CTVoXC17Q6tH93lbA,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLmtQcmZfNFFULVVZ,2023-06-05T20:07:49Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Índios na porta da AGU em Brasília 05/06/2023,,"{'url': 'https://i.ytimg.com/vi/kPrf_4QT-UY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/kPrf_4QT-UY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/kPrf_4QT-UY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/kPrf_4QT-UY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/kPrf_4QT-UY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,2,youtube#video,kPrf_4QT-UY,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,utV8DHCZUucwXcKKqXlLpn1HHYk,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLmVKUy1OdHpoVkR3,2023-06-05T18:51:09Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Policia Civil fazendo manifestação só falta o Exército agora 05/06/2023,,"{'url': 'https://i.ytimg.com/vi/eJS-NtzhVDw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eJS-NtzhVDw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eJS-NtzhVDw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eJS-NtzhVDw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eJS-NtzhVDw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,3,youtube#video,eJS-NtzhVDw,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,puOR0z_8c3g0jXlQA1NaGoGzigs,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLi1la0dCSnotOXJ3,2023-06-05T13:55:43Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Índios fazem manifestação contra o Marco Temporal Pl490 hoje 05/06,,"{'url': 'https://i.ytimg.com/vi/-ekGBJz-9rw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/-ekGBJz-9rw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/-ekGBJz-9rw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/-ekGBJz-9rw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/-ekGBJz-9rw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,4,youtube#video,-ekGBJz-9rw,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,zLuBGsVTpQTcWBUPFpuIj5HxmRY,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLjJxZUFyYU16Y1Jv,2023-06-04T20:34:53Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Manifestação em porto Alegre e Curitiba #aovivo 04/06/2023,,"{'url': 'https://i.ytimg.com/vi/2qeAraMzcRo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2qeAraMzcRo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2qeAraMzcRo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2qeAraMzcRo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2qeAraMzcRo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,5,youtube#video,2qeAraMzcRo,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,8T_M_87puZZoJDEVUJVRqx6B2NM,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLnJSQW5JbzhDRzZF,2023-06-04T14:49:14Z,UC81NaJy4sWj4ZVN2Mbe3IEA,General Heleno “ O LADRÃO NÃO SOBE A RAMPA “ Olha no que deu,,"{'url': 'https://i.ytimg.com/vi/rRAnIo8CG6E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/rRAnIo8CG6E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/rRAnIo8CG6E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/rRAnIo8CG6E/sddefault.jpg', 'width': 640, 'height': 480}",,Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,6,youtube#video,rRAnIo8CG6E,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,ICdE5dEbk_iAZDc9D2srhuIf-Q4,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLjZiOGY2bU5BbV9v,2023-06-04T01:22:23Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Ronaldo Caiado deu lição de moral na Sãmia Bonfim,Ronaldo Caiado coloca Deputada do Psol no seu devido lugar na CPI do MST em Brasília,"{'url': 'https://i.ytimg.com/vi/6b8f6mNAm_o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6b8f6mNAm_o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6b8f6mNAm_o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6b8f6mNAm_o/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6b8f6mNAm_o/maxresdefault.jpg', 'width': 1280, 'height': 720}",Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,7,youtube#video,6b8f6mNAm_o,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,oxpgCh1O3Kf92OHVRjwzGkyb34M,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLlFta05mUktaSlVr,2023-06-03T22:15:10Z,UC81NaJy4sWj4ZVN2Mbe3IEA,BIROLINDO foi na padaria e o trânsito parou olha no que deu,,"{'url': 'https://i.ytimg.com/vi/QmkNfRKZJUk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/QmkNfRKZJUk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/QmkNfRKZJUk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/QmkNfRKZJUk/sddefault.jpg', 'width': 640, 'height': 480}",,Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,8,youtube#video,QmkNfRKZJUk,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
youtube#playlistItem,ad47vrVkHiUDii2mq-AytrAsBf4,VVU4MU5hSnk0c1dqNFpWTjJNYmUzSUVBLi00UXNYa21zcG5Z,2023-06-03T00:21:13Z,UC81NaJy4sWj4ZVN2Mbe3IEA,Gente eu não fiz as unhas,"Michele Bolsonaro manda indireta para Lula e diz que o “ Agro não é direitista, não é facista “","{'url': 'https://i.ytimg.com/vi/-4QsXkmspnY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/-4QsXkmspnY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/-4QsXkmspnY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/-4QsXkmspnY/sddefault.jpg', 'width': 640, 'height': 480}",,Francisco Mello Oficial,UU81NaJy4sWj4ZVN2Mbe3IEA,9,youtube#video,-4QsXkmspnY,Francisco Mello Oficial,UC81NaJy4sWj4ZVN2Mbe3IEA,EAAaBlBUOkNESQ,2023-06-06 00:53:07.141309
