kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,3AWFgrhblmliS-fuB1_rtL-u53c,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLk1jRUpJcXJWTFhB,2023-06-03T18:00:09Z,UC2bZgihqibFD_vhaYEXQZFg,Zambelli chora ao ser abandonada e Os Piores Vídeos da Semana | Galãs Feios,"Sâmia Bonfim detona Ronaldo Caiado na CPI do MST. Zambelli é abandonada e chora, Deltan Dallagnol vive em realidade paralela e acredita que ainda é deputado federal. E Marcos do Val chama Helder de viciado, contrabandista e sonegador e depois compara o tamanho da rola com Flávio Dino. Tudo isso e muito mais você vê agora, no Piores Vídeos da Semana!

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Edição por Rafa (https://www.instagram.com/rafa_nvs/)  

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#PioresVídeosDaSemana","{'url': 'https://i.ytimg.com/vi/McEJIqrVLXA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/McEJIqrVLXA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/McEJIqrVLXA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/McEJIqrVLXA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/McEJIqrVLXA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,0,youtube#video,McEJIqrVLXA,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,jowScCi2EJWQoeqmEt1T9Ym6SaU,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLjZLZGVkN1RBai1N,2023-06-02T19:59:19Z,UC2bZgihqibFD_vhaYEXQZFg,"🔴 LIVE: Zambelli na mira do PT, Carluxo ridicularizado, Zanin | Galãs Feios","🔴 Seja membro deste canal:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

🔴 Se inscreva no nosso curso “Como começar seu canal no Youtube” no ICL: https://icl1.com.br/galas-padrao/

🔴 Apoie a Galãs Feios pra gente poder continuar denunciando os golpes: https://apoia.se/galasfeios

Conta Galãs Feios Assessoria e Com.
Banco Itaú
Ag: 0188
CC: 17965-9
CNPJ: 15277493/0001-89

PIX: galasfeios@gmail.com

PayPal: galasfeios@gmail.com

🔴 Compre nossas camisetas e bonés: https://www.elcabriton.com/galas-feios","{'url': 'https://i.ytimg.com/vi/6Kded7TAj-M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6Kded7TAj-M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6Kded7TAj-M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6Kded7TAj-M/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6Kded7TAj-M/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,1,youtube#video,6Kded7TAj-M,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,qyWg_-6ktqPAYxftuL84cWid_XI,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLkNSV3N0UTRGc3VJ,2023-06-02T15:00:08Z,UC2bZgihqibFD_vhaYEXQZFg,Biden passa vergonha em formatura de cadetes | Galãs Feios,"O presidente dos Estados Unidos, Joe Biden, tropeçou e caiu após entregar o último diploma numa cerimónia de formatura na Academia da Força Aérea do país, esta quinta-feira, em Colorado Springs. O líder norte-americano rapidamente se recompôs e um porta-voz da Casa Branca já veio dizer que o Biden ""está bem"". Helder e Bezzi comentam.

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Vídeo e edição por: Marco Bezzi (https://www.instagram.com/marcobezzi/) 

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#RolouNaLive","{'url': 'https://i.ytimg.com/vi/CRWstQ4FsuI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/CRWstQ4FsuI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/CRWstQ4FsuI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/CRWstQ4FsuI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/CRWstQ4FsuI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,2,youtube#video,CRWstQ4FsuI,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,vrGvd4A7boqKAofW-esrBE9niEQ,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLlUxVEllT1Z4M2k0,2023-06-01T23:11:35Z,UC2bZgihqibFD_vhaYEXQZFg,Careca do Aerolook tenta intimidar Sâmia e PSOL | Galãs Feios,"O deputado federal Abílio Júnior (PL) voltou a se envolver em bate boca no Congresso Nacional. Durante audiência da Comissão Parlamentar de Inquérito (CPI) que apura atuação do Movimento dos Trabalhadores Rurais (MST) na Câmara dos Deputados, o parlamentar procurou confusão com as deputadas do PSOL, Sâmia Bomfim e Talíria Petrone. Helder e Bezzi comentam.

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Vídeo e edição por: Marco Bezzi (https://www.instagram.com/marcobezzi/) 

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#RolouNaLive","{'url': 'https://i.ytimg.com/vi/U1TIeOVx3i4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/U1TIeOVx3i4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/U1TIeOVx3i4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/U1TIeOVx3i4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/U1TIeOVx3i4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,3,youtube#video,U1TIeOVx3i4,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,LFGLOeknlkNJqkG0TaeZZcLvZG8,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLjZZMnAzYm92ejRz,2023-06-01T22:50:44Z,UC2bZgihqibFD_vhaYEXQZFg,"Namorado de Gleisi chama líder do partido de “ditadorzinho de m*"" | Galãs Feios","O deputado Lindbergh Farias, namorado da presidente do PT e também deputada Gleisi Hoffmann, tem disparado adjetivos pouco ou nada lisonjeiros contra o líder do partido na Câmara, Zeca Dirceu. Helder e Bezzi comentam.

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Vídeo e edição por: Marco Bezzi (https://www.instagram.com/marcobezzi/) 

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#RolouNaLive","{'url': 'https://i.ytimg.com/vi/6Y2p3bovz4s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6Y2p3bovz4s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6Y2p3bovz4s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6Y2p3bovz4s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6Y2p3bovz4s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,4,youtube#video,6Y2p3bovz4s,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,25kpwWiw9rM6YyYBHuJxv2oqyE4,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLnRyTm1tWFRtRVJr,2023-06-01T22:11:14Z,UC2bZgihqibFD_vhaYEXQZFg,"Procuradora reclama de salário de R$ 37,5 mil | Galãs Feios","A procuradora Carla Freury de Souza reclamou do salário dela, de R$ 37,5 mil, durante uma sessão do MP-GO (Ministério Público de Goiás. ""Dinheiro só para brincos e vaidades"". Helder e Bezzi comentam.

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Vídeo e edição por: Marco Bezzi (https://www.instagram.com/marcobezzi/) 

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#RolouNaLive","{'url': 'https://i.ytimg.com/vi/trNmmXTmERk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/trNmmXTmERk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/trNmmXTmERk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/trNmmXTmERk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/trNmmXTmERk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,5,youtube#video,trNmmXTmERk,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,5LsxpzXh5YevcWth2WiJcEX4k4Y,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLkF0Qjd6RWEzeEww,2023-06-01T21:19:53Z,UC2bZgihqibFD_vhaYEXQZFg,Do Val compara volume da sunga com Dino e ganha apelido | Galãs Feios,"O senador Marcos do Val (Podemos) deu o que falar nas redes sociais nesta quinta-feira (1) após ser criticado porque comparou seu volume na sunga com a de um ministro do governo Lula (PT). Helder e Bezzi comentam. 

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Vídeo e edição por: Marco Bezzi (https://www.instagram.com/marcobezzi/) 

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#RolouNaLive","{'url': 'https://i.ytimg.com/vi/AtB7zEa3xL0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/AtB7zEa3xL0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/AtB7zEa3xL0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/AtB7zEa3xL0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/AtB7zEa3xL0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,6,youtube#video,AtB7zEa3xL0,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,UtMyseLYWsahsbNTFuefn8n2gKQ,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLk5VaEtmRUNuZUg0,2023-06-01T17:00:20Z,UC2bZgihqibFD_vhaYEXQZFg,Malafaia deve salários para funcionários | Galãs Feios,"Mais um pastor devedor de salários foi explanado. Silas Malafaia está supostamente devendo de dois a três salários a funcionários de sua igreja, a Assembléia de Deus Vitória em Cristo na Barra da Tijuca, Rio de Janeiro. A dívida corre há vários meses nesse modo acumulativo em que Malafaia paga um e deixa para trás três salários atrasados. Os funcionários se queixam das dificuldades financeiras e afirmam que alguns enfrentam problemas com a justiça por estarem inadimplentes. Helder comenta.

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#RolouNaLive","{'url': 'https://i.ytimg.com/vi/NUhKfECneH4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NUhKfECneH4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NUhKfECneH4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NUhKfECneH4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NUhKfECneH4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,7,youtube#video,NUhKfECneH4,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,E1HU54novFaSUMoNHRmBjWZqEDI,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLlYwZjRuQkd4RTdj,2023-06-01T16:15:52Z,UC2bZgihqibFD_vhaYEXQZFg,Diretor de filme sobre a Lava Jato tá chateado com Deltan | Galãs Feios,"O cineasta Marcelo Antunez acreditava em heróis, especialmente os do ministério público e do judiciário do Paraná. Com a cassação de Dallagnol e as polêmicas envolvendo Moro, o diretor de ‘Polícia Federal: a lei é para todos’ (2017) se encontra desamparado e desiludido, mazelas que ele alega serem resultado da ‘polarização’ política no Brasil. Helder comenta.

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join


Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt


Instagram: https://instagram.com/galasfeiosoficial


Facebook: https://www.facebook.com/galasfeios 


Twitter: https://twitter.com/galas_oficial


Assessoria e comercial: comercial@galasfeios.com


#RolouNaLive","{'url': 'https://i.ytimg.com/vi/V0f4nBGxE7c/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/V0f4nBGxE7c/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/V0f4nBGxE7c/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/V0f4nBGxE7c/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/V0f4nBGxE7c/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,8,youtube#video,V0f4nBGxE7c,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
youtube#playlistItem,4FVrBGvG6hSx9p3ph9jLdCuB7SM,VVUyYlpnaWhxaWJGRF92aGFZRVhRWkZnLm9kWjhEVWtteWZz,2023-06-01T15:51:14Z,UC2bZgihqibFD_vhaYEXQZFg,Gilberto Barros pode ser preso após falas escrotas | Galãs Feios,"Durante o programa Amigos do Leão transmitido no seu canal do YouTube , - de 199 mil inscritos - Gilberto Barros fez falas hostis e homofóbicas, incitando repulsa e viol3ncia contra homens gays. Para a alegria de todos, o nada querido pode puxar dois anos de regime aberto, ter que pagar multa e prestar serviço comunitário pelo crim3 que cometeu. Helder.

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bZgihqibFD_vhaYEXQZFg/join

Se inscreva no nosso canal e não deixe de ativar as notificações no sininho para não perder mais nenhum episódio: https://goo.gl/9l6Elt

Instagram: https://instagram.com/galasfeiosoficial

Facebook: https://www.facebook.com/galasfeios 

Twitter: https://twitter.com/galas_oficial

Assessoria e comercial: comercial@galasfeios.com

#RolouNaLive","{'url': 'https://i.ytimg.com/vi/odZ8DUkmyfs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/odZ8DUkmyfs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/odZ8DUkmyfs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/odZ8DUkmyfs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/odZ8DUkmyfs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Galãs Feios,UU2bZgihqibFD_vhaYEXQZFg,9,youtube#video,odZ8DUkmyfs,Galãs Feios,UC2bZgihqibFD_vhaYEXQZFg,EAAaBlBUOkNESQ,2023-06-05 19:53:53.852022
