kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,hOdqbYC73PlDD_nU8rk95ytYu4c,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLjh3TjRaczJJY0VV,2023-06-06T00:15:30Z,UCWdGgeyOnCOGnvhNdbVl1dQ,Zanin no STF e a luta nos bastidores pela vaga de Weber,"Escolhemos um livro para você 📖 Assine a Gazeta do Povo com 20% de desconto no plano anual e receba em casa ""51 Leis absurdas do Brasil que você não conhecia"", de André Costa. Basta clicar: https://bit.ly/44pc3wq

▀▀▀▀▀▀▀▀▀▀▀ 
🗣️ CURSO GRÁTIS
Para a censura não vencer, entre neste movimento. Inscreva-se grátis para receber as aulas sobre Liberdade de Expressão https://bit.ly/43lOVgP

▀▀▀▀▀▀▀▀▀▀▀ 
No programa de hoje, nossos convidados Deltan Dallagnol, Fabiana Barroso e Emerson Grigollette comentam a indicação do advogado e amigo de Lula, Cristiano Zanin, ao Supremo Tribunal Federal e as articulações pela vaga que será deixada pela ministra Rosa Weber.
Além disso, o pedido da defesa de Deltan para suspender o sigilo do inquérito que questiona as críticas quanto à decisão de cassação do TSE e o posicionamento do ministro Nunes Marques de não denunciar 64 pessoas apontadas como supostas incitadoras dos atos de 8 de Janeiro.

▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀

👊🏻  Acompanhe a Gazeta do Povo nas redes sociais:

• TikTok:

https://www.tiktok.com/@gazetadopovo

• Gettr

https://www.gettr.com/user/gazetadopovo

• Facebook

https://facebook.com/gazetadopovo

• Twitter

https://twitter.com/gazetadopovo

• Instagram:

https://instagram.com/gazetadopovo","{'url': 'https://i.ytimg.com/vi/8wN4Zs2IcEU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8wN4Zs2IcEU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8wN4Zs2IcEU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8wN4Zs2IcEU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8wN4Zs2IcEU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,0,youtube#video,8wN4Zs2IcEU,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,uPuZB0HM5H3hY4fx7o_MmhUzrbg,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLl85dEd5MF94LVFr,2023-06-05T18:35:59Z,UCWdGgeyOnCOGnvhNdbVl1dQ,A vingança de Lula também é contra os pobres,"Escolhemos um livro para você 📖 Assine a Gazeta do Povo com 20% de desconto no plano anual e receba em casa ""51 Leis absurdas do Brasil que você não conhecia"", de André Costa. Basta clicar: https://bit.ly/3CbV4AF

▀▀▀▀▀▀▀▀▀▀▀

🗣️ CURSO GRÁTIS
Para a censura não vencer, entre neste movimento. Inscreva-se grátis para receber as aulas sobre Liberdade de Expressão https://bit.ly/43lOVgP

▀▀▀▀▀▀▀▀▀▀▀
“Sem Rodeios” é um bate-papo ao vivo no YouTube e no site do jornal sobre as principais notícias do dia. Os temas variam entre política, judiciário, relações internacionais e comportamento. Direto ao ponto, sem censura e com comentários afiados, o programa vai trazer análises exclusivas e incisivas de Jorge Serrão, Cristina Graeml, Marco Antônio Costa e, semanalmente, Deltan Dallagnol. Mediado pela jornalista Rossana Bittencourt, o encontro diário terá 1h30 de duração e poderá contar com a participação de outros convidados. 

▀▀▀▀▀▀▀▀▀▀▀

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀

👊🏻 Acompanhe a Gazeta do Povo nas redes sociais: 
• TikTok: https://www.tiktok.com/@gazetadopovo
 • Gettr: https://www.gettr.com/user/gazetadopovo
 • Facebook: https://facebook.com/gazetadopovo
 • Twitter: https://twitter.com/gazetadopovo
 • Instagram: https://instagram.com/gazetadopovo

#economia #lula #dinheiro","{'url': 'https://i.ytimg.com/vi/_9tGy0_x-Qk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_9tGy0_x-Qk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_9tGy0_x-Qk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_9tGy0_x-Qk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_9tGy0_x-Qk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,1,youtube#video,_9tGy0_x-Qk,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,kOnCuPpXwenuOZFiJB2ZHc7qTVk,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLkF5cGl6OWl6cks0,2023-06-05T12:00:23Z,UCWdGgeyOnCOGnvhNdbVl1dQ,Liberdade de Expressão: conteúdo e objetivos | CURSO GRÁTIS,"👊🏻 INSCRIÇÃO GRÁTIS NO CURSO
Para a censura não vencer, entre neste movimento. Inscreva-se grátis para receber as aulas https://bit.ly/43lOVgP

▀▀▀▀▀▀▀▀▀▀▀▀▀▀

Em um momento de polarização política e de decisões judiciais polêmicas, a compreensão sobre a liberdade de expressão e o seu valor para a democracia se tornou fundamental. Ministrado por um dos maiores especialistas no tema do país, o curso se propõe a rever princípios fundamentais que regem a liberdade de expressão nas nações democráticas e obter luz para avaliar de forma criteriosa algumas das novas linhas adotadas recentemente pelo Supremo Tribunal Federal (STF) e o Tribunal Superior Eleitoral (TSE).

▀▀▀▀▀▀▀▀▀▀▀▀▀▀

🗣️ SOBRE O CURSO

INSTRUTOR: Guilherme Doring Cunha Pereira
Doutor e mestre pela Faculdade de Direito da Universidade de São Paulo – USP, onde também foi professor da cadeira de Direito Empresarial por 3 anos, de 1996 a 1998. Idealizador, coordenador e professor do curso master em Jornalismo para Editores para capacitação das lideranças nas redações dos veículos de comunicação do Brasil e países vizinhos. Conferencista em defesa da liberdade de expressão e autor dos seguintes livros: “Alienação do Poder de Controle Acionário”, publicado pela editora Saraiva em 1995, e “liberdade e Responsabilidade dos Meios de Comunicação”, pela editora RT, em 2000.

▀▀▀▀▀▀▀▀▀▀▀▀▀▀

⚫ AULAS

▪️ MÓDULO 1
AULA 1
Alcance e significado da Liberdade de expressão
AULA 2
Diferentes tipos ou categorias de expressão
AULA 3
Honra x liberdade de narrar fatos
AULA 4
Honra x liberdade de crítica
 ▪️ MÓDULO 2
AULA 5
Crimes de incitação e apologia
AULA 6
Crimes de preconceito
AULA 7
Homofobia e racismo
▪️ MÓDULO 3
AULA 8
Democracia Militante
AULA 9
Análise de decisões do STF e TSE

▀▀▀▀▀▀▀▀▀▀▀▀▀▀

LIBERDADE É NA GAZETA! Se você apoia a liberdade de expressão e gostou deste conteúdo, assine a Gazeta do Povo. São mais de 40 colunistas e 80 jornalistas. Assine por um valor irrisório:  https://bit.ly/41HUkOo

#liberdadedeexpressao #curso","{'url': 'https://i.ytimg.com/vi/Aypiz9izrK4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Aypiz9izrK4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Aypiz9izrK4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Aypiz9izrK4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Aypiz9izrK4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,2,youtube#video,Aypiz9izrK4,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,piBdwc6Dh2Pk3mvshM5tUfy-P4Q,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLmJLN1JubThnTjVN,2023-06-03T13:00:11Z,UCWdGgeyOnCOGnvhNdbVl1dQ,"A agressão de Lula e Maduro ao Brasil, à Venezuela e ao mundo","👊🏻 SUPER PROMOÇÃO! Assine a Gazeta com 75% de desconto e apoie o único jornal que está combatendo a censura de frente. Apenas R$ 6, confira: https://bit.ly/42YQFwz

▀▀▀▀▀▀▀▀▀▀▀ 

🗣️ CURSO GRÁTIS Para a censura não vencer, entre neste movimento. Inscreva-se grátis para receber as aulas sobre Liberdade de Expressão https://bit.ly/43lOVgP

▀▀▀▀▀▀▀▀▀▀▀ 

Uma jornalista agredida pelos capangas de uma ditadura. Um país agredido pelo discurso de um presidente em apoio a um ditador canalha. Dois países agredidos por dois tiranos mentirosos e sórdidos. O bom senso agredido por um discurso de uma mídia mentirosa que ajudou a eleger um candidato a ditador e que agora se sente agredida. A humanidade agredida por ditadores e fomentadores de ditaduras em redor. Este é o triste retrato do Brasil , preso a uma ditadura de um pensamento único e boçal.  


▀▀▀▀▀▀▀▀▀▀▀ 
🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀ 

👊🏻 Acompanhe a Gazeta do Povo nas redes sociais: 

• TikTok: https://www.tiktok.com/@gazetadopovo

• Gettr: https://www.gettr.com/user/gazetadopovo

• Facebook: https://facebook.com/gazetadopovo

• Twitter: https://twitter.com/gazetadopovo

• Instagram: https://instagram.com/gazetadopovo


#maduro #lula","{'url': 'https://i.ytimg.com/vi/bK7Rnm8gN5M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/bK7Rnm8gN5M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/bK7Rnm8gN5M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/bK7Rnm8gN5M/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/bK7Rnm8gN5M/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,3,youtube#video,bK7Rnm8gN5M,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,dWvaYHc79EMlzAgdEkLpJL9Zy0o,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLk1LQ2ZFUmZuN2tB,2023-06-02T20:33:32Z,UCWdGgeyOnCOGnvhNdbVl1dQ,"Quais os crimes de Maduro que Lula chama de ""narrativas""?","SUPER PROMOÇÃO! Assine a Gazeta com 75% de desconto e apoie o único jornal que está combatendo a censura de frente. Apenas R$ 6, confira: https://bit.ly/3IUOgeH

 ▀▀▀▀▀▀▀▀▀▀▀ 

👊🏻 CURSO GRÁTIS Para a censura não vencer, entre neste movimento. Inscreva-se grátis para receber as aulas sobre Liberdade de Expressão https://bit.ly/43lOVgP

 ▀▀▀▀▀▀▀▀▀▀▀

Acusado de narcoterrorismo, de destruir a democracia, a economia e a liberdade na Venezuela, Nicolás Maduro tem prêmio de 15 milhões de dólares por sua captura. Veja os crimes de que é acusado. 

▀▀▀▀▀▀▀▀▀▀▀ 

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀ 

👊🏻 Acompanhe a Gazeta do Povo nas redes sociais: 
• TikTok: https://www.tiktok.com/@gazetadopovo 
• Gettr https://www.gettr.com/user/gazetadopovo 
• Facebook https://facebook.com/gazetadopovo 
• Twitter https://twitter.com/gazetadopovo 
• Instagram: https://instagram.com/gazetadopovo 

 

#lula #maduro #venezuela","{'url': 'https://i.ytimg.com/vi/MKCfERfn7kA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/MKCfERfn7kA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/MKCfERfn7kA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/MKCfERfn7kA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/MKCfERfn7kA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,4,youtube#video,MKCfERfn7kA,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,_6DuCFZITCZpwwnJ0uRRtPHmXhM,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLmZDamJpMG5IZFE0,2023-06-02T18:35:02Z,UCWdGgeyOnCOGnvhNdbVl1dQ,Depoimento de Deltan Dallagnol na PF: crime de opinião?,"👊🏻 SUPER PROMOÇÃO! Assine a Gazeta com 75% de desconto e apoie o único jornal que está combatendo a censura de frente. Apenas R$ 6, confira:  https://bit.ly/42YQFwz

▀▀▀▀▀▀▀▀▀▀▀

🗣️ CURSO GRÁTIS
Para a censura não vencer, entre neste movimento. Inscreva-se grátis para receber as aulas sobre Liberdade de Expressão https://bit.ly/43lOVgP

▀▀▀▀▀▀▀▀▀▀▀
“Sem Rodeios” é um bate-papo ao vivo no YouTube e no site do jornal sobre as principais notícias do dia. Os temas variam entre política, judiciário, relações internacionais e comportamento. Direto ao ponto, sem censura e com comentários afiados, o programa vai trazer análises exclusivas e incisivas de Jorge Serrão, Cristina Graeml, Marco Antônio Costa e, semanalmente, Deltan Dallagnol. Mediado pela jornalista Rossana Bittencourt, o encontro diário terá 1h30 de duração e poderá contar com a participação de outros convidados. 

▀▀▀▀▀▀▀▀▀▀▀

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀

👊🏻 Acompanhe a Gazeta do Povo nas redes sociais: 
• TikTok: https://www.tiktok.com/@gazetadopovo
 • Gettr: https://www.gettr.com/user/gazetadopovo
 • Facebook: https://facebook.com/gazetadopovo
 • Twitter: https://twitter.com/gazetadopovo
 • Instagram: https://instagram.com/gazetadopovo

#deltandallagnol #políciafederal #política","{'url': 'https://i.ytimg.com/vi/fCjbi0nHdQ4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/fCjbi0nHdQ4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/fCjbi0nHdQ4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/fCjbi0nHdQ4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/fCjbi0nHdQ4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,5,youtube#video,fCjbi0nHdQ4,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,GLMsljOZJSSXeYr8ITuGo2rfAzw,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLlA2aVFfc0VySzI0,2023-06-02T11:54:37Z,UCWdGgeyOnCOGnvhNdbVl1dQ,Está desesperado com os rumos do país? Assista a este vídeo,"SUPER PROMOÇÃO! Assine a Gazeta com 75% de desconto e apoie o único jornal que está combatendo a censura de frente. Apenas R$ 6, confira:  https://bit.ly/3IwWhG9

▀▀▀▀▀▀▀▀▀▀▀

👊🏻 CURSO GRÁTIS
Para a censura não vencer, entre neste movimento. Inscreva-se grátis para receber as aulas sobre Liberdade de Expressão https://bit.ly/43lOVgP

▀▀▀▀▀▀▀▀▀▀▀

Eu poderia muito bem ter vindo aqui hoje e falado sobre a indicação de Cristiano Zanin ao STF ou sobre os conchavos de Lula para tirar poder do semipresidente Arthur Lira. Aliás, essas eram as ideias originais. Mas decidi dedicar o vídeo de hoje àqueles que estão tristes, quando não deprimidos e desesperados, por causa da situação política do Brasil. O vídeo, portanto, é uma versão ligeiramente modificada do meu texto “Como lidar com o sentimento de que o Brasil está ruindo?”, publicado na Gazeta do Povo. Espero que gostem.

▀▀▀▀▀▀▀▀▀▀▀

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀

👊🏻  Acompanhe a Gazeta do Povo nas redes sociais:
• TikTok:
https://www.tiktok.com/@gazetadopovo
• Gettr
https://www.gettr.com/user/gazetadopovo
• Facebook
https://facebook.com/gazetadopovo
• Twitter
https://twitter.com/gazetadopovo
• Instagram:
https://instagram.com/gazetadopovo
#lula #stf #brasil","{'url': 'https://i.ytimg.com/vi/P6iQ_sErK24/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/P6iQ_sErK24/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/P6iQ_sErK24/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/P6iQ_sErK24/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/P6iQ_sErK24/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,6,youtube#video,P6iQ_sErK24,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,rrPwWmosARJS7u2lVBnbWtvte2E,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLmI5TXFzOTFVM0lB,2023-06-01T20:03:21Z,UCWdGgeyOnCOGnvhNdbVl1dQ,Gustavo Gayer: Doutrinação nas escolas e terrorismo do MST,"SUPER PROMOÇÃO! Assine a Gazeta com 75% de desconto e apoie o único jornal que está combatendo a censura de frente. Apenas R$ 6, confira:  https://bit.ly/41ZyYf2

▀▀▀▀▀▀▀▀▀▀▀

Entrevista com o deputado federal Gustavo Gayer (PL-GO), que assumiu como missão do mandato combater a doutrinação nas escolas e universidades. Além de promover audiências públicas na Câmara dos Deputados para dar voz a pais, alunos e professores que sofrem com a militância de esquerda em sala de aula, ele criou um site para recolher denúncias sobre doutrinação escolar. O deputado também integra a CPI do MST e fala como deve ser a investigação sobre atos terroristas promovidos pelo grupo.

▀▀▀▀▀▀▀▀▀▀▀

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀

👊🏻  Acompanhe a Gazeta do Povo nas redes sociais:
• TikTok:
https://www.tiktok.com/@gazetadopovo
• Gettr
https://www.gettr.com/user/gazetadopovo
• Facebook
https://facebook.com/gazetadopovo
• Twitter
https://twitter.com/gazetadopovo
• Instagram:
https://instagram.com/gazetadopovo

#gustavogayer #mst #educação","{'url': 'https://i.ytimg.com/vi/b9Mqs91U3IA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/b9Mqs91U3IA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/b9Mqs91U3IA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/b9Mqs91U3IA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/b9Mqs91U3IA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,7,youtube#video,b9Mqs91U3IA,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,ySFxA5umADUPb1Q4VPYrMLr_ax0,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLkFJN2gzX2lCQ240,2023-06-01T18:35:37Z,UCWdGgeyOnCOGnvhNdbVl1dQ,TSE x Bolsonaro; STF x Arthur Lira; CPMI x G.Dias,"SUPER PROMOÇÃO! Assine a Gazeta com 75% de desconto e apoie o único jornal que está combatendo a censura de frente. Apenas R$ 6, confira:  https://bit.ly/42YQFwz

▀▀▀▀▀▀▀▀▀▀▀

“Sem Rodeios” é um bate-papo ao vivo no YouTube e no site do jornal sobre as principais notícias do dia. Os temas variam entre política, judiciário, relações internacionais e comportamento. Direto ao ponto, sem censura e com comentários afiados, o programa vai trazer análises exclusivas e incisivas de Jorge Serrão, Cristina Graeml, Marco Antônio Costa e, semanalmente, Deltan Dallagnol. Mediado pela jornalista Rossana Bittencourt, o encontro diário terá 1h30 de duração e poderá contar com a participação de outros convidados. 

▀▀▀▀▀▀▀▀▀▀▀

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀

👊🏻 Acompanhe a Gazeta do Povo nas redes sociais: 
• TikTok: https://www.tiktok.com/@gazetadopovo
 • Gettr: https://www.gettr.com/user/gazetadopovo
 • Facebook: https://facebook.com/gazetadopovo
 • Twitter: https://twitter.com/gazetadopovo
 • Instagram: https://instagram.com/gazetadopovo
#arthurlira #lula #bolsonaro","{'url': 'https://i.ytimg.com/vi/AI7h3_iBCn4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/AI7h3_iBCn4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/AI7h3_iBCn4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/AI7h3_iBCn4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/AI7h3_iBCn4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,8,youtube#video,AI7h3_iBCn4,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
youtube#playlistItem,P17PhVrgE1dfLz8BSw558KnqNnE,VVVXZEdnZXlPbkNPR252aE5kYlZsMWRRLktfbHUtY21RMEVj,2023-06-01T13:20:50Z,UCWdGgeyOnCOGnvhNdbVl1dQ,Passagem de Maduro pelo Brasil termina em pancadaria real e simbólica,"SUPER PROMOÇÃO! Assine a Gazeta com 75% de desconto e apoie o único jornal que está combatendo a censura de frente. Apenas R$ 6, confira:  https://bit.ly/3IwWhG9

▀▀▀▀▀▀▀▀▀▀▀

Por onde passa, comunista sempre deixa um rastro de destruição. Com o ditador venezuelano Nicolás Maduro não foi diferente. Em poucos dias, ele conseguiu até o que parecia improvável: fez com que a imprensa militante criticasse veementemente a postura submissa de Lula - antes tratado como “o salvador da democracia”. Mais do que isso, fez com que a imprensa se voltasse momentaneamente contra Lula, depois que uma repórter levou um soco de um dos capangas do ditador. Por fim, graças às indecentes declarações de amor de Lula a Maduro, o sabujo-em-chefe foi criticado, em pleno solo brasileiro, pelos presidentes do Uruguai e do Chile.

▀▀▀▀▀▀▀▀▀▀▀

🎧 OUÇA AGORA! Compartilhe e ouça o 15 Minutos da Gazeta do Povo em sua plataforma de áudios favoritas. Aqui neste link você pode nos ouvir no Spotify: https://spoti.fi/3FAGXGc

▀▀▀▀▀▀▀▀▀▀▀

👊🏻  Acompanhe a Gazeta do Povo nas redes sociais:
• TikTok:
https://www.tiktok.com/@gazetadopovo
• Gettr
https://www.gettr.com/user/gazetadopovo
• Facebook
https://facebook.com/gazetadopovo
• Twitter
https://twitter.com/gazetadopovo
• Instagram:
https://instagram.com/gazetadopovo
#lula #maduro #globo","{'url': 'https://i.ytimg.com/vi/K_lu-cmQ0Ec/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/K_lu-cmQ0Ec/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/K_lu-cmQ0Ec/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/K_lu-cmQ0Ec/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/K_lu-cmQ0Ec/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gazeta do Povo,UUWdGgeyOnCOGnvhNdbVl1dQ,9,youtube#video,K_lu-cmQ0Ec,Gazeta do Povo,UCWdGgeyOnCOGnvhNdbVl1dQ,EAAaBlBUOkNESQ,2023-06-06 00:47:52.023798
