kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,f7ld-k4VqwW7NA879ARkB3PU6qQ,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLlVfOGNhRzVFcGMw,2023-06-05T21:21:09Z,UCbmVlqWD6lqn1Ur1Zv25IIg,Deputada Silvye ainda não desistiu de tentar me destruir. Treta 3.0,"Deputada Silvye ainda não desistiu de tentar me destruir. Treta 3.0

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/U_8caG5Epc0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/U_8caG5Epc0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/U_8caG5Epc0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/U_8caG5Epc0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/U_8caG5Epc0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,0,youtube#video,U_8caG5Epc0,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,fAG8iuCzWObrXnGKRhhd5VogzsI,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLlRGTWZvTXY3enln,2023-06-05T16:05:49Z,UCbmVlqWD6lqn1Ur1Zv25IIg,Gustavo Gayer  Doutrinação nas escolas e terrorismo do MST,"Gustavo Gayer  Doutrinação nas escolas e terrorismo do MST

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/TFMfoMv7zyg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/TFMfoMv7zyg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/TFMfoMv7zyg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/TFMfoMv7zyg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/TFMfoMv7zyg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,1,youtube#video,TFMfoMv7zyg,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,Pnfd3JNSMXKei9kOFcb3AdB2pJI,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLnZHTkNLMC1nMkpF,2023-06-04T23:47:40Z,UCbmVlqWD6lqn1Ur1Zv25IIg,Treta explicada - Trecho da minha participação hoje no Tá na Roda da Jovem Pan,"Treta explicada - Trecho da minha participação hoje no Tá na Roda da Jovem Pan

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/vGNCK0-g2JE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/vGNCK0-g2JE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/vGNCK0-g2JE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/vGNCK0-g2JE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/vGNCK0-g2JE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,2,youtube#video,vGNCK0-g2JE,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,UIjZtIQm4K2V7SaoESoBnNMwU3E,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLmo3ZjU1dUFSMG1v,2023-06-04T19:02:59Z,UCbmVlqWD6lqn1Ur1Zv25IIg,1º Seminário sobre Doutrinação Ideológica no Ensino em Campo Grande,"1º Seminário sobre Doutrinação Ideológica no Ensino em Campo Grande 

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/j7f55uAR0mo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/j7f55uAR0mo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/j7f55uAR0mo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/j7f55uAR0mo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/j7f55uAR0mo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,3,youtube#video,j7f55uAR0mo,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,oio78cPqLEgeb1EtgA4YORkuhv0,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLnlMRjgzZDFCQUE0,2023-06-02T22:10:11Z,UCbmVlqWD6lqn1Ur1Zv25IIg,Respondendo as acusações absurdas da deputada Silvye,"Respondendo as acusações absurdas da deputada Silvye 

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/yLF83d1BAA4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/yLF83d1BAA4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/yLF83d1BAA4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/yLF83d1BAA4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/yLF83d1BAA4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,4,youtube#video,yLF83d1BAA4,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,K7Bl-0tYe7UyiFcbZwuL7hsGL-8,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLjlNbWx5d25XSDBZ,2023-06-01T01:34:37Z,UCbmVlqWD6lqn1Ur1Zv25IIg,A minha fala mais importante na tribuna desde que fui eleito,"A minha fala mais importante na tribuna desde que fui eleito

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/9MmlywnWH0Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/9MmlywnWH0Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/9MmlywnWH0Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/9MmlywnWH0Y/sddefault.jpg', 'width': 640, 'height': 480}",,Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,5,youtube#video,9MmlywnWH0Y,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,Z7WAerq7stys8LXVjcBdZ0F-nY8,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLkpLMUQ3ZGpkRWY4,2023-05-31T20:34:25Z,UCbmVlqWD6lqn1Ur1Zv25IIg,Nossa chance de acabar com o governo LULA e devolver a independência do congresso,"Nossa chance de acabar com o governo LULA e devolver a independência do congresso

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/JK1D7djdEf8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/JK1D7djdEf8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/JK1D7djdEf8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/JK1D7djdEf8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/JK1D7djdEf8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,6,youtube#video,JK1D7djdEf8,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,mYyZhtU-lLvYk5uHJs3Q2HcX_ZY,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLmRQZTZvWlZ1d1B3,2023-05-31T15:52:51Z,UCbmVlqWD6lqn1Ur1Zv25IIg,Hoje pode ser o início do fim desse governo criminoso. Fale com seus deputados. Não a MP 1154,"Hoje pode ser o início do fim desse governo criminoso. Fale com seus deputados. Não a MP 1154

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/dPe6oZVuwPw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/dPe6oZVuwPw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/dPe6oZVuwPw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/dPe6oZVuwPw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/dPe6oZVuwPw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,7,youtube#video,dPe6oZVuwPw,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,kKbcCtCHGJfu_IHve6rITTf8iek,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLlJsaHlPUEhnOEFZ,2023-05-30T21:44:27Z,UCbmVlqWD6lqn1Ur1Zv25IIg,CPI do MST escancara a perversidade e canalhice do PT e do PSol. CANALHAS!,"CPI do MST escancara a perversidade e canalhice do PT e do PSol. CANALHAS!

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/RlhyOPHg8AY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/RlhyOPHg8AY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/RlhyOPHg8AY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/RlhyOPHg8AY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/RlhyOPHg8AY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,8,youtube#video,RlhyOPHg8AY,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
youtube#playlistItem,-VTs2GpRs-yxU-TpPC0Db2vZeQo,VVVibVZscVdENmxxbjFVcjFadjI1SUlnLkd1eWRCTGJuVlln,2023-05-30T18:16:33Z,UCbmVlqWD6lqn1Ur1Zv25IIg,Esta semana o LULA poderá sofrer duas grandes derrotas fatais no Congresso,"Esta semana o LULA poderá sofrer duas grandes derrotas fatais no Congresso

Vá agora para a COSTV, crie o seu perfil e comece a ganhar dinheiro assistindo vídeos. Clique no link https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer
https://bit.ly/CostvGustavoGayer

Me siga também no instagram:  👇👇👇
https://www.instagram.com/gusgayer/

Entrem no grupo do Telegram:  https://t.me/joinchat/Odbt4Rfd5djLjnjH2Uc4Lw","{'url': 'https://i.ytimg.com/vi/GuydBLbnVYg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GuydBLbnVYg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GuydBLbnVYg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GuydBLbnVYg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GuydBLbnVYg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Gustavo Gayer,UUbmVlqWD6lqn1Ur1Zv25IIg,9,youtube#video,GuydBLbnVYg,Gustavo Gayer,UCbmVlqWD6lqn1Ur1Zv25IIg,EAAaBlBUOkNESQ,2023-06-06 00:29:53.475706
