kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,9VSjsLqeGv-zlxMr96-OHj2zhUE,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLkI4ZFpSczBMNnQw,2023-06-05T23:00:03Z,UCGuo301AFAeKLS8bdARpehg,ELE DESCOBRIU O MEU SEGREDO! #direita #shorts #explore,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/B8dZRs0L6t0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/B8dZRs0L6t0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/B8dZRs0L6t0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/B8dZRs0L6t0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/B8dZRs0L6t0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,0,youtube#video,B8dZRs0L6t0,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,1ZRjyT3eAl0bQ85JtsxsrNICQL4,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLjZORzljWkFKZm1n,2023-06-05T23:00:02Z,UCGuo301AFAeKLS8bdARpehg,Vou acabar com os Shows da MC Pipokinha?,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/6NG9cZAJfmg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6NG9cZAJfmg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6NG9cZAJfmg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6NG9cZAJfmg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6NG9cZAJfmg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,1,youtube#video,6NG9cZAJfmg,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,WDlo-_nOJYMHFPb2HrykyB8K8zc,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLkc2SFhOV1pxV1k0,2023-06-05T21:00:14Z,UCGuo301AFAeKLS8bdARpehg,QUASE APANHEI NA PAULISTA! #direita #explore #shorts #tiktok,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/G6HXNWZqWY4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/G6HXNWZqWY4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/G6HXNWZqWY4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/G6HXNWZqWY4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/G6HXNWZqWY4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,2,youtube#video,G6HXNWZqWY4,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,saVX6HI7FCwPF_ljb2v5VpDLKoE,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLjJFRko2YzR3Y1c0,2023-06-05T15:00:01Z,UCGuo301AFAeKLS8bdARpehg,O PETISTA QUASE DEU NA MINHA CARA! #shorts #direita #explore #foralula,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/2EFJ6c4wcW4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2EFJ6c4wcW4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2EFJ6c4wcW4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2EFJ6c4wcW4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2EFJ6c4wcW4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,3,youtube#video,2EFJ6c4wcW4,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,CBYNt7vvzbI4hT1Dzke9YHm32Pg,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLko4STM5OGpKZEx3,2023-06-04T23:00:05Z,UCGuo301AFAeKLS8bdARpehg,GSI de Lula falsificou relatório do 8 de janeiro #direita #shorts #foralula #explore,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/J8I398jJdLw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/J8I398jJdLw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/J8I398jJdLw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/J8I398jJdLw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/J8I398jJdLw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,4,youtube#video,J8I398jJdLw,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,_S-IBcFGv9jZhTaG6GH6M76DkPI,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLjFfSHNRUjRwdC04,2023-06-04T21:00:00Z,UCGuo301AFAeKLS8bdARpehg,COMO O LULA VAI AUMENTAR O SALARIO MÍNIMO? #direita #foralula #explore #shorts,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/1_HsQR4pt-8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1_HsQR4pt-8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1_HsQR4pt-8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1_HsQR4pt-8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1_HsQR4pt-8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,5,youtube#video,1_HsQR4pt-8,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,noPvYgNRXAFz5arDraeYNfpyXmo,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLkJwR2NQcXI1TUcw,2023-06-04T15:00:07Z,UCGuo301AFAeKLS8bdARpehg,KIM KATAGUIRI PARA PREFEITO DE SÃO PAULO #direita #foralula #mbl #explore,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/BpGcPqr5MG0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BpGcPqr5MG0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BpGcPqr5MG0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BpGcPqr5MG0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/BpGcPqr5MG0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,6,youtube#video,BpGcPqr5MG0,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,9Q7pfx0zY546aiIgKTqItliS_lo,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLjV6a0tZc1BMLWNj,2023-06-03T23:00:02Z,UCGuo301AFAeKLS8bdARpehg,ELE É APAIXONADO PELO LULA #direita #foralula #tiktok #shorts,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/5zkKYsPL-cc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5zkKYsPL-cc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5zkKYsPL-cc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5zkKYsPL-cc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/5zkKYsPL-cc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,7,youtube#video,5zkKYsPL-cc,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,u65FF77sY0xFPUH-Ec3MP-kVOLY,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLmZ3Rm44X09tajlR,2023-06-03T21:00:13Z,UCGuo301AFAeKLS8bdARpehg,PRONOME NEUTRO NO MASTER CHEFE! #masterchef #foraesquerda #explore #direitabrasil,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/fwFn8_Omj9Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/fwFn8_Omj9Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/fwFn8_Omj9Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/fwFn8_Omj9Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/fwFn8_Omj9Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,8,youtube#video,fwFn8_Omj9Q,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
youtube#playlistItem,GtB3dJMH1eSiSfRbumwd6ih2DwY,VVVHdW8zMDFBRkFlS0xTOGJkQVJwZWhnLnF5TDNvWDFjQkc0,2023-06-02T23:00:19Z,UCGuo301AFAeKLS8bdARpehg,PETISTA NA ESCOLA DA DILMA #direita #shorts #explore #direitabrasil,"Me siga também em minhas outras redes sociais!

Instagram: https://www.instagram.com/gutozacariasmbl/
Telegram: https://t.me/gutozacarias
Twitter: https://twitter.com/GutoZacariasMBL
Facebook: https://www.facebook.com/gutozacariasmbl
Tiktok: https://www.tiktok.com/@gutozacariasmbl","{'url': 'https://i.ytimg.com/vi/qyL3oX1cBG4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/qyL3oX1cBG4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/qyL3oX1cBG4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/qyL3oX1cBG4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/qyL3oX1cBG4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Guto Zacarias,UUGuo301AFAeKLS8bdARpehg,9,youtube#video,qyL3oX1cBG4,Guto Zacarias,UCGuo301AFAeKLS8bdARpehg,EAAaBlBUOkNESQ,2023-06-06 00:32:46.305991
