kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,nvyTzAOa3PsXgehIRaihUSSlows,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLnF4Q29sOGpjc1ZR,2023-06-05T12:40:42Z,UCC6f63SXY0CDpsPGDBtTWVg,"ENDIVIDADO, DONO DO MADERO SE ARREPENDE...","Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Me siga no Instagram: https://www.instagram.com/henrybugalho/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Junior Durski, dono do Madero, se diz arrependido pelo que disse na pandemia. Mas será?!","{'url': 'https://i.ytimg.com/vi/qxCol8jcsVQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/qxCol8jcsVQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/qxCol8jcsVQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/qxCol8jcsVQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/qxCol8jcsVQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,0,youtube#video,qxCol8jcsVQ,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,-6XmD0l9sxLrRQMif1YOfz3dOG4,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLkd4ZW5HRFhaTTVZ,2023-06-03T16:11:28Z,UCC6f63SXY0CDpsPGDBtTWVg,UM DIA MUITO TRISTE HOJE...,"Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Me siga no Instagram: https://www.instagram.com/henrybugalho/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Hoje é um dia muito triste...","{'url': 'https://i.ytimg.com/vi/GxenGDXZM5Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GxenGDXZM5Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GxenGDXZM5Y/hqdefault.jpg', 'width': 480, 'height': 360}",,,Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,1,youtube#video,GxenGDXZM5Y,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,rXGiYYGWtDjiI0NFOCw5g4IJj_0,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLnhtam9qcldaR2FZ,2023-06-02T12:37:47Z,UCC6f63SXY0CDpsPGDBtTWVg,BANIDO POR FALAR MAL DA ANITTA?!,"Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Me siga no Instagram: https://www.instagram.com/henrybugalho/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Influenciador foi banido por falar mal da Anitta? Entenda.","{'url': 'https://i.ytimg.com/vi/xmjojrWZGaY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/xmjojrWZGaY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/xmjojrWZGaY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/xmjojrWZGaY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/xmjojrWZGaY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,2,youtube#video,xmjojrWZGaY,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,uW28FTqxANs2k3W5eQ8PuthKA4o,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLjJxSTliSng5TllN,2023-06-01T14:45:31Z,UCC6f63SXY0CDpsPGDBtTWVg,É BRIGA!!!,"Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Me siga no Instagram: https://www.instagram.com/henrybugalho/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Lula e Lira estão em pé de guerra. Quem vai vencer esse Game of Thrones brasileiros?!!!","{'url': 'https://i.ytimg.com/vi/2qI9bJx9NYM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2qI9bJx9NYM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2qI9bJx9NYM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2qI9bJx9NYM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2qI9bJx9NYM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,3,youtube#video,2qI9bJx9NYM,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,dWhW0ln8Ix4wjWQbnGqI59GZaPM,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLlZEaDNVNVE3MWxF,2023-05-28T15:01:46Z,UCC6f63SXY0CDpsPGDBtTWVg,EXPOSED DE DANILO GENTILI E PORCHAT PEDE DESCULPAS...,"Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Me siga no Instagram: https://www.instagram.com/henrybugalho/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Fabio Porchat se vê obrigado a se desculpar no caso Léo Lins, enquanto Danilo Gentili é exposto por Victor Camejo. Entenda!","{'url': 'https://i.ytimg.com/vi/VDh3U5Q71lE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/VDh3U5Q71lE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/VDh3U5Q71lE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/VDh3U5Q71lE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/VDh3U5Q71lE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,4,youtube#video,VDh3U5Q71lE,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,jS2oXqiL8GJcbAa2LIuaD50AexE,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLkFjMWNMR1RUdVE4,2023-05-26T16:16:07Z,UCC6f63SXY0CDpsPGDBtTWVg,"MÃE DANÇA FUNK NO ANIVERSÁRIO DA FILHA, É DETONADA E VEM SE DEFENDER... feat Caroline Arcari","Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Siga Caroline Arcari no Instagram: https://www.instagram.com/carolinearcari/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Mãe é detonada depois que vídeo viraliza dela dançando funk na festa de aniversário da filha! Entenda. Com participação de Caroline Arcari.","{'url': 'https://i.ytimg.com/vi/Ac1cLGTTuQ8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Ac1cLGTTuQ8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Ac1cLGTTuQ8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Ac1cLGTTuQ8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Ac1cLGTTuQ8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,5,youtube#video,Ac1cLGTTuQ8,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,b6Q_SKjNq67vmkVkaCwMjL9d8IQ,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLjFmelZIWG5fV09V,2023-05-24T21:08:24Z,UCC6f63SXY0CDpsPGDBtTWVg,MICHELLE BOLSONARO VAI PRESA?!!!,"Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Me siga lá no Instagram: https://www.instagram.com/henrybugalho/

Participe do Clube do Livro com Henry Bugalho:
https://www.henrybugalho.com/cp-clubedolivro/

É agora que a Michelle Bolsonaro vai presa?! Entenda.","{'url': 'https://i.ytimg.com/vi/1fzVHXn_WOU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1fzVHXn_WOU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1fzVHXn_WOU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1fzVHXn_WOU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1fzVHXn_WOU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,6,youtube#video,1fzVHXn_WOU,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,816U3QWWgV2pTvI0pmvTEPj9cy4,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLnF2MFBFX01WcWE0,2023-05-22T15:56:06Z,UCC6f63SXY0CDpsPGDBtTWVg,INACEITÁVEL: VINICIUS JUNIOR SOFRE RACISMO DE NOVO NA ESPANHA!,"Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Me siga lá no Instagram: https://www.instagram.com/henrybugalho/

Participe do Clube do Livro com Henry Bugalho:
https://www.henrybugalho.com/cp-clubedolivro/

Ofensas racistas contra Vinicius Junior na Espanha são inaceitáveis! Entenda.","{'url': 'https://i.ytimg.com/vi/qv0PE_MVqa4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/qv0PE_MVqa4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/qv0PE_MVqa4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/qv0PE_MVqa4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/qv0PE_MVqa4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,7,youtube#video,qv0PE_MVqa4,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,v5YDuec--x3mUiL0Cvv70Y0lNwY,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLjNEM2p6V0gxQUg4,2023-05-20T14:53:41Z,UCC6f63SXY0CDpsPGDBtTWVg,"DEPUTADO AMEAÇA PROCESSAR FELIPE NETO E JANONES: ""MEU VÔ NÃO ERA NAZ1STA""","Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Me siga lá no Instagram: https://www.instagram.com/henrybugalho/

Participe do Clube do Livro com Henry Bugalho:
https://www.henrybugalho.com/cp-clubedolivro/

Após ser criticado por homenagear divisão militar ucraniana comandada por naz1stas, deputado agora ameaça processar geral! Entenda.","{'url': 'https://i.ytimg.com/vi/3D3jzWH1AH8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/3D3jzWH1AH8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/3D3jzWH1AH8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/3D3jzWH1AH8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/3D3jzWH1AH8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,8,youtube#video,3D3jzWH1AH8,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
youtube#playlistItem,WUzEog6UjHJVX3rvhc0piMvsRGM,VVVDNmY2M1NYWTBDRHBzUEdEQnRUV1ZnLmg1QnMwV0N5THNN,2023-05-19T22:54:03Z,UCC6f63SXY0CDpsPGDBtTWVg,DEU RUIM: PORCHAT DEFENDE LEO LINS E ACABA CANCELADO!,"Confira OLGA DESCOBRE A DEMOCRACIA:
https://www.lojacaqui.com.br/produtos/olga-descobre-a-democracia/

Seja membro deste canal:
https://www.youtube.com/channel/UCC6f63SXY0CDpsPGDBtTWVg/join

Me siga lá no Instagram: https://www.instagram.com/henrybugalho/

Participe do Clube do Livro com Henry Bugalho:
https://www.henrybugalho.com/cp-clubedolivro/

O humorista Fabio Porchat sai em defesa de Leo Lins e acaba cancelado! Entenda.","{'url': 'https://i.ytimg.com/vi/h5Bs0WCyLsM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/h5Bs0WCyLsM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/h5Bs0WCyLsM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/h5Bs0WCyLsM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/h5Bs0WCyLsM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Henry Bugalho,UUC6f63SXY0CDpsPGDBtTWVg,9,youtube#video,h5Bs0WCyLsM,Henry Bugalho,UCC6f63SXY0CDpsPGDBtTWVg,EAAaBlBUOkNESQ,2023-06-05 19:58:26.166806
