kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,yp5uXp3h2prRjH9b0yiOtztvf1Q,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLlNXZWR1RTZKVTRJ,2023-06-05T15:00:21Z,UCqbz_4hrf2D58UFBOleuFnQ,COMO A BLAZE USA INFLUENCIADORES E SOME COM DINHEIRO DOS USUÁRIOS,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/SWeduE6JU4I/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,0,youtube#video,SWeduE6JU4I,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,Vlt5cbr4r53M_k5TcnMRRBZYV6E,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLl9abjRkc3RwOXYw,2023-06-04T15:00:17Z,UCqbz_4hrf2D58UFBOleuFnQ,CARRO DE LUXO DÁ AULA SOBRE CONSCIÊNCIA DE CLASSE,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_Zn4dstp9v0/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,1,youtube#video,_Zn4dstp9v0,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,Pbn5dVzBEoBrFxCI4935bChAg0A,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLjg5SldKQkg5YzZV,2023-06-03T15:00:05Z,UCqbz_4hrf2D58UFBOleuFnQ,RICOS DE ALPHAVILLE MOSTRAM AS DIFICULDADES DA RIQUEZA,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/89JWJBH9c6U/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,2,youtube#video,89JWJBH9c6U,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,ApeKndjGZ-UnZ1vPieq8zTPQVN4,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLmRzNHloOXA3OEs4,2023-06-02T15:00:29Z,UCqbz_4hrf2D58UFBOleuFnQ,JORNALISTA MOSTRA RELAÇÕES DA LAVA JATO COM OS ESTADOS UNIDOS DA AMÉRICA,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ds4yh9p78K8/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,3,youtube#video,ds4yh9p78K8,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,miJhMDxaAild4BgOkgN2bl8kzJI,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLktBNktTZU1PR2ln,2023-06-01T15:01:25Z,UCqbz_4hrf2D58UFBOleuFnQ,PABLO MARÇAL EXPLICA POR QUE VOCÊ É UM WINDOWS XP,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/KA6KSeMOGig/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,4,youtube#video,KA6KSeMOGig,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,Ijyy0LZ6k-pGjonb3ShvBR_L2mY,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLm8tZlJXRnZ1SmJB,2023-05-31T15:33:19Z,UCqbz_4hrf2D58UFBOleuFnQ,GALÃS FEIOS DEFENDEM A NECESSIDADE DO NOVO TETO DE GASTOS,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/o-fRWFvuJbA/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,5,youtube#video,o-fRWFvuJbA,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,vLQC_pqxxwJgVUGYFnzcj5A8Xig,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLmw5X0FHMXRCTEk4,2023-05-30T15:00:38Z,UCqbz_4hrf2D58UFBOleuFnQ,PROFESSOR COMENTA A REFORMA DO ENSINO MÉDIO,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/l9_AG1tBLI8/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,6,youtube#video,l9_AG1tBLI8,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,D9w0jwKqmQ1bFGb4IA5rKAxdeP0,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLjFpMDYxS3BHbFNB,2023-05-29T15:00:01Z,UCqbz_4hrf2D58UFBOleuFnQ,PETER JORDAN DÁ SUA OPINIÃO SOBRE LACRAÇÃO EM HOLLYWOOD,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/1i061KpGlSA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1i061KpGlSA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1i061KpGlSA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1i061KpGlSA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1i061KpGlSA/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,7,youtube#video,1i061KpGlSA,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,BAbbOwMmtIA1eJsHnIK8x-6mObc,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLjhvWFI2M2xtdVVz,2023-05-28T15:11:18Z,UCqbz_4hrf2D58UFBOleuFnQ,VELHOS DA LANCHA MOSTRAM SUAS LANCHAS,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/8oXR63lmuUs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8oXR63lmuUs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8oXR63lmuUs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8oXR63lmuUs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8oXR63lmuUs/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,8,youtube#video,8oXR63lmuUs,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
youtube#playlistItem,bu12w0CPcAtts7SjoJvRuroC750,VVVxYnpfNGhyZjJENThVRkJPbGV1Rm5RLjFNd0puYzFvdjAw,2023-05-27T15:00:02Z,UCqbz_4hrf2D58UFBOleuFnQ,PROFESSOR EXPLICA RELAÇÃO ENTRE EDUCAÇÃO FISICA E IDEOLOGIA DE DIREITA,"Gostou do vídeo? Não se esquece de deixar seu joinha e se inscrever no canal!

Comente aqui qual foi o ""melhor argumento"" usado e qual é o próximo vídeo que você gostaria de ver eu respondendo aqui no canal? 
Gostou do conteúdo e quer ajudar o canal a crescer? Considere se tornar um apoiador do Apoia-Se pelo link www.apoia.se/historiacabeluda 

Caso não possa contribuir mensalmente mas quer ajudar, use a chave pix gustavo.gaiofato@gmail.com

Quer ver mais coisas relacionadas ao COLUNISMO?
Acesse o Instagram e o Spotify ""História Cabeluda""!","{'url': 'https://i.ytimg.com/vi/1MwJnc1ov00/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1MwJnc1ov00/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1MwJnc1ov00/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1MwJnc1ov00/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1MwJnc1ov00/maxresdefault.jpg', 'width': 1280, 'height': 720}",História Cabeluda,UUqbz_4hrf2D58UFBOleuFnQ,9,youtube#video,1MwJnc1ov00,História Cabeluda,UCqbz_4hrf2D58UFBOleuFnQ,EAAaBlBUOkNESQ,2023-06-05 20:04:49.651736
