kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,uYvvkdLjMH0Ls7juy6r9sVnACeE,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LmZfaXVrTFd6MURr,2023-06-05T21:00:08Z,UC3qAUf53j_dUv09jH7jsUJw,"JOVEM DE NEGÓCIOS EXPLICA O COMUNISMO E ANARCOCAPITALISMO NA PRÁTICA, VEJA NO QUE DEU","Jovem de Negócios tentou explicar o comunismo e o anarcocapitalismo, só que apenas criou uma caricatura engraçada.","{'url': 'https://i.ytimg.com/vi/f_iukLWz1Dk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/f_iukLWz1Dk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/f_iukLWz1Dk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/f_iukLWz1Dk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/f_iukLWz1Dk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,0,youtube#video,f_iukLWz1Dk,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,pDvdjbzx78RYLPsOO3mTzVucv-E,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3Lkg2cjBuX29YWHlr,2023-06-05T14:20:49Z,UC3qAUf53j_dUv09jH7jsUJw,Bolsonaro será preso.,,"{'url': 'https://i.ytimg.com/vi/H6r0n_oXXyk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/H6r0n_oXXyk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/H6r0n_oXXyk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/H6r0n_oXXyk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/H6r0n_oXXyk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,1,youtube#video,H6r0n_oXXyk,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,m_BNVRlaOu2DI-oMXdldUlyN60M,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LlZXdnBWZDhUUFRj,2023-06-05T01:56:24Z,UC3qAUf53j_dUv09jH7jsUJw,VENEZUELA: DITADURA OU DEMOCRACIA? | GIRO DE NOTÍCIAS DA SEMANA,"Nessa semana destaque para a vinda de Maduro ao Brasil, além da repercussão da aprovação do Arcabouço de Haddad, e de mais problemas para Bolsonaro e para os bolsonaristas.

Minutagem:

0:00 - Início;
2:26 - Bolsonaro e o calote bilionário na Caixa;
5:44 - CNJ vai apurar irregularidades no TRF4;
11:04 - Tebet diz que Haddad jogou ""granada sem pino no próprio colo"";
25:25 - Lula enfrenta e indica Zanin para o STF;
27:43 - Procuradora reclama do salário de 40k;
35:23 - Lira vs Lula na MP dos ministérios;
45:39 - Brasil cresce 1,9% no trimestre;
52:30 - Avião de tio de Demares é apreendido com 290kg de maconha;
54:36 - Venezuela é ditadura ou democracia?
1:04:02 - Rio Grande do Sul terá a primeira biorefinaria do Brasil;
1:05:36 - Vibra pode vender a BR Distribuidora;
1:07:40 - Acelen diz que investimento de 12 bilhões está ameaçado;
1:09:13 - Perguntas.","{'url': 'https://i.ytimg.com/vi/VWvpVd8TPTc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/VWvpVd8TPTc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/VWvpVd8TPTc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/VWvpVd8TPTc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/VWvpVd8TPTc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,2,youtube#video,VWvpVd8TPTc,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,jlEsG8EajiJgvQXIyS9-iMnDvu0,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LloxYS1Id0k2QjJF,2023-06-02T21:00:09Z,UC3qAUf53j_dUv09jH7jsUJw,DANILO GENTILI REVELA MEDO DO SEU HUMOR DESAPARECEER,"Danilo Gentili está percebendo que está ficando obsoleto em relação ao humor, o que isso significa?","{'url': 'https://i.ytimg.com/vi/Z1a-HwI6B2E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Z1a-HwI6B2E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Z1a-HwI6B2E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Z1a-HwI6B2E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Z1a-HwI6B2E/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,3,youtube#video,Z1a-HwI6B2E,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,MoX6kN4oZqy4ZfoKhWV1tSYlk98,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LkdMMENDNUktOXVN,2023-06-02T14:19:03Z,UC3qAUf53j_dUv09jH7jsUJw,Sobre a inveja nos comunistas,,"{'url': 'https://i.ytimg.com/vi/GL0CC5I-9uM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GL0CC5I-9uM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GL0CC5I-9uM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GL0CC5I-9uM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GL0CC5I-9uM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,4,youtube#video,GL0CC5I-9uM,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,QeVTutBgwGcL-Z9XXCXSVi9_8QM,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LnBTZ1pzWm9JeFhn,2023-05-31T21:00:09Z,UC3qAUf53j_dUv09jH7jsUJw,EDUARDO MOREIRA AVALIA O GOVERNO LULA: SURPREENDENTE O QUE ELE DISSE,Reagi ao Eduardo Morenira comentando notícias da política desses primeiros meses do Governo Lula III.,"{'url': 'https://i.ytimg.com/vi/pSgZsZoIxXg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/pSgZsZoIxXg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/pSgZsZoIxXg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/pSgZsZoIxXg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/pSgZsZoIxXg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,5,youtube#video,pSgZsZoIxXg,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,NTGaFUMIp64uO_a7AM3zczbbDq4,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LjhiRXFiVFNXbXNN,2023-05-31T14:18:42Z,UC3qAUf53j_dUv09jH7jsUJw,Bolsonaro transformou a Petrobras em comitê eleitoral,,"{'url': 'https://i.ytimg.com/vi/8bEqbTSWmsM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8bEqbTSWmsM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8bEqbTSWmsM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8bEqbTSWmsM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8bEqbTSWmsM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,6,youtube#video,8bEqbTSWmsM,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,qZbml7hcRXT3oonQl71bPAhTvGo,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LjJZUW5sTzNESEFF,2023-05-30T14:16:12Z,UC3qAUf53j_dUv09jH7jsUJw,Como funciona o racismo estrutural,,"{'url': 'https://i.ytimg.com/vi/2YQnlO3DHAE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2YQnlO3DHAE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2YQnlO3DHAE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2YQnlO3DHAE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2YQnlO3DHAE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,7,youtube#video,2YQnlO3DHAE,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,htE-WW4g6FN8FLpdDaVf7TlAtgo,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LnE2Wnd6eGotWXRr,2023-05-29T21:00:08Z,UC3qAUf53j_dUv09jH7jsUJw,"LIBERAL SURTA COM LUIDE POR CAUSA DO PRIMO RICO | MAMAEFALEI VS HUMBERTO, TERÁ DEBATE?","Liberal se queixa da ridicularização do Primo Rico e ataca Luide Matos. Mais, vai ter ou não o debate entre Humberto e Mamaefalei.","{'url': 'https://i.ytimg.com/vi/q6Zwzxj-Ytk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/q6Zwzxj-Ytk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/q6Zwzxj-Ytk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/q6Zwzxj-Ytk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/q6Zwzxj-Ytk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,8,youtube#video,q6Zwzxj-Ytk,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
youtube#playlistItem,FkVYmkIfeibg6kCRhcvjGiEHW0U,VVUzcUFVZjUzal9kVXYwOWpIN2pzVUp3LktPdHFEU19QanFB,2023-05-29T14:13:42Z,UC3qAUf53j_dUv09jH7jsUJw,Qual a função política das mentiras sobre a Coreia Popular?,,"{'url': 'https://i.ytimg.com/vi/KOtqDS_PjqA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/KOtqDS_PjqA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/KOtqDS_PjqA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/KOtqDS_PjqA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/KOtqDS_PjqA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Humberto Matos,UU3qAUf53j_dUv09jH7jsUJw,9,youtube#video,KOtqDS_PjqA,Humberto Matos,UC3qAUf53j_dUv09jH7jsUJw,EAAaBlBUOkNESQ,2023-06-05 20:03:45.097789
