kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,DmjWk82uVyz8ZRw_hsCV8hORjI0,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLllRaW84b3hyUW04,2023-05-31T23:43:15Z,UCopn0-PSrENjaa6w6BKzaGg,QUEBRA PAU AO VIVO!! FLAVIO DINO  VAI A CAMARA E ENFRENTA BOLSONARISTAS,,"{'url': 'https://i.ytimg.com/vi/YQio8oxrQm8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YQio8oxrQm8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YQio8oxrQm8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YQio8oxrQm8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YQio8oxrQm8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,0,youtube#video,YQio8oxrQm8,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,pXSPR10EuHEyxk415ZyZGL2wLs8,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLks3d1ZOQ1NjSjNn,2023-05-31T23:22:58Z,UCopn0-PSrENjaa6w6BKzaGg,QUEBRA PAU AO VIVO!!  FLAVIO DINO ENFRENTA BOLSONARISTAS AGORA NO SENADO,,"{'url': 'https://i.ytimg.com/vi/K7wVNCScJ3g/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/K7wVNCScJ3g/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/K7wVNCScJ3g/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/K7wVNCScJ3g/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/K7wVNCScJ3g/maxresdefault.jpg', 'width': 1280, 'height': 720}",Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,1,youtube#video,K7wVNCScJ3g,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,hjEAbKLqa7GI_47HPmSUknEvbtw,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLnJ4d1dOTlY3ZHBz,2023-05-31T00:44:01Z,UCopn0-PSrENjaa6w6BKzaGg,QUEBRA PAU AO VIVO!! MINISTRO DOS DIREITOS HUMANOS ENFRENTA BOLSONARISTAS AGORA NA CAMARA,,"{'url': 'https://i.ytimg.com/vi/rxwWNNV7dps/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/rxwWNNV7dps/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/rxwWNNV7dps/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/rxwWNNV7dps/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/rxwWNNV7dps/maxresdefault.jpg', 'width': 1280, 'height': 720}",Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,2,youtube#video,rxwWNNV7dps,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,B_RrQipgVHlQJL9DfPoZB1ieVRM,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLkJPamRpM0ptWXVV,2023-05-30T18:20:19Z,UCopn0-PSrENjaa6w6BKzaGg,QUEBRA PAU AO VIVO!!  FLAVIO DINO ENFRENTA BOLSONARISTAS AGORA NO SENADO,,"{'url': 'https://i.ytimg.com/vi/BOjdi3JmYuU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BOjdi3JmYuU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BOjdi3JmYuU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BOjdi3JmYuU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/BOjdi3JmYuU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,3,youtube#video,BOjdi3JmYuU,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,LbvtArsqVOBuIT640TTWgGO88dc,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLm5WaDZwc2h4UEd3,2023-05-30T12:15:13Z,UCopn0-PSrENjaa6w6BKzaGg,QUEBRA PAU AO VIVO!! FLAVIO DINO  VAI A CAMARA E ENFRENTA BOLSONARISTAS,,"{'url': 'https://i.ytimg.com/vi/nVh6pshxPGw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/nVh6pshxPGw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/nVh6pshxPGw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/nVh6pshxPGw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/nVh6pshxPGw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,4,youtube#video,nVh6pshxPGw,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,oSXPUdJdl4sel1vxaDfQYAkpnLc,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLlVtcmhMa1VSeTgw,2023-05-29T13:50:00Z,UCopn0-PSrENjaa6w6BKzaGg,QUEBRA PAU AO VIVO! BOLSONARISTAS TENTARAM LACRAR NA CÂMARA E ACABARAM HUMILHADOS NO PLENÁRIO,,"{'url': 'https://i.ytimg.com/vi/UmrhLkURy80/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/UmrhLkURy80/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/UmrhLkURy80/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/UmrhLkURy80/sddefault.jpg', 'width': 640, 'height': 480}",,Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,5,youtube#video,UmrhLkURy80,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,Z0rMWvSBgIyisx8i0kkEUIHHUrI,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLjRPSjRVNnRjU19v,2023-05-29T12:49:30Z,UCopn0-PSrENjaa6w6BKzaGg,"ISSO ARREBENTOU BOLSONARO DE VEZ! LULA ESFREGA VERDADES NA CARA DOS GENERAIS,  GADOS NÃO ESPERAVAM",,"{'url': 'https://i.ytimg.com/vi/4OJ4U6tcS_o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/4OJ4U6tcS_o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/4OJ4U6tcS_o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/4OJ4U6tcS_o/sddefault.jpg', 'width': 640, 'height': 480}",,Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,6,youtube#video,4OJ4U6tcS_o,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,cxxYGGqKiOOaW4a9XFxr2Fr7F-8,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLlRfblQ2LTV5dUFR,2023-05-28T13:20:20Z,UCopn0-PSrENjaa6w6BKzaGg,ELE PERDEU TUDO! LULA VENCEU! MALAFAIA PAGOU MUITO CARO! FOI ATACAR LULA E RECEBEU NA CARA A LAPADA,,"{'url': 'https://i.ytimg.com/vi/T_nT6-5yuAQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/T_nT6-5yuAQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/T_nT6-5yuAQ/hqdefault.jpg', 'width': 480, 'height': 360}",,,Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,7,youtube#video,T_nT6-5yuAQ,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,LwQEKyOEvdn00n_l7yzFTeVaZGU,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLlg3dWRvVDRUS3JF,2023-05-27T14:32:00Z,UCopn0-PSrENjaa6w6BKzaGg,"ESFOLADO AI VIVO!! NIKOLAS FERREIRA TIMA NA CARA DE JANONES OLHO NO OLHO, VEJA NA ÍNTEGRA",,"{'url': 'https://i.ytimg.com/vi/X7udoT4TKrE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/X7udoT4TKrE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/X7udoT4TKrE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/X7udoT4TKrE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/X7udoT4TKrE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,8,youtube#video,X7udoT4TKrE,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
youtube#playlistItem,CLSENMlX1KBVOp8o7TMahxxNMs8,VVVvcG4wLVBTckVOamFhNnc2Qkt6YUdnLmNiZ2E5ZWkwM3Fr,2023-05-27T13:30:13Z,UCopn0-PSrENjaa6w6BKzaGg,DEPORTADO!! ALLAN DOS SANTOS FOI ZOMBAR DE LULA E DA JUSTIÇA E SE FERROU!! EUA PREPARA DEPORTAÇÃO,,"{'url': 'https://i.ytimg.com/vi/cbga9ei03qk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cbga9ei03qk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cbga9ei03qk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cbga9ei03qk/sddefault.jpg', 'width': 640, 'height': 480}",,Informa Brasil,UUopn0-PSrENjaa6w6BKzaGg,9,youtube#video,cbga9ei03qk,Informa Brasil,UCopn0-PSrENjaa6w6BKzaGg,EAAaBlBUOkNESQ,2023-06-06 00:50:56.580414
