kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,2fYpcSYQkWWMclOaOfvoapbbtnc,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLnRzc1N3NkU1a29R,2023-06-05T21:00:35Z,UCaIqJHHo9TJiLINzOFJRl2Q,NOVOS INDÍCIOS LIGAM DESVIO DE ORÇAMENTO SECRETO A ARTHUR LIRA - ICL NOTÍCIAS 2 AO VIVO HOJE,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/tssSw6E5koQ/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tssSw6E5koQ/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tssSw6E5koQ/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tssSw6E5koQ/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tssSw6E5koQ/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,0,youtube#video,tssSw6E5koQ,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,CE-Ig8RSdDdT-mBAUBJardk4tP4,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLmNxUHBsYUZGRDY0,2023-06-05T15:00:21Z,UCaIqJHHo9TJiLINzOFJRl2Q,O maior crime eleitoral da história,"Assista o ICL Notícias na Íntegra: https://youtube.com/live/H-5veMxKs0E

👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/cqPplaFFD64/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cqPplaFFD64/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cqPplaFFD64/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cqPplaFFD64/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/cqPplaFFD64/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,1,youtube#video,cqPplaFFD64,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,y0vu8r6PUfBh7sGr-EcxG68OKZw,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLjY4ejlodlNzM1FZ,2023-06-05T13:55:18Z,UCaIqJHHo9TJiLINzOFJRl2Q,05/06 - DOCUMENTOS DA CGU APONTAM PARA MAIOR ESQUEMA DE COMPRA DE VOTOS DA HISTÓRIA - ICL NOTÍCIAS,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/68z9hvSs3QY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/68z9hvSs3QY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/68z9hvSs3QY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/68z9hvSs3QY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/68z9hvSs3QY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,2,youtube#video,68z9hvSs3QY,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,A8wxnUXFLWO7eJFR65CcR73ZXvI,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLmpiakRtYV9KLTNn,2023-06-05T13:39:44Z,UCaIqJHHo9TJiLINzOFJRl2Q,É preciso denunciar: essa isenção tributária é ABSURDA!,"Assista o ICL Notícias na Íntegra: https://youtube.com/live/H-5veMxKs0E

👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/jbjDma_J-3g/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jbjDma_J-3g/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jbjDma_J-3g/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jbjDma_J-3g/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jbjDma_J-3g/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,3,youtube#video,jbjDma_J-3g,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,tXyzPPDJDGy9vuDqfy0I0d-nw8s,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLmM3T3RBdEUzMFhn,2023-06-05T11:05:34Z,UCaIqJHHo9TJiLINzOFJRl2Q,05/06 - BOLSONARO GASTOU R$ 6 BILHÕES EM BUSCA DE VOTOS - DESPERTA ICL COM LEANDRO DEMORI,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/

⌛Live Minutada 
00:00 - Inscreva-se no canal!
00:10 - Sejam bem-vindos ao Desperta ICL
02:45 - Internet de Elon Musk chega a garimpos ilegais e a só 3 escolas da Amazônia
20:09 - Bruno e Dom: presos, suspeitos de matar dupla são indiciados pelo crime
29:14 - Auditorias do CGU apontam bilhões de pagamentos indevidos de programas como Auxílio Brasil
41:00 - CPMI dos atos golpistas: igrejas suspeitas de financiar golpe serão investigadas
43:08 - Arábia Saudita anuncia corte de 1 milhão de barris de petróleo por dia
46:35 - Juscelino Filho entregou gabinete para sogro
48:30 - Motorista de ex-assessor de Lira é suspeito de receber dinheiro de kits de robótica
54:16 - Nelson Piquet, condenado a pagar R$5 milhões por racismo e homofobia, tem recurso negado
1:01:30 - Encerramento

#despertaicl #cpmi #cgu","{'url': 'https://i.ytimg.com/vi/c7OtAtE30Xg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/c7OtAtE30Xg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/c7OtAtE30Xg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/c7OtAtE30Xg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/c7OtAtE30Xg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,4,youtube#video,c7OtAtE30Xg,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,wqOPIZSjxIV8ymB7t1BGwXkfUIo,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLk80LTJOMzRQTmJr,2023-06-05T00:40:19Z,UCaIqJHHo9TJiLINzOFJRl2Q,TEOLOGIA NEGRA - ESPIRITUALIDADE NA AÇÃO AO VIVO HOJE COM FREI DAVI,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: / iclcortes  
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/O4-2N34PNbk/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/O4-2N34PNbk/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/O4-2N34PNbk/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/O4-2N34PNbk/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/O4-2N34PNbk/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,5,youtube#video,O4-2N34PNbk,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,lYlAw38htImQ3NzktaM-uKIickQ,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLnAwalpSZEtJZTFB,2023-06-02T23:32:03Z,UCaIqJHHo9TJiLINzOFJRl2Q,QUEM SAI MAIS FORTE DA DISPUTA ENTRE LULA E LIRA - ICL NOTÍCIAS 2 AO VIVO HOJE COM CHICO PINHEIRO,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/p0jZRdKIe1A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/p0jZRdKIe1A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/p0jZRdKIe1A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/p0jZRdKIe1A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/p0jZRdKIe1A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,6,youtube#video,p0jZRdKIe1A,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,pZiUwfI9OLlAaO1Cywb_3ynOX88,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLkE2ZzU4RzhFM1o0,2023-06-02T14:15:06Z,UCaIqJHHo9TJiLINzOFJRl2Q,02/06 - OPERAÇÃO DA PF DESCOBRE QUANTIA ASSUSTADORA COM ALIADOS - ICL NOTÍCIAS COM EDU MOREIRA,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/A6g58G8E3Z4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/A6g58G8E3Z4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/A6g58G8E3Z4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/A6g58G8E3Z4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/A6g58G8E3Z4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,7,youtube#video,A6g58G8E3Z4,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,xd669pES4ctVTd8Y-sjU88lR59I,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLk5Zb2h4MWJ1WF93,2023-06-02T11:23:55Z,UCaIqJHHo9TJiLINzOFJRl2Q,🚨 Estamos ao vivo! Assista agora acessando o canal!,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/NYohx1buX_w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NYohx1buX_w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NYohx1buX_w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NYohx1buX_w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NYohx1buX_w/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,8,youtube#video,NYohx1buX_w,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
youtube#playlistItem,1SzLKG9YQF52Z3plHutHG62WxKA,VVVhSXFKSEhvOVRKaUxJTnpPRkpSbDJRLkdyd2I5ZDM2SHVz,2023-06-02T11:08:48Z,UCaIqJHHo9TJiLINzOFJRl2Q,02/06 - A MONTANHA DE DINHEIRO DOS ALIADOS DE LIRA - DESPERTA ICL COM LEANDRO DEMORI,"👉📱 Receba nossos vídeos pelo WhatsApp e compartilhe: https://icl.com.br/grupo

📣 Seja um membro do Instituto Conhecimento Liberta: https://icl1.com.br/yt-icl-pv/

📱 Faça parte de um dos nossos grupos para receber lembretes exclusivos sobre as Lives!

👉 WhatsApp:  https://edu1.com.br/live-whatsapp​​​​​​ 
👉 Telegram: https://edu1.com.br/live-telegram/​​​

🎧 Ouça o ICL Notícias nas plataformas de áudio:
🟢 Spotify: https://icl1.com.br/spotify/
🟠 Deezer: https://icl1.com.br/deezer/

📌 Acesse os nossos canais de cortes + ICL Notícias:
🎬 Youtube: https://www.youtube.com/c/ICLCortes
📷 Instagram: https://www.instagram.com/icl.noticias/
🎥 TikTok: https://www.tiktok.com/@iclnoticias
💬 Twitter: https://twitter.com/ICLNoticias

📌 Curta também as redes sociais do Instituto Conhecimento Liberta:
Instagram: https://icl1.com.br/ig-icl/
Facebook: https://icl1.com.br/fb-icl/","{'url': 'https://i.ytimg.com/vi/Grwb9d36Hus/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Grwb9d36Hus/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Grwb9d36Hus/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Grwb9d36Hus/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Grwb9d36Hus/maxresdefault.jpg', 'width': 1280, 'height': 720}",Instituto Conhecimento Liberta,UUaIqJHHo9TJiLINzOFJRl2Q,9,youtube#video,Grwb9d36Hus,Instituto Conhecimento Liberta,UCaIqJHHo9TJiLINzOFJRl2Q,EAAaBlBUOkNESQ,2023-06-05 19:58:32.938697
