kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,s386MeoxXqSfVQshVawPt175czc,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLjg2REhuc0t1el9r,2023-06-06T01:26:37Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro: Agradecimento a Deus por minha vida!,,"{'url': 'https://i.ytimg.com/vi/86DHnsKuz_k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/86DHnsKuz_k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/86DHnsKuz_k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/86DHnsKuz_k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/86DHnsKuz_k/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,0,youtube#video,86DHnsKuz_k,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,23M7exn8vBJglwgarUtiIv4lpfI,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLm1iSEdpbkQ1N0lj,2023-06-04T21:57:31Z,UC8hGUtfEgvvnp6IaHSAg1OQ,O que é a esquerda?,,"{'url': 'https://i.ytimg.com/vi/mbHGinD57Ic/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mbHGinD57Ic/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mbHGinD57Ic/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mbHGinD57Ic/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mbHGinD57Ic/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,1,youtube#video,mbHGinD57Ic,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,jYVLgX1wTDvUK-VFnC-TIt2pB2A,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLm5hbTBCSXkyTzZF,2023-06-02T13:45:06Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro e muitos de seus objetivos cumpridos!,,"{'url': 'https://i.ytimg.com/vi/nam0BIy2O6E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/nam0BIy2O6E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/nam0BIy2O6E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/nam0BIy2O6E/sddefault.jpg', 'width': 640, 'height': 480}",,Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,2,youtube#video,nam0BIy2O6E,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,pXYM8b4Q3N3KDEDaNYg9BXmPmCc,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLjg4QnpYV0dIZ3Uw,2023-05-31T17:19:31Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Gestão Jair Bolsonaro que não sairá na rede globo:,,"{'url': 'https://i.ytimg.com/vi/88BzXWGHgu0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/88BzXWGHgu0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/88BzXWGHgu0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/88BzXWGHgu0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/88BzXWGHgu0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,3,youtube#video,88BzXWGHgu0,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,GLcWJsV7q5p7WUJIfVG0wh6CzzQ,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLjFDeGd6UWNsR3kw,2023-05-30T13:09:13Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Querem tanto silenciar a internet para que criem suas mentiras incontestáveis!,,"{'url': 'https://i.ytimg.com/vi/1CxgzQclGy0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1CxgzQclGy0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1CxgzQclGy0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1CxgzQclGy0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1CxgzQclGy0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,4,youtube#video,1CxgzQclGy0,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,nDkmN4DodyhHQeCrP7PlEQGEuKY,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLmJkYTlrcGVTS2xB,2023-05-29T14:13:38Z,UC8hGUtfEgvvnp6IaHSAg1OQ,- Março 2019 / Participação Brasileira e Americana frente à ditadura venezuelana.,,"{'url': 'https://i.ytimg.com/vi/bda9kpeSKlA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/bda9kpeSKlA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/bda9kpeSKlA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/bda9kpeSKlA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/bda9kpeSKlA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,5,youtube#video,bda9kpeSKlA,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,AyxwXd4vD1lpj-PJQ6nNN7UMJs4,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLkx4c2VaNWk0Z1F3,2023-05-28T13:00:45Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Quando a verdade não pode ser manipulada:,,"{'url': 'https://i.ytimg.com/vi/LxseZ5i4gQw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/LxseZ5i4gQw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/LxseZ5i4gQw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/LxseZ5i4gQw/sddefault.jpg', 'width': 640, 'height': 480}",,Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,6,youtube#video,LxseZ5i4gQw,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,LHPP1ITEQty9N2ilalbv7HpLggw,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLlRNWFh1cnRveWJv,2023-05-26T20:09:55Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Porque o MST não agiu no governo Bolsonaro. Detalhes também na descrição ⬇️,". 420 mil títulos concedidos;

- Inclusão dos assentados na Agricultura Familiar;

- Porte de arma permitido para todo o perímetro da propriedade;

- Princípio da autoridade.","{'url': 'https://i.ytimg.com/vi/TMXXurtoybo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/TMXXurtoybo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/TMXXurtoybo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/TMXXurtoybo/sddefault.jpg', 'width': 640, 'height': 480}",,Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,7,youtube#video,TMXXurtoybo,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,ITSmioO5YToF5ON95NbGXL6CTw8,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLlNMSGVkajdhbXJr,2023-05-25T10:12:49Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Vencemos e Venceremos!,,"{'url': 'https://i.ytimg.com/vi/SLHedj7amrk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/SLHedj7amrk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/SLHedj7amrk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/SLHedj7amrk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/SLHedj7amrk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,8,youtube#video,SLHedj7amrk,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
youtube#playlistItem,rhoOhK6K40qCQbxvsfLIPSZN9Cg,VVU4aEdVdGZFZ3Z2bnA2SWFIU0FnMU9RLnpvRmpTSkg5cmIw,2023-05-23T23:25:59Z,UC8hGUtfEgvvnp6IaHSAg1OQ,Grato pela consideração das colocações ao longo do curto vídeo.  👍🇧🇷,,"{'url': 'https://i.ytimg.com/vi/zoFjSJH9rb0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zoFjSJH9rb0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zoFjSJH9rb0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zoFjSJH9rb0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zoFjSJH9rb0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jair Bolsonaro,UU8hGUtfEgvvnp6IaHSAg1OQ,9,youtube#video,zoFjSJH9rb0,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,EAAaBlBUOkNESQ,2023-06-06 00:29:12.311209
