kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,mIDV3dxi5WfPsVlrBLP_15ksPzA,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLmVHTWJSN0VGQVdF,2023-06-05T19:35:58Z,UC-6xqzMBF2CXTImn_a4aCVg,"Ponte de R$ 1 bilhão desaba pela segunda vez em um ano, na Índia","Uma ponte suspensa desabou pela segunda vez em pouco mais de um ano na Índia. A estrutura com quatro pistas para automóveis sobre o Rio Ganges, em Bihar, veio abaixo nesta segunda-feira.
Havia oito pessoas na ponte no momento do desabamento. 

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/eGMbR7EFAWE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eGMbR7EFAWE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eGMbR7EFAWE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eGMbR7EFAWE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eGMbR7EFAWE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,0,youtube#video,eGMbR7EFAWE,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,7nGMmlG4WuTuDym5pYsK2axcYuE,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLkFjVHM1RGt6SXFr,2023-06-05T16:25:46Z,UC-6xqzMBF2CXTImn_a4aCVg,"TV russa é hackeada, e soldados ucranianos surgem na tela fazendo sinal de silêncio","Uma TV russa foi hackeada com um vídeo insultando Putin sobre o início do contra-ataque da Ucrânia em meio a alegações de que o tão esperado ataque havia começado. A filmagem divulgada pelo Ministério da Defesa da Ucrânia mostra um grupo de soldados com um indicador na frente dos lábios com a legenda: ""Planos gostam de silêncio"". ""Não haverá anúncio de 'está começando'"", acrescentou a legenda.

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/AcTs5DkzIqk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/AcTs5DkzIqk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/AcTs5DkzIqk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/AcTs5DkzIqk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/AcTs5DkzIqk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,1,youtube#video,AcTs5DkzIqk,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,1tyjEjn3bCTbqezh-VNQFdcm0UM,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLkt1LVdWd3NnVHYw,2023-06-05T14:07:28Z,UC-6xqzMBF2CXTImn_a4aCVg,'Boom supersônico': vídeos flagram estrondo de caças F-16 que perseguiram avião nos EUA,"Um ""boom supersônico"" chamou a atenção de moradores de Washington, neste domingo. O Escritório de Gerenciamento de Emergências de Annapolis confirmou que o estrondo foi causado pelo voo de caças F-16 durante uma perseguição a um avião que invadiu o espaço aéreo da capital americana. Os militares foram acionados depois que a tripulação da aeronave não atendeu chamados pelo rádio. O avião acabou caindo sobre montanhas do estado da Virgínia.

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/Ku-WVwsgTv0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Ku-WVwsgTv0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Ku-WVwsgTv0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Ku-WVwsgTv0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Ku-WVwsgTv0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,2,youtube#video,Ku-WVwsgTv0,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,hRE5QK-V-aUuy88PJw6uj9H4tu8,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLk16NmVHOWV5dm1B,2023-06-05T13:12:14Z,UC-6xqzMBF2CXTImn_a4aCVg,"Biometria facial é novidade em pagamentos, depois de Pix, cartões e celulares","Imagine entrar numa loja e poder fazer uma compra só com o rosto, sem precisar usar cartão ou celular? Isso já é possível no Brasil em algumas lojas e supermercados. A novidade, segundo especialistas, deve se popularizar nos próximos cinco anos, dando um novo uso até mesmo para as maquininhas de cartão.

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/Mz6eG9eyvmA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Mz6eG9eyvmA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Mz6eG9eyvmA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Mz6eG9eyvmA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Mz6eG9eyvmA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,3,youtube#video,Mz6eG9eyvmA,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,kmfvQs0O3PVcbtb4BQmWPfGb6xw,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLmk4bkFzMndQdU9v,2023-06-05T12:18:50Z,UC-6xqzMBF2CXTImn_a4aCVg,O debate sobre o 'PL do veneno' no Congresso I AO PONTO,"Em um momento de tensão envolvendo o setor ruralista e a área ambiental, um projeto de lei (PL) em tramitação no Senado tem o potencial de inflamar disputas. Se trata do PL 1.459/2022, também conhecido por ambientalistas como o ""PL do veneno"", que muda as regras para a liberação de agrotóxicos no Brasil, e é apontado como um risco à saúde de todos no país.
Pela proposta, aprovada na Câmara em fevereiro do ano passado, toda a fiscalização e liberação de agrotóxicos passa à alçada do Ministério da Agricultura — hoje, o processo passa também pelo Ibama e pela Anvisa, que passariam a ser apenas órgãos consultivos. Segundo estimativas, isso poderia reduzir um processo de liberação de novas substâncias que normalmente leva até oito anos para dois anos. Haveria também uma redução nos poderes locais, de estados e municípios, para estabelecerem suas próprias regras no setor.
O texto ainda está em tramitação nas comissões do Senado, e não há sequer um prazo para que seja levado a plenário. Para ambientalistas, sua aprovação seria um cenário assustador, uma vez que o país já vem de um período, o do governo do ex-presidente Jair Bolsonaro, em que a aprovação de pesticidas, muitos deles comprovadamente danosos à saúde e ao meio ambiente, foi acelerada. Nos últimos quatro anos, foram 2.182 novos agrotóxicos autorizados, o maior ritmo em um só mandato desde 2003.
A disputa promete ainda ter elementos políticos. Há setores no governo que são contra a medida, como o Ministério do Meio Ambiente, comandado por Marina Silva, e siglas de esquerda, mas a força da bancada do agro, demonstrada em votações recentes, pode prevalecer, e entregar novas derrotas a uma pasta que sofreu reveses recentes. Foi o caso, por exemplo, da aprovação do Marco Temporal das terras indígenas, na Câmara, e da própria MP dos Ministérios, que retirou atribuições do ministério.
O Ao Ponto começa a semana analisando o ""PL do veneno"", jogando luz sobre seus pontos mais polêmicos, suas chances de aprovação e por que os ambientalistas dizem que o texto é impossível de ser remendado ou transformado em uma proposta viável, ambientalmente falando. Neste episódio, as convidadas são a repórter Victoria Abel e a engenheira agrônoma do Greenpeace Brasil, Marina Lacôrte.


Spotify (https://spoti.fi/2LWcVDG)
iTunes (https://apple.co/2LUj2IJ)

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo","{'url': 'https://i.ytimg.com/vi/i8nAs2wPuOo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/i8nAs2wPuOo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/i8nAs2wPuOo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/i8nAs2wPuOo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/i8nAs2wPuOo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,4,youtube#video,i8nAs2wPuOo,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,no-SamlIimzTUG9Ur_ZNPIQ4xVE,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLmlnTmdfWTBPZzQw,2023-06-02T21:26:11Z,UC-6xqzMBF2CXTImn_a4aCVg,Taylor Swift anuncia shows em São Paulo e no Rio de Janeiro em novembro,"É oficial! A estrela pop Taylor Swift irá apresentar sua nova turnê, ""The Eras Tour"", no Brasil. A loirinha passará por São Paulo e Rio no próximo mês de novembro. O primeiro show acontece no dia 18 de novembro, no Estádio Nilton Santos (Engenhão), no Rio. Na sequência, serão duas apresentações em São Paulo, nos dias 25 e 26 de novembro, no Allianz Parque. O primeiro show acontece no dia 18 de novembro, no Estádio Nilton Santos (Engenhão), no Rio. Na sequência, serão duas apresentações em São Paulo, nos dias 25 e 26 de novembro, no Allianz Parque.

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/igNg_Y0Og40/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/igNg_Y0Og40/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/igNg_Y0Og40/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/igNg_Y0Og40/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/igNg_Y0Og40/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,5,youtube#video,igNg_Y0Og40,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,GTrrTmL_nz8M2exIY5JdPk6Hht0,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLnNaU0JNMkFZVW5j,2023-06-02T13:20:49Z,UC-6xqzMBF2CXTImn_a4aCVg,Grande tempestade de areia engole o Canal de Suez no Egito,"Uma pessoa morreu e outras cinco ficaram feridas nesta quinta-feira, quando um outdoor desabou em uma via principal após uma tempestade de areia que varreu a capital do Egito. Uma nuvem alaranjada cobriu Cairo obrigando os habitantes da cidade a se abrigarem para fugir dos fortes ventos que transportavam areia. Nas imagens, a grande tempestade de areia engole as embarcações no Canal de Suez. Dois portos ao longo do canal chegaram a ser fechados, por conta da ""condição climática"". Foram registrados ventos intensos e ondas altas.


ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/sZSBM2AYUnc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/sZSBM2AYUnc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/sZSBM2AYUnc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/sZSBM2AYUnc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/sZSBM2AYUnc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,6,youtube#video,sZSBM2AYUnc,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,53ZqaNTYv2R-4n4EYFmtX7DVVgc,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLlFXaXBvX1k3UV9B,2023-06-02T12:53:57Z,UC-6xqzMBF2CXTImn_a4aCVg,"Depois da MP, quais os desafios da relação de Lula com o Congresso I AO PONTO","A poucas horas do fim do prazo final para a votação da medida provisória (MP) que oficializava a formação da Esplanada dos Ministérios do governo Lula, o texto foi aprovado pelo Senado por uma confortável margem, 59 votos a favor e 11 contra. Mas a aparente tranquilidade dos senadores contrastava com a verdadeira batalha travada na Câmara nos dias e, especialmente, na noite anterior, quarta-feira, quando o texto correu o risco de ser derrotado, algo que poderia ter efeitos catastróficos para o Palácio do Planalto. Na reta final das discussões, o tom dos argumentos esquentou, e os deputados escolheram um alvo preferencial: a articulação política do governo, que já vinha sendo criticada desde os primeiros dias da atual legislatura. Parlamentares reclamam da demora na liberação de emendas, indicações para cargos e, especialmente, do que veem como uma falta de empenho de Lula nas negociações diretas com o Congresso. Na reta final das discussões da MP,  o presidente acabou entrando o circuito, e a intervenção foi considerada decisiva para a aprovação do texto na Câmara. Mas passada a ""batalha campal"" da quarta-feira, o presidente da Câmara, Arthur Lira(PP-AL), mandou alguns recados ao Planalto. A começar pela articulação, que ele e seus aliados veem como confusa e pouco eficaz — há ainda uma cobrança por uma maior participação do presidente Lula nas conversas, e a sempre presente sugestão de uma reforma ministerial, algo que o Planalto, ao menos por enquanto, diz que não está nos planos. O Ao Ponto de hoje destrincha os intensos dias que levaram à aprovação da MP dos Ministérios, e conta bastidores das conversas e uma análise do que esperar da tensa relação entre o Congresso e o Palácio do Planalto. E para explicar os muitos detalhes do que acontece no Planalto Central, o episódio traz o repórter Lauriberto Pompeu e o coordenador de Política da sucursal em Brasília, Thiago Faria.

Spotify (https://spoti.fi/2LWcVDG)
iTunes (https://apple.co/2LUj2IJ)

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo","{'url': 'https://i.ytimg.com/vi/QWipo_Y7Q_A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/QWipo_Y7Q_A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/QWipo_Y7Q_A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/QWipo_Y7Q_A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/QWipo_Y7Q_A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,7,youtube#video,QWipo_Y7Q_A,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,oRDaK9pFTL8UZ0SU3LM783YHdC8,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLkpoOG4zLWIwN3l3,2023-06-02T12:17:22Z,UC-6xqzMBF2CXTImn_a4aCVg,"Homem invade palestra, bate em médico e cita abuso de esposa: 'No Brasil, te mataria'","Agressor afirmou que mulher foi abusada sexualmente pelo ginecologista que participava de evento; organização do congresso diz que tem política contra assédio.

ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/Jh8n3-b07yw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Jh8n3-b07yw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Jh8n3-b07yw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Jh8n3-b07yw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Jh8n3-b07yw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,8,youtube#video,Jh8n3-b07yw,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
youtube#playlistItem,JBpU3zknFZitWPTPdnAqZkkH2jg,VVUtNnhxek1CRjJDWFRJbW5fYTRhQ1ZnLjE3SFVtYlg0eEJr,2023-06-01T14:35:42Z,UC-6xqzMBF2CXTImn_a4aCVg,Bebê de 10 meses finge desmaio para não receber limpeza nasal e vídeo viraliza,"O momento em que uma bebê de dez meses finge desmaio para não precisar fazer a lavagem nasal viralizou nas redes sociais nesta semana. Marina Marinho, mãe da pequena Maria Helena, gravou as ocasiões em que tentou aproximar a seringa para limpar o nariz da filha. Mas o que chamou a atenção no vídeo é que todas as vezes a menina usa a mesma tática para tentar escapar. “A Globo está perdendo essa atriz. Será que já é hora de colocar em um curso de teatro ou está cedo?”, escreveu a mãe, que mostrou ter levado a situação com muito bom-humor.


ASSINE O GLOBO: http://assineoglobo.globo.com/
INSCREVA-SE NO CANAL: http://bit.ly/2BQvqB4 

O SITE: https://www.oglobo.globo.com
OS PODCASTS: https://oglobo.globo.com/podcast/
O FACEBOOK: https://www.facebook.com/jornaloglobo
O TWITTER: https://twitter.com/jornaloglobo
O INSTAGRAM: https://www.instagram.com/jornaloglobo/
AS NEWSLETTERS: https://oglobo.globo.com/newsletter/c...","{'url': 'https://i.ytimg.com/vi/17HUmbX4xBk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/17HUmbX4xBk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/17HUmbX4xBk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/17HUmbX4xBk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/17HUmbX4xBk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Jornal O Globo,UU-6xqzMBF2CXTImn_a4aCVg,9,youtube#video,17HUmbX4xBk,Jornal O Globo,UC-6xqzMBF2CXTImn_a4aCVg,EAAaBlBUOkNESQ,2023-06-06 00:28:00.232148
