kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,EU6CdH8Gj9r4Lb2IRTB-QDmdcR0,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLlpRRVA3TlNlcDg0,2023-06-06T01:45:02Z,UCpHQyEuBXwYBvXC1_NResCg,PETISTAS ADMITEM: LULA perdeu sua HABILIDADE! #shorts,"CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/ZQEP7NSep84/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZQEP7NSep84/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZQEP7NSep84/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZQEP7NSep84/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ZQEP7NSep84/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,0,youtube#video,ZQEP7NSep84,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,IhDPv_7j8l315qt77oLR23Qk4lo,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLkJDMU56dktEYkhv,2023-06-06T01:30:04Z,UCpHQyEuBXwYBvXC1_NResCg,Procuradora RECLAMA de salário de R$41 MIL! #shorts,"CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/BC1NzvKDbHo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BC1NzvKDbHo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BC1NzvKDbHo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BC1NzvKDbHo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/BC1NzvKDbHo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,1,youtube#video,BC1NzvKDbHo,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,0uc7ECjTppn2cw8vpVGEGAnQGxs,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLkRtaVdOaWJtelVB,2023-06-06T01:15:00Z,UCpHQyEuBXwYBvXC1_NResCg,O PT gosta de PERSEGUIR ADVERSÁRIOS! #shorts,"CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/DmiWNibmzUA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/DmiWNibmzUA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/DmiWNibmzUA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/DmiWNibmzUA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/DmiWNibmzUA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,2,youtube#video,DmiWNibmzUA,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,_zq6SyEtm2dyzs3hWjbr07Qi6wo,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLmpBbWpSSzg0d0tN,2023-06-06T01:00:13Z,UCpHQyEuBXwYBvXC1_NResCg,Questão de TEMPO: o MORAES vai pra cima do PT! #shorts,"CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/jAmjRK84wKM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jAmjRK84wKM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jAmjRK84wKM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jAmjRK84wKM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jAmjRK84wKM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,3,youtube#video,jAmjRK84wKM,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,OBma4xx4VhrQ2Jv2aTOOspipWK4,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLk9kRFlJdkNLT1Vj,2023-06-05T21:00:33Z,UCpHQyEuBXwYBvXC1_NResCg,O GOLPE da BLAZE: A HIPOCRISIA do Felipe Neto!,"CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

O GOLPE da BLAZE: A HIPOCRISIA do Felipe Neto!

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/OdDYIvCKOUc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/OdDYIvCKOUc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/OdDYIvCKOUc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/OdDYIvCKOUc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/OdDYIvCKOUc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,4,youtube#video,OdDYIvCKOUc,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,ajfdZauc0ekDhDDAZDqMgpzPpQg,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLktrWXQzQXl6Zmlz,2023-06-05T15:00:13Z,UCpHQyEuBXwYBvXC1_NResCg,GLOBO passa pano de forma BIZARRA pro Lula!,"Inscreva-se no @MBLiveTV 

CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

GLOBO passa pano de forma BIZARRA pro Lula!

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/KkYt3Ayzfis/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/KkYt3Ayzfis/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/KkYt3Ayzfis/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/KkYt3Ayzfis/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/KkYt3Ayzfis/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,5,youtube#video,KkYt3Ayzfis,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,WhvyqcHNAPHy-bjXhFgOcZ2egOg,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLnJHWlF4MnlKUVpF,2023-06-04T21:00:20Z,UCpHQyEuBXwYBvXC1_NResCg,RELAÇÃO entre LULA e CONGRESSO vai PIORAR! | Corte do @MBLiveTV,"Inscreva-se no @MBLiveTV 

CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

RELAÇÃO entre LULA e CONGRESSO vai PIORAR!

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/rGZQx2yJQZE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/rGZQx2yJQZE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/rGZQx2yJQZE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/rGZQx2yJQZE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/rGZQx2yJQZE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,6,youtube#video,rGZQx2yJQZE,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,MoJCtqfm9v-gKeGw4nkJ4QHNkGQ,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLm1DS1JhTzBmNFVz,2023-06-04T15:00:38Z,UCpHQyEuBXwYBvXC1_NResCg,STF e LULA: MORAES pode se voltar CONTRA o PT!,"Inscreva-se no @MBLiveTV 

CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

STF e LULA: MORAES vai se voltar CONTRA o PT!

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/mCKRaO0f4Us/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mCKRaO0f4Us/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mCKRaO0f4Us/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mCKRaO0f4Us/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mCKRaO0f4Us/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,7,youtube#video,mCKRaO0f4Us,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,-a38U3IkQPfYpRokm52FLlpsF8o,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLkZMQi1VdnlqREEw,2023-06-03T21:00:06Z,UCpHQyEuBXwYBvXC1_NResCg,É POSSÍVEL derrubarmos o LULA?,"CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

É POSSÍVEL derrubarmos o LULA?

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/FLB-UvyjDA0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/FLB-UvyjDA0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/FLB-UvyjDA0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/FLB-UvyjDA0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/FLB-UvyjDA0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,8,youtube#video,FLB-UvyjDA0,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
youtube#playlistItem,15miEA4TerVIIsSM_xDWrgsh9V8,VVVwSFF5RXVCWHdZQnZYQzFfTlJlc0NnLjdPUXNfSXVHWFFR,2023-06-03T15:30:03Z,UCpHQyEuBXwYBvXC1_NResCg,Esquerda PERDE a LINHA com CAIADO na CPI do MST!,"CONGRESSO MBL SÃO PAULO: https://mbl.org.br/sp

Esquerda PERDE a LINHA com CAIADO na CPI do MST!

Deputados da esquerda como Sâmia Bonfim e Paulão ficaram desesperados com o depoimento do governador de Goiás Ronaldo Caiado na CPI do MST!

NOVO CANAL DE LIVES:  @Kata_games  
Clube MBL: https://clube.mbl.org.br/
ACADEMIA MBL 2023: http://academia.mbl.org.br

COLA LÁ NAS MINHAS REDES:
WHATSAPP: https://kataguiri.kim/zap
Discord: http://mbl.org.br/discord
Twitch: http://twitch.tv/kkataguiri
Facebook: http://facebook.com/kataguiri.kim
Instagram: http://instagram.com/kimkataguiri
Twitter: http://twitter.com/kimkataguiri
Telegram: http://t.me/kimkataguiri
Tiktok: https://www.tiktok.com/@kimkataguiri1","{'url': 'https://i.ytimg.com/vi/7OQs_IuGXQQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/7OQs_IuGXQQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/7OQs_IuGXQQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/7OQs_IuGXQQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/7OQs_IuGXQQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Kim Kataguiri,UUpHQyEuBXwYBvXC1_NResCg,9,youtube#video,7OQs_IuGXQQ,Kim Kataguiri,UCpHQyEuBXwYBvXC1_NResCg,EAAaBlBUOkNESQ,2023-06-06 00:28:44.894572
