kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,G8WgV24B9sHqNEfWeW0fTxvxU_c,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLkI3a1JVSmhITkVR,2023-02-03T13:30:10Z,UCCmh3nJayT-7jEM6hg2vP9Q,Estava turistando em Cuba e ISSO ACONTECEU - Comunista foi para Cuba,"APOIE O CANAL LAURA SABINO 
https://apoia.se/canallaurasabino
Finalmente conseguimos subir nosso segundo vídeo gravado aqui em Cuba. Ainda teremos muito conteúdo incrível e variado sobre como é Cuba hoje.

Sigam @mylaura_m nas outras redes para acompanhar mais detalhes da viagem e sigam o @cortespensantes editor do canal  e produtor de conteúdo.","{'url': 'https://i.ytimg.com/vi/B7kRUJhHNEQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/B7kRUJhHNEQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/B7kRUJhHNEQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/B7kRUJhHNEQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/B7kRUJhHNEQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,0,youtube#video,B7kRUJhHNEQ,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,ZPu-b6Na8AILxJGIvP_t1DvmHuY,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLm9jOGNlSlh3UUZ3,2023-01-23T13:00:06Z,UCCmh3nJayT-7jEM6hg2vP9Q,Comunista foi para Cuba - Primeiros dias,"APOIE O CANAL LAURA SABINO 
https://apoia.se/canallaurasabino

Depois de tanto me mandarem ir para Cuba,resolvemos ir ! 
Nesse vídeo mostramos nossas primeiras impressões do socialismo real. Mostramos as casas cubanas,a comida, como funciona a internet em Cuba e varias outras experiências que temos vivido aqui.
Sigam @mylaura_m nas outras redes para acompanhar mais detalhes da viagem e sigam o @cortespensantes editor do canal  e produtor de conteúdo.","{'url': 'https://i.ytimg.com/vi/oc8ceJXwQFw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/oc8ceJXwQFw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/oc8ceJXwQFw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/oc8ceJXwQFw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/oc8ceJXwQFw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,1,youtube#video,oc8ceJXwQFw,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,ebMTkc5drbpASSXRr-Uj2z-PvAc,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLnJwcFpWWlQxNmkw,2022-10-11T19:03:17Z,UCCmh3nJayT-7jEM6hg2vP9Q,Comunistas reagem aos liberais: Comeram todos os cachorros na Venezuela? | Cortes live Laura Sabino,"Não esqueça de comentar o que achou do corte, deixe também o seu like e ative o sininho.

Lives na roxinha, sempre que possível, nas terças e quintas. Procure por  mylaura_m 

Quer ajudar o canal? Contribua mensalmente em https://apoia.se/canallaurasabino","{'url': 'https://i.ytimg.com/vi/rppZVZT16i0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/rppZVZT16i0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/rppZVZT16i0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/rppZVZT16i0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/rppZVZT16i0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,2,youtube#video,rppZVZT16i0,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,_UiY_n-Ea5rpHgzcxY7VF44p-1s,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLnRmYjJ5S0JWYU9N,2022-10-08T19:16:32Z,UCCmh3nJayT-7jEM6hg2vP9Q,Comunistas reagindo a Liberais: Jesus eleitor do Bolsonaro?  | Cortes live Laura Sabino,"Não esqueça de comentar o que achou do corte, deixe também o seu like e ative o sininho.

Lives na roxinha, sempre que possível, nas terças e quintas. Procure por  mylaura_m 

Quer ajudar o canal? Contribua mensalmente em https://apoia.se/canallaurasabino","{'url': 'https://i.ytimg.com/vi/tfb2yKBVaOM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tfb2yKBVaOM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tfb2yKBVaOM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tfb2yKBVaOM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tfb2yKBVaOM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,3,youtube#video,tfb2yKBVaOM,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,ZeRryZ6WNe0xhJnAuTvKBqr5P7A,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLnpSekpMZTJuWUxN,2022-08-05T21:00:33Z,UCCmh3nJayT-7jEM6hg2vP9Q,Como a internet tem definido eleições e te manipulado ideologicamente,"Nada nem ninguém no planeta tem mais informações sobre você do que a internet: O que você pesquisa, o que você curte, os vídeos que assiste, o restaurante que você quer ir,o que você já comeu, a pessoa que você paquera e stalkeia, seu gosto musical, sua tendência política até a próxima compra que você vai fazer. Tudo isso pode,e é, usado pra te manipular e não só te indicando produtos pra comprar, mas também pra te induzir ideologicamente. Depois de muitos meses sem conteúdo aqui no youtube VEIO AÍ vídeo novo. E o tema é: Como a internet tem nos manipulado ideologicamente.  

FONTES E INDICAÇÕES
Livros: 
-Manipulados: como a Cambridge Analytica e o Facebook invadiram a privacidade de milhões e botaram a democracia em xeque  (Brittany Kaiser)
-Colonialismo Digital: por uma crítica hacker-fanoniana  (Deivison Faustino e Walter Lippold)
-Mindf*ck: Cambridge Analytica. La trama para desestabilizar el mundo (Edição Espanhola) 
-O caso Cambridge Analytica  (Gabriel Souza da Silva)
--Teoria do Jornalismo. São Paulo: Contexto, 2005. (Felipe Pena)
 -Colonialismo de dados  ORGANIZADORES: João FranciscoCassino Joyce Souza SérgioAmadeu da Silveira 

 FONTES: 
""Vamos dar golpe em quem quisermos"", diz Elon Musk, dono da Tesla, sobre a Bolívia  
https://www.brasildefato.com.br/2020/07/25/vamos-dar-golpe-em-quem-quisermos-elon-musk-dono-da-tesla-sobre-a-bolivia 

-PESQUISA: LORD, Charles G.; ROSS, Lee; LEPPER, Mark R. Biased assimilation and attitude polarization: The effects of prior theories on subsequently considered evidence. Journal of Personality and Social Psychology, 1979. Disponível em: https://doi.org/10.1037/0022-3514.37.11.2098 Acesso em: 4 de jan. de 2020. 

-Perfil Psicométrico: Persuasão pela Personalidade nas Eleições: https://ourdataourselves.tacticaltech.org/posts/psychometric-profiling-pt/ 
Festinger, L. (1957). A theory of cognitive dissonance (Vol. 2): Stanford university press.  
-Este artigo nunca será viral 
https://brasil.elpais.com/brasil/2015/02/06/internacional/1423226797_792858.html 
Vídeos:
-Live: Colonialismo Digital com Deivison Faustino e Walter Lippold 
- Lançamento do livro  (canal: Assim disse o João)
-Os piões somos nós (canal: Senhorita Bira)
-Como conversar com as pessoas? Nunca mais perca um amigo ou familiar! (canal: Bem vivendo)
-Pobre de direita (Chavoso da USP)","{'url': 'https://i.ytimg.com/vi/zRzJLe2nYLM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zRzJLe2nYLM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zRzJLe2nYLM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zRzJLe2nYLM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zRzJLe2nYLM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,4,youtube#video,zRzJLe2nYLM,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,sW1vkBdpkk-7oNVfl-31GY8Y9ps,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLmZmdFpMU19zVjcw,2022-05-03T18:28:24Z,UCCmh3nJayT-7jEM6hg2vP9Q,Como o agro dominou a indústria musical brasileira com o Sertanejo,"APOIE O CANAL LAURA SABINO: https://apoia.se/canallaurasabino
No vídeo de hoje expliquei como o sertanejo universitário se tornou o gênero musical mas tocado no Brasil e como o agronegócio construiu  esse cenário de maneira extremamente elaborada. 

Fontes e indicações: 
-Agronegócio e indústria Cultura: Estratégias das empresas para a construção da hegemonia  (Ana Chã)
-COLEÇÃO: A Questão Agrária no Brasil  (João Pedro Stedile)
-A função social da terra (Carlos Marés)
-artigo “O agro não é tech, o agro não é pop e muito menos tudo”, realizado pela Associação Brasileira de Reforma Agrária (Abra) com apoio da fundação Friedrich-Ebert-Stiftung Brasil e recém publicado, os geógrafos Marco Antonio Mitidiero Junior e Yamila Goldfarb desmascaram a versão de que agronegócio é a maior força econômica do Brasil. 
http://library.fes.de/pdf-files/bueros/brasilien/18319.pdf
-Lei Rouanet dos sertanejos, Festas do Peão são a causa do apoio de cantores a Bolsonaro https://www.diariodocentrodomundo.com.br/lei-rouanet-dos-sertanejos-festas-do-peao-sao-a-causa-do-apoio-de-cantores-a-bolsonaro/
-Dados do Pronaf - Programa Nacional de Fortalecimento da Agricultura Familiar  https://www.bndes.gov.br/wps/portal/site/home/financiamento/produto/pronaf
-Dados A desigualdade na distribuição dos créditos retirados da Receita Federal do Brasil: https://ojoioeotrigo.com.br/2021/10/os-numeros-mostram-agronegocio-recebe-muitos-recursos-e-contribui-pouco-para-o-pais/#:~:text=Os%20dados%20da%20tabela%20mostram,o%20agro%20134%2C8%20bilh%C3%B5es.
-Comparativos de investimentos baseado em dados do PRONAF e Receita federal https://www.brasildefato.com.br/2021/12/17/produtor-familiar-de-arroz-e-feijao-recebeu-apenas-2-5-de-recursos-do-pronaf-soja-recebeu-26","{'url': 'https://i.ytimg.com/vi/fftZLS_sV70/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/fftZLS_sV70/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/fftZLS_sV70/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/fftZLS_sV70/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/fftZLS_sV70/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,5,youtube#video,fftZLS_sV70,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,a1KY8c_mYSD7AaMyWZtUlhuV-Js,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLmVFZlc1eFZWUV9F,2022-02-07T18:29:49Z,UCCmh3nJayT-7jEM6hg2vP9Q,Temos que falar sobre o desastre chamado Novo Ensino Médio (reforma do ensino médio),"APOIE O CANAL LAURA SABINO: https://apoia.se/canallaurasabino

fontes e indicações:
A reforma do Ensino Médio e a produção de desigualdades na educação escolar (https://periodicos.ufsm.br/reveducacao/article/view/34731/pdf)


REFORMA DO ENSINO MÉDIO NO CONTEXTO DA
MEDIDA PROVISÓRIA746/2016: ESTADO,
CURRÍCULO E DISPUTAS POR HEGEMONIA : (https://www.scielo.br/j/es/a/LkC9k3GXWjMW37FTtfSsKTq/?format=pdf&lang=pt)


Quem financia o ''movimento pela base''?
https://movimentopelabase.org.br/quem-somos/ 

Pesquisa aponta que maioria dos jovens brasileiros concilia trabalho e estudo : https://educacaointegral.org.br/reportagens/pesquisa-aponta-maioria-dos-jovens-brasileiros-concilia-trabalho-estudo/ 

https://www.extraclasse.org.br/opiniao/2019/09/quais-sao-os-interesses-das-fundacoes-e-institutos-empresariais-com-a-bncc-e-o-novo-ensino-medio/ 

MEC NOVO ENSNO MEDIO: http://portal.mec.gov.br/publicacoes-para-professores/30000-uncategorised/40361-novo-ensino-medio-duvidas 

ENTREVISTA SOBRE O NOVO ENSINO MEDIO https://www.cnte.org.br/index.php/menu/comunicacao/posts/educacao-na-midia/74541-novo-ensino-medio-pais-adota-neste-ano-a-mais-perversa-das-reformas","{'url': 'https://i.ytimg.com/vi/eEfW5xVVQ_E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eEfW5xVVQ_E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eEfW5xVVQ_E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eEfW5xVVQ_E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eEfW5xVVQ_E/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,6,youtube#video,eEfW5xVVQ_E,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,5K11wmm3z4Lx6wb4g4-1T8saRe8,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLnRLWllVUnRHd1FR,2022-01-08T19:22:52Z,UCCmh3nJayT-7jEM6hg2vP9Q,"Como KPop, O parasita e Round 6 mostram uma Coreia que a mídia tenta esconder","APOIE O CANAL LAURA SABINO
https://apoia.se/canallaurasabino

As produções culturais sul Coreanas fazem parte de uma forte campanha e projeto do governo coreano em parceria com os estados Unidos.  N entanto, o que eles não contavam é que a produção sul coreanas também seriam os principais meios pra denunciar a existência de uma coreia do sul que a mídia tenta esconder. No vídeo de hoje  falamos sobre como a onda sul coreana com grandes produções como Round 6,O parasita e bandas kpop, tem revelado mais sobre a Coreia do que os grandes veículos de comunicação    

Indicações e referencias:

Livro: A Revolução Coreana (Professor Paulo Visentini) 
Livro: Sobre a Ideia Juche (KIM JONG IL)
livro: A Guerra da Coreia - Nem Vencedores Nem Vencidos
Stanley Sandler

A Coreia do Sul é o país  ''desenvolvido'' com maiores números de su*cídi*s. Fonte: Organização para a Cooperação e o Desenvolvimento Econômico (OCDE)
Três em cada quatro jovens entre 19 e 34 anos querem deixar o país (The Hankyoreh.)
ntre os países da OCDE, a Coreia do Sul tem uma das maiores taxas de tensão no ambiente de trabalho: 51% dos trabalhadores dizem que trabalham mais do que deveriam. (OCDE)
Nos últimos 15 anos, a percentagem de crianças que pensam que devem cuidar de seus pais caiu de 90% para 37% (The Hankyoreh e dados do proprio governo) 

Coreia do Sul: a república do su*cídi* (https://noticias.uol.com.br/ultimas-noticias/efe/2015/09/18/coreia-do-sul-a-republica-do-suicidio.htm?cmpid=copiaecola) 
O lado obscuro da Coreia do Sul, descrita como 'modelo' a ser seguido pelo Brasil (https://www.bbc.com/portuguese/internacional-51450570)

Na rica Coreia do Sul, idosos são abandonados (https://oglobo.globo.com/mundo/na-rica-coreia-do-sul-idosos-sao-abandonados-na-pobreza-11387405)
A própria abril (do qual é dona da Veja) admite as fake news sobre a Coreia do Norte que já divulgou https://super.abril.com.br/sociedade/7-noticias-falsas-da-coreia-do-norte-em-que-todo-mundo-acreditou/

Mais um site associado a uol posta sobre os boatos e fake news difundidos sobre a coreia do norte https://aventurasnahistoria.uol.com.br/noticias/almanaque/historia-5-mitos-sobre-coreia-do-norte.phtml","{'url': 'https://i.ytimg.com/vi/tKZYURtGwQQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tKZYURtGwQQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tKZYURtGwQQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tKZYURtGwQQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tKZYURtGwQQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,7,youtube#video,tKZYURtGwQQ,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,PH1B_6NWhIicApru9BSX-2z8Glg,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLnFYck1LazRPSjI4,2021-11-22T17:13:54Z,UCCmh3nJayT-7jEM6hg2vP9Q,Quem foi Marighella e por que ele incomoda a direita?,"APOIE O CANAL LAURA SABINO https://apoia.se/canallaurasabino

Nas últimas semanas o nome de Carlos Marighella se tornou  manchete no Brasil e no mundo. Gravado em 2017, o filme ‘Marighella’ estreou nos cinemas e muitas polemicas surgiram. No vídeo de hoje falei sobre o que achei do filme, sobre as principais polemicas e contei um pouco da vida desse importante revolucionário. Afinal de contas, quem foi Marighella e por que ele incomoda a direita?
FONTES E INDICAÇÕES:
-Marighella: O guerrilheiro que incendiou o mundo (Mário Magalhães)
-Marighella: O inimigo número um da ditadura militar (Eliano José)
- Viagem A Luta Armada 
-  Infância Roubada: crianças atingidas pela Ditadura no Brasil
- Documentário: ""Atordoado, Eu Permaneço Atento""
-Documentário: ""Cativeiro sem fim ""
-Comissão da verdade
-Minimanual do Guerrilheiro Urbano (Carlos Marighella)
-Chamamento ao povo brasileiro e outros escritos (Carlos Marighella)
-Poemas Carlos Marighella","{'url': 'https://i.ytimg.com/vi/qXrMKk4OJ28/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/qXrMKk4OJ28/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/qXrMKk4OJ28/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/qXrMKk4OJ28/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/qXrMKk4OJ28/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,8,youtube#video,qXrMKk4OJ28,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
youtube#playlistItem,8yw3CejS3cco8MznGX6Tgc2RYWc,VVVDbWgzbkpheVQtN2pFTTZoZzJ2UDlRLm1BaFZ3T2MtWUZF,2021-10-20T19:52:59Z,UCCmh3nJayT-7jEM6hg2vP9Q,Nós vamos invadir seu lote? part Silvio Netto,"APOIE O CANAL LAURA SABINO: https://apoia.se/canallaurasabino
Quais terras o MST ocupa? O MST é socialista? Como ajudar o MST?
O MST invade terras?
No video de hoje eu recebi meu dirigente e amigo Silvio  Netto (morador do acampamento Quilombo Campo Grande e dirigente Estadual do MST) pra responder essa e outras dúvidas de vocês sobre o MST.","{'url': 'https://i.ytimg.com/vi/mAhVwOc-YFE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mAhVwOc-YFE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mAhVwOc-YFE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mAhVwOc-YFE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mAhVwOc-YFE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Laura Sabino,UUCmh3nJayT-7jEM6hg2vP9Q,9,youtube#video,mAhVwOc-YFE,Laura Sabino,UCCmh3nJayT-7jEM6hg2vP9Q,,2023-06-05 19:57:27.439338
