kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,OmaPCQscYgYDlZw7fJ81jziOoPM,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLmd1ZWw5alNRclQ4,2023-06-05T19:29:10Z,UCVAt-Pw_AhAfaaTtZuohTQg,Os protestos de junho de 2013: a VERDADE que você não lerá nos jornais,"Depois de anos de certos avanços sociais por conta de políticas distributivas insustentáveis, as pessoas que haviam galgado alguns degraus na escada socioeconômica passaram a perceber uma estagnação e retrocesso, por conta da inflação e da crise na economia.

Não podemos esquecer que Lula surfou o melhor cenário econômico global para o Brasil em mais de cem anos, com a China crescendo a dois dígitos por anos a fio, multiplicando o preço das commodities exportadas pelo Brasil.

Ao invés de aproveitar o cenário para promover reformas estruturantes, o PT resolveu desenvolver uma política econômica populista, baseada na distribuição de bolsas e benesses para todas as classes sociais.

Quando veio a crise de 2008, o tempo de bonança acabou, e Lula abriu as torneiras do crédito para garantir a reeleição do seu poste, Dilma Rousseff.

Por sua vez, Dilma não só deu continuidade à expansão insustentável do crédito, como acelerou o endividamento público. Quando a inflação apareceu, ela não teve dúvidas sobre o controle de preços, e dos juros, na base da canetada.

A insatisfação generalizada se transformou em protestos com base num gatilho da própria esquerda, que resolveu protestar pelo preço das passagens de ônibus em São Paulo, com objetivo de tirar os tucanos do poder no estado. Foi a deixa para uma explosão de protestos, que transformaram o governo petista em vidraça. 

Em paralelo a tudo isso, a dinâmica política passava pela sua maior transformação em décadas, por conta da popularização das redes sociais. O debate público não era mais controlado por três ou quatro redes de comunicação que mentiam e manipulavam o público há décadas, mas sim por influenciadores que apresentavam livremente seus pensamentos nas redes.

Por conta disso, a direita, banida da mídia tradicional, pode apresentar sua visão de mundo, e apontar o dedo para o nível de degeneração da elite política brasileira, e para a falência das políticas socialistas. Muita gente que nunca teve contato com ideias conservadoras passou a ter, e se identificou com elas.

O que a militância de redação chama de ""criminalização da política"" nada mais foi do que a demonstração cabal sobre a corrupção completa do sistema político brasileiro. Na verdade, a política brasileira foi dominada pelo crime, o que posteriormente foi comprovado pela operação Lava Jato. 

A verdadeira queixa da militância de redação não é pela ""criminalização"" da política, mas sim pela perda da hegemonia esquerdista que era mantida até então. Para eles, tudo o que está fora da agenda esquerdista não é ""política"", mas sim a sua negação.

A revolta popular produziu a queda de Dilma, e a eleição do único líder popular que abraçou a lógica antiestablishment. A entrega da cabeça de Dilma foi uma forma do establishment tentar frear o movimento, mas o plano era colocar um Alckmin na presidência, e não o seu Jair.

Bolsonaro foi alçado à liderança do poder Executivo sem ter uma base de poder para sustendá-lo, como alertou à época Olavo de Carvalho, um dos principais responsáveis por abrir os olhos do povo sobre o nefasto arranjo político brasileiro.

Bolsonaro foi eleito sob a expectativa de refundação da República, mas desde a posse, ele busco a composição com o sistema corrompido estabelecido, o que obviamente só poderia acabar com a sua retirada do cargo, da mesma maneira que anticorpos eliminam um corpo estranho do organismo.

Sua eleição e posterior anestesia geral do público, que acreditava ter completado o ciclo de refundação do país, deu espaço para o sistema se reorganizar e anular os avanços alcançados.

A pandemia, e a resposta inadequada do governo, facilitou a tarefa. Aos poucos, contando com a ajuda determinante da militância de redação e do establishment universitário e cultural, além de todos os outros aparelhos da esquerda, houve o desmonte da operação Lava Jato, e a criminalização do próprio movimento de revolta.

O aparato repressivo tomou a forma de CPMIs e inquéritos ilegais, cujo objetivo claro é censurar e perseguir qualquer pessoa alinhada ao movimento que produziu a revolta popular.

Lula, apontado pela Lava Jato como grande chefe dos esquemas desbaratos pela operação, foi descondenado e alçado à presidência para consolidar essa nova narrativa. Quando ele disse para Maduro que o ditador deveria ""contar a sua verdade"", provavelmente ele tinha em mente a experiência vivida nos últimos anos, o seu sucesso em impor a falsa narrativa de ""injustiçado"".

Resumindo, junho de 2013 marcou o despertar de um povo. Já em junho de 2023 temos a consolidação do contra-movimento de uma cleptocracia que NUNCA MAIS dará espaço para uma nova revolta, através da censura e da repressão direcionada aos não alinhados.

Eis o significado de tudo isso que você NÃO lerá na Folha, no Globo ou no Estadão.","{'url': 'https://i.ytimg.com/vi/guel9jSQrT8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/guel9jSQrT8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/guel9jSQrT8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/guel9jSQrT8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/guel9jSQrT8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,0,youtube#video,guel9jSQrT8,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,9goxMfTX0pLWMpveUCru0Rw9XnQ,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLk9WNXlUdlFMZDQ0,2023-06-01T23:18:54Z,UCVAt-Pw_AhAfaaTtZuohTQg,"""O que eu vi e ouvi na Venezuela""","Papo com o economista Bruno Musa, sobre sua visita à Venezuela, que virou um documentário da Brasil Paralelo a ser lançado nos próximos dias.","{'url': 'https://i.ytimg.com/vi/OV5yTvQLd44/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/OV5yTvQLd44/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/OV5yTvQLd44/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/OV5yTvQLd44/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/OV5yTvQLd44/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,1,youtube#video,OV5yTvQLd44,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,NEA5hiQ2pZ5KfnetaI1HuhNSyEo,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLmprUGJZdGxhaW1N,2023-05-30T16:47:32Z,UCVAt-Pw_AhAfaaTtZuohTQg,A ditadura socialista BRUTAL da Venezuela,"Ditador sanguinário Maduro, acusado de crimes contra a humanidade, como tortura e assassinato de oponentes, além de ter levado mais de 90% dos venezuelanos à pobreza extrema, é recebido de braços abertos pelo governo do descondenado.","{'url': 'https://i.ytimg.com/vi/jkPbYtlaimM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jkPbYtlaimM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jkPbYtlaimM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jkPbYtlaimM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jkPbYtlaimM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,2,youtube#video,jkPbYtlaimM,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,_Gpc56haUFHP8VdfilVfQ1niZmo,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLm5wZ056ZFFSQThN,2023-05-27T12:43:20Z,UCVAt-Pw_AhAfaaTtZuohTQg,A euforia dos mercados com a Inteligência Artificial,"✳️ Abra sua conta na Liberta XP e seja assessorado pelo meu time: http://liberta.click/ruschel

CURTA o vídeo, ASSINE o canal e ative as NOTIFICAÇÕES para ser avisado sobre os próximos conteúdos aqui no canal. 🔔

ACOMPANHE NOSSAS REDES SOCIAIS: 📱
• Instagram: https://www.instagram.com/leandroruschel/
• Canal no Telegram: https://t.me/lruschel","{'url': 'https://i.ytimg.com/vi/npgNzdQRA8M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/npgNzdQRA8M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/npgNzdQRA8M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/npgNzdQRA8M/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/npgNzdQRA8M/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,3,youtube#video,npgNzdQRA8M,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,odgQQzPg8uDVJj3DaW_l2A7kZds,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLk1vYXczelpIMTg0,2023-05-23T15:47:03Z,UCVAt-Pw_AhAfaaTtZuohTQg,"Juiz ""LUL22"" é afastado do cargo por suposta ameaça a filho de desembargador","Segundo decisão que afastou o juiz ativista ""LUL22"" da Vara de Curitiba que cuida da Lava Jato, ele teria colhido dados sigilosos de processos e vazado para militantes no Twitter atacarem a família de um desembargador que reformou decisão sua.","{'url': 'https://i.ytimg.com/vi/Moaw3zZH184/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Moaw3zZH184/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Moaw3zZH184/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Moaw3zZH184/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Moaw3zZH184/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,4,youtube#video,Moaw3zZH184,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,WrnOWdt9G9X7BKZ1kXbNWOclqTw,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLkwyUGlLOUZxNWFv,2023-05-22T18:10:29Z,UCVAt-Pw_AhAfaaTtZuohTQg,Jornalista da Folha promove ódio contra catarinenses,"A imprensa ""profissional"" virou apenas um órgão de propaganda e manipulação da extrema-esquerda, com fins de controle político e perseguição aos não alinhados.

Veja o absurdo: uma ""jornalista"" resolveu acusar uma comunidade inteira de nazista, porque leu ""Heil"" num telhado.","{'url': 'https://i.ytimg.com/vi/L2PiK9Fq5ao/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/L2PiK9Fq5ao/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/L2PiK9Fq5ao/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/L2PiK9Fq5ao/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/L2PiK9Fq5ao/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,5,youtube#video,L2PiK9Fq5ao,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,AKpKbZodpAoRcRD6R-yvY_NXCe4,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLm1yUmYyUk45eTY0,2023-05-18T14:33:45Z,UCVAt-Pw_AhAfaaTtZuohTQg,"Cassação de Dallagnol, Censura de Léo Lins e as ameaças de Dino",Três sinais que deixam claro o caminho autoritário trilhado pelo Brasil.,"{'url': 'https://i.ytimg.com/vi/mrRf2RN9y64/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mrRf2RN9y64/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mrRf2RN9y64/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mrRf2RN9y64/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mrRf2RN9y64/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,6,youtube#video,mrRf2RN9y64,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,oSjZ5P3cw1J7i6FN9YjNbL1v6_Y,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLndfajI3b2hQd3Vv,2023-05-17T15:52:47Z,UCVAt-Pw_AhAfaaTtZuohTQg,Petrobras de volta ao trágico passado,"A Petrobras anunciou o fim da paridade de preço internacional, sem definir uma política específica de preço, o que abre espaço para a volta do controle sobre o preço dos combustíveis.

Hoje mesmo foi anunciado um corte nos preços, seguindo a queda do petróleo nas últimas semanas e um câmbio mais favorável.

As ações subiram hoje, com a promessa do presidente da empresa de seguir os preços internacionais, mas sem uma frequência tão alta de ajustes. Pesa também a necessidade do governo federal fazer caixa, e subsidiar os combustíveis neste momento cortaria uma receita considerável de dividendos da estatal.

Disse o presidente da Petrobras, o petista Jean Paul Prates: ""a gente vai fazer com parcimônia e tranquilidade porque não vamos nos desgarrar do preço internacional como uma Venezuela e vender o diesel ao preço que quiser. Quando subir lá fora, terá que subir aqui dentro. Quando descer lá fora, vai ter que descer aqui...O que estamos garantindo é menos volatilidade, menos sujeição a volatilidade especulativa internacional. Vamos ter o efeito da referência internacional, mas vai estar refratado em uma série de possibilidades nacionais.""

O fato é que as ações da Petrobras estão relativamente baratas, frente ao seu lucro e aos pares internacionais, justamente pela incerteza sobre a sua política de preços e a gestão petista, que no passado arrebentou a empresa, seja pelos esquemas de corrupção desbaratados pela Lava Jato, seja pelo controle de preços aplicado na gestão Dilma.

O atual presidente da empresa promete não meter os pés pelas mãos, mas quem acredita nisso, depois de tudo que aconteceu? Alguém imagina que o Lula não usará a empresa como instrumento político, em caso de crise?

A verdade é que a atual decisão deixa o governo livre para fazer o que quiser.","{'url': 'https://i.ytimg.com/vi/w_j27ohPwuo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/w_j27ohPwuo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/w_j27ohPwuo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/w_j27ohPwuo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/w_j27ohPwuo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,7,youtube#video,w_j27ohPwuo,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,9kHYJiVO_BTngE5x-4fj9QGhqQI,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLkVTaEYwcXNSVDVn,2023-05-12T13:58:33Z,UCVAt-Pw_AhAfaaTtZuohTQg,"A mentira sobre o ""soco em jornalista"" é exemplo da máquina de desinformação esquerdista","Como funciona a operação de fake news da milícia digital petista em parceria com a militância de redação, um exemplo prático.","{'url': 'https://i.ytimg.com/vi/EShF0qsRT5g/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/EShF0qsRT5g/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/EShF0qsRT5g/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/EShF0qsRT5g/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/EShF0qsRT5g/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,8,youtube#video,EShF0qsRT5g,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
youtube#playlistItem,HthROHmGmg2YCoLzRNCFbHpo_pM,VVVWQXQtUHdfQWhBZmFhVHRadW9oVFFnLkxrZXFFQkItOXNR,2023-05-11T00:14:38Z,UCVAt-Pw_AhAfaaTtZuohTQg,"Telegram é CENSURADO ao alertar sobre risco de censura no PL das ""Fake News""","Pelo que entendi da última decisão sobre o Telegram, é proibido ser contra o projeto da Censura.

Em nome da ""democracia"", claro...","{'url': 'https://i.ytimg.com/vi/LkeqEBB-9sQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/LkeqEBB-9sQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/LkeqEBB-9sQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/LkeqEBB-9sQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/LkeqEBB-9sQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Leandro Ruschel,UUVAt-Pw_AhAfaaTtZuohTQg,9,youtube#video,LkeqEBB-9sQ,Leandro Ruschel,UCVAt-Pw_AhAfaaTtZuohTQg,EAAaBlBUOkNESQ,2023-06-06 00:32:28.499955
