kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,2F2Dm-HVB2THx-zlwbK_Lv_rh1g,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLk9od3l6S2xYMUxv,2023-06-05T23:31:30Z,UCZYyHef3eBoBEztAOY_Fe_g,PARTIDO DE BOLSONARO VAI FACILITAR NOMEAÇÃO DE ZANIN | MBL NEWS | Guto Zacarias e Ricardo Almeida,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast

00:00:00 Introdução","{'url': 'https://i.ytimg.com/vi/OhwyzKlX1Lo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/OhwyzKlX1Lo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/OhwyzKlX1Lo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/OhwyzKlX1Lo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/OhwyzKlX1Lo/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,0,youtube#video,OhwyzKlX1Lo,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,A28qvayCc6fVNrOLTgGbQUImEUQ,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLlNaVDViMHpwRG9Z,2023-06-05T19:46:39Z,UCZYyHef3eBoBEztAOY_Fe_g,EXPOSED: FELIPE NETO E CASO BLAZE | ANÁLISES RENAIS | Renan Santos,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast

00:00:00 Introdução","{'url': 'https://i.ytimg.com/vi/SZT5b0zpDoY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/SZT5b0zpDoY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/SZT5b0zpDoY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/SZT5b0zpDoY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/SZT5b0zpDoY/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,1,youtube#video,SZT5b0zpDoY,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,70NcPHrwiJzrLzcGngqwiMyNJq0,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLjlBRkZXejQ5cGhV,2023-06-05T16:16:54Z,UCZYyHef3eBoBEztAOY_Fe_g,SALLES DESTRÓI BOLSONARO!! | E Detalhe | Arthur do Val,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast

00:00:00 Introdução","{'url': 'https://i.ytimg.com/vi/9AFFWz49phU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/9AFFWz49phU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/9AFFWz49phU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/9AFFWz49phU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/9AFFWz49phU/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,2,youtube#video,9AFFWz49phU,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,prZ4UN2LNAd8xdzEhVjstSMO3Bk,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLlFCRkQ5WnRZVG5B,2023-06-05T13:46:07Z,UCZYyHef3eBoBEztAOY_Fe_g,BOLSONARO ABANDONA SALLES | Expresso MBL | Renato Battista,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast

00:00:00 Introdução","{'url': 'https://i.ytimg.com/vi/QBFD9ZtYTnA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/QBFD9ZtYTnA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/QBFD9ZtYTnA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/QBFD9ZtYTnA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/QBFD9ZtYTnA/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,3,youtube#video,QBFD9ZtYTnA,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,rIUImkeHASVlp7tQtPHKUsFzQSk,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLno0el9nLVotLTBr,2023-06-04T17:58:20Z,UCZYyHef3eBoBEztAOY_Fe_g,Bolsonaro vs Nikolas #shorts #direita #nikolasferreira,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast","{'url': 'https://i.ytimg.com/vi/z4z_g-Z--0k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/z4z_g-Z--0k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/z4z_g-Z--0k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/z4z_g-Z--0k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/z4z_g-Z--0k/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,4,youtube#video,z4z_g-Z--0k,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,9bOn5WgO02IOWdXQDwXmn3bPRic,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLlRxek5ZbDFWcTh3,2023-06-03T21:07:35Z,UCZYyHef3eBoBEztAOY_Fe_g,Aras é NOTA 7 pra cima #shorts #direita #bolsonaro,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast","{'url': 'https://i.ytimg.com/vi/TqzNYl1Vq8w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/TqzNYl1Vq8w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/TqzNYl1Vq8w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/TqzNYl1Vq8w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/TqzNYl1Vq8w/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,5,youtube#video,TqzNYl1Vq8w,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,B80jhNzPfSrM-LL5a-ywOwLExAs,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLmRZUWR2MV91NzNR,2023-06-02T23:36:42Z,UCZYyHef3eBoBEztAOY_Fe_g,BOLSONARO ABANDONA RICARDO SALLES | MBL NEWS | Renan Santos e Ricardo Almeida,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast

00:00:00 Introdução","{'url': 'https://i.ytimg.com/vi/dYQdv1_u73Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/dYQdv1_u73Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/dYQdv1_u73Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/dYQdv1_u73Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/dYQdv1_u73Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,6,youtube#video,dYQdv1_u73Q,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,-wkAs7RpFep-KoUYMO5JLT1H9qI,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLjBsRTBmMmcxb1Vr,2023-06-02T21:14:34Z,UCZYyHef3eBoBEztAOY_Fe_g,KIM KATAGUIRI EXPÕE GUERRA EM BRASÍLIA | ANÁLISES RENAIS | Renan Santos e Kim Kataguiri,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Inscreva-se também no Canal Oficial de Cortes http://youtube.com/cortesdombl
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast

00:00:00 Introdução","{'url': 'https://i.ytimg.com/vi/0lE0f2g1oUk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/0lE0f2g1oUk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/0lE0f2g1oUk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/0lE0f2g1oUk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/0lE0f2g1oUk/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,7,youtube#video,0lE0f2g1oUk,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,zZjzTnkZya_-1WiKxBwahr7Bwoc,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLnpvOElTS2hPUnFB,2023-06-02T20:22:26Z,UCZYyHef3eBoBEztAOY_Fe_g,A GLOBO PETISTA é real! #shorts #kimkataguiri #globo #ptnuncamais,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast","{'url': 'https://i.ytimg.com/vi/zo8ISKhORqA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zo8ISKhORqA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zo8ISKhORqA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zo8ISKhORqA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zo8ISKhORqA/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,8,youtube#video,zo8ISKhORqA,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
youtube#playlistItem,Z1PJLuKkL-Ok0UBp4JSjL-6f5Ow,VVVaWXlIZWYzZUJvQkV6dEFPWV9GZV9nLjhRdnlCYTZsQWc0,2023-06-02T19:10:32Z,UCZYyHef3eBoBEztAOY_Fe_g,O SISTEMA ESTÁ EM GUERRA! #lula #explore #direita #centrão #mbl #shorts,"►Não esqueça de deixar seu like e se inscrever no canal!

✅Entre no Clube MBL! http://clube.mbl.org.br
✅Faça sua pré-inscrição na Academia MBL http://academia.mbl.org.br
✅Acompanhe todos os MBL News também em podcast! http://mbl.org.br/podcast","{'url': 'https://i.ytimg.com/vi/8QvyBa6lAg4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8QvyBa6lAg4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8QvyBa6lAg4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8QvyBa6lAg4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8QvyBa6lAg4/maxresdefault.jpg', 'width': 1280, 'height': 720}",MBLiveTV - Lives do MBL,UUZYyHef3eBoBEztAOY_Fe_g,9,youtube#video,8QvyBa6lAg4,MBLiveTV - Lives do MBL,UCZYyHef3eBoBEztAOY_Fe_g,EAAaBlBUOkNESQ,2023-06-06 00:28:33.193462
