kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,JCpyVIZt4ecwfyuG-TkW1mUyLFo,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLmFIeVIwT2xxTmpn,2023-06-06T01:13:55Z,UCkSjy-IOEq-eMtarZl2uH1Q,Já estão preparados pra revolução? #shorts,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/aHyR0OlqNjg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,0,youtube#video,aHyR0OlqNjg,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,9XsYZN3p8MPU_tmC8KBLvL2REVs,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLjJCSE9lS0lJZV8w,2023-06-05T16:18:58Z,UCkSjy-IOEq-eMtarZl2uH1Q,Felipe Neto DESTRUIU Danilo Gentili | Vídeo Completo aqui no Canal #shorts,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2BHOeKIIe_0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,1,youtube#video,2BHOeKIIe_0,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,AkwGezh4nmXs8-Qz6VIaxTe1fms,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLmIxZkxsUlY0VWZF,2023-06-05T13:00:32Z,UCkSjy-IOEq-eMtarZl2uH1Q,Felipe Neto DESTRUIU Danilo Gentili!,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/b1fLlRV4UfE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,2,youtube#video,b1fLlRV4UfE,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,DIlDHJXvgDUVQmNysnAOqgjhWms,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLmNEaXVSMTZXQV9z,2023-06-02T21:59:46Z,UCkSjy-IOEq-eMtarZl2uH1Q,A sociedade está cada vez mais doente #shorts,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/cDiuR16WA_s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,3,youtube#video,cDiuR16WA_s,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,IXbUvbOI1bXo2c_KfYOAOLWMQnM,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLjFGUkpJNi1IdEww,2023-06-02T15:23:32Z,UCkSjy-IOEq-eMtarZl2uH1Q,Produtor da Lana Del Rey XINGOU os Brasileiros | Vídeo Completo aqui no canal #shorts,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1FRJI6-HtL0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,4,youtube#video,1FRJI6-HtL0,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,MuSYKoCYWSujnNmnemobaVBXufQ,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLkZSOFZIb1dPUTNz,2023-06-02T13:00:22Z,UCkSjy-IOEq-eMtarZl2uH1Q,TUDO DO LULA! O Novo Ministro do STF,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/FR8VHoWOQ3s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/FR8VHoWOQ3s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/FR8VHoWOQ3s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/FR8VHoWOQ3s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/FR8VHoWOQ3s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,5,youtube#video,FR8VHoWOQ3s,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,JBp67MdOKK9XZaYW_3giDMspg68,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLngyamhvN1hEa2Zv,2023-06-01T20:11:15Z,UCkSjy-IOEq-eMtarZl2uH1Q,O Golpe da Blaze | Vídeo Completo aqui no canal #shorts,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/x2jho7XDkfo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/x2jho7XDkfo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/x2jho7XDkfo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/x2jho7XDkfo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/x2jho7XDkfo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,6,youtube#video,x2jho7XDkfo,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,Czo0jnMmzr5e0z8trQ4Hi3aCLX4,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLjh2dWZNMmhTTmRz,2023-06-01T13:00:06Z,UCkSjy-IOEq-eMtarZl2uH1Q,O Golpe da Blaze!,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/8vufM2hSNds/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8vufM2hSNds/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8vufM2hSNds/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8vufM2hSNds/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8vufM2hSNds/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,7,youtube#video,8vufM2hSNds,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,1VW1jyTJHbQfAe_8KqM4qYAnoNs,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLjYwb2JZaEhrbVlv,2023-05-31T17:26:22Z,UCkSjy-IOEq-eMtarZl2uH1Q,Onde está Silvio Almeida? #shorts,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/60obYhHkmYo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/60obYhHkmYo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/60obYhHkmYo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/60obYhHkmYo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/60obYhHkmYo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,8,youtube#video,60obYhHkmYo,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
youtube#playlistItem,iZxNDEaNuwcQ5EuZuG_fwuDsLG0,VVVrU2p5LUlPRXEtZU10YXJabDJ1SDFRLklYdmVRZWFLNlpZ,2023-05-31T13:00:23Z,UCkSjy-IOEq-eMtarZl2uH1Q,Manifestação Deltan: Não Vou Mais,"Inscreva-se no canal:
https://www.youtube.com/mamaefalei?sub_confirmation=1

Me siga em: https://arthurdoval.com.br/","{'url': 'https://i.ytimg.com/vi/IXveQeaK6ZY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/IXveQeaK6ZY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/IXveQeaK6ZY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/IXveQeaK6ZY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/IXveQeaK6ZY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mamaefalei,UUkSjy-IOEq-eMtarZl2uH1Q,9,youtube#video,IXveQeaK6ZY,Mamaefalei,UCkSjy-IOEq-eMtarZl2uH1Q,EAAaBlBUOkNESQ,2023-06-06 00:29:05.002343
