kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,LB2tJIc097yhaSlOW4uyWaD8ZKM,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLl80S1FNLWNZTzRB,2023-06-06T02:39:00Z,UCMZcQrogmMZHhC7hz91wf3A,MUNDO VIU JANJO CHORANDO COM A BOCA TODA E TURMINHA NÃO ACREDITO U 06/06/2023,,"{'url': 'https://i.ytimg.com/vi/_4KQM-cYO4A/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_4KQM-cYO4A/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_4KQM-cYO4A/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_4KQM-cYO4A/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_4KQM-cYO4A/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,0,youtube#video,_4KQM-cYO4A,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,n6YD7OMbLUXTp18vZLK4niVyyk8,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLllCVjc1TVFhWi0w,2023-06-05T18:04:25Z,UCMZcQrogmMZHhC7hz91wf3A,MUNDO VIU JANJO PASSA VERG0NHA E TURMINHA NÃO GOSTOU 05/06/2023,,"{'url': 'https://i.ytimg.com/vi/YBV75MQaZ-0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YBV75MQaZ-0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YBV75MQaZ-0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YBV75MQaZ-0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YBV75MQaZ-0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,1,youtube#video,YBV75MQaZ-0,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,OtRQPKF22Qyd4LovaxwF9aCrENM,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLklWNi01Wi10aXpJ,2023-06-04T18:10:32Z,UCMZcQrogmMZHhC7hz91wf3A,JANJO NEGÓCIO FICOU FEIO AGORA KKK,,"{'url': 'https://i.ytimg.com/vi/IV6-5Z-tizI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/IV6-5Z-tizI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/IV6-5Z-tizI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/IV6-5Z-tizI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/IV6-5Z-tizI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,2,youtube#video,IV6-5Z-tizI,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,pq4_3UaPhsBIi0fRKV3gJEreHRA,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLlV2c0RDVzZDVDMw,2023-06-04T02:20:26Z,UCMZcQrogmMZHhC7hz91wf3A,MUNDO PAROU PRA VÊ ESSAS FOTOS DO JANJO KKKK,,"{'url': 'https://i.ytimg.com/vi/UvsDCW6CT30/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/UvsDCW6CT30/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/UvsDCW6CT30/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/UvsDCW6CT30/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/UvsDCW6CT30/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,3,youtube#video,UvsDCW6CT30,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,NwNH4J_lCnP1bexNObE8eHZF5jo,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLkhMUEItenJPWkc4,2023-06-03T21:31:35Z,UCMZcQrogmMZHhC7hz91wf3A,JANJO ESCAFUFU LA NO Portão E A GALERINHA NÃO GOSTOU 03/06/2023,JANJO ESCAFUFU LA NO Portão E A GALERINHA NÃO GOSTOU 03/06/2023,"{'url': 'https://i.ytimg.com/vi/HLPB-zrOZG8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/HLPB-zrOZG8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/HLPB-zrOZG8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/HLPB-zrOZG8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/HLPB-zrOZG8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,4,youtube#video,HLPB-zrOZG8,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,zBUW7DYHXYMrge_h-Md0z3_DuHQ,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLlptcWdSdV9WR0Zj,2023-06-03T19:25:13Z,UCMZcQrogmMZHhC7hz91wf3A,JANJO ESCAFUFU E A TURMINHA DO FAZ O L NÃO GOSTOU,,"{'url': 'https://i.ytimg.com/vi/ZmqgRu_VGFc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZmqgRu_VGFc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZmqgRu_VGFc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZmqgRu_VGFc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ZmqgRu_VGFc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,5,youtube#video,ZmqgRu_VGFc,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,Qt8V3HkApw3Z0bvuWrlu53N6_ZM,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLkhOSXhMb05YMlZZ,2023-06-02T23:00:06Z,UCMZcQrogmMZHhC7hz91wf3A,MUNDO TÁ VIGIANDO O MELHOR DO MUNDO JANJO CHOROU COM ISSO 02/06/2023,,"{'url': 'https://i.ytimg.com/vi/HNIxLoNX2VY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/HNIxLoNX2VY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/HNIxLoNX2VY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/HNIxLoNX2VY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/HNIxLoNX2VY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,6,youtube#video,HNIxLoNX2VY,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,er0rEoCTXEooOZ2Z1EPIlPba4SY,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLkg3NnpVS3BFMktv,2023-06-01T23:00:10Z,UCMZcQrogmMZHhC7hz91wf3A,MUNDO PAROU PARA ASSISTIR JANJO E A TURMINHA SENDO XINGANDO 01/06/2023,,"{'url': 'https://i.ytimg.com/vi/H76zUKpE2Ko/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/H76zUKpE2Ko/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/H76zUKpE2Ko/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/H76zUKpE2Ko/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/H76zUKpE2Ko/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,7,youtube#video,H76zUKpE2Ko,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,vS9LsV0t1bkAFgyz8bqywWS9QMA,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLlQxSGxtRE8zQXBj,2023-05-31T23:00:11Z,UCMZcQrogmMZHhC7hz91wf3A,MUNDO ESTÁ ASSISTINDO ESSA NOTÍCIA JANJO O NEGÓCIO TÁ MUITO FEIO PRA TU 31/05/2023 AS 20:00 HORAS,,"{'url': 'https://i.ytimg.com/vi/T1HlmDO3Apc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/T1HlmDO3Apc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/T1HlmDO3Apc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/T1HlmDO3Apc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/T1HlmDO3Apc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,8,youtube#video,T1HlmDO3Apc,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
youtube#playlistItem,d4ibrhtq2hIJfO4XTofroS6c2WQ,VVVNWmNRcm9nbU1aSGhDN2h6OTF3ZjNBLlV1cDZzN1dwRzNr,2023-05-30T23:00:11Z,UCMZcQrogmMZHhC7hz91wf3A,MUNDO PAROU PARA ASSISTIR O JANJO JUJU KKKK 30/05/2023 20:00,,"{'url': 'https://i.ytimg.com/vi/Uup6s7WpG3k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Uup6s7WpG3k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Uup6s7WpG3k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Uup6s7WpG3k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Uup6s7WpG3k/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mito Na Tv ®,UUMZcQrogmMZHhC7hz91wf3A,9,youtube#video,Uup6s7WpG3k,Mito Na Tv ®,UCMZcQrogmMZHhC7hz91wf3A,EAAaBlBUOkNESQ,2023-06-06 00:49:23.024535
