kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,kW7bE-crBRi4GUuvwHfS74b3lb8,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLkdiT1dJcG9nYlBz,2023-06-05T21:35:22Z,UCwefw3viiiaxprsV6jgJvEA,Lula fecha o cerco contra garimpeiros ilegais e detona política de destruição dos anos Bolsonaro,"⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/GbOWIpogbPs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GbOWIpogbPs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GbOWIpogbPs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GbOWIpogbPs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GbOWIpogbPs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,0,youtube#video,GbOWIpogbPs,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,phBlYzhKz6-NcyMrN93arVs_Lpo,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLllGaFcydnhJOVVB,2023-06-05T20:42:42Z,UCwefw3viiiaxprsV6jgJvEA,Luta pela Amazônia: Lula honra a memória de Bruno e Dom em discurso emocionante!,"⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/YFhW2vxI9UA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YFhW2vxI9UA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YFhW2vxI9UA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YFhW2vxI9UA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YFhW2vxI9UA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,1,youtube#video,YFhW2vxI9UA,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,H6u1Rutyff5PD4LNRPiaiNR3fGg,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLjFoY2d5V2o0MkhF,2023-06-05T17:00:01Z,UCwefw3viiiaxprsV6jgJvEA,Escândalo coloca Lira na Mira: Polícia Federal revela desvio milionário da educação em Alagoas!,"Imagens da Polícia Federal reveladas pela TV Globo

⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/1hcgyWj42HE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1hcgyWj42HE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1hcgyWj42HE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1hcgyWj42HE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/1hcgyWj42HE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,2,youtube#video,1hcgyWj42HE,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,WBOVnnKHRg8TwDCfBx7xAB21krw,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLk9udEdub3h6QXFB,2023-06-05T14:36:00Z,UCwefw3viiiaxprsV6jgJvEA,Escancarando a verdade! Deputada Erika Kokay denuncia autoritarismo e golpismo dos Bolsonaristas,"⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/OntGnoxzAqA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/OntGnoxzAqA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/OntGnoxzAqA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/OntGnoxzAqA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/OntGnoxzAqA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,3,youtube#video,OntGnoxzAqA,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,0Md6e0wokYC-wvD7eGO2NTgD1_w,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLk5uNy1NRmp4ZlNB,2023-06-04T23:02:33Z,UCwefw3viiiaxprsV6jgJvEA,Veja os momentos que bolsonaristas tentam calar Samia na CPI do MST! Salles pode ser preso!,"⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/Nn7-MFjxfSA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Nn7-MFjxfSA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Nn7-MFjxfSA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Nn7-MFjxfSA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Nn7-MFjxfSA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,4,youtube#video,Nn7-MFjxfSA,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,LselY4hagrjbg7MPNBaZ8V3t1nk,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLklaeUNYa1BLTzVB,2023-06-04T01:00:06Z,UCwefw3viiiaxprsV6jgJvEA,"Misoginia contra deputadas, farsa na CPI do MST, Demarcação já! Confira o resumo da semana","⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/IZyCXkPKO5A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/IZyCXkPKO5A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/IZyCXkPKO5A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/IZyCXkPKO5A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/IZyCXkPKO5A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,5,youtube#video,IZyCXkPKO5A,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,_C4FNZV694jNCPchS6Keo1AQ-H4,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLnFHSWE4RWFuNDZF,2023-06-03T20:56:52Z,UCwefw3viiiaxprsV6jgJvEA,"Xuxa publica vídeo contra o Marco Temporal: ""Diga não ao projeto de Lei 490!""","⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/qGIa8Ean46E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/qGIa8Ean46E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/qGIa8Ean46E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/qGIa8Ean46E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/qGIa8Ean46E/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,6,youtube#video,qGIa8Ean46E,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,oSIZh9e8lAskAq2nM9PX-w8_vyo,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLmhIT2l0d09LMjhn,2023-06-03T00:43:20Z,UCwefw3viiiaxprsV6jgJvEA,MST no Flow: Stédille dá aula e explica a reforma agrária de forma clara e objetiva!,"⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/hHOitwOK28g/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hHOitwOK28g/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hHOitwOK28g/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hHOitwOK28g/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hHOitwOK28g/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,7,youtube#video,hHOitwOK28g,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,smKXhhf7qUSKXuNz4-iZks7rExs,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLlRJNEl2bTRfMHln,2023-06-02T12:00:22Z,UCwefw3viiiaxprsV6jgJvEA,🔥 Clima esquentou 🔥 Glauber Braga confronta Eduardo Bolsonaro sobre milícias e ele foge novamente!,"⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/TI4Ivm4_0yg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/TI4Ivm4_0yg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/TI4Ivm4_0yg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/TI4Ivm4_0yg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/TI4Ivm4_0yg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,8,youtube#video,TI4Ivm4_0yg,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
youtube#playlistItem,XYalt4aqe-0WQw3CPpXvHASD_vM,VVV3ZWZ3M3ZpaWlheHByc1Y2amdKdkVBLnczU2dMcG56Z0Jn,2023-06-01T21:53:40Z,UCwefw3viiiaxprsV6jgJvEA,General Heleno exalta ditadura no Brasil e é escrachado por deputados na CPI do Golpe,"⚠️ Se inscreva no canal, dá um 👍🏾 no vídeo e ative o 🔔 para receber notificações. http://bit.ly/YTNINJAinscreva

🗣 A sua colaboração amplifica a nossa voz, doe - https://www.catarse.me/midianinja","{'url': 'https://i.ytimg.com/vi/w3SgLpnzgBg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/w3SgLpnzgBg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/w3SgLpnzgBg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/w3SgLpnzgBg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/w3SgLpnzgBg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Mídia NINJA,UUwefw3viiiaxprsV6jgJvEA,9,youtube#video,w3SgLpnzgBg,Mídia NINJA,UCwefw3viiiaxprsV6jgJvEA,EAAaBlBUOkNESQ,2023-06-05 20:04:27.246461
