kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,QiYbWi2Sf4hpxpi8tlSLjKoKmP4,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LlBzbENqRWNsVm5z,2023-06-01T21:51:10Z,UCqBY-VQ2BxHOWnVpuC7swrw,"A arte do DINHEIRO: como enganam e vendem suas emoções! (IA, Bitcoin, e Estética do Dinheiro)","A estética do dinheiro: a estética que controla os controladores. 
Humanizar o Dinheiro: a arte de enganar suas emoções! (IA, Bitcoin, e Estética do Dinheiro)
A história das moedas, a história do dinheiro - a construção de desejos - A humanização do dinheiro: como empresas usam avatares para se conectar com o público = Como a estética do dinheiro afeta nossas crenças e valores - É sobre tudo estar milimetricamente calculado para o dinheiro - inclusive esse texto que está usando palavras chaves de busca para otimizar a pesquisa mesmo sabendo que provavelmente você não vai ler até aqui e... esse episódio é sobre tudo isso: A loucura da razão econômica - o capitalismo é um delírio? 

PARTICIPE da nossa comunidade de Estética: (link no comentário fixado)

Por lá você consegue mais episódios EXCLUSIVOS sobre Estética, estética do Comunismo, aulas e lives fechadas e ajuda sobretudo a FINANCIAR esta série de Estética que você assistiu. 

Fontes no comentário fixado! 
_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
EDIÇÃO: Antídoto | Carbono12
Roteiro: Kenji e Tila Barrionuevo 



_____
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/PslCjEclVns/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/PslCjEclVns/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/PslCjEclVns/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/PslCjEclVns/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/PslCjEclVns/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,0,youtube#video,PslCjEclVns,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,ZY7qk4Y3ZXnEHYgVKBxW6UzU-Wk,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LnVPNjN1R0FkUDVr,2023-05-15T22:04:10Z,UCqBY-VQ2BxHOWnVpuC7swrw,Redução do trabalho: coisa de VAGABUNDO?,"Direitos trabalhistas, luta do trabalho, jornada de 4 dias, coisa de comunista?

_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
_____
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/uO63uGAdP5k/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,1,youtube#video,uO63uGAdP5k,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,8yeOmspMK6g9YZWhlRW0fE7L1F4,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LkpaQ2pVbW5XNkYw,2023-05-10T21:41:09Z,UCqBY-VQ2BxHOWnVpuC7swrw,Como a extrema direta SEQUESTROU um meme pra radicalizar jovens?(SAPO PEPE  🐸 desmascarado!),"Como o meme do Sapo Pepe 🐸 foi ROUBADO pela EXTREMA DIREITA? - é assim que Pepe the Frog nasceu e a Extrema Direita cooptou abocanhando jovens pro espectro politico do odio.
Como a extrema direita radicaliza jovens com piadas? Reagindo a canal QmQ)

Canal reagido: https://www.youtube.com/watch?v=7N36qTF2vCg

PUBLI  
Cupom: REFLEXAO
Link: https://www.manual.com.br/queda-de-cabelo?coupon=REFLEXAO&utm_source=youtube&utm_medium=promo&utm_campaign=NORMOSE-MAIO
_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
_____
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/JZCjUmnW6F0/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,2,youtube#video,JZCjUmnW6F0,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,gVaz7nJowF8NyP5OACnZ8XhaPEQ,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LlpyU0o1YnZpNnUw,2023-05-10T02:03:48Z,UCqBY-VQ2BxHOWnVpuC7swrw,Arte depravada e o medo do conservador! (Homenagem a Rita Lee) - Part. Antídoto.,"A arte feia, baixa e depravada... é o que a gente mais precisa. Rita, você me ensinou a depravar. Mas ser gente boa! Obrigado. Essa é uma singela homenagem! 

Minha e do Antídoto - olha a homenagem dele: 
https://www.youtube.com/watch?v=95flrtFckvY&t=506s

PUBLI MANUAL 
Cupom: REFLEXAO
Link: https://www.manual.com.br/queda-de-cabelo?coupon=REFLEXAO&utm_source=youtube&utm_medium=promo&utm_campaign=NORMOSE-MAIO

_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
_____
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ZrSJ5bvi6u0/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,3,youtube#video,ZrSJ5bvi6u0,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,kNCyM7m9l5OikSbnnLFLgp5ksX4,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LjR2NDNDb1k4S3JV,2023-05-06T15:58:45Z,UCqBY-VQ2BxHOWnVpuC7swrw,PL da fake news já era? Como manipularam a opinião pública?,"A PL da fake news já era? Como a opinião pública foi manipulada?
O que fazer a partir de agora?

_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
_____
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/4v43CoY8KrU/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,4,youtube#video,4v43CoY8KrU,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,k9mmFFQHvdg-N9ZBay8R4Hszx0U,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LkVsUGtUVDlqUlZ3,2023-05-03T16:13:07Z,UCqBY-VQ2BxHOWnVpuC7swrw,foi assim que o PT voltou ao poder - Explicando 2023 pro meu eu do passado,"explicando tudo: Como chegamos até aqui? O lula vice do alckmin, que porra é essa? Um vídeo atrasado, mas não sem tempo. E você: o que diria a seu EU do passado?

PUBLI NORDVPN: 
Esse vídeo tem patrocínio de NORDVPN: https://nordvpn.com/normose
Use o código do cupom: NORMOSE e obtenha 4 meses grátis!
❤️ Atenção - engaje e garanta o click pra Nord estar mais conosco
https://nordvpn.com/normose
_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
5. Derrube o Bolsonaro! 
Agora Normose é uma equipe! Contribua! 
__
☸  Gostou das artes? Siga as artes de João Tila!
☸ arte e design: joão tila  
☸ instagram e twitter: @tilabgf 
☸  site: tilabgf.com

edição: studio77
___
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ElPkTT9jRVw/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,5,youtube#video,ElPkTT9jRVw,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,4yWFsIzrUI1msrnbrdWigmYojmA,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LnYyWTEycXh3bEM0,2023-05-01T23:17:08Z,UCqBY-VQ2BxHOWnVpuC7swrw,URGENTE CENSURA: destruindo todas mentiras da Lei da Fake News! É o fim da liberdade?,"O que é PL2630? Por que ela é chamada de Lei da Fake News? E lei da Censura? O que esse projeto promete e qual a verdade? Por que Youtube tá mentindo pra você sobre a lei? Aqui vai TODO o TOP MENTIRAS que te contaram! 

EM BREVE: CORTES COM CADA PARTE SEPARADA (dá um desconto - ficamos 48 horas montando o roteiro) 

Roteiro: Kenji Normose + Ady Ferrer + João Senzi + Colaboradores que preferem manter anonimato.  

Sim, o vídeo tem pequenos cortes devido a pressa de edita-lo antes do PL - ao contrário das grandes empresas, aqui somos um pequenino time de um esforço enorme. Foque no conteúdo. 

CONFIRA AS FONTES NO COMENTÁRIO FIXADO! _________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
_____
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/v2Y12qxwlC4/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,6,youtube#video,v2Y12qxwlC4,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,_5I9dI033Wv9eh2jXbMF-TqG-3I,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3LnkyY2o5eFI5YUZB,2023-04-28T21:29:58Z,UCqBY-VQ2BxHOWnVpuC7swrw,"a mentira sobre o ""DAR PALCO"" -  largue essa frase pronta!","Silvio Almeida dá aula de como combater bolsonarista. O que você acha? Comente sua ação nas redes! Como agir com extremistas?
_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
5. Derrube o Bolsonaro! 
Agora Normose é uma equipe! Contribua! 
__
☸  Gostou das artes? Siga as artes de João Tila!
☸ arte e design: joão tila  
☸ instagram e twitter: @tilabgf 
☸  site: tilabgf.com

edição: studio77
___
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/y2cj9xR9aFA/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,7,youtube#video,y2cj9xR9aFA,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,YJeTPd6Puo3KetysRnM6A-4aiU0,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3Lldfb1k4eDBQeTF3,2023-04-25T21:30:33Z,UCqBY-VQ2BxHOWnVpuC7swrw,Por que Paulo Freire é tão perigoso?,"paulo freire é um perigo. este vídeo explica o por quê. Este é o poder da educação popular. _________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
Agora Normose é uma equipe! Contribua! 
_____
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/W_oY8x0Py1w/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,8,youtube#video,W_oY8x0Py1w,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
youtube#playlistItem,0EZ60_gd6QV3wNJzV8rnwZ7Gtvo,VVVxQlktVlEyQnhIT1duVnB1Qzdzd3J3Lmh5Ry1HS2NaWllJ,2023-04-21T22:04:50Z,UCqBY-VQ2BxHOWnVpuC7swrw,SPAM: a indústria bilionária que não para de te ligar,"um vídeo sobre spam. essas ligações infernais mereceram um vídeo só pra elas. eu sei, é um vídeo bem diferente. hiperfoco, sabe como é. 

CURSOS EBAC
Cupom: NORMOSE (para R$ 200 de desconto)
Link: http://bit.ly/3JQPhUF
_________________________________________________________
Como manter o Normose existindo?
PIX tem mantido esse canal vivo! 
PIX: normosepix@gmail.com 

1. ASSINE O CATARSE - renovamos os projetos e as recompensas, fique de olho em nosso catarse! Todo pequeno valor faz a diferença! 

https://www.catarse.me/normose

2. PIX - Mas se não puder assinar, faça um PIX que também faz a diferença!

PIX: normosepix@gmail.com 
Picpay: @normose 

Como ajudar o Normose não financeiramente? 

1. Dê like nos vídeos 
2. Comente algo para engajar 
3. Compartilhe no Zap ou 
4. Traga um amigo 
__
___
Vamos conversar? pra trocar ideia e mandar idéias: 
☸  Twitter: @normose_ https://is.gd/twittanois​​​​​
☸  Instagram: @_normose https://is.gd/seguenois​​","{'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hyG-GKcZZYI/maxresdefault.jpg', 'width': 1280, 'height': 720}",NORMOSE,UUqBY-VQ2BxHOWnVpuC7swrw,9,youtube#video,hyG-GKcZZYI,NORMOSE,UCqBY-VQ2BxHOWnVpuC7swrw,EAAaBlBUOkNESQ,2023-06-05 20:03:51.802470
