kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,FSBtgBFiczn7CFVoJPWbxxYrxDA,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLjQzN2E0a0dReXRz,2023-05-26T21:42:38Z,UCxI9vN6UbxmBt8VIvUKtJaA,“NÃO FOI CRIME” decide PGR sobre Nikolas,,"{'url': 'https://i.ytimg.com/vi/437a4kGQyts/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/437a4kGQyts/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/437a4kGQyts/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/437a4kGQyts/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/437a4kGQyts/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,0,youtube#video,437a4kGQyts,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,QYOj7Lf5YZ-3mGwQiMZQI_sDFi8,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLlRKTHBZMmVkbHhB,2023-05-25T16:50:59Z,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS É APLAUDIDO EM SUA PRIMEIRA FALA NA CPMI,,"{'url': 'https://i.ytimg.com/vi/TJLpY2edlxA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/TJLpY2edlxA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/TJLpY2edlxA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/TJLpY2edlxA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/TJLpY2edlxA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,1,youtube#video,TJLpY2edlxA,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,SKDqVO91Og9R1g9kjX5biuhZVVE,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLndVUUVkSkYyM1FF,2023-05-25T00:38:17Z,UCxI9vN6UbxmBt8VIvUKtJaA,DESMASCARANDO DOIS ESQUERDISTAS NUM DIA,"Instagram: https://instagram.com/nikolasferreiradm
Twitter: https://twitter.com/nikolas_dm
Facebook: https://facebook.com/nikolasferreiradm
Telegram: https://t.me/nikolasferreira
TikTok: https://tiktok.com/@nikolasferreiradm
Livraria: https://livrariadonikolas.com","{'url': 'https://i.ytimg.com/vi/wUQEdJF23QE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/wUQEdJF23QE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/wUQEdJF23QE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/wUQEdJF23QE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/wUQEdJF23QE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,2,youtube#video,wUQEdJF23QE,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,c4hbRuHGpFtwE8zm9OxCXGemkFk,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLnZsNkRJYzdKMllj,2023-05-19T20:29:11Z,UCxI9vN6UbxmBt8VIvUKtJaA,CARROS PARADOS POR CONTA DE ADESIVO? FOMOS COBRAR.,"Instagram: https://instagram.com/nikolasferreiradm
Twitter: https://twitter.com/nikolas_dm
Facebook: https://facebook.com/nikolasferreiradm
Telegram: https://t.me/nikolasferreira
TikTok: https://tiktok.com/@nikolasferreiradm
Livraria: https://livrariadonikolas.com","{'url': 'https://i.ytimg.com/vi/vl6DIc7J2Yc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/vl6DIc7J2Yc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/vl6DIc7J2Yc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/vl6DIc7J2Yc/sddefault.jpg', 'width': 640, 'height': 480}",,Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,3,youtube#video,vl6DIc7J2Yc,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,uGoV3yh0JsamUL7qiMnv_y6N1AE,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLnVfM1A0SlZubEdn,2023-05-18T11:07:47Z,UCxI9vN6UbxmBt8VIvUKtJaA,Quem é a justiça brasileira?,"Instagram: https://instagram.com/nikolasferreiradm
Twitter: https://twitter.com/nikolas_dm
Facebook: https://facebook.com/nikolasferreiradm
Telegram: https://t.me/nikolasferreira
TikTok: https://tiktok.com/@nikolasferreiradm
Livraria: https://livrariadonikolas.com","{'url': 'https://i.ytimg.com/vi/u_3P4JVnlGg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/u_3P4JVnlGg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/u_3P4JVnlGg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/u_3P4JVnlGg/sddefault.jpg', 'width': 640, 'height': 480}",,Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,4,youtube#video,u_3P4JVnlGg,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,2tVTpNocJ7JJkRdb4b2b2EmCdrs,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLjJFVy1FcUZTaFVF,2023-05-16T22:43:14Z,UCxI9vN6UbxmBt8VIvUKtJaA,O DISCURSO MAIS FORTE DA MINHA VIDA,"Instagram: https://instagram.com/nikolasferreiradm
Twitter: https://twitter.com/nikolas_dm
Facebook: https://facebook.com/nikolasferreiradm
Telegram: https://t.me/nikolasferreira
TikTok: https://tiktok.com/@nikolasferreiradm
Livraria: https://livrariadonikolas.com","{'url': 'https://i.ytimg.com/vi/2EW-EqFShUE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2EW-EqFShUE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2EW-EqFShUE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2EW-EqFShUE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2EW-EqFShUE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,5,youtube#video,2EW-EqFShUE,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,JzoeUQeu2LWZX0i4phnZInneQlM,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLi1uVjF3aGJwck5V,2023-05-01T22:50:26Z,UCxI9vN6UbxmBt8VIvUKtJaA,"ENFIM, CASADOS!","Instagram: https://instagram.com/nikolasferreiradm
Twitter: https://twitter.com/nikolas_dm
Facebook: https://facebook.com/nikolasferreiradm
Telegram: https://t.me/nikolasferreira
TikTok: https://tiktok.com/@nikolasferreiradm
Livraria: https://livrariadonikolas.com","{'url': 'https://i.ytimg.com/vi/-nV1whbprNU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/-nV1whbprNU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/-nV1whbprNU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/-nV1whbprNU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/-nV1whbprNU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,6,youtube#video,-nV1whbprNU,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,HzKjd3blaItONXIzRSC7l_e2fpg,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLjR3NHotbEVQdUVB,2023-04-27T18:58:31Z,UCxI9vN6UbxmBt8VIvUKtJaA,Compartilhe para destruir essa estratégia da esquerda,,"{'url': 'https://i.ytimg.com/vi/4w4z-lEPuEA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/4w4z-lEPuEA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/4w4z-lEPuEA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/4w4z-lEPuEA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/4w4z-lEPuEA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,7,youtube#video,4w4z-lEPuEA,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,e3T6jw6Cvcb_vRfrPr3gYAz76jU,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLk5iTlRwWjRCakdF,2023-04-25T23:49:46Z,UCxI9vN6UbxmBt8VIvUKtJaA,PL DA CENSURA - ENTENDA TUDO,"Instagram: https://instagram.com/nikolasferreiradm
Twitter: https://twitter.com/nikolas_dm
Facebook: https://facebook.com/nikolasferreiradm
Telegram: https://t.me/nikolasferreira
TikTok: https://tiktok.com/@nikolasferreiradm
Livraria: https://livrariadonikolas.com","{'url': 'https://i.ytimg.com/vi/NbNTpZ4BjGE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NbNTpZ4BjGE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NbNTpZ4BjGE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NbNTpZ4BjGE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NbNTpZ4BjGE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,8,youtube#video,NbNTpZ4BjGE,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
youtube#playlistItem,zyM56oR5cwdvEftO-r2Iz48lOI4,VVV4STl2TjZVYnhtQnQ4Vkl2VUt0SmFBLlpVOUFNTFBlU193,2023-04-23T18:20:35Z,UCxI9vN6UbxmBt8VIvUKtJaA,"Saia da “água”, não espere ser tarde demais!",,"{'url': 'https://i.ytimg.com/vi/ZU9AMLPeS_w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZU9AMLPeS_w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZU9AMLPeS_w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZU9AMLPeS_w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ZU9AMLPeS_w/maxresdefault.jpg', 'width': 1280, 'height': 720}",Nikolas Ferreira,UUxI9vN6UbxmBt8VIvUKtJaA,9,youtube#video,ZU9AMLPeS_w,Nikolas Ferreira,UCxI9vN6UbxmBt8VIvUKtJaA,EAAaBlBUOkNESQ,2023-06-06 00:28:31.346311
