kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,wV3gjQG_rON728xwY1dQ3clpJuE,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLjhoeGJlbmY4VlJB,2023-06-04T10:03:00Z,UCgTqVajBNAjIlatXhXHHCLA,As VEZES É DIFICIL ENTENDER 😭  #shorts #biblia #Deus #jesus,,"{'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8hxbenf8VRA/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,0,youtube#video,8hxbenf8VRA,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,AdkFNXrz0j128WNCfTqwiof1_58,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLl9KV3ZhQk42eno0,2023-06-04T10:03:00Z,UCgTqVajBNAjIlatXhXHHCLA,Três p3cad0s que Jesus cometeu #Deus #Jesus  #biblia #profecia,,"{'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_JWvaBN6zz4/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,1,youtube#video,_JWvaBN6zz4,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,YuxMplfa73xg3pwdsJY-f7Bu-SY,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLllOVWlfNUlUYktV,2023-06-03T17:03:39Z,UCgTqVajBNAjIlatXhXHHCLA,"A VERDADE QUE TODOS DEVEM VER, O QUE ACONTECEU COM YUDI TAMASHIRO","🎯 Seja muito bem vindo ao canal NoAlvo!

🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!

🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão
para assim ter a verdadeira paz de Deus em sua vida?

🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵
https://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/ 

📲 Acompanhe nas redes sociais:
Facebook: https://www.facebook.com/canalNoAlvo
Instagram: https://www.instagram.com/canal_noalvo/
Site: https://canalnoalvo.com/

ENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com

Confira estes benefícios dos Clubes dos canais!
https://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join

💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR

😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 

Não esqueça de: 
💥 DEIXAR O LIKE 👍🏻 
💥 COMPARTILHAR O VÍDEO 🗣 
💥 SE INSCREVA NO CANAL 🛑 
💥 ATIVE O SININHO 🛎 
💥 DEIXE SEU COMENTÁRIO 🗯 
AMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!

Assista até o final!

00:00 : Bem-vindo ao NoAlvo
00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!

A VERDADE QUE TODOS DEVEM VER, O QUE ACONTECEU COM YUDI TAMASHIRO @yudi.tamashiro #YudiTamashiro #Deus #Jesus #profecia","{'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YNUi_5ITbKU/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,2,youtube#video,YNUi_5ITbKU,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,rJH52BvIMY40GIfLEi2WreLS0t8,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLk9KSWp4b0tSc2VJ,2023-06-03T15:03:00Z,UCgTqVajBNAjIlatXhXHHCLA,"HUMOR, EU ORANDO A DEUS PEDI O SEGUINTE! #humor #casamento #deus #jesus #shorts",,"{'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/OJIjxoKRseI/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,3,youtube#video,OJIjxoKRseI,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,O1AA0hWBh2Etypz-Zc9ufQCrJhY,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLmFjZi1RcVJ2ckRr,2023-06-03T10:03:00Z,UCgTqVajBNAjIlatXhXHHCLA,SERÁ QUE VOCÊ ACERTA??? #Deus #biblia #Jesus #shorts,,"{'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/acf-QqRvrDk/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,4,youtube#video,acf-QqRvrDk,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,nvuuADn7hnlcjoox9yVvzNU1gZc,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLmJBUUxaYmZzdU9Z,2023-06-02T21:07:54Z,UCgTqVajBNAjIlatXhXHHCLA,"PROFECIA / NÃO OUVIU A DEUS E OLHA O QUE ACONTECEU , É DE ARREPIAR","🎯 Seja muito bem vindo ao canal NoAlvo!

🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!

🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão
para assim ter a verdadeira paz de Deus em sua vida?

🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵
https://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/ 

📲 Acompanhe nas redes sociais:
Facebook: https://www.facebook.com/canalNoAlvo
Instagram: https://www.instagram.com/canal_noalvo/
Site: https://canalnoalvo.com/

ENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com

Confira estes benefícios dos Clubes dos canais!
https://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join

💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR

😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 

Não esqueça de: 
💥 DEIXAR O LIKE 👍🏻 
💥 COMPARTILHAR O VÍDEO 🗣 
💥 SE INSCREVA NO CANAL 🛑 
💥 ATIVE O SININHO 🛎 
💥 DEIXE SEU COMENTÁRIO 🗯 
AMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!

Assista até o final!

00:00 : Bem-vindo ao NoAlvo
00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!","{'url': 'https://i.ytimg.com/vi/bAQLZbfsuOY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/bAQLZbfsuOY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/bAQLZbfsuOY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/bAQLZbfsuOY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/bAQLZbfsuOY/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,5,youtube#video,bAQLZbfsuOY,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,q0X0iMerGg14nhlnIqdMbTIcYCA,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLm44a1B4TjktWjNz,2023-06-02T15:00:38Z,UCgTqVajBNAjIlatXhXHHCLA,3 curiosidades sobre a bíblia #biblia #deus #jesus #shorts,"🎯 Seja muito bem vindo ao canal NoAlvo!

🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!

🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão
para assim ter a verdadeira paz de Deus em sua vida?

🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵
https://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/ 

📲 Acompanhe nas redes sociais:
Facebook: https://www.facebook.com/canalNoAlvo
Instagram: https://www.instagram.com/canal_noalvo/
Site: https://canalnoalvo.com/

ENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com

Confira estes benefícios dos Clubes dos canais!
https://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join

😍 agradecemos ao canal ..., canal deles: https://

💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR

😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 

Não esqueça de: 
💥 DEIXAR O LIKE 👍🏻 
💥 COMPARTILHAR O VÍDEO 🗣 
💥 SE INSCREVA NO CANAL 🛑 
💥 ATIVE O SININHO 🛎 
💥 DEIXE SEU COMENTÁRIO 🗯 
AMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!

Assista até o final!

00:00 : Bem-vindo ao NoAlvo
00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!","{'url': 'https://i.ytimg.com/vi/n8kPxN9-Z3s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/n8kPxN9-Z3s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/n8kPxN9-Z3s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/n8kPxN9-Z3s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/n8kPxN9-Z3s/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,6,youtube#video,n8kPxN9-Z3s,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,jiANAxrK-1XbZbF2UzA08rc4CFs,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLkxGWHExeWNkY0I4,2023-06-01T22:07:00Z,UCgTqVajBNAjIlatXhXHHCLA,"PROFECIA / VAI ROMPER E TUDO VAI DESMORONAR, PROFECIA 2023","🎯 Seja muito bem vindo ao canal NoAlvo!

🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!

🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão
para assim ter a verdadeira paz de Deus em sua vida?

🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵
https://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/

📲 Acompanhe nas redes sociais:
Facebook: https://www.facebook.com/canalNoAlvo
Instagram: https://www.instagram.com/canal_noalvo/
Site: https://canalnoalvo.com/ 

ENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com

Confira estes benefícios dos Clubes dos canais!
https://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join

😍 Canal do apostolo Edilson Pomini: https://www.youtube.com/@EdilsonPomini 

💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR

😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 

Não esqueça de: 
💥 DEIXAR O LIKE 👍🏻 
💥 COMPARTILHAR O VÍDEO 🗣 
💥 SE INSCREVA NO CANAL 🛑 
💥 ATIVE O SININHO 🛎 
💥 DEIXE SEU COMENTÁRIO 🗯 
AMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!

Assista até o final!

00:00 : Bem-vindo ao NoAlvo
00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!

#profecías
#profecia 
#profeciaparaobrasil","{'url': 'https://i.ytimg.com/vi/LFXq1ycdcB8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/LFXq1ycdcB8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/LFXq1ycdcB8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/LFXq1ycdcB8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/LFXq1ycdcB8/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,7,youtube#video,LFXq1ycdcB8,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,rrtftZ7WF1MZ0iidqDlA0SxZhT8,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLkxRU2l4Y2I2NjFF,2023-06-01T16:18:49Z,UCgTqVajBNAjIlatXhXHHCLA,você quer casar para ser feliz? #biblia #jesus #deus #casamento #shorts,você quer casar para ser feliz? #biblia #jesus #deus #casamento #shorts,"{'url': 'https://i.ytimg.com/vi/LQSixcb661E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/LQSixcb661E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/LQSixcb661E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/LQSixcb661E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/LQSixcb661E/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,8,youtube#video,LQSixcb661E,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
youtube#playlistItem,r10uZYF4JSv6g3DJIZyEu5FaVds,VVVnVHFWYWpCTkFqSWxhdFhoWEhIQ0xBLmk3bGlBSGpaOG5n,2023-06-01T10:07:00Z,UCgTqVajBNAjIlatXhXHHCLA,"FORTE PROFECIA, GRANDE SERÁ O REBOLIÇO, Apostolo Edilson Pomini","🎯 Seja muito bem vindo ao canal NoAlvo!

🔔 E se não quer perder nada, se inscreva aqui e ative as notificações!

🙌 Você já imaginou entender tudo sobre o poder das orações de proteção, cura e gratidão
para assim ter a verdadeira paz de Deus em sua vida?

🙇 Então corra agora e garanta já o seu lugar no meu curso que vai te ajudar. ⤵
https://andersonluis.kebook.com.br/cursos/escola-da-palavra-de-deus/

📲 Acompanhe nas redes sociais:
Facebook: https://www.facebook.com/canalNoAlvo
Instagram: https://www.instagram.com/canal_noalvo/
Site: https://canalnoalvo.com/ 

ENTRE EM CONTATO PELO E-MAIL / PIX: contato@canalnoalvo.com

Confira estes benefícios dos Clubes dos canais!
https://www.youtube.com/channel/UCgTqVajBNAjIlatXhXHHCLA/join

😍 Canal do apostolo Edilson Pomini: https://www.youtube.com/@EdilsonPomini 

💥 todos os vídeos do pastor Cláudio Duarte: https://youtube.com/playlist?list=PL26Qt05iMFonGo2VBMLQxJ96lU--zi6lR

😉 Siga-nos também em nossas redes sociais: http://linkei.xyz/noalvo 💥 

Não esqueça de: 
💥 DEIXAR O LIKE 👍🏻 
💥 COMPARTILHAR O VÍDEO 🗣 
💥 SE INSCREVA NO CANAL 🛑 
💥 ATIVE O SININHO 🛎 
💥 DEIXE SEU COMENTÁRIO 🗯 
AMO VOCÊS 😍 E OBRIGADO POR ASSISTIREM!!!

Assista até o final!

00:00 : Bem-vindo ao NoAlvo
00:05 : SE INSCREVE ATIVE O SININHO E DEIXE O LIKE!!!

#profecías
#profecia 
#profeciaparaobrasil","{'url': 'https://i.ytimg.com/vi/i7liAHjZ8ng/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/i7liAHjZ8ng/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/i7liAHjZ8ng/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/i7liAHjZ8ng/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/i7liAHjZ8ng/maxresdefault.jpg', 'width': 1280, 'height': 720}",NoAlvo,UUgTqVajBNAjIlatXhXHHCLA,9,youtube#video,i7liAHjZ8ng,NoAlvo,UCgTqVajBNAjIlatXhXHHCLA,EAAaBlBUOkNESQ,2023-06-06 00:53:22.447655
