kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,5StJ-lS4tzLf4Yg2boDBwDc8wYI,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLmhiWWpsbkNPTDBF,2023-06-05T22:48:00Z,UC5ZXYxeWlROKbL7JziJ0bIQ,STF vai DERRUBAR marco temporal e DIREITA BOLSONARISTA terá outra DERROTA,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hbYjlnCOL0E/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,0,youtube#video,hbYjlnCOL0E,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,qyUsV40hwDf-5O3n104fmM0x8As,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLlhZVHlKMVptR3dF,2023-06-05T20:00:16Z,UC5ZXYxeWlROKbL7JziJ0bIQ,"Novas PROVAS CONTRA Moro e Dallagnol! ""PAGAMOS 300 mil reais para MORO e CIA"" Diz fonte exclusiva","LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/XYTyJ1ZmGwE/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,1,youtube#video,XYTyJ1ZmGwE,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,su4qfd1sEz9uzzSr1fZvdUnhmro,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLlZsSnlxR1dnWHEw,2023-06-04T15:00:31Z,UC5ZXYxeWlROKbL7JziJ0bIQ,MUITA gente não vai GOSTAR desse VIDEO,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/VlJyqGWgXq0/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,2,youtube#video,VlJyqGWgXq0,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,iuW5McXIVz0gyLLz-kEEm10O748,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLm5ENnJTSVBveVVR,2023-06-03T21:30:04Z,UC5ZXYxeWlROKbL7JziJ0bIQ,"Deputado BOLSONARISTA já foi ""PRESO com DR0G45"" e ESQUEMA de ALUGUEL com VERBA é REVELADO","LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/nD6rSIPoyUQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/nD6rSIPoyUQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/nD6rSIPoyUQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/nD6rSIPoyUQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/nD6rSIPoyUQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,3,youtube#video,nD6rSIPoyUQ,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,hxnicqbeLgqPL7k-PTpap_tRk8M,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLnRmS2dZXzhLR2pZ,2023-06-03T01:15:04Z,UC5ZXYxeWlROKbL7JziJ0bIQ,MÍDIA distorce INFORMAÇÕES ataca Lula e Zanin com MENTIRAS e DESINFORMAÇÕES,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/tfKgY_8KGjY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tfKgY_8KGjY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tfKgY_8KGjY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tfKgY_8KGjY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tfKgY_8KGjY/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,4,youtube#video,tfKgY_8KGjY,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,mHSuYh_gzaJeWIyf3oO4VzFGLsc,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLkhlQW80VWk0ZlRr,2023-06-02T17:35:00Z,UC5ZXYxeWlROKbL7JziJ0bIQ,FORA da REALIDADE! PROMOTORA de Góias diz que SALÁRIO de R$ 37 mil só banca as suas VAIDADES,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/HeAo4Ui4fTk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/HeAo4Ui4fTk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/HeAo4Ui4fTk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/HeAo4Ui4fTk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/HeAo4Ui4fTk/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,5,youtube#video,HeAo4Ui4fTk,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,0u6mjapDrY2DCKyKes0thJfzXmc,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLkliLWdBNzM4ZjFr,2023-06-02T01:20:00Z,UC5ZXYxeWlROKbL7JziJ0bIQ,Sócio de Flávio Bolsonaro em LOJA de CHOCOLATE diz que SENADOR será PRESO por CRIMES que COMETEU,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/Ib-gA738f1k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Ib-gA738f1k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Ib-gA738f1k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Ib-gA738f1k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Ib-gA738f1k/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,6,youtube#video,Ib-gA738f1k,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,AxWGDWos2gTR37yOINR3NPw91p4,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLjVuX2MyMVVUUGlJ,2023-06-01T21:00:03Z,UC5ZXYxeWlROKbL7JziJ0bIQ,CONFIRMADO! Lula indica Cristiano Zanin para o STF e Pacheco garante que APROVAÇÃO será FÁCIL,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/5n_c21UTPiI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5n_c21UTPiI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5n_c21UTPiI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5n_c21UTPiI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/5n_c21UTPiI/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,7,youtube#video,5n_c21UTPiI,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,vAMGBqDfzISigKl4WE-TFMNz5M8,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLmlablMxR0ZQSjMw,2023-06-01T18:00:15Z,UC5ZXYxeWlROKbL7JziJ0bIQ,Lula DERROTA Lira em VOTAÇÃO na CÂMARA e DEPUTADO fica FURIOSO,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/iZnS1GFPJ30/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/iZnS1GFPJ30/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/iZnS1GFPJ30/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/iZnS1GFPJ30/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/iZnS1GFPJ30/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,8,youtube#video,iZnS1GFPJ30,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
youtube#playlistItem,_lIuGFjRkp3q6_iZGPRaWOl03so,VVU1WlhZeGVXbFJPS2JMN0p6aUowYklRLjVRZlMzUVc3VjdJ,2023-05-31T17:00:05Z,UC5ZXYxeWlROKbL7JziJ0bIQ,Zambelli se DESESPERA ao SABER que BOLSONARO e o PL apoiam sua CASSAÇÃO,"LINK DA LOJA DO HISTORIADOR: 

https://bagy.app/lojadohistoriador

APOIE O MEU TRABALHO PATROCINE O CANAL

MEU APOIA.SE: https://apoia.se/1528668533880165

CONTA ITAU
AG: 9295
CONTA: 43558-1
CARLOS BATISTA ALVES NETO

CONTA CAIXA ECONÔMICA FEDERAL
AG: 2186
CONTA CORRENTE: 00031093-6
OP:001
CARLOS BATISTA ALVES NETO


#OHISTORIADOR
#CARLITONETO
 @O Historiador","{'url': 'https://i.ytimg.com/vi/5QfS3QW7V7I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5QfS3QW7V7I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5QfS3QW7V7I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5QfS3QW7V7I/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/5QfS3QW7V7I/maxresdefault.jpg', 'width': 1280, 'height': 720}",O Historiador,UU5ZXYxeWlROKbL7JziJ0bIQ,9,youtube#video,5QfS3QW7V7I,O Historiador,UC5ZXYxeWlROKbL7JziJ0bIQ,EAAaBlBUOkNESQ,2023-06-05 19:57:28.080615
